2023-11-24 11:57:09
GET: -nan
GET: 399424.00
GET: 350224.00
GET: 311413.34
GET: 275212.78
GET: 251431.31
GET: 230961.39
GET: 213219.19
GET: 202137.86
GET: 189470.69
GET: 184626.69
GET: 177718.02
GET: 172439.70
GET: 168858.55
GET: 164415.77
GET: 161164.17
GET: 158342.83
GET: 155134.53
GET: 151513.11
GET: 148728.95
GET: 146229.52
GET: 145046.47
GET: 142150.50
GET: 140678.72
GET: 138678.20
GET: 136459.98
GET: 135135.27
GET: 134362.86
GET: 133717.38
GET: 131741.70
GET: 130142.13
GET: 129386.91
GET: 128213.62
GET: 127701.84
GET: 126950.44
GET: 126946.60
GET: 126561.50
GET: 125942.36
GET: 124737.78
GET: 123947.98
GET: 123483.57
GET: 122544.56
GET: 123169.56
GET: 122586.16
GET: 122121.47
GET: 121315.59
GET: 120451.70
GET: 120169.78
GET: 120463.51
GET: 120854.00
GET: 120570.06
GET: 120880.62
GET: 120532.84
GET: 120526.43
GET: 120448.72
GET: 119881.60
GET: 119765.16
GET: 119187.40
GET: 119446.85
GET: 119572.00
GET: 119256.67
GET: 118668.06
GET: 118613.28
GET: 117912.07
GET: 117625.35
GET: 117378.52
GET: 117559.89
GET: 117766.84
GET: 117824.49
GET: 118110.95
GET: 118162.05
GET: 118146.95
GET: 118118.09
GET: 117983.27
GET: 118162.38
GET: 117863.66
GET: 117928.33
GET: 117374.63
GET: 117127.58
GET: 116493.94
GET: 117005.93
GET: 116990.00
GET: 116925.83
GET: 116663.68
GET: 116880.60
GET: 116853.38
GET: 116672.08
GET: 116509.24
GET: 116455.97
GET: 116578.86
GET: 116601.16
GET: 116874.34
GET: 116283.55
GET: 116050.61
GET: 115580.22
GET: 115823.65
GET: 115676.25
GET: 115759.52
GET: 115623.24
GET: 115263.44
GET: 115740.23
GET: 115987.99
GET: 116077.91
GET: 115790.24
GET: 115818.64
GET: 115954.71
GET: 115959.95
GET: 115768.83
GET: 115478.09
GET: 115672.62
GET: 115381.82
GET: 115139.79
GET: 115188.77
GET: 114936.34
GET: 114791.65
GET: 114634.47
GET: 114556.23
GET: 114370.09
GET: 114314.89
GET: 114111.99
GET: 114121.57
GET: 114232.84
GET: 114382.84
GET: 114134.32
GET: 113889.80
GET: 113792.22
GET: 113616.37
GET: 113630.47
GET: 113837.99
GET: 113812.15
GET: 113894.76
GET: 113887.15
GET: 113880.87
GET: 114111.87
GET: 114200.75
GET: 114008.92
GET: 114022.83
GET: 114246.29
GET: 114294.30
GET: 114771.03
GET: 114857.56
GET: 114953.35
GET: 114867.84
GET: 114899.63
GET: 114925.66
GET: 115013.66
GET: 114984.97
GET: 115032.18
GET: 115133.20
GET: 115206.52
GET: 115144.31
GET: 115100.27
GET: 115056.93
GET: 115106.49
GET: 115365.26
GET: 115428.48
GET: 115494.77
GET: 115457.51
GET: 115453.86
GET: 115480.91
GET: 115474.56
GET: 115473.45
GET: 115348.36
GET: 115304.74
GET: 115420.36
GET: 115378.77
GET: 115539.50
GET: 115688.36
GET: 115645.91
GET: 115836.53
GET: 115920.62
GET: 115929.87
GET: 115874.75
GET: 115900.21
GET: 115995.96
GET: 115901.81
GET: 115969.70
GET: 116070.73
GET: 116075.45
GET: 115876.44
GET: 115796.39
GET: 115768.92
GET: 115626.98
GET: 115718.03
GET: 115887.52
GET: 115928.70
GET: 115883.23
GET: 115817.75
GET: 116024.47
GET: 115925.81
GET: 115981.68
GET: 115922.23
GET: 115970.97
GET: 115966.07
GET: 115964.43
GET: 115987.55
GET: 116047.75
GET: 116205.11
GET: 116201.71
GET: 116329.90
GET: 116306.05
GET: 116259.64
GET: 116346.59
GET: 116397.44
GET: 116459.05
GET: 116446.54
GET: 116387.01
GET: 116376.04
GET: 116262.59
GET: 116147.94
GET: 116101.15
GET: 116145.17
GET: 116306.76
GET: 116431.88
GET: 116471.20
GET: 116469.45
GET: 116437.12
GET: 116338.31
GET: 116307.09
GET: 116306.42
GET: 116209.21
GET: 116340.08
GET: 116378.55
GET: 116307.66
GET: 116253.88
GET: 116136.77
GET: 115953.01
GET: 115990.44
GET: 115978.57
GET: 115934.30
GET: 116042.63
GET: 116260.58
GET: 116294.29
GET: 116393.92
GET: 116298.66
GET: 116286.92
GET: 116339.23
GET: 116244.95
GET: 116304.04
GET: 116245.90
GET: 116210.80
GET: 116122.46
GET: 116134.49
GET: 116153.00
GET: 116221.62
GET: 116074.19
GET: 116040.64
GET: 115949.31
GET: 116037.02
GET: 116052.34
GET: 116097.73
GET: 116178.15
GET: 116205.96
GET: 116333.41
GET: 116336.01
GET: 116450.68
GET: 116473.26
GET: 116422.25
GET: 116196.96
GET: 116218.28
GET: 116176.22
GET: 116217.40
GET: 116197.92
GET: 116256.68
GET: 116231.88
GET: 116328.27
GET: 116448.09
GET: 116563.05
GET: 116636.99
GET: 116663.99
GET: 116677.16
GET: 116718.39
GET: 116784.10
GET: 116708.34
GET: 116715.55
GET: 116622.94
GET: 116669.41
GET: 116758.32
GET: 116832.93
GET: 116898.65
GET: 116952.94
GET: 117102.61
GET: 117265.22
GET: 117353.42
GET: 117466.36
GET: 117520.55
GET: 117521.98
GET: 117520.73
GET: 117581.34
GET: 117629.70
GET: 117700.31
GET: 117776.81
GET: 117949.93
GET: 117975.23
GET: 118031.57
GET: 117969.47
GET: 118169.60
GET: 118279.76
GET: 118396.90
GET: 118402.67
GET: 118454.84
GET: 118392.21
GET: 118425.45
GET: 118562.64
GET: 118607.91
GET: 118665.88
GET: 118815.85
GET: 118847.08
GET: 118867.93
GET: 118874.69
GET: 118948.17
GET: 118928.13
GET: 119002.81
GET: 119049.37
GET: 119065.01
GET: 119111.79
GET: 119043.53
GET: 119026.39
GET: 119098.45
GET: 119104.02
GET: 119005.09
GET: 118998.45
GET: 118939.66
GET: 118895.07
GET: 118783.71
GET: 118765.14
GET: 118831.54
GET: 118824.06
GET: 118814.59
GET: 118791.21
GET: 118805.03
GET: 118850.05
GET: 118777.31
GET: 118839.59
GET: 118924.25
GET: 118903.23
GET: 118879.30
GET: 118796.55
GET: 118778.75
GET: 118762.18
GET: 118607.54
GET: 118576.86
GET: 118573.73
GET: 118567.35
GET: 118560.85
GET: 118611.50
GET: 118698.42
GET: 118667.55
GET: 118722.78
GET: 118641.13
GET: 118670.29
GET: 118696.55
GET: 118733.11
GET: 118767.28
GET: 118751.36
GET: 118763.34
GET: 118710.19
GET: 118728.65
GET: 118740.41
GET: 118668.45
GET: 118664.77
GET: 118542.37
GET: 118472.70
GET: 118411.16
GET: 118311.52
GET: 118228.55
GET: 118192.85
GET: 118099.05
GET: 118108.41
GET: 118017.80
GET: 117898.54
GET: 117815.63
GET: 117790.41
GET: 117822.70
GET: 117783.10
GET: 117719.93
GET: 117661.86
GET: 117552.59
GET: 117464.85
GET: 117400.38
GET: 117379.05
GET: 117283.58
GET: 117184.45
GET: 117097.90
GET: 117036.73
GET: 116999.90
GET: 116905.11
GET: 116819.80
GET: 116866.09
GET: 116746.59
GET: 116689.74
GET: 116675.48
GET: 116613.73
GET: 116536.60
GET: 116493.95
GET: 116431.13
GET: 116399.89
GET: 116379.70
GET: 116335.81
GET: 116259.18
GET: 116246.72
GET: 116203.27
GET: 116166.46
GET: 116121.95
GET: 116148.45
GET: 116101.63
GET: 116108.23
GET: 116040.25
GET: 115990.45
GET: 115906.08
GET: 115908.09
GET: 115888.23
GET: 115868.74
GET: 115867.59
GET: 115825.95
GET: 115782.62
GET: 115724.54
GET: 115620.75
GET: 115614.13
GET: 115608.01
GET: 115535.41
GET: 115406.90
GET: 115347.20
GET: 115314.25
GET: 115273.20
GET: 115209.99
GET: 115231.78
GET: 115207.41
GET: 115241.71
GET: 115198.37
GET: 115137.55
GET: 115084.64
GET: 115025.70
GET: 115148.52
GET: 115205.59
GET: 115263.65
GET: 115330.96
GET: 115351.48
GET: 115391.83
GET: 115479.77
GET: 115511.08
GET: 115628.91
GET: 115650.23
GET: 115705.45
GET: 115793.22
GET: 115808.32
GET: 115746.88
GET: 115784.38
GET: 115758.31
GET: 115688.80
GET: 115686.44
GET: 115691.38
GET: 115716.48
GET: 115727.22
GET: 115744.06
GET: 115822.88
GET: 115908.15
GET: 116000.80
GET: 116098.98
GET: 116188.45
GET: 116202.96
GET: 116208.76
GET: 116205.95
GET: 116258.75
GET: 116327.39
GET: 116370.33
GET: 116407.09
GET: 116344.20
GET: 116302.27
GET: 116228.90
GET: 116236.02
GET: 116186.30
GET: 116165.55
GET: 116080.74
GET: 116039.75
GET: 115970.52
GET: 115911.16
GET: 115853.79
GET: 115819.06
GET: 115769.72
GET: 115726.34
GET: 115719.67
GET: 115675.72
GET: 115624.84
GET: 115672.64
GET: 115730.38
GET: 115764.63
GET: 115785.77
GET: 115790.07
GET: 115783.90
GET: 115823.76
GET: 115838.62
GET: 115913.05
GET: 115941.91
GET: 116001.62
GET: 116025.60
GET: 116066.23
GET: 116143.83
GET: 116200.85
GET: 116212.80
GET: 116237.66
GET: 116211.22
GET: 116255.19
GET: 116315.20
GET: 116401.80
GET: 116479.02
GET: 116557.02
GET: 116598.30
GET: 116634.52
GET: 116639.73
GET: 116678.11
GET: 116734.73
GET: 116826.09
GET: 116856.84
GET: 116880.65
GET: 116956.38
GET: 116936.77
GET: 116942.06
GET: 116941.55
GET: 116939.24
GET: 116995.16
GET: 116998.77
GET: 117035.21
GET: 117050.14
GET: 117048.33
GET: 117011.61
GET: 116944.42
GET: 116866.96
GET: 116833.62
GET: 116808.05
GET: 116757.48
GET: 116669.21
GET: 116700.02
GET: 116655.58
GET: 116631.16
GET: 116545.38
GET: 116469.33
GET: 116391.28
GET: 116390.08
GET: 116350.55
GET: 116327.09
GET: 116285.88
GET: 116303.26
GET: 116301.17
GET: 116241.75
GET: 116217.17
GET: 116179.70
GET: 116133.49
GET: 116107.52
GET: 116065.16
GET: 116020.17
GET: 115956.22
GET: 115936.40
GET: 115934.78
GET: 115879.46
GET: 115836.34
GET: 115807.26
GET: 115786.23
GET: 115756.62
GET: 115733.76
GET: 115742.48
GET: 115749.20
GET: 115676.16
GET: 115636.36
GET: 115608.59
GET: 115638.77
GET: 115708.68
GET: 115758.86
GET: 115784.12
GET: 115801.12
GET: 115882.68
GET: 115914.14
GET: 115924.62
GET: 115941.35
GET: 115951.86
GET: 115953.77
GET: 115997.31
GET: 116049.91
GET: 115994.47
GET: 116013.56
GET: 115929.15
GET: 115930.75
GET: 115893.98
GET: 115843.09
GET: 115877.48
GET: 115832.39
GET: 115841.17
GET: 115806.39
GET: 115753.31
GET: 115759.53
GET: 115793.71
GET: 115793.95
GET: 115746.52
GET: 115678.08
GET: 115627.61
GET: 115597.43
GET: 115550.23
GET: 115483.22
GET: 115396.05
GET: 115389.77
GET: 115388.18
GET: 115297.59
GET: 115249.54
GET: 115207.55
GET: 115162.81
GET: 115106.55
GET: 115098.16
GET: 115012.01
GET: 114943.88
GET: 114905.12
GET: 114861.54
GET: 114810.16
GET: 114777.57
GET: 114788.91
GET: 114819.85
GET: 114763.57
GET: 114718.81
GET: 114660.09
GET: 114614.90
GET: 114635.02
GET: 114583.10
GET: 114531.10
GET: 114519.01
GET: 114538.85
GET: 114597.96
GET: 114653.67
GET: 114692.07
GET: 114697.97
GET: 114750.16
GET: 114769.99
GET: 114822.25
GET: 114862.91
GET: 114871.27
GET: 114846.88
GET: 114818.85
GET: 114782.86
GET: 114787.93
GET: 114755.98
GET: 114734.34
GET: 114696.91
GET: 114631.71
GET: 114597.41
GET: 114565.24
GET: 114545.82
GET: 114554.66
GET: 114564.82
GET: 114585.32
GET: 114563.38
GET: 114574.75
GET: 114600.94
GET: 114650.71
GET: 114721.77
GET: 114795.75
GET: 114825.80
GET: 114867.27
GET: 114931.91
GET: 114946.52
GET: 114961.12
GET: 114954.30
GET: 114898.73
GET: 114846.49
GET: 114815.69
GET: 114787.87
GET: 114788.52
GET: 114732.70
GET: 114721.45
GET: 114723.22
GET: 114678.49
GET: 114681.21
GET: 114705.31
GET: 114647.21
GET: 114563.48
GET: 114526.87
GET: 114482.38
GET: 114486.77
GET: 114458.21
GET: 114436.79
GET: 114474.12
GET: 114458.90
GET: 114409.36
GET: 114431.97
GET: 114427.60
GET: 114529.34
GET: 114497.10
GET: 114410.91
GET: 114402.61
GET: 114332.85
GET: 114285.70
GET: 114273.16
GET: 114272.97
GET: 114291.79
GET: 114294.99
GET: 114275.30
GET: 114232.12
GET: 114180.61
GET: 114158.62
GET: 114245.49
GET: 114270.02
====== GET ======
  20000048 requests completed in 174.96 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.54% <= 0.2 milliseconds
5.49% <= 0.3 milliseconds
11.41% <= 0.4 milliseconds
18.62% <= 0.5 milliseconds
25.31% <= 0.6 milliseconds
31.33% <= 0.7 milliseconds
35.85% <= 0.8 milliseconds
39.72% <= 0.9 milliseconds
43.19% <= 1.0 milliseconds
46.41% <= 1.1 milliseconds
49.41% <= 1.2 milliseconds
52.30% <= 1.3 milliseconds
55.01% <= 1.4 milliseconds
57.54% <= 1.5 milliseconds
59.96% <= 1.6 milliseconds
62.26% <= 1.7 milliseconds
64.41% <= 1.8 milliseconds
66.47% <= 1.9 milliseconds
68.37% <= 2 milliseconds
81.96% <= 3 milliseconds
89.02% <= 4 milliseconds
92.88% <= 5 milliseconds
95.13% <= 6 milliseconds
96.55% <= 7 milliseconds
97.48% <= 8 milliseconds
98.08% <= 9 milliseconds
98.52% <= 10 milliseconds
98.83% <= 11 milliseconds
99.08% <= 12 milliseconds
99.26% <= 13 milliseconds
99.39% <= 14 milliseconds
99.49% <= 15 milliseconds
99.58% <= 16 milliseconds
99.64% <= 17 milliseconds
99.70% <= 18 milliseconds
99.74% <= 19 milliseconds
99.79% <= 20 milliseconds
99.81% <= 21 milliseconds
99.84% <= 22 milliseconds
99.86% <= 23 milliseconds
99.88% <= 24 milliseconds
99.90% <= 25 milliseconds
99.92% <= 26 milliseconds
99.93% <= 27 milliseconds
99.94% <= 28 milliseconds
99.95% <= 29 milliseconds
99.96% <= 30 milliseconds
99.97% <= 31 milliseconds
99.97% <= 32 milliseconds
99.97% <= 33 milliseconds
99.97% <= 34 milliseconds
99.98% <= 35 milliseconds
99.98% <= 36 milliseconds
99.98% <= 37 milliseconds
99.98% <= 38 milliseconds
99.98% <= 39 milliseconds
99.99% <= 40 milliseconds
99.99% <= 41 milliseconds
99.99% <= 42 milliseconds
99.99% <= 43 milliseconds
99.99% <= 44 milliseconds
99.99% <= 45 milliseconds
99.99% <= 46 milliseconds
99.99% <= 47 milliseconds
99.99% <= 48 milliseconds
99.99% <= 55 milliseconds
99.99% <= 56 milliseconds
100.00% <= 60 milliseconds
100.00% <= 62 milliseconds
100.00% <= 65 milliseconds
100.00% <= 66 milliseconds
100.00% <= 73 milliseconds
100.00% <= 75 milliseconds
100.00% <= 79 milliseconds
100.00% <= 79 milliseconds
114311.46 requests per second


