2023-11-24 11:57:11
GET: -nan
GET: 102048.00
GET: 107696.00
GET: 109226.66
GET: 105248.00
GET: 98464.48
GET: 97415.84
GET: 96529.38
GET: 92393.41
GET: 92577.01
GET: 92791.05
GET: 94724.30
GET: 91516.48
GET: 90301.17
GET: 91641.55
GET: 92343.10
GET: 93640.35
GET: 94081.80
GET: 93346.35
GET: 93975.59
GET: 93777.77
GET: 94303.77
GET: 94199.45
GET: 95082.53
GET: 94361.37
GET: 94577.77
GET: 94497.16
GET: 95232.68
GET: 95787.64
GET: 95929.46
GET: 94612.68
GET: 94863.62
GET: 95079.91
GET: 95077.74
GET: 95259.05
GET: 94542.12
GET: 95098.58
GET: 94867.14
GET: 94288.59
GET: 94738.27
GET: 94788.16
GET: 94795.09
GET: 94647.38
GET: 94324.91
GET: 94507.35
GET: 94504.97
GET: 93986.45
GET: 94470.72
GET: 94453.93
GET: 94700.69
GET: 95144.06
GET: 95217.23
GET: 94856.09
GET: 94504.34
GET: 94356.20
GET: 94497.63
GET: 94817.84
GET: 94939.50
GET: 94350.39
GET: 94253.16
GET: 94341.50
GET: 93926.38
GET: 94414.02
GET: 94530.09
GET: 94767.80
GET: 94596.42
GET: 94682.09
GET: 95024.40
GET: 95224.88
GET: 95124.95
GET: 94897.26
GET: 95042.43
GET: 95173.41
GET: 95347.23
GET: 95131.88
GET: 95009.21
GET: 94939.80
GET: 94900.02
GET: 95003.43
GET: 95142.66
GET: 94577.23
GET: 94277.12
GET: 94280.95
GET: 94432.20
GET: 94242.68
GET: 94333.28
GET: 94414.72
GET: 94698.20
GET: 94548.06
GET: 95791.31
GET: 96246.84
GET: 96304.55
GET: 96325.56
GET: 96540.32
GET: 96549.18
GET: 97122.00
GET: 97028.71
GET: 97543.33
GET: 97873.62
GET: 97835.67
GET: 97845.78
GET: 98021.52
GET: 98159.66
GET: 98087.20
GET: 98231.27
GET: 98642.31
GET: 98784.66
GET: 98861.73
GET: 98775.77
GET: 98804.78
GET: 99056.52
GET: 98829.17
GET: 98913.24
GET: 99031.36
GET: 98906.38
GET: 98911.72
GET: 98792.41
GET: 98857.08
GET: 99004.63
GET: 99169.22
GET: 99239.80
GET: 99335.77
GET: 99263.66
GET: 99357.48
GET: 99439.88
GET: 99524.78
GET: 99565.59
GET: 99957.22
GET: 99871.41
GET: 100130.58
GET: 100506.00
GET: 100499.70
GET: 100544.35
GET: 100501.33
GET: 100466.34
GET: 100474.97
GET: 100603.33
GET: 100860.19
GET: 100786.10
GET: 100941.19
GET: 101098.17
GET: 101519.30
GET: 101545.98
GET: 101764.96
GET: 101709.43
GET: 101653.56
GET: 101549.64
GET: 101672.41
GET: 101778.24
GET: 101879.66
GET: 102172.12
GET: 102240.95
GET: 102235.89
GET: 102258.90
GET: 102416.44
GET: 102415.09
GET: 102294.11
GET: 102155.53
GET: 102167.80
GET: 102233.99
GET: 102333.11
GET: 102336.11
GET: 102401.81
GET: 102378.47
GET: 102251.13
GET: 102108.43
GET: 102270.96
GET: 102181.20
GET: 102320.24
GET: 102209.89
GET: 102068.67
GET: 102152.52
GET: 101982.07
GET: 101997.60
GET: 101977.31
GET: 102040.19
GET: 102085.63
GET: 102039.19
GET: 101938.14
GET: 101885.54
GET: 101871.34
GET: 101920.35
GET: 101923.38
GET: 101789.92
GET: 101591.37
GET: 101434.70
GET: 101442.46
GET: 101385.87
GET: 101494.98
GET: 101527.38
GET: 101507.41
GET: 101333.45
GET: 101470.18
GET: 101400.94
GET: 101334.59
GET: 101366.44
GET: 101560.49
GET: 101579.02
GET: 101635.23
GET: 101855.37
GET: 101836.20
GET: 101996.70
GET: 101944.28
GET: 101910.79
GET: 101701.96
GET: 101637.89
GET: 101565.14
GET: 101608.67
GET: 101495.76
GET: 101439.40
GET: 101498.56
GET: 101453.63
GET: 101429.46
GET: 101334.88
GET: 101273.13
GET: 101207.01
GET: 101135.48
GET: 101001.95
GET: 100806.89
GET: 100755.08
GET: 100730.31
GET: 100751.15
GET: 100700.85
GET: 100639.42
GET: 100639.28
GET: 100684.00
GET: 100733.55
GET: 100663.63
GET: 100650.08
GET: 100531.76
GET: 100505.98
GET: 100477.66
GET: 100313.42
GET: 100331.14
GET: 100290.96
GET: 100155.98
GET: 100025.79
GET: 100055.87
GET: 100230.44
GET: 100100.97
GET: 100099.28
GET: 100209.41
GET: 100206.30
GET: 100052.98
GET: 100037.96
GET: 100041.26
GET: 100173.13
GET: 100279.12
GET: 100238.00
GET: 100187.79
GET: 100101.12
GET: 100026.66
GET: 99926.80
GET: 99854.15
GET: 99891.88
GET: 99936.51
GET: 99882.36
GET: 99914.75
GET: 99839.58
GET: 99810.99
GET: 99715.91
GET: 99693.39
GET: 99624.92
GET: 99677.21
GET: 99639.80
GET: 99719.84
GET: 99729.36
GET: 99681.57
GET: 99605.19
GET: 99574.60
GET: 99688.53
GET: 99666.59
GET: 99688.35
GET: 99768.80
GET: 99784.39
GET: 99893.05
GET: 99923.75
GET: 99898.78
GET: 99951.76
GET: 99877.19
GET: 99850.25
GET: 99903.40
GET: 99856.86
GET: 99856.69
GET: 99843.70
GET: 99844.65
GET: 99855.13
GET: 99822.03
GET: 99834.95
GET: 99840.23
GET: 99784.95
GET: 99914.84
GET: 99955.71
GET: 99914.55
GET: 99857.55
GET: 99851.97
GET: 99847.40
GET: 99888.66
GET: 99941.22
GET: 99935.33
GET: 99924.26
GET: 100037.93
GET: 100190.87
GET: 100313.70
GET: 100374.34
GET: 100424.57
GET: 100456.79
GET: 100542.83
GET: 100611.76
GET: 100625.77
GET: 100653.73
GET: 100616.83
GET: 100647.40
GET: 100656.45
GET: 100681.52
GET: 100609.26
GET: 100617.23
GET: 100716.84
GET: 100756.18
GET: 100734.03
GET: 100708.09
GET: 100727.88
GET: 100831.41
GET: 100722.97
GET: 100747.26
GET: 100654.09
GET: 100665.83
GET: 100644.08
GET: 100707.73
GET: 100643.56
GET: 100688.25
GET: 100581.71
GET: 100697.05
GET: 100732.48
GET: 100720.38
GET: 100672.02
GET: 100633.39
GET: 100648.98
GET: 100645.17
GET: 100585.54
GET: 100584.29
GET: 100561.80
GET: 100618.35
GET: 100611.62
GET: 100562.19
GET: 100582.30
GET: 100577.30
GET: 100606.51
GET: 100674.58
GET: 100604.69
GET: 100541.30
GET: 100437.85
GET: 100443.73
GET: 100369.88
GET: 100276.55
GET: 100280.72
GET: 100286.21
GET: 100273.70
GET: 100285.59
GET: 100342.85
GET: 100384.45
GET: 100399.30
GET: 100369.71
GET: 100314.09
GET: 100305.34
GET: 100275.29
GET: 100269.88
GET: 100212.01
GET: 100229.91
GET: 100235.37
GET: 100172.12
GET: 100155.57
GET: 100148.50
GET: 100064.52
GET: 100095.02
GET: 100102.17
GET: 100105.72
GET: 100075.34
GET: 100082.57
GET: 100073.52
GET: 100032.84
GET: 100000.88
GET: 100029.16
GET: 100035.83
GET: 100016.37
GET: 99993.78
GET: 99986.85
GET: 99985.32
GET: 99938.68
GET: 99890.48
GET: 99918.34
GET: 99934.91
GET: 99874.76
GET: 99863.43
GET: 99817.61
GET: 99821.62
GET: 99857.05
GET: 99829.27
GET: 99759.30
GET: 99793.10
GET: 99806.86
GET: 99854.29
GET: 99879.81
GET: 99871.88
GET: 99834.04
GET: 99793.63
GET: 99851.99
GET: 99826.24
GET: 99800.59
GET: 99836.34
GET: 99801.55
GET: 99826.19
GET: 99866.34
GET: 99862.80
GET: 99864.98
GET: 99936.37
GET: 99944.62
GET: 99881.38
GET: 99868.53
GET: 99801.59
GET: 99808.10
GET: 99854.38
GET: 99811.28
GET: 99790.95
GET: 99760.20
GET: 99681.93
GET: 99652.45
GET: 99714.17
GET: 99710.85
GET: 99737.45
GET: 99740.66
GET: 99724.75
GET: 99704.59
GET: 99645.18
GET: 99605.57
GET: 99592.36
GET: 99546.86
GET: 99488.65
GET: 99483.55
GET: 99440.64
GET: 99505.21
GET: 99543.09
GET: 99539.01
GET: 99588.38
GET: 99650.77
GET: 99623.81
GET: 99654.12
GET: 99606.15
GET: 99583.73
GET: 99623.58
GET: 99605.91
GET: 99632.78
GET: 99640.27
GET: 99624.66
GET: 99666.07
GET: 99555.18
GET: 99512.01
GET: 99518.17
GET: 99582.32
GET: 99677.12
GET: 99698.12
GET: 99768.77
GET: 99671.70
GET: 99740.97
GET: 99699.01
GET: 99653.08
GET: 99584.80
GET: 99553.62
GET: 99553.15
GET: 99536.02
GET: 99549.02
GET: 99528.24
GET: 99534.10
GET: 99571.27
GET: 99558.24
GET: 99616.65
GET: 99672.33
GET: 99673.55
GET: 99697.91
GET: 99728.44
GET: 99722.30
GET: 99714.42
GET: 99674.25
GET: 99639.56
GET: 99609.57
GET: 99570.39
GET: 99593.69
GET: 99591.71
GET: 99665.03
GET: 99668.48
GET: 99674.70
GET: 99631.96
GET: 99634.78
GET: 99617.73
GET: 99619.35
GET: 99595.41
GET: 99621.27
GET: 99758.01
GET: 99773.93
GET: 99827.88
GET: 99852.08
GET: 99837.23
GET: 99853.69
GET: 99817.52
GET: 99889.07
GET: 99884.90
GET: 99831.49
GET: 99834.84
GET: 99806.21
GET: 99803.96
GET: 99793.27
GET: 99794.06
GET: 99757.79
GET: 99713.76
GET: 99729.02
GET: 99781.64
GET: 99748.92
GET: 99736.27
GET: 99704.15
GET: 99688.30
GET: 99640.37
GET: 99656.70
GET: 99639.52
GET: 99614.95
GET: 99665.95
GET: 99655.07
GET: 99622.62
GET: 99625.07
GET: 99653.44
GET: 99693.33
GET: 99716.41
GET: 99715.38
GET: 99795.52
GET: 99929.98
GET: 99953.16
GET: 99964.16
GET: 100046.52
GET: 100040.85
GET: 100067.04
GET: 100048.89
GET: 100060.55
GET: 100031.70
GET: 100017.00
GET: 100031.88
GET: 100061.59
GET: 100043.64
GET: 100006.07
GET: 100036.78
GET: 99998.72
GET: 99983.36
GET: 99963.27
GET: 100002.46
GET: 100056.23
GET: 100073.57
GET: 100122.94
GET: 100193.62
GET: 100249.02
GET: 100247.34
GET: 100291.77
GET: 100284.73
GET: 100323.23
GET: 100351.35
GET: 100431.19
GET: 100417.79
GET: 100422.07
GET: 100436.11
GET: 100416.08
GET: 100446.34
GET: 100464.64
GET: 100465.31
GET: 100475.18
GET: 100473.12
GET: 100511.32
GET: 100478.12
GET: 100496.40
GET: 100509.23
GET: 100489.58
GET: 100478.90
GET: 100443.84
GET: 100442.16
GET: 100400.80
GET: 100382.77
GET: 100406.50
GET: 100440.37
GET: 100509.08
GET: 100478.34
GET: 100480.62
GET: 100422.95
GET: 100439.56
GET: 100499.89
GET: 100490.23
GET: 100499.03
GET: 100536.33
GET: 100574.63
GET: 100551.46
GET: 100610.08
GET: 100614.23
GET: 100619.08
GET: 100593.84
GET: 100602.38
GET: 100568.05
GET: 100632.87
GET: 100619.11
GET: 100641.94
GET: 100638.60
GET: 100632.48
GET: 100671.91
GET: 100632.04
GET: 100687.91
GET: 100682.68
GET: 100679.01
GET: 100658.44
GET: 100731.74
GET: 100714.78
GET: 100704.95
GET: 100752.70
GET: 100871.16
GET: 100873.57
GET: 100881.27
GET: 100899.70
GET: 100861.95
GET: 100895.62
GET: 100897.26
GET: 100926.41
GET: 100918.97
GET: 100884.31
GET: 100891.66
GET: 100900.98
GET: 100882.63
GET: 100858.22
GET: 100884.24
GET: 100871.93
GET: 100860.37
GET: 100831.69
GET: 100788.94
GET: 100775.15
GET: 100769.29
GET: 100756.67
GET: 100773.26
GET: 100755.28
GET: 100830.34
GET: 100863.91
GET: 100888.10
GET: 100896.59
GET: 100932.59
GET: 100906.03
GET: 100895.90
GET: 100921.50
GET: 100921.82
GET: 100987.23
GET: 101038.10
GET: 101098.62
GET: 101119.73
GET: 101177.68
GET: 101136.45
GET: 101142.88
GET: 101147.61
GET: 101160.15
GET: 101140.75
GET: 101095.29
GET: 101078.74
GET: 101045.66
GET: 101066.91
GET: 101019.95
GET: 101030.81
GET: 101038.09
GET: 101068.83
GET: 101096.41
GET: 101063.02
GET: 101087.74
GET: 101068.96
GET: 101049.27
GET: 101082.75
GET: 101066.68
GET: 101051.86
GET: 101108.75
GET: 101091.65
GET: 101080.05
GET: 101094.64
GET: 101099.09
GET: 101174.06
GET: 101239.91
GET: 101238.25
GET: 101205.87
GET: 101203.92
GET: 101204.41
GET: 101215.03
GET: 101225.95
GET: 101211.35
GET: 101251.00
GET: 101242.91
GET: 101243.15
GET: 101235.20
GET: 101209.24
GET: 101249.68
GET: 101243.51
GET: 101233.25
GET: 101252.44
GET: 101257.70
GET: 101266.36
GET: 101320.30
GET: 101359.62
GET: 101335.80
GET: 101294.68
GET: 101296.39
GET: 101319.20
GET: 101390.48
GET: 101405.64
GET: 101417.62
GET: 101397.35
GET: 101389.82
GET: 101365.12
GET: 101365.27
GET: 101361.92
GET: 101398.14
GET: 101425.94
GET: 101511.76
GET: 101564.58
GET: 101600.91
GET: 101660.46
GET: 101756.66
GET: 101775.77
GET: 101773.11
GET: 101737.37
GET: 101748.09
GET: 101774.81
GET: 101792.05
GET: 101811.96
GET: 101856.30
GET: 101882.93
GET: 101842.36
GET: 101844.61
GET: 101875.63
GET: 101905.19
GET: 101897.53
GET: 101817.74
GET: 101743.57
GET: 101703.67
GET: 101681.54
GET: 101754.55
GET: 101867.35
GET: 101884.13
GET: 101923.29
GET: 102033.73
GET: 102136.98
GET: 102259.30
GET: 102376.26
GET: 102482.44
GET: 102513.60
GET: 102569.38
GET: 102633.70
GET: 102712.55
GET: 102754.08
GET: 102750.78
GET: 102720.51
GET: 102708.05
GET: 102783.22
GET: 102836.46
GET: 102916.73
GET: 102975.28
GET: 102984.67
GET: 102960.02
GET: 103049.04
GET: 103190.98
GET: 103355.08
GET: 103456.70
GET: 103555.71
GET: 103639.76
GET: 103742.65
====== GET ======
  20000000 requests completed in 192.75 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.14% <= 0.2 milliseconds
5.72% <= 0.3 milliseconds
11.95% <= 0.4 milliseconds
17.57% <= 0.5 milliseconds
23.28% <= 0.6 milliseconds
28.23% <= 0.7 milliseconds
32.87% <= 0.8 milliseconds
36.74% <= 0.9 milliseconds
40.13% <= 1.0 milliseconds
43.27% <= 1.1 milliseconds
46.28% <= 1.2 milliseconds
49.18% <= 1.3 milliseconds
51.98% <= 1.4 milliseconds
54.64% <= 1.5 milliseconds
57.13% <= 1.6 milliseconds
59.46% <= 1.7 milliseconds
61.70% <= 1.8 milliseconds
63.80% <= 1.9 milliseconds
65.82% <= 2 milliseconds
80.45% <= 3 milliseconds
88.06% <= 4 milliseconds
92.21% <= 5 milliseconds
94.68% <= 6 milliseconds
96.23% <= 7 milliseconds
97.20% <= 8 milliseconds
97.87% <= 9 milliseconds
98.36% <= 10 milliseconds
98.70% <= 11 milliseconds
98.93% <= 12 milliseconds
99.11% <= 13 milliseconds
99.26% <= 14 milliseconds
99.39% <= 15 milliseconds
99.48% <= 16 milliseconds
99.56% <= 17 milliseconds
99.63% <= 18 milliseconds
99.67% <= 19 milliseconds
99.72% <= 20 milliseconds
99.77% <= 21 milliseconds
99.80% <= 22 milliseconds
99.83% <= 23 milliseconds
99.85% <= 24 milliseconds
99.88% <= 25 milliseconds
99.90% <= 26 milliseconds
99.91% <= 27 milliseconds
99.93% <= 28 milliseconds
99.93% <= 29 milliseconds
99.94% <= 30 milliseconds
99.95% <= 31 milliseconds
99.96% <= 32 milliseconds
99.96% <= 33 milliseconds
99.97% <= 34 milliseconds
99.97% <= 35 milliseconds
99.97% <= 36 milliseconds
99.98% <= 37 milliseconds
99.98% <= 38 milliseconds
99.98% <= 39 milliseconds
99.98% <= 40 milliseconds
99.98% <= 41 milliseconds
99.99% <= 42 milliseconds
99.99% <= 43 milliseconds
99.99% <= 44 milliseconds
99.99% <= 45 milliseconds
99.99% <= 46 milliseconds
99.99% <= 47 milliseconds
99.99% <= 49 milliseconds
100.00% <= 51 milliseconds
100.00% <= 56 milliseconds
100.00% <= 66 milliseconds
100.00% <= 79 milliseconds
100.00% <= 81 milliseconds
100.00% <= 83 milliseconds
100.00% <= 84 milliseconds
100.00% <= 84 milliseconds
103760.80 requests per second


