2023-11-24 11:57:11
GET: -nan
GET: 69258.97
GET: 81884.23
GET: 85283.62
GET: 86681.31
GET: 85908.87
GET: 87952.03
GET: 89402.62
GET: 91190.41
GET: 89552.39
GET: 85972.82
GET: 84921.51
GET: 85646.90
GET: 87554.73
GET: 87170.99
GET: 87541.70
GET: 88139.90
GET: 89970.84
GET: 90547.06
GET: 90647.03
GET: 91956.83
GET: 93123.71
GET: 93312.50
GET: 93760.16
GET: 94461.02
GET: 95547.16
GET: 96793.23
GET: 96171.57
GET: 97052.06
GET: 96856.08
GET: 96538.94
GET: 96737.77
GET: 95579.73
GET: 97064.86
GET: 97495.71
GET: 97227.61
GET: 97345.31
GET: 98158.66
GET: 97972.46
GET: 98741.22
GET: 98652.82
GET: 98872.40
GET: 99049.07
GET: 98839.31
GET: 99322.45
GET: 99290.61
GET: 98792.64
GET: 99553.97
GET: 100604.53
GET: 100533.70
GET: 100739.04
GET: 100885.58
GET: 100545.97
GET: 100527.24
GET: 100839.41
GET: 100342.51
GET: 100432.27
GET: 100629.34
GET: 100753.49
GET: 101468.38
GET: 101713.98
GET: 102315.12
GET: 102321.13
GET: 102508.05
GET: 102345.06
GET: 102675.44
GET: 102685.31
GET: 103098.45
GET: 103188.30
GET: 103031.91
GET: 103135.66
GET: 102819.65
GET: 102782.44
GET: 102889.79
GET: 102979.91
GET: 102903.59
GET: 103226.66
GET: 103260.77
GET: 103736.94
GET: 103658.97
GET: 103543.38
GET: 103459.04
GET: 103091.06
GET: 103391.96
GET: 103474.53
GET: 103367.15
GET: 103359.63
GET: 103477.20
GET: 103727.60
GET: 104015.45
GET: 103703.46
GET: 104037.94
GET: 104055.59
GET: 104159.14
GET: 104037.75
GET: 104206.27
GET: 104006.66
GET: 103937.39
GET: 103826.48
GET: 103892.48
GET: 103947.28
GET: 103769.36
GET: 104170.12
GET: 103972.08
GET: 103938.55
GET: 103840.83
GET: 103515.54
GET: 103343.86
GET: 103330.72
GET: 103329.23
GET: 103131.67
GET: 103181.80
GET: 103131.46
GET: 103042.05
GET: 103096.69
GET: 103008.68
GET: 102986.64
GET: 102753.05
GET: 102613.05
GET: 102669.30
GET: 102388.28
GET: 102354.31
GET: 102481.45
GET: 102545.22
GET: 102500.50
GET: 102380.57
GET: 102425.62
GET: 102218.14
GET: 102035.32
GET: 101934.85
GET: 101836.16
GET: 102023.66
GET: 102116.32
GET: 102081.69
GET: 102043.52
GET: 102012.13
GET: 101839.08
GET: 101673.80
GET: 101471.16
GET: 101408.49
GET: 101413.89
GET: 101190.22
GET: 101191.75
GET: 101325.59
GET: 101400.93
GET: 101235.95
GET: 101298.62
GET: 101126.80
GET: 101085.73
GET: 101017.56
GET: 101067.45
GET: 100943.88
GET: 100992.53
GET: 100903.99
GET: 100774.89
GET: 100801.23
GET: 100748.38
GET: 100657.74
GET: 100650.52
GET: 100600.26
GET: 100606.70
GET: 100640.81
GET: 100515.08
GET: 100716.53
GET: 100637.05
GET: 100858.19
GET: 100897.26
GET: 100954.75
GET: 100889.55
GET: 100865.98
GET: 100793.12
GET: 100868.76
GET: 100911.97
GET: 100848.05
GET: 100769.80
GET: 100741.16
GET: 100639.10
GET: 100518.10
GET: 100374.87
GET: 100288.08
GET: 100230.80
GET: 100233.41
GET: 100281.49
GET: 100165.88
GET: 100170.19
GET: 100140.63
GET: 100112.07
GET: 99925.23
GET: 99976.14
GET: 99977.54
GET: 99851.16
GET: 99885.70
GET: 99812.14
GET: 99720.16
GET: 99757.39
GET: 99774.84
GET: 99749.11
GET: 99706.63
GET: 99653.62
GET: 99554.05
GET: 99499.30
GET: 99588.02
GET: 99560.51
GET: 99547.88
GET: 99533.98
GET: 99497.16
GET: 99487.44
GET: 99508.41
GET: 99542.08
GET: 99283.27
GET: 99150.78
GET: 99226.51
GET: 99098.55
GET: 99105.47
GET: 98910.05
GET: 98894.77
GET: 98737.75
GET: 98630.87
GET: 98647.53
GET: 98578.91
GET: 98647.56
GET: 98577.54
GET: 98625.78
GET: 98595.14
GET: 98603.67
GET: 98556.11
GET: 98502.12
GET: 98507.82
GET: 98365.17
GET: 98366.30
GET: 98465.95
GET: 98469.12
GET: 98410.58
GET: 98458.85
GET: 98495.02
GET: 98503.04
GET: 98413.74
GET: 98256.91
GET: 98319.07
GET: 98311.00
GET: 98383.05
GET: 98333.98
GET: 98381.84
GET: 98388.35
GET: 98373.62
GET: 98539.33
GET: 98502.17
GET: 98403.84
GET: 98479.51
GET: 98440.60
GET: 98274.95
GET: 98282.95
GET: 98352.45
GET: 98399.71
GET: 98285.17
GET: 98269.74
GET: 98297.81
GET: 98259.20
GET: 98135.02
GET: 98234.02
GET: 98207.91
GET: 98123.00
GET: 98067.88
GET: 98085.95
GET: 98056.08
GET: 98126.61
GET: 98025.19
GET: 97973.28
GET: 98038.57
GET: 98054.71
GET: 98000.09
GET: 98022.98
GET: 98044.31
GET: 98077.09
GET: 98103.38
GET: 98166.43
GET: 98133.39
GET: 98222.14
GET: 98311.48
GET: 98307.56
GET: 98409.44
GET: 98510.13
GET: 98500.58
GET: 98555.93
GET: 98494.37
GET: 98515.42
GET: 98435.43
GET: 98502.13
GET: 98532.70
GET: 98456.70
GET: 98374.27
GET: 98428.06
GET: 98413.22
GET: 98418.62
GET: 98360.05
GET: 98316.37
GET: 98480.28
GET: 98464.37
GET: 98394.33
GET: 98489.13
GET: 98459.79
GET: 98421.54
GET: 98479.05
GET: 98479.42
GET: 98496.34
GET: 98429.66
GET: 98414.50
GET: 98442.93
GET: 98467.65
GET: 98392.47
GET: 98336.09
GET: 98304.06
GET: 98352.94
GET: 98413.64
GET: 98451.19
GET: 98422.44
GET: 98379.25
GET: 98320.91
GET: 98354.97
GET: 98384.72
GET: 98397.52
GET: 98357.18
GET: 98355.53
GET: 98340.35
GET: 98396.28
GET: 98368.99
GET: 98375.75
GET: 98497.30
GET: 98452.65
GET: 98454.62
GET: 98392.42
GET: 98395.70
GET: 98397.98
GET: 98394.61
GET: 98429.40
GET: 98447.79
GET: 98397.26
GET: 98388.94
GET: 98419.55
GET: 98375.91
GET: 98491.52
GET: 98565.45
GET: 98572.77
GET: 98573.73
GET: 98562.74
GET: 98538.08
GET: 98552.22
GET: 98483.37
GET: 98464.11
GET: 98467.16
GET: 98529.93
GET: 98561.10
GET: 98629.45
GET: 98731.26
GET: 98690.82
GET: 98717.05
GET: 98760.77
GET: 98799.71
GET: 98946.09
GET: 99010.51
GET: 99120.66
GET: 99183.16
GET: 99154.84
GET: 99169.81
GET: 99193.83
GET: 99228.02
GET: 99199.09
GET: 99189.35
GET: 99244.66
GET: 99260.77
GET: 99317.69
GET: 99325.38
GET: 99314.84
GET: 99289.57
GET: 99280.82
GET: 99225.64
GET: 99200.49
GET: 99298.66
GET: 99283.72
GET: 99273.41
GET: 99271.38
GET: 99295.64
GET: 99314.35
GET: 99297.89
GET: 99363.27
GET: 99325.23
GET: 99332.76
GET: 99405.71
GET: 99427.05
GET: 99453.87
GET: 99485.50
GET: 99603.01
GET: 99662.54
GET: 99682.48
GET: 99660.73
GET: 99626.69
GET: 99612.41
GET: 99556.23
GET: 99524.76
GET: 99511.23
GET: 99542.81
GET: 99545.94
GET: 99579.84
GET: 99540.55
GET: 99505.68
GET: 99543.05
GET: 99529.08
GET: 99538.07
GET: 99568.66
GET: 99521.59
GET: 99638.19
GET: 99676.05
GET: 99698.52
GET: 99724.04
GET: 99713.61
GET: 99756.42
GET: 99800.49
GET: 99797.76
GET: 99777.06
GET: 99725.91
GET: 99755.73
GET: 99739.56
GET: 99709.75
GET: 99905.46
GET: 99925.17
GET: 99923.70
GET: 99851.46
GET: 99896.78
GET: 99925.24
GET: 99992.79
GET: 99948.70
GET: 100012.40
GET: 100070.11
GET: 100077.53
GET: 100091.17
GET: 100115.02
GET: 100059.48
GET: 100008.10
GET: 99992.14
GET: 99984.67
GET: 99995.51
GET: 100076.74
GET: 100083.65
GET: 100091.91
GET: 100039.84
GET: 99971.51
GET: 99962.98
GET: 99999.64
GET: 99961.62
GET: 99929.52
GET: 99907.49
GET: 99813.49
GET: 99791.64
GET: 99831.25
GET: 99913.48
GET: 99900.73
GET: 99845.34
GET: 99831.58
GET: 99840.99
GET: 99805.26
GET: 99775.79
GET: 99770.05
GET: 99730.40
GET: 99765.22
GET: 99759.17
GET: 99826.63
GET: 99894.59
GET: 99965.23
GET: 99972.98
GET: 100056.34
GET: 100101.08
GET: 100074.15
GET: 100065.88
GET: 100036.14
GET: 100022.64
GET: 99988.79
GET: 99932.83
GET: 99984.25
GET: 100064.88
GET: 100068.08
GET: 100031.03
GET: 100009.95
GET: 100000.70
GET: 100024.50
GET: 99978.55
GET: 99964.85
GET: 99959.84
GET: 99923.35
GET: 99884.38
GET: 99783.80
GET: 99759.77
GET: 99755.32
GET: 99729.18
GET: 99781.84
GET: 99814.01
GET: 99839.00
GET: 99905.77
GET: 99947.58
GET: 99891.97
GET: 99866.27
GET: 99968.97
GET: 99979.41
GET: 99976.72
GET: 100035.23
GET: 100099.16
GET: 100098.77
GET: 100056.03
GET: 100041.14
GET: 100037.35
GET: 99987.81
GET: 99982.77
GET: 99986.23
GET: 99922.98
GET: 99930.62
GET: 99937.36
GET: 99935.19
GET: 99900.95
GET: 99905.46
GET: 99905.12
GET: 99853.48
GET: 99818.09
GET: 99841.95
GET: 99888.90
GET: 99870.48
GET: 99862.62
GET: 99858.73
GET: 99903.99
GET: 99937.40
GET: 99929.91
GET: 99904.66
GET: 99899.36
GET: 99880.03
GET: 99908.91
GET: 99876.41
GET: 99880.10
GET: 99952.70
GET: 99933.51
GET: 99941.17
GET: 99945.44
GET: 99944.32
GET: 99916.42
GET: 99898.36
GET: 99917.09
GET: 99933.56
GET: 99925.95
GET: 99909.70
GET: 99862.16
GET: 99842.52
GET: 99820.81
GET: 99783.32
GET: 99761.96
GET: 99782.77
GET: 99823.32
GET: 99826.67
GET: 99844.09
GET: 99871.44
GET: 99943.55
GET: 99967.99
GET: 100024.52
GET: 100091.49
GET: 100129.16
GET: 100133.98
GET: 100199.41
GET: 100186.15
GET: 100173.58
GET: 100164.48
GET: 100110.03
GET: 100152.43
GET: 100146.88
GET: 100128.21
GET: 100133.01
GET: 100158.48
GET: 100132.99
GET: 100135.05
GET: 100116.30
GET: 100072.05
GET: 100103.72
GET: 100096.24
GET: 100167.82
GET: 100205.33
GET: 100162.05
GET: 100164.02
GET: 100183.14
GET: 100247.30
GET: 100242.16
GET: 100171.19
GET: 100187.55
GET: 100219.51
GET: 100212.14
GET: 100163.72
GET: 100171.02
GET: 100169.97
GET: 100263.02
GET: 100271.44
GET: 100272.97
GET: 100241.91
GET: 100237.27
GET: 100250.09
GET: 100270.20
GET: 100323.51
GET: 100400.66
GET: 100496.94
GET: 100529.02
GET: 100565.54
GET: 100646.93
GET: 100735.48
GET: 100827.27
GET: 100885.70
GET: 100931.41
GET: 101009.91
GET: 101057.73
GET: 101132.63
GET: 101218.50
GET: 101280.57
GET: 101275.45
GET: 101345.78
GET: 101398.59
GET: 101433.91
GET: 101525.95
GET: 101553.39
GET: 101607.38
GET: 101638.30
GET: 101708.34
GET: 101754.81
GET: 101813.15
GET: 101859.72
GET: 101888.34
GET: 101946.38
GET: 102017.97
GET: 102042.30
GET: 102077.20
GET: 102131.09
GET: 102142.36
GET: 102159.80
GET: 102235.99
GET: 102238.27
GET: 102263.95
GET: 102262.95
GET: 102301.31
GET: 102279.91
GET: 102320.61
GET: 102339.82
GET: 102334.70
GET: 102427.57
GET: 102488.00
GET: 102527.73
GET: 102558.24
GET: 102578.77
GET: 102619.55
GET: 102639.81
GET: 102687.72
GET: 102717.66
GET: 102724.66
GET: 102761.84
GET: 102773.04
GET: 102819.27
GET: 102780.77
GET: 102758.59
GET: 102751.47
GET: 102721.77
GET: 102675.80
GET: 102623.28
GET: 102571.05
GET: 102560.98
GET: 102564.49
GET: 102602.20
GET: 102613.20
GET: 102585.05
GET: 102575.30
GET: 102617.04
GET: 102615.53
GET: 102572.62
GET: 102690.79
GET: 102709.51
GET: 102664.52
GET: 102666.53
GET: 102625.28
GET: 102587.07
GET: 102612.53
GET: 102607.55
GET: 102613.87
GET: 102623.07
GET: 102622.23
GET: 102702.89
GET: 102706.41
GET: 102695.77
GET: 102741.88
GET: 102728.76
GET: 102790.79
GET: 102803.79
GET: 102779.49
GET: 102781.25
GET: 102797.30
GET: 102807.08
GET: 102799.33
GET: 102833.09
GET: 102903.96
GET: 102916.00
GET: 102874.24
GET: 102835.31
GET: 102840.63
GET: 102871.45
GET: 102897.27
GET: 102894.05
GET: 102854.22
GET: 102856.74
GET: 102869.52
GET: 102871.26
GET: 102865.32
GET: 102892.11
GET: 102991.78
GET: 102997.81
GET: 102975.35
GET: 102933.34
GET: 102897.65
GET: 102910.47
GET: 102947.77
GET: 102980.48
GET: 103025.78
GET: 103093.34
GET: 103212.55
GET: 103271.69
GET: 103370.76
GET: 103503.09
GET: 103646.34
GET: 103792.70
GET: 103865.44
GET: 103934.28
GET: 103877.55
GET: 103875.31
GET: 103887.27
GET: 103897.95
GET: 103896.87
GET: 103891.05
GET: 103821.37
GET: 103822.61
GET: 103825.41
GET: 103831.88
GET: 103880.77
GET: 103869.23
GET: 103830.83
GET: 103831.62
GET: 103881.84
GET: 103968.41
GET: 103982.80
GET: 104017.89
GET: 104093.20
GET: 104154.70
GET: 104195.62
GET: 104226.41
GET: 104199.15
GET: 104175.91
GET: 104219.62
GET: 104365.50
GET: 104567.17
GET: 104664.35
GET: 104791.23
GET: 104858.06
GET: 104915.47
GET: 104938.09
====== GET ======
  20000088 requests completed in 190.52 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.15% <= 0.2 milliseconds
4.85% <= 0.3 milliseconds
10.20% <= 0.4 milliseconds
15.10% <= 0.5 milliseconds
20.57% <= 0.6 milliseconds
25.90% <= 0.7 milliseconds
31.01% <= 0.8 milliseconds
35.40% <= 0.9 milliseconds
39.12% <= 1.0 milliseconds
42.43% <= 1.1 milliseconds
45.56% <= 1.2 milliseconds
48.57% <= 1.3 milliseconds
51.46% <= 1.4 milliseconds
54.22% <= 1.5 milliseconds
56.82% <= 1.6 milliseconds
59.27% <= 1.7 milliseconds
61.63% <= 1.8 milliseconds
63.87% <= 1.9 milliseconds
65.96% <= 2 milliseconds
80.54% <= 3 milliseconds
88.26% <= 4 milliseconds
92.46% <= 5 milliseconds
94.81% <= 6 milliseconds
96.29% <= 7 milliseconds
97.30% <= 8 milliseconds
97.94% <= 9 milliseconds
98.37% <= 10 milliseconds
98.69% <= 11 milliseconds
98.96% <= 12 milliseconds
99.18% <= 13 milliseconds
99.33% <= 14 milliseconds
99.46% <= 15 milliseconds
99.54% <= 16 milliseconds
99.62% <= 17 milliseconds
99.67% <= 18 milliseconds
99.72% <= 19 milliseconds
99.76% <= 20 milliseconds
99.79% <= 21 milliseconds
99.83% <= 22 milliseconds
99.85% <= 23 milliseconds
99.88% <= 24 milliseconds
99.89% <= 25 milliseconds
99.91% <= 26 milliseconds
99.92% <= 27 milliseconds
99.93% <= 28 milliseconds
99.94% <= 29 milliseconds
99.94% <= 30 milliseconds
99.95% <= 31 milliseconds
99.95% <= 32 milliseconds
99.96% <= 33 milliseconds
99.97% <= 34 milliseconds
99.97% <= 35 milliseconds
99.97% <= 36 milliseconds
99.97% <= 37 milliseconds
99.98% <= 38 milliseconds
99.98% <= 39 milliseconds
99.99% <= 40 milliseconds
99.99% <= 41 milliseconds
99.99% <= 42 milliseconds
99.99% <= 43 milliseconds
99.99% <= 44 milliseconds
99.99% <= 45 milliseconds
99.99% <= 46 milliseconds
99.99% <= 47 milliseconds
99.99% <= 48 milliseconds
99.99% <= 49 milliseconds
99.99% <= 55 milliseconds
100.00% <= 56 milliseconds
100.00% <= 57 milliseconds
100.00% <= 61 milliseconds
100.00% <= 62 milliseconds
100.00% <= 65 milliseconds
100.00% <= 69 milliseconds
100.00% <= 77 milliseconds
100.00% <= 78 milliseconds
100.00% <= 78 milliseconds
104977.41 requests per second


