2023-11-24 12:02:13
SET: -nan
SET: 198263.58
SET: 186346.45
SET: 171419.52
SET: 166611.11
SET: 151930.05
SET: 144546.42
SET: 137364.42
SET: 133399.70
SET: 129976.09
SET: 125066.55
SET: 122087.71
SET: 119276.84
SET: 116521.63
SET: 115302.56
SET: 113586.81
SET: 112261.27
SET: 110321.52
SET: 110262.02
SET: 109533.29
SET: 108308.91
SET: 107844.13
SET: 105973.88
SET: 104823.32
SET: 103728.12
SET: 102097.42
SET: 101474.98
SET: 101128.12
SET: 102175.46
SET: 102998.49
SET: 103129.52
SET: 102349.86
SET: 102232.95
SET: 101496.80
SET: 101304.91
SET: 100919.09
SET: 101076.91
SET: 101195.22
SET: 100953.34
SET: 101050.78
SET: 100820.57
SET: 100781.18
SET: 100903.11
SET: 100413.46
SET: 99068.95
SET: 98509.09
SET: 97598.34
SET: 97580.73
SET: 97484.76
SET: 97397.91
SET: 96870.38
SET: 96567.41
SET: 95725.11
SET: 95722.45
SET: 95646.68
SET: 95857.30
SET: 95725.38
SET: 96160.66
SET: 96766.38
SET: 96910.23
SET: 96633.43
SET: 96455.09
SET: 96508.46
SET: 96310.46
SET: 96542.95
SET: 96476.16
SET: 96427.80
SET: 95913.81
SET: 95949.80
SET: 96394.89
SET: 96358.27
SET: 96666.92
SET: 96351.00
SET: 96461.17
SET: 96528.27
SET: 96359.52
SET: 96097.84
SET: 96284.31
SET: 96409.55
SET: 96600.25
SET: 96885.16
SET: 96754.49
SET: 96662.80
SET: 96640.62
SET: 96628.07
SET: 96659.34
SET: 96586.75
SET: 96617.08
SET: 96963.73
SET: 96883.98
SET: 96698.29
SET: 97140.30
SET: 96780.64
SET: 96708.08
SET: 96368.45
SET: 95844.42
SET: 95701.72
SET: 95824.91
SET: 95618.21
SET: 95484.70
SET: 95192.95
SET: 94894.94
SET: 94779.61
SET: 94473.77
SET: 94128.02
SET: 93700.34
SET: 93336.55
SET: 93128.45
SET: 93164.68
SET: 93085.99
SET: 93123.40
SET: 92786.16
SET: 92739.25
SET: 92634.95
SET: 92482.30
SET: 92608.15
SET: 92617.60
SET: 92697.64
SET: 92948.73
SET: 93145.23
SET: 93397.20
SET: 93507.97
SET: 93221.21
SET: 92922.52
SET: 92909.53
SET: 92752.12
SET: 92622.71
SET: 92697.65
SET: 92534.07
SET: 92477.80
SET: 92616.62
SET: 92867.55
SET: 93164.11
SET: 93235.69
SET: 93204.14
SET: 93220.29
SET: 93125.39
SET: 93349.78
SET: 93174.02
SET: 93192.07
SET: 93306.31
SET: 93428.74
SET: 93564.20
SET: 93815.70
SET: 94096.70
SET: 94387.07
SET: 94619.49
SET: 94867.24
SET: 94985.16
SET: 95269.48
SET: 95458.83
SET: 95520.26
SET: 95578.99
SET: 95373.13
SET: 95279.35
SET: 95294.08
SET: 95219.95
SET: 95238.36
SET: 95164.04
SET: 95200.14
SET: 95135.02
SET: 95469.42
SET: 95430.20
SET: 95592.41
SET: 95740.62
SET: 95779.45
SET: 95780.66
SET: 95900.23
SET: 96000.57
SET: 96185.87
SET: 96341.62
SET: 96418.26
SET: 96833.69
SET: 96846.20
SET: 96862.05
SET: 97012.99
SET: 96998.75
SET: 96952.09
SET: 97064.20
SET: 96968.20
SET: 97052.04
SET: 97135.18
SET: 97121.97
SET: 97372.85
SET: 97391.57
SET: 97490.84
SET: 97614.42
SET: 97585.04
SET: 97614.61
SET: 97564.53
SET: 97673.05
SET: 97898.40
SET: 97825.95
SET: 97614.43
SET: 97329.84
SET: 97159.23
SET: 97078.91
SET: 96912.23
SET: 96864.68
SET: 96759.81
SET: 96639.27
SET: 96463.01
SET: 96303.30
SET: 96197.27
SET: 96098.85
SET: 96109.56
SET: 95923.29
SET: 95776.84
SET: 95646.94
SET: 95481.25
SET: 95389.19
SET: 95197.89
SET: 95297.41
SET: 95010.15
SET: 94887.96
SET: 94609.23
SET: 94390.75
SET: 94277.69
SET: 94305.84
SET: 94317.32
SET: 94336.22
SET: 94358.72
SET: 94489.98
SET: 94536.26
SET: 94592.22
SET: 94605.02
SET: 94540.02
SET: 94582.43
SET: 94827.10
SET: 94990.97
SET: 95189.81
SET: 95398.27
SET: 95597.77
SET: 95862.67
SET: 95941.35
SET: 96125.32
SET: 96297.62
SET: 96473.72
SET: 96600.04
SET: 96712.25
SET: 96914.95
SET: 97008.02
SET: 97081.91
SET: 97118.23
SET: 97278.38
SET: 97417.99
SET: 97548.70
SET: 97728.49
SET: 97870.78
SET: 97965.24
SET: 98059.97
SET: 98241.36
SET: 98406.28
SET: 98614.59
SET: 98742.91
SET: 98865.21
SET: 99051.27
SET: 99219.28
SET: 99278.34
SET: 99459.07
SET: 99720.00
SET: 99888.76
SET: 99980.61
SET: 100069.09
SET: 100165.11
SET: 100182.40
SET: 100384.75
SET: 100446.48
SET: 100610.27
SET: 100697.22
SET: 100829.06
SET: 100966.94
SET: 101079.34
SET: 101315.05
SET: 101370.96
SET: 101592.91
SET: 101770.36
SET: 101816.78
SET: 101977.57
SET: 102148.40
SET: 102275.06
SET: 102483.41
SET: 102654.38
SET: 102763.01
SET: 102874.02
SET: 103080.27
SET: 103214.81
SET: 103382.05
SET: 103531.97
SET: 103567.10
SET: 103706.02
SET: 103829.76
SET: 103945.56
SET: 104039.15
SET: 104043.89
SET: 104206.71
SET: 104315.48
SET: 104445.62
SET: 104485.40
SET: 104601.10
SET: 104722.52
SET: 104854.56
SET: 104909.35
SET: 104906.05
SET: 105036.20
SET: 105180.43
SET: 105289.34
SET: 105387.28
SET: 105461.12
SET: 105570.52
SET: 105655.20
SET: 105689.55
SET: 105776.99
SET: 105909.77
SET: 106006.41
SET: 106074.43
SET: 106119.70
SET: 106225.83
SET: 106289.91
SET: 106366.88
SET: 106464.27
SET: 106571.98
SET: 106671.71
SET: 106754.74
SET: 106797.12
SET: 106826.34
SET: 106880.27
SET: 106894.89
SET: 106919.62
SET: 107006.55
SET: 107032.73
SET: 107057.69
SET: 107130.77
SET: 107238.42
SET: 107406.78
SET: 107575.03
SET: 107674.27
SET: 107752.83
SET: 107775.15
SET: 107858.08
SET: 108022.63
SET: 108105.76
SET: 108162.11
SET: 108300.93
SET: 108445.24
SET: 108604.84
SET: 108710.88
SET: 108844.23
SET: 108943.12
SET: 109022.35
SET: 109185.72
SET: 109245.46
SET: 109340.40
SET: 109460.44
SET: 109590.84
SET: 109734.35
SET: 109786.53
SET: 109827.80
SET: 109864.76
SET: 109904.80
SET: 109948.88
SET: 109977.66
SET: 110008.59
SET: 110081.67
SET: 110111.96
SET: 110145.41
SET: 110162.30
SET: 110165.22
SET: 110229.00
SET: 110278.35
SET: 110278.77
SET: 110335.27
SET: 110379.06
SET: 110446.81
SET: 110441.32
SET: 110531.23
SET: 110560.64
SET: 110577.66
SET: 110534.36
SET: 110587.91
SET: 110627.77
SET: 110763.64
SET: 110826.70
SET: 110856.22
SET: 110860.68
SET: 110856.20
SET: 110926.71
SET: 110988.45
SET: 111063.52
SET: 111058.89
SET: 111014.81
SET: 110965.73
SET: 110906.64
SET: 110893.91
SET: 110857.00
SET: 110863.59
SET: 110903.56
SET: 110766.36
SET: 110783.18
SET: 110754.44
SET: 110835.88
SET: 110810.80
SET: 110813.03
SET: 110734.34
SET: 110682.62
SET: 110790.94
SET: 110720.65
SET: 110672.95
SET: 110707.31
SET: 110726.28
SET: 110766.23
SET: 110805.91
SET: 110832.95
SET: 110846.64
SET: 110789.98
SET: 110787.98
SET: 110716.93
SET: 110695.08
SET: 110663.27
SET: 110655.28
SET: 110557.82
SET: 110427.15
SET: 110413.19
SET: 110470.27
SET: 110345.39
SET: 110342.89
SET: 110281.22
SET: 110287.77
SET: 110222.34
SET: 110219.77
SET: 110221.09
SET: 110210.33
SET: 110217.85
SET: 110213.55
SET: 110171.03
SET: 110109.85
SET: 110064.74
SET: 110001.98
SET: 109888.19
SET: 109912.52
SET: 109924.62
SET: 109863.48
SET: 109801.60
SET: 109754.32
SET: 109706.60
SET: 109675.37
SET: 109688.95
SET: 109639.68
SET: 109611.48
SET: 109621.18
SET: 109661.09
SET: 109571.39
SET: 109579.57
SET: 109559.09
SET: 109536.49
SET: 109547.98
SET: 109528.24
SET: 109565.30
SET: 109559.67
SET: 109505.23
SET: 109484.99
SET: 109433.37
SET: 109369.45
SET: 109378.20
SET: 109388.02
SET: 109344.88
SET: 109294.59
SET: 109334.70
SET: 109362.99
SET: 109420.33
SET: 109393.16
SET: 109428.12
SET: 109448.82
SET: 109447.32
SET: 109474.08
SET: 109397.48
SET: 109445.80
SET: 109498.93
SET: 109483.55
SET: 109507.09
SET: 109495.09
SET: 109498.97
SET: 109504.14
SET: 109514.77
SET: 109562.70
SET: 109658.83
SET: 109645.87
SET: 109607.34
SET: 109577.34
SET: 109545.30
SET: 109610.68
SET: 109577.48
SET: 109587.76
SET: 109625.23
SET: 109697.61
SET: 109754.48
SET: 109769.93
SET: 109753.41
SET: 109737.48
SET: 109745.91
SET: 109794.09
SET: 109794.34
SET: 109775.28
SET: 109795.29
SET: 109879.37
SET: 109943.04
SET: 109958.24
SET: 110009.55
SET: 109978.95
SET: 109978.40
SET: 109926.38
SET: 109878.15
SET: 109856.12
SET: 109892.29
SET: 109884.47
SET: 109931.59
SET: 109892.08
SET: 109908.79
SET: 109914.29
SET: 109946.68
SET: 109992.98
SET: 110046.65
SET: 110028.14
SET: 110107.94
SET: 110109.22
SET: 110141.54
SET: 110147.85
SET: 110149.60
SET: 110165.78
SET: 110188.18
SET: 110237.55
SET: 110265.18
SET: 110278.15
SET: 110304.46
SET: 110325.66
SET: 110385.64
SET: 110455.16
SET: 110490.63
SET: 110555.37
SET: 110665.62
SET: 110714.91
SET: 110770.09
SET: 110820.02
SET: 110871.57
SET: 110925.93
SET: 110941.00
SET: 110972.08
SET: 111044.44
SET: 111074.88
SET: 111093.75
SET: 111144.45
SET: 111208.80
SET: 111283.02
SET: 111388.30
SET: 111439.02
SET: 111487.55
SET: 111524.43
SET: 111603.21
SET: 111671.14
SET: 111720.79
SET: 111742.52
SET: 111784.20
SET: 111867.27
SET: 111950.66
SET: 112043.42
SET: 112101.27
SET: 112192.77
SET: 112295.08
SET: 112344.42
SET: 112373.75
SET: 112442.76
SET: 112520.85
SET: 112601.29
SET: 112675.83
SET: 112794.73
SET: 112867.95
SET: 112936.38
SET: 113001.31
SET: 113071.64
SET: 113189.00
SET: 113283.95
SET: 113387.59
SET: 113472.62
SET: 113573.92
SET: 113594.18
SET: 113603.67
SET: 113683.84
SET: 113789.49
SET: 113822.02
SET: 113874.71
SET: 113913.76
SET: 114003.90
SET: 114040.55
SET: 114124.90
SET: 114129.71
SET: 114137.59
SET: 114190.13
SET: 114206.66
SET: 114230.51
SET: 114267.70
SET: 114338.30
SET: 114321.41
SET: 114328.77
SET: 114333.60
SET: 114335.24
SET: 114319.16
SET: 114357.60
SET: 114370.96
SET: 114396.12
SET: 114350.20
SET: 114355.49
SET: 114330.56
SET: 114327.91
SET: 114310.70
SET: 114271.06
SET: 114227.55
SET: 114216.75
SET: 114221.49
SET: 114217.70
SET: 114227.24
SET: 114227.47
SET: 114244.90
SET: 114277.81
SET: 114338.68
SET: 114365.53
SET: 114325.73
SET: 114370.28
SET: 114369.30
SET: 114384.45
SET: 114435.78
SET: 114471.67
SET: 114498.51
SET: 114473.62
SET: 114476.33
SET: 114464.28
SET: 114468.85
SET: 114453.65
SET: 114450.11
SET: 114415.93
SET: 114401.63
SET: 114441.80
SET: 114437.66
SET: 114460.30
SET: 114484.76
SET: 114517.52
SET: 114533.36
SET: 114551.81
SET: 114578.16
SET: 114620.17
SET: 114659.89
SET: 114696.47
SET: 114748.43
SET: 114786.63
SET: 114786.43
SET: 114787.41
SET: 114862.40
SET: 114872.20
SET: 114888.72
SET: 114893.95
SET: 114874.46
SET: 114901.25
SET: 114936.69
SET: 114944.07
SET: 114941.61
SET: 114980.43
SET: 114936.89
SET: 114908.65
SET: 114919.89
SET: 114913.24
SET: 114888.77
SET: 114875.52
SET: 114898.49
SET: 114933.22
SET: 114934.75
SET: 114940.07
SET: 114973.30
SET: 115015.34
SET: 115010.90
SET: 115058.67
SET: 115058.09
SET: 115054.77
SET: 115048.01
SET: 115007.02
SET: 115001.75
SET: 114981.52
SET: 114960.97
SET: 114918.40
SET: 114880.45
SET: 114858.78
SET: 114791.73
SET: 114739.02
SET: 114719.60
SET: 114729.46
SET: 114743.30
SET: 114735.79
SET: 114710.45
====== SET ======
  20000032 requests completed in 174.34 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.22% <= 0.2 milliseconds
3.50% <= 0.3 milliseconds
7.11% <= 0.4 milliseconds
11.43% <= 0.5 milliseconds
17.18% <= 0.6 milliseconds
23.65% <= 0.7 milliseconds
29.96% <= 0.8 milliseconds
34.99% <= 0.9 milliseconds
39.38% <= 1.0 milliseconds
43.59% <= 1.1 milliseconds
47.60% <= 1.2 milliseconds
51.22% <= 1.3 milliseconds
54.43% <= 1.4 milliseconds
57.32% <= 1.5 milliseconds
59.99% <= 1.6 milliseconds
62.46% <= 1.7 milliseconds
64.76% <= 1.8 milliseconds
66.90% <= 1.9 milliseconds
68.87% <= 2 milliseconds
82.44% <= 3 milliseconds
89.28% <= 4 milliseconds
93.06% <= 5 milliseconds
95.26% <= 6 milliseconds
96.60% <= 7 milliseconds
97.46% <= 8 milliseconds
98.05% <= 9 milliseconds
98.47% <= 10 milliseconds
98.80% <= 11 milliseconds
99.04% <= 12 milliseconds
99.23% <= 13 milliseconds
99.38% <= 14 milliseconds
99.51% <= 15 milliseconds
99.59% <= 16 milliseconds
99.66% <= 17 milliseconds
99.72% <= 18 milliseconds
99.76% <= 19 milliseconds
99.80% <= 20 milliseconds
99.83% <= 21 milliseconds
99.86% <= 22 milliseconds
99.88% <= 23 milliseconds
99.90% <= 24 milliseconds
99.91% <= 25 milliseconds
99.93% <= 26 milliseconds
99.93% <= 27 milliseconds
99.94% <= 28 milliseconds
99.95% <= 29 milliseconds
99.95% <= 30 milliseconds
99.96% <= 31 milliseconds
99.96% <= 32 milliseconds
99.97% <= 33 milliseconds
99.97% <= 34 milliseconds
99.97% <= 35 milliseconds
99.97% <= 36 milliseconds
99.98% <= 37 milliseconds
99.98% <= 38 milliseconds
99.98% <= 39 milliseconds
99.98% <= 40 milliseconds
99.99% <= 41 milliseconds
99.99% <= 44 milliseconds
99.99% <= 45 milliseconds
99.99% <= 46 milliseconds
99.99% <= 47 milliseconds
99.99% <= 48 milliseconds
99.99% <= 49 milliseconds
99.99% <= 50 milliseconds
99.99% <= 52 milliseconds
99.99% <= 53 milliseconds
100.00% <= 55 milliseconds
100.00% <= 62 milliseconds
100.00% <= 63 milliseconds
100.00% <= 64 milliseconds
100.00% <= 65 milliseconds
100.00% <= 66 milliseconds
100.00% <= 73 milliseconds
100.00% <= 73 milliseconds
114716.58 requests per second


