2023-11-24 14:52:01
GET: -nan
GET: 379808.00
GET: 305552.00
GET: 274250.66
GET: 259928.00
GET: 252300.80
GET: 245205.33
GET: 234971.42
GET: 229912.00
GET: 226030.22
GET: 221308.80
GET: 214280.73
GET: 206328.00
GET: 199300.92
GET: 193581.72
GET: 189132.80
GET: 184932.00
GET: 180645.64
GET: 177168.00
GET: 175712.00
GET: 174388.80
GET: 172539.42
GET: 172530.91
GET: 173352.34
GET: 172473.33
GET: 171950.08
GET: 172147.69
GET: 172264.30
GET: 172280.00
GET: 172274.77
GET: 172471.47
GET: 172586.33
GET: 172249.00
GET: 172309.33
GET: 172547.77
GET: 172682.06
GET: 173373.33
GET: 174569.52
GET: 175694.31
GET: 176325.75
GET: 178932.00
GET: 181350.25
GET: 183323.42
GET: 184878.14
GET: 186343.27
GET: 188068.27
GET: 189284.88
GET: 190325.78
GET: 191224.67
GET: 192204.41
GET: 193219.84
GET: 194236.23
GET: 195185.23
GET: 196085.12
GET: 196957.62
GET: 196579.48
GET: 196386.86
GET: 196264.42
GET: 196207.45
GET: 196310.78
GET: 196400.00
GET: 196546.62
GET: 196716.91
GET: 196745.66
GET: 196791.50
GET: 196919.62
GET: 197211.16
GET: 197599.52
GET: 197941.64
GET: 198191.77
GET: 198421.94
GET: 198694.77
GET: 198960.89
GET: 199157.92
GET: 199349.62
GET: 199429.55
GET: 199414.31
GET: 199392.42
GET: 199407.59
GET: 199381.06
GET: 199469.20
GET: 199665.78
GET: 199825.56
GET: 199922.89
GET: 200017.91
GET: 200056.84
GET: 200103.06
GET: 200211.86
GET: 200870.19
GET: 201542.11
GET: 202157.16
GET: 202656.36
GET: 203138.44
GET: 203776.69
GET: 204294.12
GET: 205002.11
GET: 205519.67
GET: 205754.39
GET: 206079.02
GET: 206509.91
GET: 206787.52
GET: 207097.34
GET: 207117.17
GET: 207172.03
GET: 207345.84
GET: 207505.98
GET: 207662.19
GET: 207835.52
GET: 208034.97
GET: 208130.34
GET: 208170.19
GET: 208207.86
GET: 208290.28
GET: 208417.42
GET: 208583.30
GET: 208606.33
GET: 208645.80
GET: 208682.39
GET: 208715.66
GET: 208461.72
GET: 207680.27
GET: 207531.38
GET: 207591.08
GET: 207513.23
GET: 207337.03
GET: 207227.91
GET: 207265.53
GET: 207316.91
GET: 207396.25
GET: 207470.39
GET: 207536.50
GET: 207649.22
GET: 207951.27
GET: 208247.34
GET: 208543.52
GET: 208659.91
GET: 208661.41
GET: 208647.47
GET: 208629.56
GET: 208628.72
GET: 208912.23
GET: 209162.44
GET: 209232.91
GET: 209216.22
GET: 209211.78
GET: 209168.77
GET: 209159.67
GET: 209163.31
GET: 209131.67
GET: 209129.88
GET: 209110.61
GET: 209145.44
GET: 209265.05
GET: 209405.70
GET: 209560.31
GET: 209680.11
GET: 209834.67
GET: 209986.45
GET: 210132.66
GET: 210250.47
GET: 210409.20
GET: 210600.94
GET: 210663.91
GET: 210815.61
GET: 210927.42
GET: 211076.27
GET: 211173.39
GET: 211231.42
GET: 210876.77
GET: 210438.25
GET: 210044.61
GET: 209603.00
GET: 209219.72
GET: 209001.98
GET: 208828.88
GET: 208652.44
GET: 208556.73
GET: 208515.44
GET: 208551.38
GET: 208581.36
GET: 208605.33
GET: 208594.39
GET: 208590.59
GET: 208565.52
GET: 208489.56
GET: 208535.00
GET: 208567.22
GET: 208564.53
GET: 208589.45
GET: 208583.62
GET: 208601.77
GET: 208656.42
GET: 208744.83
GET: 208757.89
GET: 208744.58
GET: 208700.06
GET: 208701.55
GET: 208712.45
GET: 208708.20
GET: 208704.33
GET: 208723.36
GET: 208726.77
GET: 208828.67
GET: 208943.61
GET: 209051.61
GET: 209162.30
GET: 209188.97
GET: 209224.34
GET: 209220.77
GET: 209193.34
GET: 209187.20
GET: 209140.02
GET: 209105.97
GET: 209081.98
GET: 209124.03
GET: 209142.17
GET: 209129.48
GET: 209118.81
GET: 209074.34
GET: 209006.61
GET: 208755.05
GET: 208501.44
GET: 208260.33
GET: 208129.44
GET: 208019.14
GET: 207908.98
GET: 207800.36
GET: 207696.50
GET: 207588.62
GET: 207577.98
GET: 207556.17
GET: 207534.55
GET: 207524.14
GET: 207461.62
GET: 207367.80
GET: 207263.45
GET: 207160.81
GET: 207060.39
GET: 206949.92
GET: 206851.08
GET: 206818.00
GET: 206735.00
GET: 206643.83
GET: 206830.48
GET: 207025.58
GET: 207227.17
GET: 207434.92
GET: 207587.89
GET: 207188.27
GET: 206801.11
GET: 206752.28
GET: 206750.88
GET: 206763.20
GET: 206751.39
GET: 206661.69
GET: 206569.19
GET: 206581.28
GET: 206609.33
GET: 206633.95
GET: 206650.83
GET: 206669.34
GET: 206689.77
GET: 206588.27
GET: 206451.16
GET: 206208.55
GET: 206131.27
GET: 206190.73
GET: 206358.70
GET: 206556.94
GET: 206743.36
GET: 206938.70
GET: 207100.14
GET: 207296.97
GET: 207476.06
GET: 207671.38
GET: 207866.77
GET: 208069.69
GET: 208280.25
GET: 208475.39
GET: 208561.08
GET: 208342.50
GET: 208038.50
GET: 207702.36
GET: 207417.69
GET: 207140.98
GET: 206899.45
GET: 206687.81
GET: 206470.73
GET: 206273.94
GET: 206167.08
GET: 206056.22
GET: 205981.75
GET: 205901.55
GET: 205907.94
GET: 205926.48
GET: 205863.00
GET: 205648.28
GET: 205401.72
GET: 205421.17
GET: 205455.70
GET: 205472.70
GET: 205504.92
GET: 205528.55
GET: 205560.25
GET: 205584.48
GET: 205608.25
GET: 205622.12
GET: 205645.52
GET: 205671.34
GET: 205680.73
GET: 205699.47
GET: 205704.81
GET: 205787.55
GET: 205861.47
GET: 205924.64
GET: 205998.08
GET: 206054.12
GET: 206132.23
GET: 206200.41
GET: 206273.25
GET: 206365.75
GET: 206545.28
GET: 206724.11
GET: 206798.39
GET: 206718.66
GET: 206628.56
GET: 206538.05
GET: 206407.09
GET: 206150.19
GET: 206156.11
GET: 206229.58
GET: 206224.48
GET: 206122.94
GET: 205982.70
GET: 205842.27
GET: 205694.44
GET: 205554.06
GET: 205496.28
GET: 205457.48
GET: 205392.30
GET: 205328.81
GET: 205293.67
GET: 205336.77
GET: 205349.47
GET: 205396.53
GET: 205425.12
GET: 205456.34
GET: 205493.36
GET: 205530.72
GET: 205571.36
GET: 205592.92
GET: 205585.66
GET: 205589.33
GET: 205591.08
GET: 205607.02
GET: 205623.22
GET: 205641.67
GET: 205652.41
GET: 205677.64
GET: 205706.30
GET: 205835.97
GET: 205938.33
GET: 206025.70
GET: 206175.97
GET: 206348.11
GET: 206472.91
GET: 206618.45
GET: 206745.77
GET: 206774.66
GET: 206683.02
GET: 206565.33
GET: 206447.41
GET: 206343.89
GET: 206299.94
GET: 206280.19
GET: 206299.11
GET: 206256.91
GET: 206203.98
GET: 206222.03
GET: 206350.41
GET: 206500.44
GET: 206786.22
GET: 207207.06
GET: 207684.44
GET: 208081.42
====== GET ======
  20000000 requests completed in 96.07 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.00% <= 0.2 milliseconds
0.02% <= 0.3 milliseconds
0.95% <= 0.4 milliseconds
12.08% <= 0.5 milliseconds
50.25% <= 0.6 milliseconds
81.84% <= 0.7 milliseconds
91.76% <= 0.8 milliseconds
95.38% <= 0.9 milliseconds
97.18% <= 1.0 milliseconds
98.38% <= 1.1 milliseconds
99.32% <= 1.2 milliseconds
99.57% <= 1.3 milliseconds
99.65% <= 1.4 milliseconds
99.72% <= 1.5 milliseconds
99.77% <= 1.6 milliseconds
99.80% <= 1.7 milliseconds
99.83% <= 1.8 milliseconds
99.84% <= 1.9 milliseconds
99.85% <= 2 milliseconds
99.89% <= 3 milliseconds
99.92% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
99.99% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 10 milliseconds
208188.03 requests per second


