2023-11-24 14:52:01
GET: -nan
GET: 575488.00
GET: 460528.00
GET: 411818.66
GET: 391992.00
GET: 378374.41
GET: 366330.66
GET: 344402.28
GET: 325060.00
GET: 305969.78
GET: 293443.19
GET: 281445.81
GET: 271661.34
GET: 262584.62
GET: 254338.28
GET: 248964.27
GET: 245430.00
GET: 242872.47
GET: 239621.33
GET: 236320.00
GET: 235307.20
GET: 234829.72
GET: 234302.55
GET: 234400.00
GET: 234273.33
GET: 233611.52
GET: 231732.92
GET: 229486.22
GET: 228331.42
GET: 228872.83
GET: 229513.59
GET: 229900.39
GET: 230049.00
GET: 230113.94
GET: 230195.77
GET: 230258.28
GET: 230341.33
GET: 230552.22
GET: 230488.42
GET: 230289.23
GET: 230462.41
GET: 230540.48
GET: 230690.28
GET: 231134.52
GET: 231530.19
GET: 231876.27
GET: 232196.17
GET: 232411.23
GET: 232685.33
GET: 232986.12
GET: 233290.23
GET: 233586.20
GET: 233829.53
GET: 234087.84
GET: 234321.19
GET: 234162.03
GET: 233142.28
GET: 232411.52
GET: 231691.03
GET: 230970.03
GET: 230315.20
GET: 229683.94
GET: 229080.27
GET: 228558.73
GET: 227902.50
GET: 226913.97
GET: 226013.09
GET: 225114.75
GET: 224240.47
GET: 223379.02
GET: 222543.08
GET: 222103.44
GET: 222236.00
GET: 222403.50
GET: 222521.95
GET: 222412.38
GET: 222293.05
GET: 222176.42
GET: 222004.52
GET: 221888.41
GET: 221777.59
GET: 221723.27
GET: 221687.42
GET: 221610.62
GET: 221550.31
GET: 221465.45
GET: 221367.67
GET: 221233.17
GET: 220554.84
GET: 220094.55
GET: 219776.72
GET: 219592.47
GET: 219141.98
GET: 218937.89
GET: 218902.55
GET: 218913.77
GET: 218862.75
GET: 218789.38
GET: 218761.56
GET: 218724.94
GET: 218728.42
GET: 218743.86
GET: 218838.67
GET: 218979.80
GET: 219232.36
GET: 219466.09
GET: 219678.52
GET: 219881.88
GET: 220083.84
GET: 220197.27
GET: 220168.12
GET: 220106.36
GET: 220015.70
GET: 219942.23
GET: 219863.30
GET: 219863.94
GET: 219806.36
GET: 219765.61
GET: 219683.81
GET: 219345.78
GET: 218527.30
GET: 217677.64
GET: 217120.97
GET: 216570.75
GET: 216498.28
GET: 216442.84
GET: 216431.72
GET: 216426.05
GET: 216417.98
GET: 216407.30
GET: 216492.78
GET: 216581.59
GET: 216600.22
GET: 216610.86
GET: 216603.91
GET: 216353.17
GET: 216230.11
GET: 216264.88
GET: 216351.75
GET: 216305.03
GET: 216234.97
GET: 216190.86
GET: 216189.97
GET: 216300.52
GET: 216400.66
GET: 216486.83
GET: 216435.48
GET: 216404.88
GET: 216361.72
GET: 216292.72
GET: 216246.19
GET: 216189.67
GET: 216139.38
GET: 216206.84
GET: 216254.33
GET: 216348.89
GET: 216460.08
GET: 216553.56
GET: 216555.72
GET: 216628.30
GET: 216615.58
GET: 216601.61
GET: 216650.44
GET: 216658.03
GET: 216683.69
GET: 216689.81
GET: 216646.34
GET: 216575.59
GET: 216573.12
GET: 216617.83
GET: 216642.80
GET: 216581.78
GET: 216533.75
GET: 216489.59
GET: 216416.17
GET: 216334.62
GET: 216270.91
GET: 216246.59
GET: 216228.84
GET: 216210.05
GET: 216177.59
GET: 216149.39
GET: 216072.44
GET: 215976.41
GET: 215980.53
GET: 215948.11
GET: 215915.70
GET: 215861.23
GET: 215780.61
GET: 215698.30
GET: 215629.66
GET: 215571.12
GET: 215503.69
GET: 215431.66
GET: 215369.12
GET: 215317.55
GET: 215257.84
GET: 215188.84
GET: 215122.16
GET: 215051.97
GET: 214899.27
GET: 214767.52
GET: 214742.89
GET: 214836.25
GET: 214841.80
GET: 214881.02
GET: 214925.89
GET: 214915.62
GET: 214855.77
GET: 214816.08
GET: 214776.31
GET: 214699.91
GET: 214624.23
GET: 214583.52
GET: 214538.41
GET: 214516.78
GET: 214490.31
GET: 214436.52
GET: 214349.61
GET: 214290.08
GET: 214223.23
GET: 214191.75
GET: 214209.11
GET: 214173.67
GET: 214079.53
GET: 213969.75
GET: 213857.11
GET: 213760.55
GET: 213683.36
GET: 213640.09
GET: 213584.00
GET: 213516.88
GET: 213455.17
GET: 213398.66
GET: 213342.91
GET: 213242.42
GET: 213121.23
GET: 213063.17
GET: 213067.58
GET: 213071.69
GET: 213066.55
GET: 213070.36
GET: 213090.80
GET: 213139.50
GET: 213199.36
GET: 213295.55
GET: 213382.77
GET: 213448.94
GET: 213489.42
GET: 213545.50
GET: 213595.77
GET: 213633.39
GET: 213684.81
GET: 213725.20
GET: 213754.69
GET: 213776.67
GET: 213816.48
GET: 213849.02
GET: 213872.97
GET: 213857.09
GET: 213859.67
GET: 213847.89
GET: 213850.48
GET: 213866.69
GET: 213832.47
GET: 213766.03
GET: 213699.11
GET: 213648.41
GET: 213607.52
GET: 213578.22
GET: 213542.16
GET: 213510.97
GET: 213492.34
GET: 213471.77
GET: 213455.06
GET: 213442.22
GET: 213429.45
GET: 213414.59
GET: 213407.66
GET: 213435.98
GET: 213500.45
GET: 213543.97
GET: 213576.84
GET: 213607.45
GET: 213644.84
GET: 213671.28
GET: 213665.33
GET: 213685.28
GET: 213707.22
GET: 213729.31
GET: 213758.44
GET: 213805.08
GET: 213830.23
GET: 213809.02
GET: 213818.22
GET: 213835.05
GET: 213978.03
GET: 214100.98
GET: 214216.78
GET: 214332.00
GET: 214399.53
GET: 214451.31
GET: 214503.38
GET: 214530.17
GET: 214544.48
GET: 214563.00
GET: 214586.20
GET: 214611.55
GET: 214630.70
GET: 214703.08
GET: 214747.09
GET: 214648.95
GET: 214420.78
GET: 214247.03
GET: 214061.84
GET: 213880.56
GET: 213815.28
GET: 213809.95
GET: 213820.86
GET: 213832.61
GET: 213816.78
GET: 213744.14
GET: 213705.03
GET: 213691.53
GET: 213715.84
GET: 213748.77
GET: 213792.67
GET: 213842.28
GET: 213903.11
GET: 213949.64
GET: 214000.27
GET: 214037.25
GET: 214079.30
GET: 214119.56
GET: 214170.33
GET: 214224.78
GET: 214282.25
GET: 214330.17
GET: 214382.36
GET: 214420.55
GET: 214467.92
GET: 214466.88
GET: 214502.42
GET: 214539.16
GET: 214535.31
GET: 214521.84
GET: 214510.30
GET: 214483.52
GET: 214470.67
GET: 214463.14
GET: 214462.23
GET: 214453.48
GET: 214435.97
GET: 214428.97
GET: 214468.30
GET: 214493.27
GET: 214523.02
GET: 214551.53
GET: 214564.97
GET: 214595.08
GET: 214635.34
GET: 214614.48
GET: 214592.50
GET: 214586.50
GET: 214585.55
GET: 214566.36
GET: 214539.77
GET: 214519.33
GET: 214511.88
GET: 214529.61
GET: 214550.70
GET: 214601.28
GET: 214667.14
====== GET ======
  20000112 requests completed in 93.15 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.02% <= 0.2 milliseconds
0.50% <= 0.3 milliseconds
1.78% <= 0.4 milliseconds
8.04% <= 0.5 milliseconds
54.77% <= 0.6 milliseconds
88.05% <= 0.7 milliseconds
96.71% <= 0.8 milliseconds
98.74% <= 0.9 milliseconds
99.11% <= 1.0 milliseconds
99.37% <= 1.1 milliseconds
99.63% <= 1.2 milliseconds
99.71% <= 1.3 milliseconds
99.78% <= 1.4 milliseconds
99.83% <= 1.5 milliseconds
99.88% <= 1.6 milliseconds
99.91% <= 1.7 milliseconds
99.93% <= 1.8 milliseconds
99.94% <= 1.9 milliseconds
99.95% <= 2 milliseconds
99.98% <= 3 milliseconds
99.99% <= 4 milliseconds
99.99% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 6 milliseconds
214713.27 requests per second


