2023-11-24 14:52:01
GET: -nan
GET: 365760.00
GET: 296800.00
GET: 270986.66
GET: 257296.00
GET: 257952.00
GET: 278106.66
GET: 280306.28
GET: 274384.00
GET: 267278.22
GET: 261270.41
GET: 257984.00
GET: 255773.33
GET: 254449.23
GET: 252363.42
GET: 248851.20
GET: 246962.00
GET: 245793.88
GET: 240188.44
GET: 236170.11
GET: 234372.80
GET: 233662.47
GET: 233173.81
GET: 232830.61
GET: 232926.67
GET: 232747.52
GET: 232727.39
GET: 232807.11
GET: 232916.58
GET: 232973.23
GET: 232994.14
GET: 232905.30
GET: 232395.00
GET: 231895.27
GET: 231459.77
GET: 231181.72
GET: 231303.11
GET: 231444.75
GET: 231414.73
GET: 231792.41
GET: 232578.41
GET: 233445.47
GET: 234304.00
GET: 235094.33
GET: 235731.64
GET: 236288.00
GET: 236838.95
GET: 237202.39
GET: 237508.00
GET: 237423.02
GET: 237184.64
GET: 236933.02
GET: 236620.31
GET: 236355.62
GET: 236318.81
GET: 236439.86
GET: 236189.14
GET: 235838.88
GET: 235555.86
GET: 235210.31
GET: 234849.59
GET: 234514.89
GET: 234300.91
GET: 234050.03
GET: 233798.50
GET: 233568.98
GET: 233387.16
GET: 233363.11
GET: 233419.30
GET: 233455.30
GET: 233340.80
GET: 233129.47
GET: 232924.44
GET: 232860.06
GET: 232892.97
GET: 233070.08
GET: 233290.11
GET: 233791.17
GET: 234258.05
GET: 234510.58
GET: 234850.41
GET: 235359.20
GET: 235804.09
GET: 236254.45
GET: 236708.19
GET: 237115.11
GET: 237553.86
GET: 238006.80
GET: 238600.36
GET: 239191.73
GET: 239747.20
GET: 240242.98
GET: 240696.70
GET: 241229.42
GET: 241756.59
GET: 241946.95
GET: 242132.67
GET: 242312.58
GET: 242517.88
GET: 242730.02
GET: 242933.77
GET: 243089.42
GET: 243286.59
GET: 243398.22
GET: 243550.47
GET: 243871.69
GET: 244163.02
GET: 244191.11
GET: 244202.08
GET: 244179.08
GET: 244204.52
GET: 244219.39
GET: 244235.72
GET: 244223.72
GET: 244159.16
GET: 244133.02
GET: 244132.41
GET: 244371.42
GET: 244610.98
GET: 244740.03
GET: 244845.86
GET: 244889.12
GET: 244978.09
GET: 245190.77
GET: 245306.06
GET: 245442.05
GET: 245722.41
GET: 245960.56
GET: 246238.00
GET: 246543.88
GET: 246839.14
GET: 247136.25
GET: 247383.75
GET: 247397.05
GET: 247445.50
GET: 247115.38
GET: 246410.36
GET: 245856.23
GET: 245426.31
GET: 244996.38
GET: 244681.83
GET: 244507.47
GET: 244304.22
GET: 244132.92
GET: 243933.11
GET: 243750.84
GET: 243553.75
GET: 243511.52
GET: 243467.25
GET: 243456.22
GET: 243454.08
GET: 243474.44
GET: 243376.20
GET: 243307.08
GET: 243290.19
GET: 243306.94
GET: 243255.39
GET: 243157.41
GET: 243060.05
GET: 243028.12
GET: 243015.59
GET: 243022.11
GET: 242952.09
GET: 242945.38
GET: 242889.17
GET: 242893.19
GET: 242856.48
GET: 242734.95
GET: 242595.42
GET: 242440.70
GET: 242271.81
GET: 242128.84
GET: 241958.33
GET: 241755.56
GET: 241521.11
GET: 241293.53
GET: 241098.36
GET: 240928.00
GET: 240806.30
GET: 240747.62
GET: 240659.02
GET: 240568.05
GET: 240473.14
GET: 240211.06
GET: 239675.12
GET: 239143.44
GET: 238661.50
GET: 238170.36
GET: 237733.78
GET: 237590.86
GET: 237454.14
GET: 237341.83
GET: 237239.00
GET: 237098.94
GET: 236933.77
GET: 236798.03
GET: 236690.28
GET: 236576.66
GET: 236467.88
GET: 236371.62
GET: 236348.48
GET: 236256.48
GET: 236191.05
GET: 236123.27
GET: 236044.23
GET: 235938.19
GET: 235839.06
GET: 235679.53
GET: 235507.23
GET: 235409.91
GET: 235307.28
GET: 235216.53
GET: 235129.66
GET: 235025.42
GET: 234901.53
GET: 234787.72
GET: 234587.11
GET: 234392.03
GET: 234211.67
GET: 234037.62
GET: 233850.03
GET: 233659.36
GET: 233489.02
GET: 233415.47
GET: 233361.72
GET: 233322.38
GET: 233256.78
GET: 233246.73
GET: 233263.02
GET: 233255.41
GET: 233357.36
GET: 233398.58
GET: 233361.11
GET: 233226.72
GET: 233081.44
GET: 232924.05
GET: 232770.03
GET: 232632.98
GET: 232482.28
GET: 232374.50
GET: 232229.73
GET: 232072.23
GET: 231946.31
GET: 231832.36
GET: 231686.69
GET: 231544.69
GET: 231449.36
GET: 231324.11
GET: 231114.70
GET: 230896.58
GET: 230679.17
GET: 230448.19
GET: 230270.22
GET: 230171.19
GET: 230067.41
GET: 229964.42
GET: 229864.50
GET: 229760.12
GET: 229664.00
GET: 229560.47
GET: 229470.03
GET: 229325.00
GET: 229082.14
GET: 228813.75
GET: 228504.73
GET: 228309.73
GET: 228202.11
GET: 228177.62
GET: 228098.50
GET: 228023.67
GET: 227943.70
GET: 227859.84
GET: 227806.47
GET: 227743.53
GET: 227687.83
GET: 227633.34
GET: 227581.22
GET: 227569.44
GET: 227636.61
GET: 227726.22
GET: 227930.28
GET: 228108.30
GET: 228259.17
GET: 228175.61
GET: 227901.08
GET: 227660.12
GET: 227400.84
GET: 227243.03
GET: 227204.56
GET: 227150.73
GET: 227107.64
GET: 227076.84
GET: 227020.61
GET: 226934.17
GET: 226861.17
GET: 226790.19
GET: 226739.89
GET: 226704.81
GET: 226671.67
GET: 226633.53
GET: 226604.16
GET: 226571.80
GET: 226528.73
GET: 226515.86
GET: 226526.73
GET: 226552.34
GET: 226506.14
GET: 226495.69
GET: 226465.77
GET: 226507.91
GET: 226578.48
GET: 226600.12
GET: 226546.67
GET: 226494.98
GET: 226437.30
GET: 226387.50
GET: 226315.14
GET: 226335.91
GET: 226338.02
GET: 226350.55
GET: 226343.50
GET: 226351.16
GET: 226337.98
GET: 226278.14
GET: 226231.20
GET: 226220.70
GET: 226211.44
GET: 226164.25
GET: 226169.86
GET: 226133.69
GET: 226131.97
GET: 226152.41
GET: 226159.33
GET: 226116.81
GET: 226104.44
GET: 226086.97
GET: 226055.05
GET: 225995.48
GET: 225907.12
GET: 225833.34
GET: 225733.17
GET: 225632.09
GET: 225582.03
GET: 225484.12
GET: 225359.25
GET: 225298.83
GET: 225255.95
GET: 225235.92
GET: 225236.50
GET: 225227.00
GET: 225212.80
GET: 225181.53
GET: 225169.27
GET: 225142.58
GET: 225118.02
GET: 225093.14
====== GET ======
  20000104 requests completed in 88.85 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.00% <= 0.2 milliseconds
0.01% <= 0.3 milliseconds
1.07% <= 0.4 milliseconds
21.41% <= 0.5 milliseconds
66.49% <= 0.6 milliseconds
93.82% <= 0.7 milliseconds
97.08% <= 0.8 milliseconds
98.43% <= 0.9 milliseconds
99.12% <= 1.0 milliseconds
99.33% <= 1.1 milliseconds
99.50% <= 1.2 milliseconds
99.59% <= 1.3 milliseconds
99.66% <= 1.4 milliseconds
99.73% <= 1.5 milliseconds
99.78% <= 1.6 milliseconds
99.82% <= 1.7 milliseconds
99.83% <= 1.8 milliseconds
99.85% <= 1.9 milliseconds
99.86% <= 2 milliseconds
99.89% <= 3 milliseconds
99.92% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 10 milliseconds
225089.53 requests per second


