2023-11-24 14:52:01
GET: 0.00
GET: 418932.28
GET: 342275.47
GET: 319957.41
GET: 303424.56
GET: 296172.66
GET: 286273.16
GET: 268541.41
GET: 251582.22
GET: 239744.12
GET: 236497.41
GET: 233529.62
GET: 230965.69
GET: 228645.95
GET: 227418.45
GET: 226608.38
GET: 220023.00
GET: 213722.89
GET: 209645.86
GET: 207085.67
GET: 204347.94
GET: 202160.36
GET: 202283.22
GET: 201603.89
GET: 199724.05
GET: 199282.03
GET: 199217.36
GET: 199652.80
GET: 199268.67
GET: 198756.59
GET: 198744.70
GET: 198642.75
GET: 198867.12
GET: 199125.42
GET: 199547.34
GET: 199987.19
GET: 200207.97
GET: 200333.80
GET: 200207.12
GET: 199444.56
GET: 198468.14
GET: 197512.81
GET: 196636.50
GET: 195558.36
GET: 194658.17
GET: 194932.55
GET: 195079.55
GET: 195216.88
GET: 195333.83
GET: 195601.41
GET: 195935.69
GET: 196233.67
GET: 196423.59
GET: 196567.11
GET: 196743.83
GET: 197174.14
GET: 197850.75
GET: 198458.14
GET: 198744.53
GET: 199015.80
GET: 199331.86
GET: 199910.83
GET: 200339.03
GET: 200558.11
GET: 200908.83
GET: 201443.17
GET: 201861.47
GET: 201932.55
GET: 202124.33
GET: 202249.81
GET: 202310.00
GET: 202555.52
GET: 202825.30
GET: 203059.66
GET: 203290.70
GET: 203404.67
GET: 203450.41
GET: 203588.84
GET: 203748.75
GET: 203871.81
GET: 203970.20
GET: 204225.73
GET: 204540.59
GET: 204846.33
GET: 205156.59
GET: 205476.12
GET: 205765.52
GET: 205948.61
GET: 206209.70
GET: 206399.14
GET: 206756.78
GET: 206938.52
GET: 207229.31
GET: 207541.39
GET: 207738.25
GET: 207892.89
GET: 207781.69
GET: 207699.83
GET: 207656.53
GET: 207563.69
GET: 207517.50
GET: 207429.14
GET: 207330.27
GET: 207545.84
GET: 207815.09
GET: 208086.23
GET: 208273.78
GET: 208356.75
GET: 208566.75
GET: 208758.22
GET: 208740.86
GET: 208687.78
GET: 208630.78
GET: 208588.39
GET: 208539.73
GET: 208469.94
GET: 208404.09
GET: 208348.69
GET: 208270.61
GET: 207935.73
GET: 207950.41
GET: 207960.33
GET: 208015.20
GET: 208116.28
GET: 208079.98
GET: 208077.05
GET: 208191.98
GET: 208302.58
GET: 208310.23
GET: 208303.86
GET: 208314.08
GET: 208383.73
GET: 208449.91
GET: 208476.12
GET: 208482.59
GET: 208568.84
GET: 208695.72
GET: 208810.45
GET: 208871.59
GET: 208897.78
GET: 208940.05
GET: 208982.17
GET: 209025.95
GET: 209060.17
GET: 209083.25
GET: 209091.45
GET: 209099.31
GET: 209135.38
GET: 209186.08
GET: 209328.66
GET: 209485.33
GET: 209586.75
GET: 209708.72
GET: 209792.70
GET: 209766.94
GET: 209764.62
GET: 209777.52
GET: 209761.91
GET: 209768.38
GET: 209784.83
GET: 209815.67
GET: 209907.55
GET: 209890.83
GET: 209878.45
GET: 209835.00
GET: 209810.30
GET: 209826.95
GET: 209835.38
GET: 209946.34
GET: 210061.11
GET: 210169.27
GET: 210284.39
GET: 210394.81
GET: 210496.20
GET: 210557.62
GET: 210612.12
GET: 210679.47
GET: 210771.17
GET: 210889.70
GET: 210997.80
GET: 211088.88
GET: 211104.52
GET: 211138.27
GET: 211201.72
GET: 211208.84
GET: 211169.70
GET: 211127.55
GET: 211111.84
GET: 211077.25
GET: 211051.33
GET: 211062.72
GET: 211139.16
GET: 211189.31
GET: 211232.80
GET: 211274.20
GET: 211356.19
GET: 211423.95
GET: 211489.75
GET: 211562.62
GET: 211657.59
GET: 211746.19
GET: 211763.84
GET: 211756.45
GET: 211775.47
GET: 211769.98
GET: 211814.34
GET: 211858.11
GET: 211898.22
GET: 211922.86
GET: 211961.34
GET: 212011.97
GET: 212064.98
GET: 212139.25
GET: 212234.89
GET: 212320.36
GET: 212377.52
GET: 212429.53
GET: 212518.98
GET: 212609.66
GET: 212700.39
GET: 212782.88
GET: 212827.55
GET: 212879.02
GET: 212934.34
GET: 212988.73
GET: 213041.80
GET: 213071.88
GET: 213119.03
GET: 213170.12
GET: 213224.81
GET: 213255.94
GET: 213334.72
GET: 213452.00
GET: 213579.67
GET: 213692.30
GET: 213804.64
GET: 213918.89
GET: 214030.55
GET: 214138.86
GET: 214160.03
GET: 214181.70
GET: 214206.23
GET: 214291.12
GET: 214371.38
GET: 214422.38
GET: 214548.97
GET: 214668.17
GET: 214761.27
GET: 214830.25
GET: 214828.02
GET: 214817.47
GET: 214833.78
GET: 214913.08
GET: 214983.64
GET: 215047.23
GET: 215065.27
GET: 215057.05
GET: 215048.77
GET: 215038.69
GET: 215025.72
GET: 215026.14
GET: 215022.03
GET: 215028.56
GET: 215013.16
GET: 215002.36
GET: 214999.84
GET: 215004.20
GET: 215015.23
GET: 215026.67
GET: 215028.98
GET: 215034.59
GET: 215066.73
GET: 215081.34
GET: 215089.86
GET: 215099.72
GET: 215120.45
GET: 215121.89
GET: 215125.30
GET: 215150.08
GET: 215188.34
GET: 215284.38
GET: 215368.00
GET: 215438.44
GET: 215515.61
GET: 215580.08
GET: 215660.27
GET: 215734.62
GET: 215804.22
GET: 215867.91
GET: 215930.03
GET: 215996.81
GET: 216083.69
GET: 216165.38
GET: 216252.28
GET: 216346.66
GET: 216404.48
GET: 216453.83
GET: 216468.23
GET: 216521.33
GET: 216583.47
GET: 216618.55
GET: 216674.73
GET: 216714.58
GET: 216763.44
GET: 216802.50
GET: 216867.02
GET: 216929.95
GET: 216997.28
GET: 217085.67
GET: 217232.02
GET: 217385.03
GET: 217299.20
GET: 217119.75
GET: 216943.09
GET: 216774.91
GET: 216651.97
GET: 216605.14
GET: 216558.72
GET: 216511.58
GET: 216423.52
GET: 216425.78
GET: 216447.09
GET: 216494.30
GET: 216549.44
GET: 216612.33
GET: 216665.39
GET: 216721.55
GET: 216774.44
GET: 216722.22
GET: 216659.44
GET: 216579.58
GET: 216432.14
GET: 216378.59
GET: 216252.92
GET: 216287.42
GET: 216361.83
GET: 216424.75
GET: 216440.97
GET: 216438.81
GET: 216437.89
GET: 216434.53
GET: 216484.67
GET: 216544.45
GET: 216577.75
GET: 216627.42
GET: 216666.14
GET: 216704.44
GET: 216733.67
GET: 216729.55
GET: 216731.12
GET: 216740.28
GET: 216778.47
GET: 216826.61
GET: 216879.39
GET: 216897.52
GET: 216897.95
GET: 216897.05
GET: 216892.75
GET: 216884.80
GET: 216900.70
GET: 216933.31
GET: 216968.22
GET: 216857.78
GET: 216680.00
GET: 216629.34
GET: 216670.05
GET: 216733.00
GET: 216799.38
GET: 216870.94
====== GET ======
  20000152 requests completed in 92.20 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.01% <= 0.2 milliseconds
0.27% <= 0.3 milliseconds
0.43% <= 0.4 milliseconds
7.40% <= 0.5 milliseconds
59.67% <= 0.6 milliseconds
91.43% <= 0.7 milliseconds
96.68% <= 0.8 milliseconds
98.54% <= 0.9 milliseconds
99.11% <= 1.0 milliseconds
99.36% <= 1.1 milliseconds
99.58% <= 1.2 milliseconds
99.67% <= 1.3 milliseconds
99.73% <= 1.4 milliseconds
99.79% <= 1.5 milliseconds
99.84% <= 1.6 milliseconds
99.88% <= 1.7 milliseconds
99.90% <= 1.8 milliseconds
99.91% <= 1.9 milliseconds
99.92% <= 2 milliseconds
99.98% <= 3 milliseconds
99.99% <= 4 milliseconds
99.99% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 6 milliseconds
216923.75 requests per second


