2023-11-24 14:52:02
GET: -nan
GET: 291744.00
GET: 278944.00
GET: 275850.66
GET: 273512.00
GET: 269561.59
GET: 271770.66
GET: 266669.72
GET: 260792.00
GET: 255086.22
GET: 251321.59
GET: 248919.27
GET: 247549.33
GET: 246114.47
GET: 243714.28
GET: 241689.59
GET: 241130.00
GET: 241829.64
GET: 242243.56
GET: 242536.42
GET: 242688.00
GET: 242517.33
GET: 242221.09
GET: 242036.88
GET: 241738.67
GET: 241495.05
GET: 241142.16
GET: 240862.81
GET: 240601.14
GET: 240226.20
GET: 239905.06
GET: 239562.33
GET: 239156.00
GET: 238356.36
GET: 237496.47
GET: 236556.80
GET: 235596.44
GET: 234551.34
GET: 233971.38
GET: 233894.56
GET: 233857.59
GET: 233847.42
GET: 233657.14
GET: 233266.61
GET: 232898.91
GET: 232524.80
GET: 232091.12
GET: 231693.61
GET: 231324.67
GET: 230971.42
GET: 230632.31
GET: 230387.45
GET: 230106.47
GET: 229831.84
GET: 229583.41
GET: 229430.11
GET: 229177.72
GET: 229169.97
GET: 229203.86
GET: 229131.94
GET: 229085.33
GET: 229030.81
GET: 229132.39
GET: 229258.16
GET: 229397.50
GET: 229551.27
GET: 229434.19
GET: 229347.34
GET: 229263.53
GET: 229124.17
GET: 228989.72
GET: 228998.31
GET: 228976.00
GET: 228904.33
GET: 228798.27
GET: 228687.36
GET: 228678.31
GET: 228732.27
GET: 228657.23
GET: 228569.11
GET: 228590.00
GET: 228548.34
GET: 228513.56
GET: 228452.62
GET: 228402.28
GET: 228489.03
GET: 228458.80
GET: 228420.05
GET: 228349.81
GET: 228316.77
GET: 228217.25
GET: 228118.86
GET: 228079.30
GET: 228054.70
GET: 228040.17
GET: 228267.45
GET: 228221.67
GET: 228223.67
GET: 228200.16
GET: 228209.78
GET: 228254.23
GET: 228224.16
GET: 228065.25
GET: 226850.77
GET: 225669.03
GET: 224597.25
GET: 223821.31
GET: 223573.00
GET: 223390.02
GET: 223248.84
GET: 223153.30
GET: 223040.42
GET: 222933.88
GET: 222760.39
GET: 222578.73
GET: 222411.36
GET: 222212.66
GET: 222035.69
GET: 221890.73
GET: 221975.41
GET: 222069.59
GET: 222110.14
GET: 222114.08
GET: 222091.17
GET: 222062.97
GET: 222059.77
GET: 222068.81
GET: 222061.86
GET: 222039.23
GET: 221993.67
GET: 221991.62
GET: 221941.00
GET: 221904.48
GET: 221853.84
GET: 221933.61
GET: 221676.11
GET: 221605.92
GET: 221535.11
GET: 221498.72
GET: 221481.48
GET: 221434.34
GET: 221399.89
GET: 221347.89
GET: 221292.38
GET: 221338.95
GET: 221368.56
GET: 221464.38
GET: 221564.98
GET: 221670.08
GET: 221745.62
GET: 221800.12
GET: 221888.22
GET: 221979.78
GET: 222050.50
GET: 222126.31
GET: 222157.39
GET: 222131.47
GET: 222044.52
GET: 222083.62
GET: 222043.16
GET: 222031.98
GET: 222006.05
GET: 222032.19
GET: 222181.67
GET: 222222.80
GET: 222233.95
GET: 222154.00
GET: 221546.77
GET: 220948.47
GET: 220359.16
GET: 219766.61
GET: 219293.25
GET: 218923.06
GET: 218627.08
GET: 218472.05
GET: 218289.89
GET: 218193.80
GET: 218174.17
GET: 218163.94
GET: 218169.55
GET: 218148.95
GET: 218082.64
GET: 218037.97
GET: 217712.62
GET: 217341.61
GET: 216924.62
GET: 216533.62
GET: 216521.02
GET: 216496.62
GET: 216467.94
GET: 216422.02
GET: 216342.75
GET: 216276.64
GET: 216217.02
GET: 216139.36
GET: 216059.72
GET: 215978.11
GET: 215921.55
GET: 215896.25
GET: 215978.77
GET: 216063.19
GET: 216151.06
GET: 216228.56
GET: 216312.72
GET: 216398.08
GET: 216452.48
GET: 216485.23
GET: 216534.22
GET: 216597.48
GET: 216662.14
GET: 216727.56
GET: 216786.89
GET: 216781.38
GET: 216715.36
GET: 216651.75
GET: 216620.30
GET: 216604.39
GET: 216576.09
GET: 216513.42
GET: 216459.06
GET: 216396.77
GET: 216348.92
GET: 216342.89
GET: 216314.38
GET: 216267.55
GET: 216207.34
GET: 216206.98
GET: 216236.23
GET: 216273.38
GET: 216296.92
GET: 216283.80
GET: 216309.31
GET: 216314.17
GET: 216320.11
GET: 216328.05
GET: 216315.34
GET: 216309.80
GET: 216307.95
GET: 216302.77
GET: 216368.17
GET: 216430.62
GET: 216475.31
GET: 216479.97
GET: 216561.08
GET: 216705.00
GET: 216831.67
GET: 216884.23
GET: 217039.47
GET: 217211.66
GET: 217378.61
GET: 217520.16
GET: 217663.64
GET: 217757.34
GET: 217843.23
GET: 217943.69
GET: 218053.02
GET: 218117.25
GET: 218133.17
GET: 218153.67
GET: 218192.80
GET: 218230.89
GET: 218269.42
GET: 218249.77
GET: 217920.02
GET: 217731.53
GET: 217612.23
GET: 217548.42
GET: 217481.50
GET: 217418.91
GET: 217356.78
GET: 217291.42
GET: 217208.97
GET: 217135.11
GET: 217078.09
GET: 217146.80
GET: 217225.48
GET: 217306.36
GET: 217388.41
GET: 217408.16
GET: 217079.58
GET: 216845.56
GET: 216824.11
GET: 216778.97
GET: 216722.52
GET: 216651.91
GET: 216647.50
GET: 216632.36
GET: 216639.53
GET: 216662.53
GET: 216681.83
GET: 216708.61
GET: 216730.58
GET: 216763.36
GET: 216792.97
GET: 216818.25
GET: 216837.92
GET: 216849.16
GET: 216857.28
GET: 216860.31
GET: 216868.45
GET: 216879.42
GET: 216931.05
GET: 216960.27
GET: 216961.33
GET: 216969.84
GET: 216960.58
GET: 216947.09
GET: 216924.31
GET: 216911.95
GET: 216902.80
GET: 216912.27
GET: 216988.36
GET: 217060.47
GET: 217135.89
GET: 217207.19
GET: 217281.77
GET: 217350.92
GET: 217423.58
GET: 217495.38
GET: 217552.17
GET: 217607.33
GET: 217666.72
GET: 217721.56
GET: 217776.06
GET: 217811.77
GET: 217843.80
GET: 217880.75
GET: 217954.45
GET: 217982.64
GET: 217977.59
GET: 217956.47
GET: 217943.31
GET: 217927.05
GET: 217912.91
GET: 217904.69
GET: 217948.28
GET: 217985.25
GET: 218024.83
GET: 218062.97
GET: 218106.72
GET: 218125.55
GET: 218180.41
GET: 218235.50
GET: 218281.23
GET: 218327.25
GET: 218295.09
GET: 218063.72
GET: 217833.23
GET: 217627.70
GET: 217448.38
GET: 217355.92
GET: 217359.08
GET: 217386.31
GET: 217399.97
GET: 217421.69
GET: 217462.92
GET: 217486.23
GET: 217498.56
GET: 217453.97
GET: 217345.81
GET: 217322.44
GET: 217318.59
GET: 217368.78
GET: 217410.77
GET: 217402.23
GET: 217423.45
GET: 217452.88
GET: 217444.47
====== GET ======
  20000176 requests completed in 91.96 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.01% <= 0.3 milliseconds
0.13% <= 0.4 milliseconds
9.01% <= 0.5 milliseconds
61.98% <= 0.6 milliseconds
92.72% <= 0.7 milliseconds
96.05% <= 0.8 milliseconds
97.14% <= 0.9 milliseconds
98.11% <= 1.0 milliseconds
98.96% <= 1.1 milliseconds
99.39% <= 1.2 milliseconds
99.67% <= 1.3 milliseconds
99.75% <= 1.4 milliseconds
99.81% <= 1.5 milliseconds
99.86% <= 1.6 milliseconds
99.90% <= 1.7 milliseconds
99.92% <= 1.8 milliseconds
99.93% <= 1.9 milliseconds
99.94% <= 2 milliseconds
99.98% <= 3 milliseconds
99.99% <= 4 milliseconds
100.00% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 6 milliseconds
217494.88 requests per second


