2023-11-24 14:52:02
GET: -nan
GET: 334688.00
GET: 323904.00
GET: 324512.00
GET: 324440.00
GET: 321081.59
GET: 301237.34
GET: 278610.28
GET: 260796.00
GET: 248273.78
GET: 239248.00
GET: 232279.27
GET: 226205.33
GET: 221070.77
GET: 216772.58
GET: 212563.20
GET: 208442.00
GET: 203815.53
GET: 199687.11
GET: 196259.38
GET: 193044.80
GET: 189953.53
GET: 188097.45
GET: 188884.88
GET: 189562.67
GET: 190008.31
GET: 190692.92
GET: 191393.19
GET: 192051.42
GET: 192802.20
GET: 193353.59
GET: 193790.97
GET: 194004.00
GET: 194113.94
GET: 194221.17
GET: 194389.03
GET: 194562.67
GET: 195061.62
GET: 195558.73
GET: 196058.25
GET: 196403.20
GET: 196769.56
GET: 197141.33
GET: 197490.61
GET: 197889.45
GET: 198216.53
GET: 198745.73
GET: 199018.22
GET: 199157.33
GET: 199175.84
GET: 199206.41
GET: 199215.69
GET: 199204.92
GET: 199199.39
GET: 199047.11
GET: 197741.38
GET: 196640.58
GET: 196567.58
GET: 196621.80
GET: 196706.72
GET: 196794.67
GET: 196933.25
GET: 197055.48
GET: 197176.89
GET: 197304.50
GET: 197457.72
GET: 197863.27
GET: 198224.23
GET: 198616.00
GET: 198956.98
GET: 199357.72
GET: 199917.97
GET: 200324.44
GET: 200573.38
GET: 200759.78
GET: 200884.48
GET: 201009.27
GET: 201125.81
GET: 201241.44
GET: 201348.86
GET: 201500.80
GET: 201660.05
GET: 201799.03
GET: 201868.34
GET: 201987.05
GET: 202085.64
GET: 202278.70
GET: 202502.62
GET: 202669.09
GET: 202766.02
GET: 202829.52
GET: 202903.56
GET: 203009.05
GET: 203147.02
GET: 203308.59
GET: 203475.53
GET: 203630.00
GET: 203809.31
GET: 203962.45
GET: 204127.67
GET: 204390.41
GET: 204607.36
GET: 204782.75
GET: 204392.39
GET: 204307.08
GET: 204195.36
GET: 204172.08
GET: 204219.81
GET: 204213.03
GET: 204217.25
GET: 204288.00
GET: 204493.27
GET: 204709.14
GET: 204710.23
GET: 204723.94
GET: 204771.06
GET: 204811.31
GET: 204880.95
GET: 204974.38
GET: 205035.83
GET: 205056.80
GET: 204994.91
GET: 204968.39
GET: 204926.95
GET: 204899.09
GET: 204923.39
GET: 204933.08
GET: 204900.28
GET: 204865.75
GET: 204842.42
GET: 204846.03
GET: 204851.05
GET: 204952.00
GET: 205037.47
GET: 205073.91
GET: 205011.20
GET: 204909.64
GET: 204611.97
GET: 204613.33
GET: 204555.28
GET: 204105.59
GET: 203724.03
GET: 203500.84
GET: 203406.33
GET: 203468.67
GET: 203602.09
GET: 203740.94
GET: 203877.44
GET: 204012.55
GET: 204161.50
GET: 204317.02
GET: 204518.56
GET: 204696.62
GET: 204890.14
GET: 205060.58
GET: 205225.91
GET: 205398.56
GET: 205532.12
GET: 205695.80
GET: 205716.94
GET: 205878.80
GET: 206008.45
GET: 206108.05
GET: 206244.31
GET: 206398.05
GET: 206530.72
GET: 206740.44
GET: 206494.08
GET: 206280.00
GET: 206056.14
GET: 205847.53
GET: 205847.77
GET: 205826.05
GET: 205768.33
GET: 205686.62
GET: 205597.25
GET: 205532.73
GET: 205587.89
GET: 205649.08
GET: 205736.05
GET: 205774.75
GET: 205852.47
GET: 205931.42
GET: 206022.47
GET: 205949.05
GET: 205864.83
GET: 205809.89
GET: 205863.19
GET: 205910.64
GET: 205976.38
GET: 206040.59
GET: 206060.91
GET: 206086.50
GET: 206117.64
GET: 206099.80
GET: 206061.62
GET: 206034.45
GET: 206012.42
GET: 205995.16
GET: 206162.33
GET: 206342.23
GET: 206512.88
GET: 206661.06
GET: 206807.48
GET: 206933.80
GET: 207101.97
GET: 207261.20
GET: 207419.83
GET: 207551.08
GET: 207574.20
GET: 207599.08
GET: 207616.91
GET: 207616.61
GET: 207620.95
GET: 207661.75
GET: 207662.89
GET: 207681.19
GET: 207719.81
GET: 207751.92
GET: 207786.52
GET: 207817.45
GET: 207851.44
GET: 207840.30
GET: 207832.69
GET: 207825.72
GET: 207812.12
GET: 207795.41
GET: 207779.53
GET: 207781.91
GET: 207780.89
GET: 207773.50
GET: 207858.70
GET: 207863.45
GET: 207844.41
GET: 207781.47
GET: 207690.36
GET: 207607.47
GET: 207667.19
GET: 207761.34
GET: 207883.39
GET: 208001.20
GET: 208056.83
GET: 208090.31
GET: 208125.36
GET: 208198.16
GET: 208272.98
GET: 208344.84
GET: 208486.08
GET: 208592.64
GET: 208720.05
GET: 208811.38
GET: 208861.19
GET: 208907.92
GET: 208968.33
GET: 209020.08
GET: 209078.20
GET: 209134.98
GET: 209201.55
GET: 209260.02
GET: 209330.64
GET: 209403.30
GET: 209476.27
GET: 209543.31
GET: 209605.09
GET: 209695.48
GET: 209730.52
GET: 209762.98
GET: 209788.14
GET: 209820.98
GET: 209837.53
GET: 209856.56
GET: 209890.69
GET: 209944.56
GET: 209998.86
GET: 210035.47
GET: 210086.02
GET: 210129.94
GET: 210173.66
GET: 210221.67
GET: 209979.84
GET: 209842.72
GET: 209822.27
GET: 209777.11
GET: 209762.02
GET: 209887.41
GET: 210039.78
GET: 210165.67
GET: 210227.14
GET: 210310.64
GET: 210344.39
GET: 210370.95
GET: 210434.28
GET: 210540.12
GET: 210658.16
GET: 210742.94
GET: 210816.61
GET: 210760.08
GET: 210682.91
GET: 210619.45
GET: 210554.19
GET: 210534.38
GET: 210562.52
GET: 210601.83
GET: 210648.47
GET: 210683.86
GET: 210705.59
GET: 210743.28
GET: 210771.67
GET: 210804.02
GET: 210829.33
GET: 210815.52
GET: 210536.06
GET: 210265.48
GET: 210048.05
GET: 209884.28
GET: 209725.72
GET: 209582.95
GET: 209546.97
GET: 209522.28
GET: 209499.16
GET: 209482.47
GET: 209463.00
GET: 209439.27
GET: 209443.83
GET: 209490.14
GET: 209540.20
GET: 209537.44
GET: 209524.91
GET: 209510.02
GET: 209481.59
GET: 209475.66
GET: 209458.05
GET: 209428.69
GET: 209415.08
GET: 209410.08
GET: 209398.80
GET: 209382.25
GET: 209344.16
GET: 209303.55
GET: 209266.19
GET: 209223.59
GET: 209179.47
GET: 209163.02
GET: 209230.06
GET: 209313.55
GET: 209393.22
GET: 209389.11
GET: 209422.55
GET: 209474.45
GET: 209507.91
GET: 209503.14
GET: 209476.98
GET: 209441.70
GET: 209413.14
GET: 209397.20
GET: 209428.88
GET: 209459.02
GET: 209481.45
GET: 209484.11
GET: 209338.52
GET: 209242.81
GET: 209152.59
GET: 209065.08
GET: 208988.00
GET: 208987.22
GET: 208992.14
GET: 208998.36
GET: 209012.64
GET: 209067.97
GET: 209156.56
GET: 209196.59
GET: 209237.36
GET: 209277.98
GET: 209345.25
GET: 209432.75
GET: 209663.06
GET: 209902.72
GET: 210193.80
GET: 210497.66
GET: 210842.70
====== GET ======
  20000104 requests completed in 94.82 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.00% <= 0.2 milliseconds
0.02% <= 0.3 milliseconds
1.87% <= 0.4 milliseconds
8.56% <= 0.5 milliseconds
49.18% <= 0.6 milliseconds
86.10% <= 0.7 milliseconds
94.83% <= 0.8 milliseconds
97.12% <= 0.9 milliseconds
98.62% <= 1.0 milliseconds
99.43% <= 1.1 milliseconds
99.58% <= 1.2 milliseconds
99.65% <= 1.3 milliseconds
99.72% <= 1.4 milliseconds
99.79% <= 1.5 milliseconds
99.85% <= 1.6 milliseconds
99.89% <= 1.7 milliseconds
99.91% <= 1.8 milliseconds
99.92% <= 1.9 milliseconds
99.93% <= 2 milliseconds
99.97% <= 3 milliseconds
99.98% <= 4 milliseconds
99.99% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 6 milliseconds
210933.73 requests per second


