2023-11-24 14:52:02
GET: 0.00
GET: 232701.20
GET: 219002.00
GET: 214881.50
GET: 211900.09
GET: 207629.09
GET: 203698.86
GET: 211778.41
GET: 216343.83
GET: 217656.16
GET: 218104.77
GET: 218323.53
GET: 218380.55
GET: 218704.41
GET: 219697.23
GET: 219521.20
GET: 219457.14
GET: 219366.73
GET: 219106.88
GET: 218785.09
GET: 218492.31
GET: 218137.50
GET: 216686.42
GET: 213329.16
GET: 210058.33
GET: 206847.09
GET: 203955.70
GET: 202018.97
GET: 201328.77
GET: 201536.69
GET: 201910.97
GET: 202372.55
GET: 202435.39
GET: 202553.56
GET: 203010.12
GET: 203497.27
GET: 204127.09
GET: 204904.45
GET: 205628.30
GET: 206417.56
GET: 207198.56
GET: 207939.92
GET: 208511.91
GET: 208895.84
GET: 209366.30
GET: 209736.23
GET: 210225.70
GET: 210608.58
GET: 210998.84
GET: 211676.80
GET: 212099.19
GET: 212312.08
GET: 212581.09
GET: 212818.22
GET: 212636.59
GET: 210988.52
GET: 209496.72
GET: 208498.39
GET: 207588.53
GET: 207380.78
GET: 207374.58
GET: 207467.16
GET: 207584.11
GET: 207639.45
GET: 207821.55
GET: 208016.73
GET: 208227.34
GET: 208465.56
GET: 208768.72
GET: 209242.08
GET: 209725.23
GET: 210027.16
GET: 210350.91
GET: 210628.11
GET: 211144.67
GET: 211673.48
GET: 211949.70
GET: 212206.30
GET: 212398.47
GET: 212706.47
GET: 213048.75
GET: 213452.48
GET: 213947.83
GET: 214459.38
GET: 214989.58
GET: 215245.73
GET: 215440.14
GET: 215764.66
GET: 216072.36
GET: 216358.41
GET: 216453.59
GET: 216574.12
GET: 216705.94
GET: 216843.88
GET: 217024.47
GET: 217333.62
GET: 217574.02
GET: 217711.48
GET: 217684.56
GET: 217408.38
GET: 217150.50
GET: 216835.64
GET: 216805.19
GET: 216512.84
GET: 216218.73
GET: 216088.98
GET: 215920.62
GET: 215875.02
GET: 215736.64
GET: 215686.23
GET: 215698.39
GET: 215702.55
GET: 215670.06
GET: 215582.67
GET: 215489.78
GET: 215395.73
GET: 215357.64
GET: 215346.98
GET: 215389.67
GET: 215579.23
GET: 215633.94
GET: 215654.14
GET: 215759.78
GET: 215817.92
GET: 215998.97
GET: 216131.31
GET: 216252.67
GET: 216389.98
GET: 216516.41
GET: 216644.61
GET: 216784.12
GET: 216868.75
GET: 216893.44
GET: 216951.19
GET: 217049.86
GET: 217203.72
GET: 217331.33
GET: 217454.97
GET: 217464.83
GET: 217468.09
GET: 217629.02
GET: 217680.55
GET: 217667.81
GET: 217666.00
GET: 217681.77
GET: 217665.31
GET: 217656.75
GET: 217659.42
GET: 217643.23
GET: 217631.78
GET: 217549.02
GET: 217424.33
GET: 217254.98
GET: 217086.81
GET: 216829.59
GET: 216605.23
GET: 216589.86
GET: 216589.58
GET: 216615.61
GET: 216591.81
GET: 216633.72
GET: 216622.42
GET: 216418.70
GET: 216297.58
GET: 216284.84
GET: 216217.77
GET: 216146.67
GET: 216125.11
GET: 216128.73
GET: 216140.47
GET: 216140.97
GET: 216140.33
GET: 216144.16
GET: 216153.88
GET: 216159.23
GET: 216159.42
GET: 216196.70
GET: 216259.03
GET: 216324.98
GET: 216378.23
GET: 216522.95
GET: 216634.44
GET: 216637.64
GET: 216497.08
GET: 216369.88
GET: 216255.62
GET: 216181.31
GET: 216108.64
GET: 216108.06
GET: 216164.38
GET: 216343.38
GET: 216526.34
GET: 216663.92
GET: 216826.94
GET: 217008.88
GET: 217138.09
GET: 217264.84
GET: 217478.50
GET: 217653.81
GET: 217923.66
GET: 218192.09
GET: 218285.45
GET: 218374.89
GET: 218410.48
GET: 218244.02
GET: 218065.75
GET: 217981.78
GET: 217938.36
GET: 217889.81
GET: 217836.06
GET: 217836.02
GET: 217855.22
GET: 217879.52
GET: 217902.55
GET: 217893.95
GET: 217856.27
GET: 217839.53
GET: 217936.33
GET: 218043.27
GET: 218151.55
GET: 218227.14
GET: 218273.97
GET: 218344.58
GET: 218404.66
GET: 218481.06
GET: 218538.16
GET: 218591.06
GET: 218632.36
GET: 218633.88
GET: 218636.77
GET: 218626.97
GET: 218652.44
GET: 218667.08
GET: 218686.80
GET: 218699.25
GET: 218713.50
GET: 218733.73
GET: 218759.45
GET: 218778.11
GET: 218793.41
GET: 218824.83
GET: 218852.94
GET: 218868.52
GET: 218865.53
GET: 218892.75
GET: 218904.70
GET: 219011.00
GET: 219071.48
GET: 218873.31
GET: 218586.27
GET: 218373.05
GET: 218259.83
GET: 218195.38
GET: 218108.03
GET: 218063.70
GET: 217996.52
GET: 217915.23
GET: 217847.28
GET: 217782.44
GET: 217703.91
GET: 217630.66
GET: 217571.20
GET: 217571.06
GET: 217534.55
GET: 217559.16
GET: 217615.58
GET: 217628.77
GET: 217596.41
GET: 217575.53
GET: 217578.83
GET: 217547.03
GET: 217513.34
GET: 217475.55
GET: 217438.50
GET: 217406.62
GET: 217380.09
GET: 217367.91
GET: 217372.22
GET: 217362.33
GET: 217172.69
GET: 216986.56
GET: 216834.00
GET: 216704.08
GET: 216659.64
GET: 216582.84
GET: 216510.84
GET: 216442.27
GET: 216369.70
GET: 216307.88
GET: 216239.83
GET: 216170.14
GET: 216111.83
GET: 216059.84
GET: 216012.89
GET: 215972.80
GET: 215951.52
GET: 215906.39
GET: 215948.72
GET: 215992.39
GET: 216027.30
GET: 216058.67
GET: 216105.78
GET: 216135.52
GET: 216150.28
GET: 216155.69
GET: 216178.47
GET: 216192.52
GET: 216225.56
GET: 216260.67
GET: 216306.73
GET: 216348.78
GET: 216410.53
GET: 216459.67
GET: 216488.16
GET: 216514.72
GET: 216567.75
GET: 216634.91
GET: 216751.50
GET: 216867.17
GET: 216990.94
GET: 217090.03
GET: 217111.55
GET: 217148.05
GET: 217183.42
GET: 217218.69
GET: 217242.89
GET: 217237.91
GET: 217078.92
GET: 216890.77
GET: 216765.52
GET: 216658.00
GET: 216588.14
GET: 216569.12
GET: 216559.83
GET: 216579.80
GET: 216608.44
GET: 216601.48
GET: 216560.97
GET: 216520.11
GET: 216480.06
GET: 216422.84
GET: 216364.66
GET: 216342.81
GET: 216372.14
GET: 216417.66
GET: 216454.09
GET: 216478.50
GET: 216482.83
GET: 216485.48
GET: 216505.83
GET: 216460.59
GET: 216507.97
GET: 216599.78
GET: 216691.62
GET: 216761.81
GET: 216849.34
GET: 216960.22
GET: 217058.45
GET: 217157.11
GET: 217280.45
GET: 217402.50
GET: 217548.22
GET: 217753.80
GET: 217958.94
GET: 218173.23
GET: 218300.78
GET: 218436.39
====== GET ======
  20000064 requests completed in 91.55 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
0.08% <= 0.4 milliseconds
10.19% <= 0.5 milliseconds
62.84% <= 0.6 milliseconds
92.01% <= 0.7 milliseconds
96.83% <= 0.8 milliseconds
98.20% <= 0.9 milliseconds
99.05% <= 1.0 milliseconds
99.42% <= 1.1 milliseconds
99.58% <= 1.2 milliseconds
99.66% <= 1.3 milliseconds
99.73% <= 1.4 milliseconds
99.79% <= 1.5 milliseconds
99.83% <= 1.6 milliseconds
99.86% <= 1.7 milliseconds
99.88% <= 1.8 milliseconds
99.89% <= 1.9 milliseconds
99.90% <= 2 milliseconds
99.93% <= 3 milliseconds
99.95% <= 4 milliseconds
99.98% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 11 milliseconds
218458.17 requests per second


