2023-11-24 14:52:02
GET: -nan
GET: 232352.00
GET: 224704.00
GET: 221507.33
GET: 219116.88
GET: 216575.53
GET: 231930.70
GET: 238999.42
GET: 243806.11
GET: 247008.45
GET: 249807.28
GET: 252146.86
GET: 253811.41
GET: 253834.52
GET: 251724.66
GET: 249313.78
GET: 246998.25
GET: 245314.52
GET: 243586.77
GET: 242000.42
GET: 240159.97
GET: 238237.30
GET: 236698.78
GET: 235360.81
GET: 234007.67
GET: 233543.44
GET: 234938.62
GET: 236403.50
GET: 237483.80
GET: 238514.97
GET: 239609.66
GET: 240598.64
GET: 241518.80
GET: 242363.83
GET: 243020.81
GET: 243378.80
GET: 243422.72
GET: 243397.67
GET: 243812.64
GET: 244127.56
GET: 244761.11
GET: 245495.66
GET: 246233.30
GET: 246854.05
GET: 247323.69
GET: 247183.00
GET: 246552.47
GET: 245907.23
GET: 245331.55
GET: 245151.58
GET: 244926.95
GET: 244727.47
GET: 244544.88
GET: 244367.36
GET: 244268.12
GET: 244041.02
GET: 243668.30
GET: 243310.92
GET: 242870.97
GET: 242586.94
GET: 242222.78
GET: 241945.05
GET: 241647.89
GET: 241328.16
GET: 240993.45
GET: 240927.95
GET: 241183.45
GET: 241413.66
GET: 241624.86
GET: 241853.12
GET: 242110.06
GET: 242476.48
GET: 242810.08
GET: 243107.34
GET: 243376.25
GET: 243595.77
GET: 243863.80
GET: 244099.95
GET: 244300.92
GET: 244566.45
GET: 244906.56
GET: 245202.72
GET: 245355.84
GET: 245543.83
GET: 245933.81
GET: 246254.02
GET: 246517.66
GET: 246265.47
GET: 245923.38
GET: 245601.19
GET: 245334.53
GET: 245022.03
GET: 244723.62
GET: 244428.55
GET: 244164.94
GET: 243777.53
GET: 243341.53
GET: 243019.42
GET: 242596.80
GET: 242197.58
GET: 241800.89
GET: 241373.42
GET: 240541.16
GET: 239196.62
GET: 237925.94
GET: 236674.88
GET: 235537.98
GET: 234480.06
GET: 233438.17
GET: 232419.48
GET: 231428.39
GET: 230439.31
GET: 229473.12
GET: 228538.14
GET: 227738.27
GET: 226984.31
GET: 226329.97
GET: 226292.55
GET: 226228.66
GET: 226313.45
GET: 226429.09
GET: 226557.09
GET: 226646.30
GET: 226724.16
GET: 226820.38
GET: 226863.84
GET: 226723.55
GET: 226582.94
GET: 226429.53
GET: 226343.48
GET: 226291.50
GET: 226256.66
GET: 226218.72
GET: 226171.00
GET: 225980.73
GET: 225854.66
GET: 225670.69
GET: 225663.39
GET: 225700.50
GET: 225751.11
GET: 225830.94
GET: 225873.55
GET: 225902.95
GET: 225810.66
GET: 225734.53
GET: 225656.38
GET: 225591.55
GET: 225513.47
GET: 225459.78
GET: 225435.17
GET: 225414.94
GET: 225462.78
GET: 225411.27
GET: 225414.17
GET: 225039.31
GET: 224952.09
GET: 224846.72
GET: 224743.91
GET: 224675.41
GET: 224637.75
GET: 224600.17
GET: 224522.11
GET: 224450.94
GET: 224368.08
GET: 224302.81
GET: 224228.06
GET: 224302.06
GET: 224726.95
GET: 225094.78
GET: 225357.92
GET: 225595.19
GET: 225803.67
GET: 226027.22
GET: 226271.67
GET: 226450.78
GET: 226628.41
GET: 226889.08
GET: 227130.19
GET: 227356.00
GET: 227579.83
GET: 227801.53
GET: 227999.39
GET: 228171.52
GET: 228006.22
GET: 227789.33
GET: 227591.05
GET: 227390.92
GET: 227188.84
GET: 227004.41
GET: 226884.56
GET: 226796.62
GET: 226732.06
GET: 226686.17
GET: 226648.22
GET: 226628.47
GET: 226596.77
GET: 226587.94
GET: 226589.41
GET: 226576.34
GET: 226577.22
GET: 226563.69
GET: 226535.50
GET: 226502.83
GET: 226423.83
GET: 226333.05
GET: 226242.84
GET: 226143.88
GET: 226046.19
GET: 225969.12
GET: 225891.11
GET: 225800.89
GET: 225714.27
GET: 225651.39
GET: 225587.75
GET: 225553.27
GET: 225465.23
GET: 225377.27
GET: 225272.86
GET: 225200.53
GET: 225118.34
GET: 225045.73
GET: 224961.81
GET: 224879.64
GET: 224784.88
GET: 224667.09
GET: 224600.27
GET: 224564.91
GET: 224533.53
GET: 224480.94
GET: 224421.28
GET: 224368.25
GET: 224345.33
GET: 224317.08
GET: 224299.38
GET: 224260.36
GET: 224209.95
GET: 224184.94
GET: 224180.38
GET: 224128.25
GET: 224120.89
GET: 224164.25
GET: 224239.64
GET: 224317.20
GET: 224394.11
GET: 224464.88
GET: 224541.22
GET: 224603.53
GET: 224659.12
GET: 224716.98
GET: 224770.77
GET: 224809.67
GET: 224840.36
GET: 224854.03
GET: 224852.30
GET: 224844.92
GET: 224850.64
GET: 224822.20
GET: 224751.91
GET: 224680.16
GET: 224631.44
GET: 224557.88
GET: 224534.28
GET: 224508.31
GET: 224462.09
GET: 224402.89
GET: 224365.39
GET: 224338.39
GET: 224303.92
GET: 224273.06
GET: 224236.36
GET: 224197.92
GET: 224137.33
GET: 224075.77
GET: 224073.14
GET: 224077.44
GET: 224077.73
GET: 224076.17
GET: 224092.19
GET: 224024.53
GET: 223788.52
GET: 223584.48
GET: 223625.14
GET: 223661.75
GET: 223699.81
GET: 223751.69
GET: 223801.50
GET: 223823.45
GET: 223854.84
GET: 223820.91
GET: 223799.83
GET: 223782.09
GET: 223759.86
GET: 223735.47
GET: 223707.22
GET: 223495.66
GET: 223434.78
GET: 223365.23
GET: 223319.86
GET: 223279.41
GET: 223204.66
GET: 223115.89
GET: 223050.69
GET: 222997.14
GET: 223022.00
GET: 223152.89
GET: 223248.00
GET: 223237.80
GET: 223233.09
GET: 223211.17
GET: 223192.91
GET: 223186.73
GET: 223163.11
GET: 223155.73
GET: 223165.80
GET: 223143.39
GET: 223109.84
GET: 223083.59
GET: 223061.75
GET: 223042.97
GET: 223016.08
GET: 222988.25
GET: 222969.48
GET: 222939.78
GET: 222921.17
GET: 222940.89
GET: 222940.61
GET: 222962.02
GET: 222985.06
GET: 222989.03
GET: 223012.33
GET: 223037.62
GET: 223057.75
GET: 223109.73
GET: 223155.17
GET: 223192.28
GET: 223240.83
GET: 223288.70
GET: 223341.81
GET: 223389.00
GET: 223438.77
GET: 223441.72
GET: 223418.88
GET: 223413.55
GET: 223438.58
GET: 223440.88
GET: 223434.14
GET: 223423.94
GET: 223409.00
GET: 223406.11
GET: 223404.97
GET: 223384.44
GET: 223369.70
GET: 223346.86
GET: 223327.95
GET: 223305.53
GET: 223309.64
GET: 223309.06
GET: 223292.19
GET: 223274.14
====== GET ======
  20000088 requests completed in 89.57 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
0.20% <= 0.4 milliseconds
19.46% <= 0.5 milliseconds
67.75% <= 0.6 milliseconds
94.70% <= 0.7 milliseconds
96.83% <= 0.8 milliseconds
97.33% <= 0.9 milliseconds
98.00% <= 1.0 milliseconds
98.77% <= 1.1 milliseconds
99.29% <= 1.2 milliseconds
99.56% <= 1.3 milliseconds
99.69% <= 1.4 milliseconds
99.75% <= 1.5 milliseconds
99.80% <= 1.6 milliseconds
99.84% <= 1.7 milliseconds
99.87% <= 1.8 milliseconds
99.88% <= 1.9 milliseconds
99.89% <= 2 milliseconds
99.93% <= 3 milliseconds
99.96% <= 4 milliseconds
99.99% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 7 milliseconds
223277.58 requests per second


