2023-11-24 14:52:02
GET: -nan
GET: 220320.00
GET: 211328.00
GET: 208821.33
GET: 207496.00
GET: 203340.80
GET: 194544.00
GET: 186505.14
GET: 186604.00
GET: 187292.44
GET: 189888.00
GET: 191927.27
GET: 193573.33
GET: 195158.16
GET: 196790.86
GET: 198222.94
GET: 200426.00
GET: 202196.70
GET: 203879.11
GET: 205286.73
GET: 206104.00
GET: 206474.67
GET: 206488.73
GET: 206436.17
GET: 206276.00
GET: 206062.08
GET: 206052.92
GET: 206117.92
GET: 206169.14
GET: 206023.72
GET: 205989.33
GET: 206168.78
GET: 206107.00
GET: 206320.48
GET: 206662.59
GET: 207008.00
GET: 207382.22
GET: 207755.25
GET: 208137.27
GET: 208274.05
GET: 208472.80
GET: 208654.05
GET: 208695.62
GET: 208800.00
GET: 209163.64
GET: 209474.14
GET: 209851.12
GET: 210087.48
GET: 210408.67
GET: 210753.95
GET: 211016.31
GET: 211155.45
GET: 211337.23
GET: 211550.80
GET: 211498.08
GET: 211478.11
GET: 211596.00
GET: 211658.67
GET: 211671.17
GET: 211728.81
GET: 211767.47
GET: 211512.12
GET: 211204.12
GET: 210980.06
GET: 211094.00
GET: 211066.58
GET: 211138.91
GET: 211278.33
GET: 211384.94
GET: 211513.97
GET: 211663.08
GET: 211899.05
GET: 212123.11
GET: 212338.84
GET: 212525.84
GET: 212570.03
GET: 212675.38
GET: 212915.95
GET: 213100.31
GET: 213126.48
GET: 213201.59
GET: 213341.23
GET: 213461.86
GET: 213490.89
GET: 213377.14
GET: 213346.64
GET: 213299.72
GET: 213248.73
GET: 213196.73
GET: 213072.55
GET: 212931.20
GET: 212898.11
GET: 212978.44
GET: 213042.58
GET: 213158.12
GET: 213326.14
GET: 213587.33
GET: 213870.84
GET: 214247.52
GET: 214623.36
GET: 215159.05
GET: 215646.73
GET: 216122.36
GET: 216433.09
GET: 216675.39
GET: 216875.89
GET: 217020.67
GET: 217164.86
GET: 217397.03
GET: 217702.17
GET: 217935.42
GET: 218189.84
GET: 218411.42
GET: 218545.84
GET: 218788.48
GET: 219056.70
GET: 219331.31
GET: 219538.59
GET: 219649.89
GET: 219623.53
GET: 219587.47
GET: 219585.33
GET: 219591.34
GET: 219552.00
GET: 219438.70
GET: 219396.36
GET: 219383.36
GET: 219342.36
GET: 219298.50
GET: 219284.34
GET: 219264.50
GET: 219209.03
GET: 219179.39
GET: 219161.50
GET: 219126.50
GET: 219059.73
GET: 218936.31
GET: 218832.42
GET: 218719.16
GET: 218620.64
GET: 218562.14
GET: 218506.53
GET: 218459.81
GET: 218407.25
GET: 218305.66
GET: 218255.11
GET: 218201.31
GET: 218158.91
GET: 218130.27
GET: 218095.78
GET: 217957.88
GET: 217856.75
GET: 217735.50
GET: 217765.98
GET: 217930.09
GET: 218038.41
GET: 218110.47
GET: 218184.25
GET: 218260.55
GET: 218372.11
GET: 218440.08
GET: 218440.03
GET: 218429.52
GET: 218507.47
GET: 218587.98
GET: 218667.70
GET: 218739.16
GET: 218748.42
GET: 218738.34
GET: 218813.80
GET: 218940.48
GET: 219016.47
GET: 219045.08
GET: 219084.25
GET: 219127.41
GET: 219128.00
GET: 219170.77
GET: 219224.62
GET: 219276.62
GET: 219315.34
GET: 219348.12
GET: 219355.08
GET: 219417.00
GET: 219593.81
GET: 219745.75
GET: 219922.86
GET: 220088.95
GET: 220201.23
GET: 220230.12
GET: 220243.12
GET: 220335.83
GET: 220335.58
GET: 220356.16
GET: 220366.58
GET: 220400.98
GET: 220405.00
GET: 220519.50
GET: 220726.88
GET: 220832.94
GET: 220799.33
GET: 220775.02
GET: 220722.92
GET: 220689.25
GET: 220635.56
GET: 220563.75
GET: 220219.47
GET: 219837.53
GET: 219431.75
GET: 219122.19
GET: 218826.77
GET: 218472.30
GET: 218103.28
GET: 218104.38
GET: 218157.14
GET: 218192.08
GET: 218220.72
GET: 218300.95
GET: 218404.64
GET: 218487.41
GET: 218599.80
GET: 218671.61
GET: 218678.64
GET: 218669.17
GET: 218659.78
GET: 218666.34
GET: 218664.73
GET: 218658.89
GET: 218666.48
GET: 218662.36
GET: 218658.28
GET: 218676.78
GET: 218763.83
GET: 218857.70
GET: 218923.03
GET: 218998.73
GET: 219066.45
GET: 219117.05
GET: 219141.70
GET: 219145.72
GET: 219113.94
GET: 219094.44
GET: 219098.86
GET: 219103.64
GET: 219074.27
GET: 219019.70
GET: 218947.44
GET: 218753.22
GET: 218523.12
GET: 218346.38
GET: 218285.30
GET: 218259.00
GET: 218255.11
GET: 218241.97
GET: 218244.86
GET: 218242.45
GET: 218319.75
GET: 218359.31
GET: 218432.80
GET: 218537.23
GET: 218632.58
GET: 218738.62
GET: 218848.41
GET: 218943.19
GET: 219011.08
GET: 219016.88
GET: 219029.17
GET: 219031.86
GET: 219011.98
GET: 218969.34
GET: 218944.16
GET: 218910.97
GET: 218928.80
GET: 218980.03
GET: 219034.05
GET: 219081.84
GET: 219137.42
GET: 219156.67
GET: 219156.94
GET: 219085.95
GET: 218940.48
GET: 218850.78
GET: 218768.89
GET: 218725.72
GET: 218802.25
GET: 218876.31
GET: 218957.73
GET: 219031.64
GET: 219111.61
GET: 219190.58
GET: 219263.36
GET: 219332.00
GET: 219381.14
GET: 219445.17
GET: 219512.92
GET: 219561.27
GET: 219574.14
GET: 219577.86
GET: 219579.48
GET: 219610.44
GET: 219673.06
GET: 219677.45
GET: 219723.81
GET: 219772.83
GET: 219813.39
GET: 219842.33
GET: 219853.75
GET: 219853.08
GET: 219849.70
GET: 219856.00
GET: 219855.44
GET: 219695.39
GET: 219384.41
GET: 219059.48
GET: 218737.28
GET: 218607.59
GET: 218631.62
GET: 218654.89
GET: 218664.69
GET: 218664.45
GET: 218673.86
GET: 218686.50
GET: 218741.44
GET: 218787.48
GET: 218828.28
GET: 218875.25
GET: 218925.58
GET: 218979.33
GET: 219044.30
GET: 219087.80
GET: 219138.70
GET: 219190.09
GET: 219234.78
GET: 219292.80
GET: 219366.12
GET: 219420.72
GET: 219459.61
GET: 219501.97
GET: 219541.91
GET: 219592.69
GET: 219666.75
GET: 219797.05
GET: 219925.55
GET: 219755.84
GET: 219441.61
GET: 219146.03
GET: 218902.81
GET: 218729.72
GET: 218612.02
GET: 218495.55
GET: 218372.50
GET: 218253.09
GET: 218207.11
GET: 218159.20
GET: 218142.84
GET: 218158.22
GET: 218146.45
GET: 218113.55
GET: 218083.16
GET: 218062.59
GET: 218083.41
GET: 218096.73
GET: 218110.69
GET: 218118.83
GET: 218128.50
GET: 218134.88
GET: 218141.12
GET: 218149.17
====== GET ======
  20000008 requests completed in 91.68 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
0.01% <= 0.4 milliseconds
6.05% <= 0.5 milliseconds
65.73% <= 0.6 milliseconds
93.64% <= 0.7 milliseconds
96.44% <= 0.8 milliseconds
97.57% <= 0.9 milliseconds
98.46% <= 1.0 milliseconds
99.03% <= 1.1 milliseconds
99.45% <= 1.2 milliseconds
99.60% <= 1.3 milliseconds
99.67% <= 1.4 milliseconds
99.73% <= 1.5 milliseconds
99.77% <= 1.6 milliseconds
99.81% <= 1.7 milliseconds
99.83% <= 1.8 milliseconds
99.84% <= 1.9 milliseconds
99.85% <= 2 milliseconds
99.90% <= 3 milliseconds
99.93% <= 4 milliseconds
99.98% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 8 milliseconds
218154.94 requests per second


