2023-11-24 14:56:02
GET: -nan
GET: 332000.00
GET: 297744.00
GET: 286794.66
GET: 285136.00
GET: 287744.00
GET: 290320.00
GET: 291858.28
GET: 291160.00
GET: 290275.56
GET: 289776.00
GET: 289649.47
GET: 289341.34
GET: 288888.62
GET: 286907.44
GET: 284140.81
GET: 283160.00
GET: 282396.25
GET: 281667.56
GET: 280538.94
GET: 278931.19
GET: 273152.00
GET: 267194.19
GET: 261748.88
GET: 257044.00
GET: 252887.05
GET: 249037.53
GET: 245498.08
GET: 242492.58
GET: 240195.31
GET: 238062.94
GET: 236036.12
GET: 234154.00
GET: 232582.78
GET: 231343.06
GET: 230197.03
GET: 228360.89
GET: 226591.14
GET: 225513.27
GET: 223932.72
GET: 221906.41
GET: 220515.12
GET: 219941.33
GET: 219426.98
GET: 218643.64
GET: 217886.58
GET: 217206.27
GET: 216484.08
GET: 215794.67
GET: 215084.41
GET: 214432.64
GET: 213800.16
GET: 212722.47
GET: 211162.56
GET: 209529.48
GET: 207794.62
GET: 206102.28
GET: 205005.47
GET: 204072.83
GET: 203170.72
GET: 202790.94
GET: 202745.70
GET: 202791.22
GET: 202850.03
GET: 202950.00
GET: 203071.50
GET: 203156.36
GET: 202941.61
GET: 202918.59
GET: 202968.58
GET: 203012.58
GET: 202676.28
GET: 202378.67
GET: 201928.77
GET: 201561.08
GET: 201274.03
GET: 200660.20
GET: 199620.98
GET: 198994.05
GET: 199300.45
GET: 199669.59
GET: 200050.97
GET: 200445.66
GET: 200855.91
GET: 201252.19
GET: 200650.92
GET: 199758.89
GET: 198756.41
GET: 197764.73
GET: 196776.27
GET: 195908.62
GET: 195179.25
GET: 194476.88
GET: 193784.78
GET: 193097.53
GET: 192421.39
GET: 191777.33
GET: 191130.06
GET: 190482.94
GET: 189851.16
GET: 189484.48
GET: 189089.91
GET: 188680.16
GET: 188383.69
GET: 188219.08
GET: 188006.09
GET: 187875.62
GET: 187707.52
GET: 187542.81
GET: 187355.89
GET: 187168.30
GET: 186806.20
GET: 186422.58
GET: 186041.48
GET: 185691.52
GET: 185352.91
GET: 185309.80
GET: 185432.89
GET: 185429.42
GET: 185228.09
GET: 185055.47
GET: 185108.89
GET: 185245.11
GET: 185363.52
GET: 185411.61
GET: 185441.53
GET: 185459.30
GET: 185480.81
GET: 185561.50
GET: 185575.69
GET: 185440.00
GET: 185285.62
GET: 185128.25
GET: 184800.72
GET: 184486.92
GET: 184366.45
GET: 184285.41
GET: 184382.83
GET: 184486.03
GET: 184580.83
GET: 184626.75
GET: 184735.55
GET: 184812.84
GET: 184852.36
GET: 184884.00
GET: 184922.27
GET: 184953.20
GET: 185003.53
GET: 184905.30
GET: 184745.67
GET: 184500.69
GET: 184211.92
GET: 183913.89
GET: 183625.83
GET: 183556.36
GET: 183587.30
GET: 183689.03
GET: 183626.80
GET: 183517.17
GET: 183626.27
GET: 183751.80
GET: 183888.89
GET: 184062.22
GET: 184260.72
GET: 184462.83
GET: 184658.03
GET: 184845.11
GET: 185001.97
GET: 185175.23
GET: 185347.03
GET: 185515.86
GET: 185698.44
GET: 185864.75
GET: 185900.39
GET: 185917.42
GET: 185935.55
GET: 185966.36
GET: 186050.34
GET: 186138.42
GET: 186222.84
GET: 186319.28
GET: 186366.94
GET: 186390.33
GET: 186390.03
GET: 186396.00
GET: 186398.09
GET: 186408.95
GET: 186447.92
GET: 186471.66
GET: 186489.91
GET: 186511.66
GET: 186480.42
GET: 186442.33
GET: 186390.39
GET: 186434.97
GET: 186487.62
GET: 186526.05
GET: 186622.05
GET: 186645.50
GET: 186500.19
GET: 186345.77
GET: 186175.84
GET: 186032.16
GET: 185896.67
GET: 185752.78
GET: 185506.81
GET: 185264.62
GET: 184993.39
GET: 184738.47
GET: 184516.75
GET: 184273.53
GET: 184023.66
