2023-11-24 14:56:02
GET: 0.00
GET: 253418.34
GET: 212534.94
GET: 198881.50
GET: 202589.41
GET: 207577.94
GET: 210568.95
GET: 212628.20
GET: 213437.30
GET: 213313.20
GET: 213895.25
GET: 214095.25
GET: 214501.84
GET: 215165.80
GET: 216253.64
GET: 217194.36
GET: 218075.48
GET: 218830.39
GET: 219345.03
GET: 219302.05
GET: 220109.58
GET: 220931.64
GET: 221309.58
GET: 221686.67
GET: 222100.31
GET: 222263.33
GET: 222795.27
GET: 223318.62
GET: 223642.34
GET: 223702.11
GET: 223861.36
GET: 223997.94
GET: 223932.00
GET: 223958.30
GET: 224248.44
GET: 224132.55
GET: 222110.42
GET: 221898.59
GET: 221896.64
GET: 221906.25
GET: 222042.59
GET: 222055.20
GET: 222486.23
GET: 223148.72
GET: 223811.64
GET: 224501.98
GET: 225043.38
GET: 225706.73
GET: 226377.12
GET: 226836.00
GET: 227221.50
GET: 227637.05
GET: 227907.39
GET: 227871.70
GET: 227855.11
GET: 228074.75
GET: 228189.41
GET: 228229.31
GET: 228454.31
GET: 228751.41
GET: 228856.73
GET: 228937.11
GET: 228882.27
GET: 228743.31
GET: 228698.72
GET: 228740.14
GET: 228676.58
GET: 228604.86
GET: 228523.97
GET: 228463.98
GET: 228493.47
GET: 228553.67
GET: 228721.52
GET: 228903.62
GET: 229042.77
GET: 229134.23
GET: 229219.09
GET: 229138.86
GET: 228939.23
GET: 228657.59
GET: 228564.98
GET: 228611.33
GET: 228657.34
GET: 228694.14
GET: 228893.88
GET: 229103.95
GET: 229293.91
GET: 229493.45
GET: 229681.92
GET: 229879.47
GET: 229968.09
GET: 230153.23
GET: 230303.73
GET: 230388.38
GET: 230556.33
GET: 230681.33
GET: 230818.72
GET: 230982.97
GET: 231080.20
GET: 231185.50
GET: 231121.31
GET: 231192.11
GET: 231268.11
GET: 231317.47
GET: 231372.95
GET: 231407.27
GET: 231404.70
GET: 231412.36
GET: 231423.14
GET: 231444.28
GET: 231447.88
GET: 231457.47
GET: 231466.88
GET: 231401.94
GET: 231411.11
GET: 231423.19
GET: 231509.27
GET: 231589.77
GET: 231708.22
GET: 231830.06
GET: 231960.00
GET: 232086.75
GET: 232202.48
GET: 232285.66
GET: 232362.58
GET: 232459.77
GET: 232542.72
GET: 232579.77
GET: 232656.73
GET: 232742.19
GET: 232893.77
GET: 233037.66
GET: 233061.80
GET: 233083.16
GET: 233029.94
GET: 232958.08
GET: 232867.27
GET: 232803.02
GET: 232705.84
GET: 232602.23
GET: 232510.39
GET: 232521.75
GET: 232556.61
GET: 232600.16
GET: 232627.98
GET: 232650.58
GET: 232678.12
GET: 232677.64
GET: 232715.23
GET: 232715.36
GET: 232750.92
GET: 232809.73
GET: 232841.45
GET: 232881.77
GET: 232907.41
GET: 232897.02
GET: 232892.70
GET: 232841.97
GET: 232863.58
GET: 232892.97
GET: 232927.38
GET: 232962.56
GET: 232913.95
GET: 232946.05
GET: 232939.11
GET: 232913.62
GET: 232899.84
GET: 232842.14
GET: 232770.66
GET: 232743.38
GET: 232659.56
GET: 232555.59
GET: 232491.72
GET: 232406.38
GET: 232338.56
GET: 232328.77
GET: 232382.91
GET: 232441.84
GET: 232479.45
GET: 232530.94
GET: 232677.86
GET: 232867.17
GET: 233060.91
GET: 233163.34
GET: 233136.33
GET: 233132.78
GET: 233149.22
GET: 233153.86
GET: 233153.00
GET: 233134.70
GET: 233093.88
GET: 233019.62
GET: 232908.31
GET: 232794.19
GET: 232679.91
GET: 232609.80
GET: 232614.69
GET: 232625.53
GET: 232662.12
GET: 232685.02
GET: 232711.67
GET: 232742.20
GET: 232781.14
GET: 232814.33
GET: 232829.95
GET: 232848.06
GET: 232871.91
GET: 232893.20
GET: 232906.45
GET: 232916.81
GET: 232938.66
GET: 232955.89
GET: 232943.08
GET: 232953.83
GET: 232954.91
GET: 232978.89
GET: 232976.28
GET: 232953.34
GET: 232927.39
GET: 232951.66
GET: 232978.45
GET: 233008.34
GET: 233048.20
GET: 233077.66
GET: 233110.98
GET: 233130.36
GET: 233155.66
GET: 233169.75
GET: 233128.41
GET: 233118.31
GET: 233116.78
GET: 233123.17
GET: 233125.22
GET: 233135.36
GET: 233153.34
GET: 233184.12
GET: 233220.45
GET: 233256.89
GET: 233280.39
GET: 233297.12
GET: 233328.25
GET: 233334.28
GET: 233318.45
GET: 233301.58
GET: 233262.80
GET: 233217.69
GET: 233189.06
GET: 233149.27
GET: 233114.69
GET: 233108.16
GET: 233121.52
GET: 233128.66
GET: 233151.47
GET: 233178.30
GET: 233166.34
GET: 233180.59
GET: 233193.86
GET: 233211.00
GET: 233282.34
GET: 233348.42
GET: 233401.58
GET: 233448.44
GET: 233488.47
GET: 233526.61
GET: 233556.34
GET: 233571.36
GET: 233591.80
GET: 233612.08
GET: 233624.09
GET: 233644.70
GET: 233660.55
GET: 233670.70
GET: 233685.39
GET: 233703.72
GET: 233711.16
GET: 233726.34
GET: 233741.31
GET: 233759.05
GET: 233828.47
GET: 233886.38
GET: 233947.28
GET: 233975.44
GET: 234001.33
GET: 234031.92
GET: 234059.36
GET: 234089.06
GET: 234090.83
GET: 234092.02
GET: 234098.75
GET: 234105.11
GET: 234110.53
GET: 234118.02
GET: 234114.28
GET: 234140.16
GET: 234154.75
GET: 234132.25
GET: 234107.11
GET: 234085.47
GET: 234092.00
GET: 234153.06
GET: 234246.69
GET: 234335.02
GET: 234432.28
GET: 234533.88
GET: 234623.33
GET: 234690.28
GET: 234739.20
GET: 234791.98
GET: 234837.38
GET: 234901.09
GET: 234968.02
GET: 235027.83
GET: 235084.89
GET: 235143.94
GET: 235196.09
GET: 235263.55
GET: 235332.72
GET: 235394.69
GET: 235485.14
GET: 235573.53
GET: 235666.56
GET: 235759.41
GET: 235844.33
GET: 235925.75
GET: 235893.39
GET: 235849.11
GET: 235803.05
GET: 235768.22
GET: 235753.03
GET: 235739.88
GET: 235688.97
GET: 235634.61
GET: 235591.09
GET: 235550.81
GET: 235507.80
GET: 235462.45
GET: 235422.16
GET: 235428.80
GET: 235433.23
GET: 235452.94
====== GET ======
  20000048 requests completed in 84.95 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.04% <= 0.3 milliseconds
0.06% <= 0.4 milliseconds
13.21% <= 0.5 milliseconds
89.19% <= 0.6 milliseconds
98.92% <= 0.7 milliseconds
99.43% <= 0.8 milliseconds
99.50% <= 0.9 milliseconds
99.53% <= 1.0 milliseconds
99.60% <= 1.1 milliseconds
99.69% <= 1.2 milliseconds
99.77% <= 1.3 milliseconds
99.83% <= 1.4 milliseconds
99.88% <= 1.5 milliseconds
99.91% <= 1.6 milliseconds
99.93% <= 1.7 milliseconds
99.94% <= 1.8 milliseconds
99.95% <= 1.9 milliseconds
99.96% <= 2 milliseconds
99.98% <= 3 milliseconds
99.99% <= 4 milliseconds
99.99% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 6 milliseconds
235430.41 requests per second


