2023-11-24 14:56:02
GET: 0.00
GET: 263872.53
GET: 240526.95
GET: 228292.95
GET: 232535.45
GET: 234967.22
GET: 238470.34
GET: 240461.44
GET: 241887.06
GET: 242999.56
GET: 242069.58
GET: 241494.73
GET: 241175.61
GET: 240032.00
GET: 238695.23
GET: 237824.58
GET: 238808.30
GET: 239087.28
GET: 239098.88
GET: 238391.92
GET: 238259.55
GET: 237958.88
GET: 237781.17
GET: 238201.67
GET: 238915.03
GET: 239575.19
GET: 240258.39
GET: 240864.94
GET: 241305.92
GET: 241471.59
GET: 241651.83
GET: 241842.11
GET: 242012.50
GET: 242220.08
GET: 242445.55
GET: 242316.28
GET: 240578.55
GET: 238461.73
GET: 235758.38
GET: 234292.05
GET: 233682.86
GET: 233674.61
GET: 233643.88
GET: 233521.58
GET: 233431.02
GET: 233375.05
GET: 233427.23
GET: 233345.81
GET: 233322.45
GET: 233264.78
GET: 233043.03
GET: 232621.70
GET: 232216.58
GET: 231815.88
GET: 231239.81
GET: 230298.44
GET: 228438.80
GET: 227397.70
GET: 226212.11
GET: 225228.31
GET: 224744.44
GET: 224472.59
GET: 224310.16
GET: 224346.88
GET: 224303.95
GET: 224253.00
GET: 223951.52
GET: 223703.42
GET: 223656.50
GET: 223498.72
GET: 223343.61
GET: 223155.92
GET: 222999.66
GET: 222827.52
GET: 222638.92
GET: 222472.34
GET: 222369.94
GET: 222249.00
GET: 222204.17
GET: 222110.66
GET: 221955.11
GET: 221798.25
GET: 221663.17
GET: 221497.03
GET: 221455.22
GET: 221460.31
GET: 221465.66
GET: 221469.77
GET: 221491.61
GET: 221453.64
GET: 221434.30
GET: 221399.55
GET: 221395.81
GET: 221400.08
GET: 221391.66
GET: 221379.02
GET: 221373.33
GET: 221356.86
GET: 221376.97
GET: 221422.53
GET: 221523.50
GET: 221683.59
GET: 221822.06
GET: 221963.73
GET: 222050.06
GET: 222150.30
GET: 222236.58
GET: 222282.95
GET: 222355.44
GET: 222431.88
GET: 222491.22
GET: 222603.11
GET: 222670.72
GET: 222728.62
GET: 222824.27
GET: 222877.05
GET: 222956.52
GET: 223038.19
GET: 223145.58
GET: 223272.14
GET: 223378.19
GET: 223433.84
GET: 223530.02
GET: 223637.62
GET: 223730.09
GET: 223804.94
GET: 223923.81
GET: 224031.75
GET: 224130.00
GET: 224118.08
GET: 224060.81
GET: 224095.03
GET: 224148.61
GET: 224270.19
GET: 224283.45
GET: 224307.66
GET: 224403.73
GET: 224541.39
GET: 224622.80
GET: 224690.59
GET: 224786.92
GET: 224858.94
GET: 224938.30
GET: 225013.41
GET: 225052.36
GET: 225082.19
GET: 225126.50
GET: 225092.06
GET: 225093.33
GET: 225041.11
GET: 225042.91
GET: 225077.11
GET: 225098.03
GET: 225133.09
GET: 225167.09
GET: 225177.31
GET: 225099.62
GET: 225126.23
GET: 225141.39
GET: 225169.44
GET: 225202.12
GET: 225219.30
GET: 225252.66
GET: 225279.33
GET: 225294.94
GET: 225303.58
GET: 225311.72
GET: 225352.34
GET: 225413.44
GET: 225459.22
GET: 225521.97
GET: 225570.14
GET: 225626.31
GET: 225667.78
GET: 225706.56
GET: 225761.72
GET: 225796.25
GET: 225736.03
GET: 225755.58
GET: 225759.89
GET: 225760.06
GET: 225786.58
GET: 225805.25
GET: 225838.75
GET: 225867.72
GET: 225899.81
GET: 225932.61
GET: 225886.52
GET: 225837.84
GET: 225804.42
GET: 225775.39
GET: 225802.61
GET: 225826.89
GET: 225836.33
GET: 225849.45
GET: 225873.94
GET: 225884.47
GET: 225901.05
GET: 225916.66
GET: 225943.05
GET: 225975.73
GET: 225982.14
GET: 225895.66
GET: 225908.86
GET: 225937.47
GET: 225955.17
GET: 225938.06
GET: 225891.61
GET: 225894.67
GET: 225924.19
GET: 225929.19
GET: 225927.62
GET: 225938.61
GET: 225934.02
GET: 225933.36
GET: 225907.25
GET: 225860.80
GET: 225813.14
GET: 225739.95
GET: 225685.25
GET: 225611.98
GET: 225554.45
GET: 225496.44
GET: 225423.00
GET: 225355.64
GET: 225269.84
GET: 225195.84
GET: 225129.53
GET: 225105.91
GET: 225102.77
GET: 225080.44
GET: 225074.38
GET: 225067.27
GET: 225047.58
GET: 225017.11
GET: 224991.95
GET: 224980.30
GET: 224978.05
GET: 224957.67
GET: 224957.42
GET: 224950.22
GET: 224909.64
GET: 224902.97
GET: 224888.59
GET: 224883.38
GET: 224877.16
GET: 224876.19
GET: 224885.98
GET: 224860.09
GET: 224844.69
GET: 224833.12
GET: 224799.08
GET: 224798.19
GET: 224783.78
GET: 224786.86
GET: 224790.94
GET: 224773.22
GET: 224773.33
GET: 224772.19
GET: 224756.23
GET: 224778.44
GET: 224785.38
GET: 224820.73
GET: 224858.73
GET: 224905.66
GET: 224931.34
GET: 224967.42
GET: 224989.92
GET: 225010.83
GET: 225047.16
GET: 225066.03
GET: 225092.44
GET: 225119.84
GET: 225141.17
GET: 225159.66
GET: 225172.20
GET: 225178.86
GET: 225159.34
GET: 225123.64
GET: 225080.73
GET: 225039.84
GET: 224990.14
GET: 224965.08
GET: 224956.23
GET: 224931.80
GET: 224919.55
GET: 224889.48
GET: 224821.81
GET: 224753.30
GET: 224673.86
GET: 224607.64
GET: 224548.70
GET: 224538.50
GET: 224488.39
GET: 224455.39
GET: 224434.64
GET: 224434.47
GET: 224417.59
GET: 224426.50
GET: 224404.22
GET: 224383.88
GET: 224366.02
GET: 224342.45
GET: 224337.42
GET: 224343.67
GET: 224352.30
GET: 224347.39
GET: 224348.34
GET: 224327.27
GET: 224293.06
GET: 224247.11
GET: 224209.80
GET: 224174.25
GET: 224142.92
GET: 224115.16
GET: 224067.77
GET: 224019.05
GET: 223989.41
GET: 223931.28
GET: 223868.70
GET: 223799.42
GET: 223734.66
GET: 223707.64
GET: 223670.91
GET: 223629.84
GET: 223600.47
GET: 223559.19
GET: 223524.44
GET: 223480.81
GET: 223482.19
GET: 223498.22
GET: 223492.19
GET: 223483.22
GET: 223465.16
GET: 223457.08
GET: 223423.56
GET: 223363.56
GET: 223333.83
GET: 223332.58
GET: 223321.05
GET: 223324.94
GET: 223334.33
GET: 223345.34
GET: 223363.86
GET: 223375.48
GET: 223391.75
GET: 223414.88
GET: 223439.98
GET: 223471.39
GET: 223491.70
GET: 223517.92
GET: 223542.09
GET: 223572.30
GET: 223593.27
GET: 223624.52
GET: 223666.95
GET: 223683.89
GET: 223719.55
====== GET ======
  20000056 requests completed in 89.39 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
0.02% <= 0.4 milliseconds
4.16% <= 0.5 milliseconds
72.91% <= 0.6 milliseconds
97.45% <= 0.7 milliseconds
98.60% <= 0.8 milliseconds
99.07% <= 0.9 milliseconds
99.31% <= 1.0 milliseconds
99.51% <= 1.1 milliseconds
99.62% <= 1.2 milliseconds
99.68% <= 1.3 milliseconds
99.75% <= 1.4 milliseconds
99.80% <= 1.5 milliseconds
99.84% <= 1.6 milliseconds
99.86% <= 1.7 milliseconds
99.88% <= 1.8 milliseconds
99.88% <= 1.9 milliseconds
99.89% <= 2 milliseconds
99.92% <= 3 milliseconds
99.93% <= 4 milliseconds
99.97% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 10 milliseconds
223739.30 requests per second


