2023-11-24 14:56:02
GET: -nan
GET: 170784.00
GET: 146880.00
GET: 143722.67
GET: 142280.00
GET: 142099.20
GET: 151109.33
GET: 159931.42
GET: 166212.00
GET: 172721.78
GET: 179084.80
GET: 183965.09
GET: 187658.67
GET: 190254.77
GET: 192281.14
GET: 193568.00
GET: 194786.00
GET: 196752.94
GET: 197703.11
GET: 198908.62
GET: 199920.00
GET: 200688.77
GET: 201477.81
GET: 202585.05
GET: 203650.67
GET: 204232.95
GET: 205201.23
GET: 206221.03
GET: 206877.72
GET: 207405.23
GET: 207906.14
GET: 208425.30
GET: 208832.00
GET: 209211.16
GET: 209583.06
GET: 209941.03
GET: 210085.33
GET: 208750.70
GET: 206931.38
GET: 205800.20
GET: 204154.41
GET: 204245.08
GET: 204759.62
GET: 205204.09
GET: 205610.19
GET: 205893.69
GET: 205985.39
GET: 205993.53
GET: 205926.00
GET: 206219.11
GET: 206695.69
GET: 207158.59
GET: 207500.31
GET: 207710.19
GET: 207935.41
GET: 208293.23
GET: 208645.14
GET: 208792.14
GET: 208920.28
GET: 209090.72
GET: 209218.14
GET: 209353.97
GET: 209674.84
GET: 209725.45
GET: 209966.00
GET: 210069.66
GET: 210135.75
GET: 210087.17
GET: 209926.12
GET: 210207.53
GET: 210618.06
GET: 210957.97
GET: 211298.67
GET: 211669.48
GET: 212039.34
GET: 212415.14
GET: 212751.16
GET: 213082.59
GET: 213438.36
GET: 213772.97
GET: 214072.80
GET: 214352.98
GET: 214636.09
GET: 214918.55
GET: 215252.19
GET: 215585.88
GET: 215791.25
GET: 215940.05
GET: 216068.36
GET: 216248.09
GET: 216529.42
GET: 216752.88
GET: 216877.91
GET: 217047.05
GET: 217128.52
GET: 217257.77
GET: 217492.33
GET: 217690.72
GET: 217928.48
GET: 218158.88
GET: 218396.16
GET: 218638.25
GET: 218885.33
GET: 219125.12
GET: 219352.00
GET: 219605.64
GET: 219820.98
GET: 220023.03
GET: 220237.33
GET: 220416.59
GET: 220599.27
GET: 220772.03
GET: 220924.00
GET: 221084.03
GET: 221242.95
GET: 221422.75
GET: 221629.52
GET: 221824.28
GET: 222060.75
GET: 222276.84
GET: 222460.53
GET: 222626.38
GET: 222800.78
GET: 222963.25
GET: 223162.58
GET: 223368.45
GET: 223563.69
GET: 223752.31
GET: 223948.75
GET: 224052.09
GET: 224178.22
GET: 224333.19
GET: 224533.33
GET: 224739.61
GET: 224914.86
GET: 225062.41
GET: 225181.88
GET: 225331.16
GET: 225450.67
GET: 225565.47
GET: 225668.34
GET: 225782.47
GET: 225913.47
GET: 226024.95
GET: 226128.22
GET: 226218.59
GET: 226287.12
GET: 226370.39
GET: 226559.56
GET: 226673.83
GET: 226784.64
GET: 226838.47
GET: 226896.84
GET: 227089.56
GET: 227276.89
GET: 227439.08
GET: 227501.75
GET: 227495.55
GET: 227461.88
GET: 227407.09
GET: 227380.41
GET: 227406.70
GET: 227442.17
GET: 227430.08
GET: 227407.61
GET: 227442.03
GET: 227453.50
GET: 227434.34
GET: 227404.19
GET: 227377.98
GET: 227367.72
GET: 227362.62
GET: 227362.23
GET: 227369.44
GET: 227515.77
GET: 227680.00
GET: 227795.64
GET: 227942.33
GET: 228043.86
GET: 228128.36
GET: 228193.06
GET: 228207.20
GET: 228219.08
GET: 228222.95
GET: 228257.56
GET: 228317.92
GET: 228352.17
GET: 228302.20
GET: 228255.83
GET: 228201.14
GET: 228146.86
GET: 228093.98
GET: 228043.83
GET: 228002.66
GET: 227970.14
GET: 227973.09
GET: 227956.41
GET: 227950.94
GET: 227934.06
GET: 227910.92
GET: 227909.28
GET: 227895.88
GET: 227877.86
GET: 227844.25
GET: 227845.48
GET: 227850.77
GET: 227844.19
GET: 227839.38
GET: 227851.84
GET: 227862.97
GET: 227861.64
GET: 227865.48
GET: 227872.30
GET: 227867.64
GET: 227841.80
GET: 227847.14
GET: 227792.89
GET: 227710.67
GET: 227630.09
GET: 227628.56
GET: 227631.27
GET: 227633.67
GET: 227631.72
GET: 227631.78
GET: 227669.00
GET: 227697.34
GET: 227722.62
GET: 227751.47
GET: 227794.81
GET: 227821.14
GET: 227845.98
GET: 227873.25
GET: 227899.03
GET: 227929.95
GET: 227868.03
GET: 227860.83
GET: 227841.22
GET: 227815.97
GET: 227822.12
GET: 227822.73
GET: 227790.27
GET: 227737.36
GET: 227692.83
GET: 227638.66
GET: 227580.45
GET: 227540.50
GET: 227556.55
GET: 227579.20
GET: 227598.06
GET: 227606.75
GET: 227619.33
GET: 227641.75
GET: 227664.52
GET: 227653.06
GET: 227697.89
GET: 227759.19
GET: 227817.25
GET: 227868.77
GET: 227948.16
GET: 227994.31
GET: 228044.92
GET: 228083.73
GET: 228069.62
GET: 228012.89
GET: 227920.00
GET: 227837.34
GET: 227756.03
GET: 227673.72
GET: 227592.06
GET: 227554.20
GET: 227503.00
GET: 227473.42
GET: 227440.42
GET: 227402.03
GET: 227371.39
GET: 227340.64
GET: 227352.66
GET: 227354.64
GET: 227327.50
GET: 227294.23
GET: 227262.12
GET: 227323.28
GET: 227463.78
GET: 227591.08
GET: 227712.97
GET: 227836.58
GET: 227952.50
GET: 228070.52
GET: 228191.28
GET: 228308.77
GET: 228417.59
GET: 228517.11
GET: 228652.66
GET: 228771.66
GET: 228878.41
GET: 228992.16
GET: 229111.72
GET: 229236.62
GET: 229359.83
GET: 229469.69
GET: 229533.27
GET: 229608.86
GET: 229667.42
GET: 229762.14
GET: 229856.98
GET: 229961.47
GET: 230090.38
GET: 230198.02
GET: 230171.03
GET: 230146.20
GET: 230098.19
GET: 230053.17
GET: 230060.84
GET: 230068.06
GET: 230105.00
GET: 230130.20
GET: 230150.81
GET: 230171.98
GET: 230196.86
GET: 230216.25
GET: 230241.22
GET: 230266.84
GET: 230295.08
GET: 230306.20
GET: 230301.25
GET: 230267.89
GET: 230247.00
GET: 230235.33
GET: 230244.61
GET: 230260.55
GET: 230263.20
GET: 230275.22
GET: 230247.34
GET: 230220.33
GET: 230224.59
GET: 230228.75
GET: 230243.45
GET: 230257.69
GET: 230280.92
GET: 230312.14
GET: 230321.53
GET: 230324.86
GET: 230336.02
GET: 230357.30
GET: 230375.56
GET: 230397.52
GET: 230416.86
GET: 230432.20
====== GET ======
  20000088 requests completed in 86.79 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
0.01% <= 0.4 milliseconds
11.94% <= 0.5 milliseconds
81.71% <= 0.6 milliseconds
97.79% <= 0.7 milliseconds
98.27% <= 0.8 milliseconds
98.62% <= 0.9 milliseconds
99.19% <= 1.0 milliseconds
99.58% <= 1.1 milliseconds
99.74% <= 1.2 milliseconds
99.80% <= 1.3 milliseconds
99.86% <= 1.4 milliseconds
99.91% <= 1.5 milliseconds
99.94% <= 1.6 milliseconds
99.96% <= 1.7 milliseconds
99.97% <= 1.8 milliseconds
99.98% <= 1.9 milliseconds
99.98% <= 2 milliseconds
99.99% <= 3 milliseconds
99.99% <= 4 milliseconds
100.00% <= 5 milliseconds
100.00% <= 5 milliseconds
230434.34 requests per second


