2023-11-24 14:56:02
GET: -nan
GET: 213280.00
GET: 183536.00
GET: 173984.00
GET: 174536.00
GET: 171148.80
GET: 167717.33
GET: 163245.72
GET: 159828.00
GET: 156984.89
GET: 154444.80
GET: 152325.81
GET: 150522.67
GET: 149097.84
GET: 147897.14
GET: 146841.59
GET: 146112.00
GET: 144820.70
GET: 143235.56
GET: 143228.62
GET: 146001.59
GET: 148315.42
GET: 150545.45
GET: 152459.12
GET: 154289.33
GET: 155761.92
GET: 155713.23
GET: 155723.86
GET: 156680.00
GET: 157757.80
GET: 158717.86
GET: 159778.06
GET: 160733.00
GET: 161568.00
GET: 162618.36
GET: 163503.55
GET: 164018.67
GET: 163858.16
GET: 163280.84
GET: 164203.48
GET: 165524.80
GET: 166941.66
GET: 168309.33
GET: 169718.33
GET: 171131.64
GET: 172512.72
GET: 173366.95
GET: 173736.84
GET: 173791.33
GET: 173932.41
GET: 174150.41
GET: 174411.92
GET: 175316.31
GET: 176264.45
GET: 177131.86
GET: 178028.22
GET: 178976.00
GET: 179979.80
GET: 181095.17
GET: 182082.17
GET: 182942.94
GET: 183678.95
GET: 184300.91
GET: 184866.03
GET: 185279.00
GET: 185869.78
GET: 186465.94
GET: 186997.50
GET: 187632.47
GET: 188191.53
GET: 188641.83
GET: 189124.06
GET: 189575.11
GET: 190068.17
GET: 190510.27
GET: 191007.58
GET: 191462.31
GET: 191923.53
GET: 192339.69
GET: 192753.83
GET: 193099.20
GET: 193423.02
GET: 193781.86
GET: 194099.28
GET: 194435.81
GET: 194726.78
GET: 194844.66
GET: 194946.58
GET: 195112.36
GET: 195440.91
GET: 195836.44
GET: 196222.23
GET: 196554.44
GET: 196900.47
GET: 197238.47
GET: 197621.22
GET: 197982.00
GET: 198337.31
GET: 198596.58
GET: 198739.72
GET: 198384.31
GET: 197892.44
GET: 197690.36
GET: 197731.73
GET: 197792.61
GET: 197924.88
GET: 198062.48
GET: 198106.92
GET: 198278.22
GET: 198417.61
GET: 198573.67
GET: 198742.48
GET: 199026.28
GET: 199290.05
GET: 199578.67
GET: 199854.75
GET: 200152.28
GET: 200389.47
GET: 200541.56
GET: 200687.59
GET: 200966.94
GET: 201215.73
GET: 201430.56
GET: 201630.95
GET: 201883.36
GET: 202082.56
GET: 202306.55
GET: 202519.19
GET: 202708.50
GET: 202891.16
GET: 203055.50
GET: 203191.45
GET: 203275.88
GET: 203321.98
GET: 203418.50
GET: 203505.78
GET: 203547.30
GET: 203536.58
GET: 203537.86
GET: 203607.02
GET: 203637.25
GET: 203648.91
GET: 203638.08
GET: 203622.27
GET: 203594.89
GET: 203588.41
GET: 203572.83
GET: 203618.17
GET: 203755.03
GET: 203875.22
GET: 204014.50
GET: 204146.44
GET: 204230.53
GET: 204303.48
GET: 204389.19
GET: 204483.72
GET: 204584.41
GET: 204672.81
GET: 204760.09
GET: 204852.33
GET: 204883.20
GET: 204885.86
GET: 204891.27
GET: 205047.56
GET: 205144.19
GET: 205169.84
GET: 205278.08
GET: 205282.11
GET: 205296.00
GET: 205295.14
GET: 205268.14
GET: 205270.64
GET: 205269.02
GET: 205266.31
GET: 205289.94
GET: 205340.53
GET: 205394.55
GET: 205421.38
GET: 205485.66
GET: 205525.81
GET: 205570.84
GET: 205612.38
GET: 205673.84
GET: 205721.19
GET: 205782.95
GET: 205839.56
GET: 205856.34
GET: 205870.72
GET: 205872.69
GET: 205895.78
GET: 205902.14
GET: 205930.56
GET: 205983.50
GET: 205977.38
GET: 206000.83
GET: 206026.83
GET: 206049.47
GET: 206092.34
GET: 206151.27
GET: 206233.89
GET: 206285.59
GET: 206369.44
GET: 206443.41
GET: 206514.77
GET: 206605.33
GET: 206671.61
GET: 206749.67
GET: 206827.28
GET: 206901.08
GET: 206988.86
GET: 207073.06
GET: 207131.30
GET: 207180.83
GET: 207249.42
GET: 207302.44
GET: 207364.31
GET: 207410.97
GET: 207431.08
GET: 207464.66
GET: 207461.70
GET: 207453.53
GET: 207464.69
GET: 207465.95
GET: 207446.53
GET: 207457.28
GET: 207497.11
GET: 207529.91
GET: 207566.94
GET: 207570.53
GET: 207611.39
GET: 207623.94
GET: 207601.17
GET: 207582.06
GET: 207563.12
GET: 207569.64
GET: 207629.89
GET: 207685.69
GET: 207713.89
GET: 207718.86
GET: 207721.50
GET: 207732.53
GET: 207757.81
GET: 207776.00
GET: 207801.81
GET: 207844.98
GET: 207865.59
GET: 207907.12
GET: 207911.77
GET: 207917.94
GET: 207946.53
GET: 207971.20
GET: 208002.55
GET: 208012.70
GET: 207991.53
GET: 208021.42
GET: 208046.31
GET: 208070.12
GET: 208104.22
GET: 208152.69
GET: 208210.66
GET: 208251.08
GET: 208305.17
GET: 208346.50
GET: 208389.84
GET: 208418.78
GET: 208453.92
GET: 208494.20
GET: 208526.02
GET: 208543.17
GET: 208578.86
GET: 208615.70
GET: 208660.42
GET: 208695.77
GET: 208728.61
GET: 208751.89
GET: 208773.00
GET: 208772.75
GET: 208771.70
GET: 208784.45
GET: 208830.28
GET: 208870.17
GET: 208895.89
GET: 208964.66
GET: 209034.17
GET: 209088.67
GET: 209155.70
GET: 209223.83
GET: 209292.27
GET: 209349.78
GET: 209403.23
GET: 209465.70
GET: 209522.03
GET: 209580.50
GET: 209578.92
GET: 209552.98
GET: 209525.48
GET: 209507.78
GET: 209488.16
GET: 209470.17
GET: 209439.03
GET: 209413.44
GET: 209390.98
GET: 209353.95
GET: 209371.56
GET: 209381.05
GET: 209402.23
GET: 209427.45
GET: 209468.05
GET: 209511.27
GET: 209553.30
GET: 209576.56
GET: 209608.84
GET: 209637.53
GET: 209668.09
GET: 209703.84
GET: 209723.42
GET: 209731.64
GET: 209773.33
GET: 209792.41
GET: 209822.80
GET: 209820.20
GET: 209873.14
GET: 209904.59
GET: 209946.36
GET: 209998.33
GET: 210055.97
GET: 210120.25
GET: 210174.53
GET: 210254.25
GET: 210331.05
GET: 210421.44
GET: 210498.22
GET: 210578.61
GET: 210642.64
GET: 210704.28
GET: 210780.28
GET: 210845.62
GET: 210909.16
GET: 210958.58
GET: 211016.50
GET: 211071.62
GET: 211131.78
GET: 211204.95
GET: 211263.16
GET: 211339.16
GET: 211398.50
GET: 211470.61
GET: 211533.09
GET: 211608.64
GET: 211665.14
GET: 211736.14
GET: 211801.25
GET: 211903.19
GET: 212008.97
GET: 212130.34
GET: 212231.94
GET: 212351.09
GET: 212492.73
GET: 212596.56
GET: 212702.84
GET: 212807.02
GET: 212879.59
GET: 212958.58
GET: 213045.33
GET: 213166.86
GET: 213332.86
GET: 213538.27
GET: 213761.56
GET: 214006.52
GET: 214285.78
GET: 214622.88
GET: 214919.25
====== GET ======
  20000064 requests completed in 92.96 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
0.61% <= 0.4 milliseconds
4.46% <= 0.5 milliseconds
58.22% <= 0.6 milliseconds
93.11% <= 0.7 milliseconds
95.71% <= 0.8 milliseconds
97.26% <= 0.9 milliseconds
98.68% <= 1.0 milliseconds
99.32% <= 1.1 milliseconds
99.55% <= 1.2 milliseconds
99.63% <= 1.3 milliseconds
99.70% <= 1.4 milliseconds
99.76% <= 1.5 milliseconds
99.80% <= 1.6 milliseconds
99.82% <= 1.7 milliseconds
99.84% <= 1.8 milliseconds
99.85% <= 1.9 milliseconds
99.85% <= 2 milliseconds
99.88% <= 3 milliseconds
99.90% <= 4 milliseconds
99.96% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 9 milliseconds
215151.61 requests per second


