2023-11-24 14:56:02
GET: 0.00
GET: 146645.42
GET: 142562.88
GET: 147600.53
GET: 143016.97
GET: 139766.58
GET: 137295.12
GET: 136849.80
GET: 137759.12
GET: 138004.45
GET: 138459.81
GET: 138678.30
GET: 138812.41
GET: 138500.16
GET: 138362.75
GET: 137401.23
GET: 137521.62
GET: 138041.88
GET: 138507.89
GET: 141289.00
GET: 144270.34
GET: 146986.09
GET: 149744.41
GET: 153325.69
GET: 156059.33
GET: 158466.81
GET: 160810.95
GET: 162904.45
GET: 164927.30
GET: 167185.77
GET: 169374.75
GET: 171494.78
GET: 173502.30
GET: 175510.36
GET: 177423.83
GET: 179371.48
GET: 181407.39
GET: 183215.64
GET: 184842.84
GET: 186343.14
GET: 187645.23
GET: 188890.83
GET: 189836.39
GET: 190758.81
GET: 191818.19
GET: 192851.12
GET: 193805.75
GET: 194571.34
GET: 195287.05
GET: 196137.45
GET: 196953.84
GET: 197745.11
GET: 198453.03
GET: 199140.28
GET: 199802.08
GET: 200480.55
GET: 201151.91
GET: 201754.25
GET: 202236.53
GET: 202674.80
GET: 203220.05
GET: 203718.05
GET: 204115.34
GET: 204496.47
GET: 204898.20
GET: 205221.09
GET: 205306.36
GET: 205431.56
GET: 205640.14
GET: 205880.25
GET: 206086.97
GET: 206294.64
GET: 206468.09
GET: 206654.77
GET: 206815.64
GET: 207007.62
GET: 207288.47
GET: 207547.05
GET: 207803.91
GET: 208001.22
GET: 208175.59
GET: 208333.81
GET: 208476.08
GET: 208656.94
GET: 208898.62
GET: 209157.22
GET: 209405.70
GET: 209655.84
GET: 209876.28
GET: 210073.08
GET: 210235.64
GET: 210401.66
GET: 210583.89
GET: 210775.97
GET: 210943.55
GET: 211124.42
GET: 211311.53
GET: 211481.59
GET: 211687.69
GET: 211409.64
GET: 210495.58
GET: 209606.59
GET: 208723.42
GET: 207867.97
GET: 207451.11
GET: 207546.84
GET: 207657.08
GET: 207798.44
GET: 208061.62
GET: 208329.39
GET: 208636.20
GET: 208919.33
GET: 209194.53
GET: 209493.19
GET: 209709.98
GET: 209886.55
GET: 210128.77
GET: 210228.72
GET: 210282.50
GET: 210336.73
GET: 210400.98
GET: 210460.48
GET: 210547.86
GET: 210610.66
GET: 210655.41
GET: 210686.89
GET: 210776.80
GET: 210835.31
GET: 210771.67
GET: 210655.17
GET: 210574.69
GET: 210658.61
GET: 210661.25
GET: 210657.61
GET: 210734.73
GET: 210877.55
GET: 211029.80
GET: 211180.98
GET: 211321.19
GET: 211431.97
GET: 211552.12
GET: 211678.08
GET: 211803.39
GET: 211915.31
GET: 212027.89
GET: 212150.41
GET: 212262.25
GET: 212419.14
GET: 212604.42
GET: 212797.94
GET: 212973.95
GET: 213163.73
GET: 213349.75
GET: 213541.30
GET: 213704.80
GET: 213759.64
GET: 213731.95
GET: 213840.77
GET: 213921.47
GET: 214072.20
GET: 214220.05
GET: 214398.25
GET: 214502.56
GET: 214658.78
GET: 214818.95
GET: 214963.81
GET: 215090.53
GET: 215229.14
GET: 215369.34
GET: 215505.25
GET: 215640.86
GET: 215752.80
GET: 215860.28
GET: 215982.98
GET: 216112.38
GET: 216233.14
GET: 216353.81
GET: 216429.91
GET: 216425.34
GET: 216431.38
GET: 216424.70
GET: 216427.84
GET: 216440.44
GET: 216471.78
GET: 216537.56
GET: 216592.42
GET: 216632.77
GET: 216657.27
GET: 216725.44
GET: 216862.62
GET: 216990.12
GET: 217106.58
GET: 217098.64
GET: 217074.39
GET: 217145.22
GET: 217155.42
GET: 217203.08
GET: 217274.12
GET: 217363.05
GET: 217459.44
GET: 217566.53
GET: 217674.47
GET: 217771.22
GET: 217885.28
GET: 218002.47
GET: 218116.02
GET: 218222.25
GET: 218325.44
GET: 218434.88
GET: 218543.88
GET: 218645.89
GET: 218713.12
GET: 218760.09
GET: 218833.38
GET: 218910.00
GET: 218959.42
GET: 219004.69
GET: 219057.64
GET: 219087.22
GET: 219094.73
GET: 219102.06
GET: 219106.55
GET: 219113.17
GET: 219117.58
GET: 219189.23
GET: 219285.00
GET: 219356.83
GET: 219313.42
GET: 219286.55
GET: 219263.53
GET: 219235.70
GET: 219227.23
GET: 219280.36
GET: 219299.38
GET: 219310.98
GET: 219319.64
GET: 219345.30
GET: 219430.56
GET: 219460.38
GET: 219542.44
GET: 219636.61
GET: 219711.41
GET: 219717.50
GET: 219772.91
GET: 219862.50
GET: 219949.78
GET: 220025.69
GET: 220095.94
GET: 220156.33
GET: 220221.88
GET: 220276.47
GET: 220338.22
GET: 220401.77
GET: 220409.03
GET: 220388.02
GET: 220433.94
GET: 220541.98
GET: 220804.09
GET: 220952.53
GET: 221035.09
GET: 221075.78
GET: 221111.88
GET: 221145.38
GET: 221179.95
GET: 221213.55
GET: 221250.38
GET: 221276.23
GET: 221297.22
GET: 221310.77
GET: 221339.20
GET: 221366.84
GET: 221392.14
GET: 221425.84
GET: 221442.89
GET: 221477.69
GET: 221429.84
GET: 221361.94
GET: 221341.08
GET: 221318.88
GET: 221320.80
GET: 221325.34
GET: 221346.47
GET: 221359.28
GET: 221347.70
GET: 221339.91
GET: 221337.34
GET: 221342.06
GET: 221354.89
GET: 221400.41
GET: 221438.19
GET: 221454.97
GET: 221418.95
GET: 221362.48
GET: 221341.34
GET: 221357.14
GET: 221393.00
GET: 221438.89
GET: 221473.47
GET: 221478.73
GET: 221526.33
GET: 221600.17
GET: 221679.80
GET: 221756.14
GET: 221852.16
GET: 221927.33
GET: 222007.88
GET: 222089.89
GET: 222165.11
GET: 222218.44
GET: 222275.98
GET: 222338.00
GET: 222407.97
GET: 222475.94
GET: 222561.06
GET: 222641.16
GET: 222708.38
GET: 222781.42
GET: 222854.70
GET: 222919.19
GET: 222986.17
GET: 222992.55
GET: 223088.09
GET: 223187.61
GET: 223281.67
GET: 223388.77
GET: 223493.83
GET: 223599.62
GET: 223698.80
GET: 223799.53
GET: 223910.14
GET: 224017.36
GET: 224118.91
GET: 224219.56
GET: 224322.11
GET: 224417.23
GET: 224491.45
GET: 224541.12
GET: 224628.02
GET: 224671.50
GET: 224717.28
GET: 224787.08
GET: 224878.70
GET: 224975.03
GET: 225058.48
GET: 225125.64
GET: 225223.84
GET: 225320.75
GET: 225418.92
GET: 225510.11
GET: 225602.42
GET: 225693.56
GET: 225736.70
GET: 225837.77
GET: 225964.53
====== GET ======
  20000128 requests completed in 88.47 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
0.01% <= 0.4 milliseconds
10.03% <= 0.5 milliseconds
78.97% <= 0.6 milliseconds
95.33% <= 0.7 milliseconds
95.94% <= 0.8 milliseconds
96.95% <= 0.9 milliseconds
98.28% <= 1.0 milliseconds
99.33% <= 1.1 milliseconds
99.71% <= 1.2 milliseconds
99.78% <= 1.3 milliseconds
99.83% <= 1.4 milliseconds
99.89% <= 1.5 milliseconds
99.93% <= 1.6 milliseconds
99.95% <= 1.7 milliseconds
99.96% <= 1.8 milliseconds
99.97% <= 1.9 milliseconds
99.97% <= 2 milliseconds
99.99% <= 3 milliseconds
100.00% <= 4 milliseconds
100.00% <= 5 milliseconds
100.00% <= 5 milliseconds
226071.89 requests per second


