2023-11-24 14:45:08
SET: 0.00
SET: 550087.69
SET: 375265.47
SET: 309049.28
SET: 275572.41
SET: 251721.81
SET: 232213.19
SET: 217041.69
SET: 204493.77
SET: 194271.00
SET: 185397.84
SET: 178527.08
SET: 174656.45
SET: 170500.16
SET: 166775.20
SET: 163574.52
SET: 161715.58
SET: 160146.80
SET: 158823.38
SET: 158063.56
SET: 158094.78
SET: 157719.30
SET: 157265.95
SET: 156557.12
SET: 156006.00
SET: 155583.42
SET: 154916.47
SET: 153769.22
SET: 154261.39
SET: 155584.61
SET: 156706.58
SET: 156607.41
SET: 156752.39
SET: 158510.72
SET: 160369.83
SET: 161956.34
SET: 163598.70
SET: 165145.38
SET: 166615.72
SET: 167917.12
SET: 168741.52
SET: 169802.75
SET: 170916.28
SET: 171789.78
SET: 170692.84
SET: 169744.19
SET: 169197.80
SET: 169010.30
SET: 169025.91
SET: 169352.38
SET: 169885.92
SET: 170570.45
SET: 171287.12
SET: 171890.42
SET: 172557.28
SET: 173242.95
SET: 174013.84
SET: 174615.67
SET: 175313.14
SET: 175844.34
SET: 175369.64
SET: 174989.70
SET: 174467.70
SET: 173775.38
SET: 173646.66
SET: 173800.02
SET: 173949.22
SET: 174117.38
SET: 174323.39
SET: 174824.42
SET: 175296.50
SET: 175742.22
SET: 175926.23
SET: 176311.66
SET: 176715.20
SET: 177030.78
SET: 176749.44
SET: 176445.91
SET: 176532.91
SET: 176557.34
SET: 176272.39
SET: 176310.91
SET: 176052.30
SET: 175728.59
SET: 175393.56
SET: 175302.81
SET: 175340.69
SET: 175317.73
SET: 175683.66
SET: 176221.84
SET: 176747.70
SET: 177147.03
SET: 177419.42
SET: 177753.73
SET: 178246.03
SET: 178723.59
SET: 179188.20
SET: 179579.89
SET: 179898.30
SET: 180245.81
SET: 180507.98
SET: 180516.58
SET: 180509.00
SET: 180498.78
SET: 180708.12
SET: 180697.12
SET: 180689.34
SET: 180504.36
SET: 180129.92
SET: 179717.44
SET: 179318.28
SET: 179051.42
SET: 178628.48
SET: 178247.28
SET: 178013.12
SET: 177831.73
SET: 178004.91
SET: 178232.55
SET: 178533.61
SET: 178815.91
SET: 179136.44
SET: 179403.53
SET: 179696.67
SET: 179987.91
SET: 180256.89
SET: 180591.47
SET: 180904.23
SET: 181055.34
SET: 181154.84
SET: 181325.23
SET: 181569.31
SET: 181884.16
SET: 182119.81
SET: 182452.02
SET: 182757.53
SET: 183064.45
SET: 183345.44
SET: 183633.30
SET: 183902.38
SET: 184126.84
SET: 183728.02
SET: 183224.53
SET: 182732.89
SET: 182257.06
SET: 181862.73
SET: 181533.20
SET: 181291.69
SET: 181177.33
SET: 181451.53
SET: 181735.16
SET: 182025.66
SET: 182325.88
SET: 182589.09
SET: 182859.33
SET: 183138.11
SET: 183382.11
SET: 183637.14
SET: 183912.36
SET: 183608.92
SET: 183216.33
SET: 182956.62
SET: 183079.97
SET: 183297.00
SET: 183538.47
SET: 183815.81
SET: 184085.92
SET: 184368.58
SET: 184743.45
SET: 184944.55
SET: 185080.03
SET: 185206.56
SET: 185392.06
SET: 185742.47
SET: 186025.39
SET: 186247.31
SET: 186423.17
SET: 186633.22
SET: 186811.78
SET: 186990.67
SET: 187153.81
SET: 187322.59
SET: 187476.97
SET: 187629.47
SET: 187699.86
SET: 187751.41
SET: 187807.92
SET: 187926.80
SET: 188060.33
SET: 188222.89
SET: 188398.64
SET: 188591.91
SET: 188743.61
SET: 188895.91
SET: 188987.09
SET: 189084.11
SET: 189178.97
SET: 189294.92
SET: 189441.67
SET: 189620.09
SET: 189789.95
SET: 189933.33
SET: 190097.55
SET: 190251.44
SET: 190392.47
SET: 190226.08
SET: 190010.89
SET: 189866.92
SET: 189967.03
SET: 190087.89
SET: 190193.80
SET: 190321.09
SET: 190486.02
SET: 190543.88
SET: 190657.08
SET: 190749.33
SET: 190906.36
SET: 191057.20
SET: 191212.70
SET: 191386.88
SET: 191514.75
SET: 191324.81
SET: 191186.98
SET: 191201.17
SET: 191233.59
SET: 191346.44
SET: 191464.83
SET: 191583.58
SET: 191657.03
SET: 191690.25
SET: 191790.41
SET: 191851.41
SET: 191948.75
SET: 192029.80
SET: 192119.77
SET: 192213.73
SET: 192293.98
SET: 192313.36
SET: 192380.62
SET: 192483.77
SET: 192587.50
SET: 192696.92
SET: 192763.73
SET: 192833.31
SET: 192928.12
SET: 193012.05
SET: 193135.00
SET: 193247.33
SET: 193338.92
SET: 193439.20
SET: 193554.36
SET: 193660.39
SET: 193735.50
SET: 193693.81
SET: 193755.17
SET: 193811.75
SET: 193854.72
SET: 193945.97
SET: 194026.67
SET: 194114.33
SET: 194217.11
SET: 194320.45
SET: 194411.73
SET: 194508.91
SET: 194583.08
SET: 194660.69
SET: 194725.39
SET: 194804.53
SET: 194896.38
SET: 194821.45
SET: 194668.81
SET: 194547.05
SET: 194515.56
SET: 194553.73
SET: 194629.12
SET: 194709.09
SET: 194781.05
SET: 194866.28
SET: 194932.98
SET: 194975.73
SET: 195035.25
SET: 195134.58
SET: 195255.88
SET: 195369.14
SET: 195473.81
SET: 195557.92
SET: 195637.73
SET: 195718.44
SET: 195781.75
SET: 195861.50
SET: 195947.23
SET: 196037.12
SET: 196128.39
SET: 196208.59
SET: 196298.75
SET: 196386.98
SET: 196477.34
SET: 196554.11
SET: 196645.11
SET: 196735.19
SET: 196821.34
SET: 196892.62
SET: 196964.19
SET: 197017.16
SET: 197041.89
SET: 197057.52
SET: 197113.95
SET: 197181.22
SET: 197254.39
SET: 197311.31
SET: 197391.78
SET: 197451.91
SET: 197513.70
SET: 197544.34
SET: 197594.81
SET: 197628.36
SET: 197654.28
SET: 197694.72
SET: 197766.39
SET: 197834.59
SET: 197898.45
SET: 197951.73
SET: 197938.47
SET: 197914.06
SET: 197929.94
SET: 197952.22
SET: 197975.19
SET: 197988.08
SET: 198001.47
SET: 198023.66
SET: 198035.70
SET: 198057.84
SET: 198072.98
SET: 198066.75
SET: 198085.33
SET: 198115.97
SET: 198146.14
SET: 198174.23
SET: 198232.16
SET: 198306.31
SET: 198384.00
SET: 198456.03
SET: 198515.09
SET: 198588.02
SET: 198659.77
SET: 198736.88
SET: 198775.88
SET: 198830.45
SET: 198864.53
SET: 198875.06
SET: 198896.91
SET: 198914.67
SET: 198931.72
SET: 198941.39
SET: 198947.75
SET: 198963.28
SET: 199023.80
SET: 199086.22
SET: 199146.95
SET: 199211.11
SET: 199267.67
SET: 199293.89
SET: 199352.12
SET: 199415.36
SET: 199459.45
SET: 199460.41
SET: 199471.09
SET: 199480.14
SET: 199497.34
SET: 199536.27
SET: 199580.62
SET: 199641.44
SET: 199685.61
SET: 199729.47
SET: 199771.20
SET: 199857.03
SET: 199936.94
SET: 200022.30
SET: 200119.17
SET: 200189.62
SET: 200272.55
SET: 200387.28
SET: 200496.88
SET: 200637.56
SET: 200806.59
SET: 201016.81
SET: 201294.61
SET: 201671.09
SET: 202002.23
SET: 202405.64
SET: 202834.62
SET: 203263.20
SET: 203739.17
====== SET ======
  20000040 requests completed in 97.96 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.09% <= 0.2 milliseconds
0.40% <= 0.3 milliseconds
0.84% <= 0.4 milliseconds
2.73% <= 0.5 milliseconds
45.45% <= 0.6 milliseconds
82.08% <= 0.7 milliseconds
88.14% <= 0.8 milliseconds
92.82% <= 0.9 milliseconds
95.84% <= 1.0 milliseconds
97.77% <= 1.1 milliseconds
98.96% <= 1.2 milliseconds
99.25% <= 1.3 milliseconds
99.39% <= 1.4 milliseconds
99.49% <= 1.5 milliseconds
99.55% <= 1.6 milliseconds
99.60% <= 1.7 milliseconds
99.63% <= 1.8 milliseconds
99.66% <= 1.9 milliseconds
99.69% <= 2 milliseconds
99.87% <= 3 milliseconds
99.94% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
99.99% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 10 milliseconds
204159.12 requests per second


