2023-11-24 14:45:08
SET: -nan
SET: 454528.00
SET: 323568.00
SET: 281216.00
SET: 261976.00
SET: 248569.59
SET: 235418.67
SET: 224516.58
SET: 214664.00
SET: 207733.33
SET: 200457.42
SET: 198641.95
SET: 199072.31
SET: 199283.92
SET: 199670.95
SET: 200121.58
SET: 200543.88
SET: 202062.58
SET: 203586.77
SET: 205144.19
SET: 206501.11
SET: 207651.11
SET: 208668.97
SET: 209880.72
SET: 210971.50
SET: 212199.02
SET: 213405.94
SET: 213703.45
SET: 212209.69
SET: 210777.00
SET: 208578.06
SET: 207890.59
SET: 207333.08
SET: 207580.16
SET: 207579.33
SET: 207887.55
SET: 208115.53
SET: 208467.83
SET: 208981.78
SET: 208982.05
SET: 209283.06
SET: 209387.56
SET: 209496.23
SET: 209622.17
SET: 209791.83
SET: 209798.94
SET: 209782.09
SET: 209849.03
SET: 209929.17
SET: 209740.91
SET: 209799.53
SET: 210007.05
SET: 210196.12
SET: 210324.34
SET: 210433.00
SET: 210637.77
SET: 211093.48
SET: 212100.20
SET: 213140.05
SET: 214102.36
SET: 214782.47
SET: 215485.92
SET: 216083.08
SET: 216745.09
SET: 217266.42
SET: 217742.67
SET: 218342.66
SET: 219041.53
SET: 219789.66
SET: 220348.23
SET: 220781.16
SET: 221236.58
SET: 221813.56
SET: 222267.36
SET: 222695.92
SET: 223164.23
SET: 223709.50
SET: 224207.34
SET: 224681.77
SET: 225179.02
SET: 225535.44
SET: 225866.08
SET: 226457.12
SET: 227010.41
SET: 227556.22
SET: 227905.50
SET: 228234.02
SET: 228488.41
SET: 228685.02
SET: 228940.48
SET: 229195.62
SET: 229380.44
SET: 229464.22
SET: 229533.80
SET: 229478.67
SET: 229350.95
SET: 229042.58
SET: 228896.91
SET: 228712.09
SET: 228504.52
SET: 228229.09
SET: 227985.11
SET: 227756.88
SET: 227583.41
SET: 227425.58
SET: 227282.03
SET: 227132.44
SET: 227000.59
SET: 226865.56
SET: 226737.41
SET: 226612.45
SET: 226487.17
SET: 226365.83
SET: 226195.66
SET: 226100.62
SET: 225996.94
SET: 225877.38
SET: 225792.14
SET: 225714.31
SET: 225741.59
SET: 225699.08
SET: 225473.22
SET: 225494.72
SET: 225186.27
SET: 224504.48
SET: 223790.59
SET: 223145.45
SET: 222651.05
SET: 222288.11
SET: 221939.73
SET: 221773.19
SET: 221673.44
SET: 221554.09
SET: 221624.45
SET: 221672.75
SET: 221613.66
SET: 221614.97
SET: 221627.94
SET: 221636.55
SET: 221642.97
SET: 221722.88
SET: 221768.08
SET: 221773.88
SET: 221746.70
SET: 221681.03
SET: 221659.06
SET: 221623.16
SET: 221620.59
SET: 221592.36
SET: 221598.62
SET: 221620.19
SET: 221644.84
SET: 221675.28
SET: 221696.12
SET: 221714.62
SET: 221708.09
SET: 221681.97
SET: 221616.64
SET: 221562.45
SET: 221507.75
SET: 221462.73
SET: 221439.34
SET: 221438.16
SET: 221446.22
SET: 221497.69
SET: 221535.94
SET: 221583.55
SET: 221680.41
SET: 221765.25
SET: 221853.64
SET: 221939.88
SET: 222040.05
SET: 222051.44
SET: 222094.34
SET: 222034.48
SET: 222365.52
SET: 222739.70
SET: 223116.16
SET: 223307.91
SET: 223473.55
SET: 223670.06
SET: 223964.83
SET: 224135.56
SET: 224348.50
SET: 224618.77
SET: 224801.19
SET: 224897.86
SET: 224907.09
SET: 224932.39
SET: 224920.86
SET: 224849.31
SET: 224734.97
SET: 224584.48
SET: 224416.31
SET: 224214.92
SET: 224127.50
SET: 224099.42
SET: 224030.38
SET: 224017.14
SET: 223939.39
SET: 223935.05
SET: 223883.31
SET: 223883.25
SET: 223725.25
SET: 223298.86
SET: 223056.12
SET: 222617.53
SET: 222171.59
SET: 221920.23
SET: 221683.69
SET: 221452.75
SET: 221330.77
SET: 221246.91
SET: 221230.38
SET: 221203.55
SET: 221187.39
SET: 221175.97
SET: 221287.48
SET: 221480.47
SET: 221520.45
SET: 221473.27
SET: 221506.41
SET: 221561.47
SET: 221598.80
SET: 221636.09
SET: 221685.84
SET: 221712.80
SET: 221769.81
SET: 221845.83
SET: 221904.00
SET: 221915.48
SET: 221909.41
SET: 221900.48
SET: 221895.50
SET: 221900.80
SET: 221969.78
SET: 222098.64
SET: 222231.16
SET: 222342.11
SET: 222433.39
SET: 222559.92
SET: 222669.34
SET: 222776.66
SET: 222885.86
SET: 223009.50
SET: 223086.55
SET: 223205.25
SET: 223311.20
SET: 223384.55
SET: 223445.23
SET: 223486.36
SET: 223593.72
SET: 223716.20
SET: 223849.38
SET: 223982.75
SET: 224117.33
SET: 224248.50
SET: 224421.47
SET: 224608.22
SET: 224780.58
SET: 224975.22
SET: 225170.95
SET: 225360.67
SET: 225517.20
SET: 225593.88
SET: 225675.05
SET: 225759.20
SET: 225708.39
SET: 225568.77
SET: 225395.45
SET: 225293.45
SET: 225154.39
SET: 225255.08
SET: 225440.94
SET: 225543.70
SET: 225642.34
SET: 225839.39
SET: 226023.23
SET: 226192.05
SET: 226352.44
SET: 226482.20
SET: 226620.25
SET: 226733.52
SET: 226803.56
SET: 226735.11
SET: 226714.17
SET: 226688.91
SET: 226640.84
SET: 226608.23
SET: 226582.39
SET: 226558.25
SET: 226531.55
SET: 226513.23
SET: 226501.27
SET: 226493.41
SET: 226470.97
SET: 226448.67
SET: 226488.81
SET: 226538.97
SET: 226493.98
SET: 226176.27
SET: 226121.62
SET: 226140.03
SET: 226156.72
SET: 226167.62
SET: 226139.12
SET: 226115.72
SET: 226082.25
SET: 226060.62
SET: 226020.09
SET: 225990.16
SET: 225939.09
SET: 225907.14
SET: 225869.77
SET: 225864.73
SET: 225890.30
SET: 225861.23
SET: 225844.06
SET: 225855.77
SET: 225881.25
SET: 225902.97
SET: 225939.41
SET: 225958.12
SET: 225962.77
SET: 225907.72
SET: 225874.38
SET: 225843.31
SET: 225812.14
SET: 225772.27
SET: 225741.69
SET: 225662.92
SET: 225477.70
SET: 225331.28
SET: 225183.34
SET: 225029.97
SET: 224820.11
SET: 224714.72
SET: 224655.44
SET: 224603.23
SET: 224561.62
SET: 224507.55
SET: 224472.28
SET: 224447.89
SET: 224418.88
SET: 224370.03
SET: 224311.73
SET: 224255.34
SET: 224203.42
SET: 224225.47
SET: 224216.39
SET: 224193.55
SET: 224180.23
SET: 224150.64
SET: 224151.03
SET: 224146.53
SET: 224204.08
SET: 224347.84
====== SET ======
  20000072 requests completed in 89.12 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.07% <= 0.2 milliseconds
0.34% <= 0.3 milliseconds
0.58% <= 0.4 milliseconds
19.97% <= 0.5 milliseconds
67.98% <= 0.6 milliseconds
91.78% <= 0.7 milliseconds
95.47% <= 0.8 milliseconds
97.21% <= 0.9 milliseconds
98.32% <= 1.0 milliseconds
98.90% <= 1.1 milliseconds
99.09% <= 1.2 milliseconds
99.24% <= 1.3 milliseconds
99.36% <= 1.4 milliseconds
99.46% <= 1.5 milliseconds
99.53% <= 1.6 milliseconds
99.58% <= 1.7 milliseconds
99.61% <= 1.8 milliseconds
99.64% <= 1.9 milliseconds
99.66% <= 2 milliseconds
99.88% <= 3 milliseconds
99.94% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
99.99% <= 7 milliseconds
99.99% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 13 milliseconds
224422.38 requests per second


