2023-11-24 14:45:08
SET: -nan
SET: 354336.00
SET: 296832.00
SET: 274848.00
SET: 260080.00
SET: 242720.00
SET: 228944.00
SET: 224667.42
SET: 232712.00
SET: 236412.44
SET: 238787.20
SET: 240098.91
SET: 240818.67
SET: 241523.69
SET: 240249.14
SET: 238828.80
SET: 237894.00
SET: 236954.36
SET: 236170.67
SET: 235178.11
SET: 234064.00
SET: 233918.47
SET: 232942.55
SET: 232022.27
SET: 231305.33
SET: 229012.48
SET: 225090.47
SET: 222136.89
SET: 220848.00
SET: 220516.41
SET: 220230.41
SET: 220725.67
SET: 220399.00
SET: 220118.30
SET: 219696.94
SET: 219491.66
SET: 219035.56
SET: 218628.33
SET: 218421.05
SET: 218294.97
SET: 218115.20
SET: 218076.88
SET: 218030.47
SET: 218490.05
SET: 219530.91
SET: 220740.98
SET: 221555.48
SET: 221843.75
SET: 222303.33
SET: 222649.47
SET: 223170.56
SET: 223914.05
SET: 224480.00
SET: 225191.25
SET: 225699.56
SET: 226277.23
SET: 226397.72
SET: 226311.30
SET: 226212.41
SET: 226113.08
SET: 225990.94
SET: 225940.98
SET: 226091.88
SET: 226194.28
SET: 226340.00
SET: 226509.30
SET: 226637.58
SET: 226732.42
SET: 226863.06
SET: 226974.61
SET: 226980.11
SET: 226799.33
SET: 226443.11
SET: 226113.31
SET: 225865.08
SET: 224969.81
SET: 223571.38
SET: 222202.59
SET: 220884.52
SET: 219795.44
SET: 219354.41
SET: 218947.16
SET: 218557.66
SET: 218171.77
SET: 217906.28
SET: 217512.66
SET: 217317.95
SET: 217111.17
SET: 216937.45
SET: 216734.20
SET: 216596.98
SET: 216551.73
SET: 216531.12
SET: 216521.30
SET: 216447.66
SET: 216550.73
SET: 216948.00
SET: 217343.02
SET: 217726.69
SET: 218082.58
SET: 218461.77
SET: 218812.52
SET: 219110.91
SET: 219421.52
SET: 219858.77
SET: 220448.92
SET: 220982.03
SET: 220915.73
SET: 220371.86
SET: 219995.30
SET: 219821.09
SET: 219599.86
SET: 219428.28
SET: 219321.77
SET: 219217.97
SET: 219132.66
SET: 219003.03
SET: 218813.53
SET: 218667.12
SET: 218619.16
SET: 218568.27
SET: 218530.38
SET: 218542.95
SET: 217925.47
SET: 217243.09
SET: 216660.98
SET: 216460.44
SET: 216312.69
SET: 216190.00
SET: 216058.05
SET: 216068.44
SET: 216059.84
SET: 216052.61
SET: 216069.78
SET: 216090.50
SET: 216135.34
SET: 216103.53
SET: 216155.56
SET: 216140.06
SET: 215862.80
SET: 215424.92
SET: 215140.77
SET: 214749.75
SET: 214344.06
SET: 214062.00
SET: 213789.80
SET: 213579.83
SET: 213508.36
SET: 213521.52
SET: 213547.81
SET: 213563.95
SET: 213610.59
SET: 213628.42
SET: 213636.81
SET: 213676.67
SET: 213758.14
SET: 213685.95
SET: 213729.42
SET: 213762.23
SET: 213802.27
SET: 213812.80
SET: 214026.14
SET: 214265.67
SET: 214548.81
SET: 214823.42
SET: 215110.02
SET: 215148.72
SET: 215098.06
SET: 215063.05
SET: 215046.81
SET: 215047.72
SET: 214683.14
SET: 214080.19
SET: 213712.28
SET: 213731.31
SET: 213737.69
SET: 213769.45
SET: 213765.25
SET: 213776.72
SET: 213776.45
SET: 213872.72
SET: 213992.12
SET: 214061.89
SET: 214205.20
SET: 214340.70
SET: 214443.42
SET: 214553.64
SET: 214613.73
SET: 214668.25
SET: 214664.12
SET: 214670.31
SET: 214692.19
SET: 214741.33
SET: 214762.28
SET: 214772.12
SET: 214793.03
SET: 214812.58
SET: 214834.69
SET: 214836.53
SET: 214843.81
SET: 214855.36
SET: 214887.80
SET: 214899.17
SET: 214911.69
SET: 214918.44
SET: 214917.47
SET: 214887.61
SET: 214843.52
SET: 214776.77
SET: 214740.36
SET: 214764.64
SET: 214734.70
SET: 214807.39
SET: 214896.67
SET: 214915.59
SET: 214859.16
SET: 214887.41
SET: 214916.12
SET: 214889.25
SET: 214639.78
SET: 214323.48
SET: 214043.22
SET: 213775.14
SET: 213738.62
SET: 213715.42
SET: 213717.62
SET: 213733.52
SET: 213751.41
SET: 213755.09
SET: 213818.41
SET: 213825.53
SET: 213802.53
SET: 213848.41
SET: 213872.34
SET: 213907.97
SET: 213955.67
SET: 213990.78
SET: 213979.67
SET: 213969.34
SET: 213964.45
SET: 213952.00
SET: 213971.39
SET: 213978.05
SET: 213984.00
SET: 214001.19
SET: 214031.55
SET: 214069.33
SET: 214105.00
SET: 214162.84
SET: 214287.55
SET: 214461.19
SET: 214617.50
SET: 214886.47
SET: 215139.80
SET: 215367.94
SET: 215599.81
SET: 215748.88
SET: 215855.31
SET: 215937.86
SET: 216005.44
SET: 216090.34
SET: 216157.30
SET: 216220.22
SET: 216255.27
SET: 216223.16
SET: 216180.77
SET: 216135.34
SET: 216073.83
SET: 215856.36
SET: 215629.08
SET: 215459.44
SET: 215424.00
SET: 215430.70
SET: 215417.91
SET: 215274.86
SET: 215189.53
SET: 215221.91
SET: 215250.95
SET: 215314.19
SET: 215379.84
SET: 215440.69
SET: 215504.41
SET: 215571.52
SET: 215644.38
SET: 215724.95
SET: 215797.78
SET: 215856.56
SET: 215876.91
SET: 215935.00
SET: 215913.52
SET: 215911.39
SET: 215919.06
SET: 215934.03
SET: 215926.83
SET: 215911.41
SET: 215907.80
SET: 215920.97
SET: 215938.58
SET: 215956.41
SET: 215797.08
SET: 215541.12
SET: 215534.14
SET: 215491.39
SET: 215454.73
SET: 215440.00
SET: 215450.75
SET: 215462.48
SET: 215468.92
SET: 215412.27
SET: 215406.30
SET: 215395.81
SET: 215387.47
SET: 215381.84
SET: 215354.28
SET: 215343.89
SET: 215364.98
SET: 215426.44
SET: 215499.81
SET: 215568.50
SET: 215628.14
SET: 215691.20
SET: 215759.36
SET: 215777.30
SET: 215765.00
SET: 215759.20
SET: 215740.16
SET: 215728.69
SET: 215705.16
SET: 215679.31
SET: 215663.47
SET: 215680.88
SET: 215669.08
SET: 215610.61
SET: 215523.56
SET: 215442.48
SET: 215353.89
SET: 215295.53
SET: 215289.64
SET: 215296.75
SET: 215295.53
SET: 215299.11
SET: 215310.83
SET: 215320.23
SET: 215341.91
SET: 215354.80
SET: 215379.02
SET: 215406.98
SET: 215420.31
SET: 215425.66
SET: 215426.30
SET: 215433.69
SET: 215435.12
SET: 215434.81
SET: 215496.25
SET: 215567.09
SET: 215604.09
SET: 215657.89
SET: 215702.59
SET: 215725.05
SET: 215719.58
SET: 215729.95
SET: 215729.11
SET: 215736.39
SET: 215686.34
SET: 215497.77
SET: 215301.78
SET: 215140.11
SET: 214985.16
SET: 214846.44
SET: 214805.59
SET: 214806.23
SET: 214830.58
SET: 214863.56
====== SET ======
  20000000 requests completed in 93.07 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.16% <= 0.3 milliseconds
0.33% <= 0.4 milliseconds
9.74% <= 0.5 milliseconds
58.67% <= 0.6 milliseconds
89.08% <= 0.7 milliseconds
93.77% <= 0.8 milliseconds
96.15% <= 0.9 milliseconds
97.21% <= 1.0 milliseconds
98.20% <= 1.1 milliseconds
98.99% <= 1.2 milliseconds
99.25% <= 1.3 milliseconds
99.37% <= 1.4 milliseconds
99.46% <= 1.5 milliseconds
99.53% <= 1.6 milliseconds
99.58% <= 1.7 milliseconds
99.61% <= 1.8 milliseconds
99.64% <= 1.9 milliseconds
99.66% <= 2 milliseconds
99.87% <= 3 milliseconds
99.93% <= 4 milliseconds
99.96% <= 5 milliseconds
99.99% <= 6 milliseconds
99.99% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 10 milliseconds
214894.33 requests per second


