2023-11-24 14:45:08
SET: -nan
SET: 340800.00
SET: 286960.00
SET: 268842.66
SET: 251728.00
SET: 238835.20
SET: 227354.67
SET: 216576.00
SET: 211784.00
SET: 217720.89
SET: 222947.20
SET: 219226.19
SET: 210832.00
SET: 203433.84
SET: 199296.00
SET: 197070.94
SET: 194690.00
SET: 191713.88
SET: 189653.33
SET: 191198.31
SET: 192068.80
SET: 192545.53
SET: 193056.00
SET: 193392.70
SET: 192965.33
SET: 193098.23
SET: 193465.84
SET: 194228.14
SET: 194976.00
SET: 195597.23
SET: 196109.86
SET: 196374.70
SET: 196518.00
SET: 196834.91
SET: 197093.64
SET: 197224.23
SET: 197421.33
SET: 197730.59
SET: 197909.05
SET: 198267.08
SET: 198296.80
SET: 198498.34
SET: 199247.23
SET: 199586.98
SET: 199672.00
SET: 200130.14
SET: 200379.83
SET: 200576.69
SET: 200686.00
SET: 200752.98
SET: 200546.56
SET: 200500.08
SET: 200497.84
SET: 200592.30
SET: 200699.27
SET: 200865.16
SET: 201136.58
SET: 201491.09
SET: 201774.89
SET: 201035.39
SET: 200216.53
SET: 199427.67
SET: 198578.58
SET: 197995.69
SET: 197966.00
SET: 198078.03
SET: 198250.67
SET: 198334.56
SET: 198300.23
SET: 198290.55
SET: 198456.23
SET: 198551.89
SET: 198785.78
SET: 199076.39
SET: 199222.48
SET: 198369.28
SET: 197350.31
SET: 197084.67
SET: 196876.31
SET: 196657.83
SET: 196446.41
SET: 196217.67
SET: 196114.34
SET: 196186.22
SET: 196388.19
SET: 196616.66
SET: 196848.00
SET: 197030.62
SET: 197010.19
SET: 197051.33
SET: 197171.56
SET: 197590.16
SET: 198153.39
SET: 198624.00
SET: 199162.22
SET: 199644.62
SET: 200200.67
SET: 200734.02
SET: 201499.75
SET: 202127.52
SET: 202689.92
SET: 203219.64
SET: 203752.78
SET: 204267.19
SET: 204825.53
SET: 205530.81
SET: 206190.19
SET: 207025.34
SET: 207940.73
SET: 208925.66
SET: 209892.95
SET: 210882.59
SET: 211616.00
SET: 212406.66
SET: 213165.19
SET: 213919.72
SET: 214644.97
SET: 215084.31
SET: 215496.41
SET: 215861.25
SET: 216247.47
SET: 216662.22
SET: 216949.25
SET: 216692.81
SET: 216370.58
SET: 215859.20
SET: 215373.72
SET: 215024.38
SET: 214713.00
SET: 214540.16
SET: 214500.92
SET: 214533.86
SET: 214526.06
SET: 214484.94
SET: 214420.78
SET: 214441.00
SET: 214408.23
SET: 214389.95
SET: 214343.89
SET: 214400.23
SET: 214408.00
SET: 214539.58
SET: 214660.28
SET: 214678.83
SET: 214643.33
SET: 214610.77
SET: 214746.95
SET: 214878.27
SET: 215017.52
SET: 215109.58
SET: 215166.50
SET: 215138.75
SET: 215145.69
SET: 215123.45
SET: 215079.48
SET: 215147.97
SET: 215301.53
SET: 215502.47
SET: 215660.77
SET: 215768.75
SET: 215825.80
SET: 215918.11
SET: 215984.98
SET: 216096.00
SET: 216131.31
SET: 216179.97
SET: 216213.20
SET: 216251.20
SET: 216311.42
SET: 216368.66
SET: 216435.58
SET: 216449.50
SET: 216450.05
SET: 216455.95
SET: 216457.20
SET: 216427.89
SET: 216406.00
SET: 216393.94
SET: 216387.06
SET: 216343.42
SET: 216336.17
SET: 216344.75
SET: 216341.09
SET: 216338.70
SET: 216322.27
SET: 216323.81
SET: 216328.27
SET: 216330.27
SET: 216293.45
SET: 216245.67
SET: 216184.08
SET: 216125.98
SET: 216072.33
SET: 216018.41
SET: 216091.88
SET: 216276.02
SET: 216492.08
SET: 216669.22
SET: 216841.02
SET: 217115.62
SET: 217378.03
SET: 217469.41
SET: 217678.20
SET: 217831.03
SET: 217934.52
SET: 218174.05
SET: 218412.19
SET: 218519.72
SET: 218632.98
SET: 218760.47
SET: 218887.81
SET: 218962.09
SET: 219109.92
SET: 219221.97
SET: 219358.08
SET: 219600.25
SET: 219784.31
SET: 219954.59
SET: 220219.00
SET: 220341.17
SET: 220393.02
SET: 220451.17
SET: 220457.36
SET: 220491.89
SET: 220554.70
SET: 220597.03
SET: 220635.45
SET: 220663.38
SET: 220704.69
SET: 220792.30
SET: 220889.98
SET: 220916.20
SET: 220928.66
SET: 220951.88
SET: 220995.39
SET: 220873.09
SET: 220741.94
SET: 220672.92
SET: 220643.08
SET: 220618.42
SET: 220593.84
SET: 220562.44
SET: 220537.25
SET: 220515.55
SET: 220494.02
SET: 220495.53
SET: 220511.59
SET: 220522.09
SET: 220530.31
SET: 220544.50
SET: 220606.95
SET: 220652.34
SET: 220804.30
SET: 220964.53
SET: 221090.73
SET: 221196.52
SET: 221306.59
SET: 221398.00
SET: 221489.20
SET: 221603.78
SET: 221794.41
SET: 221946.67
SET: 222034.88
SET: 222118.27
SET: 222182.36
SET: 222232.33
SET: 222303.33
SET: 222410.59
SET: 222536.77
SET: 222635.58
SET: 222695.16
SET: 222755.70
SET: 222819.92
SET: 222884.61
SET: 222951.05
SET: 222997.44
SET: 223056.95
SET: 223108.88
SET: 223198.30
SET: 223294.53
SET: 223402.88
SET: 223484.83
SET: 223551.00
SET: 223550.31
SET: 223491.28
SET: 223471.62
SET: 223443.05
SET: 223432.94
SET: 223404.02
SET: 223428.23
SET: 223448.95
SET: 223473.06
SET: 223490.09
SET: 223493.38
SET: 223512.83
SET: 223514.16
SET: 223522.39
SET: 223479.08
SET: 223447.22
SET: 223353.06
SET: 223240.88
SET: 223059.38
SET: 222821.97
SET: 222595.95
SET: 222360.67
SET: 222113.20
SET: 221895.91
SET: 221678.03
SET: 221568.06
SET: 221545.80
SET: 221524.72
SET: 221465.38
SET: 221417.70
SET: 221371.58
SET: 221312.78
SET: 221276.31
SET: 221286.75
SET: 221333.78
SET: 221366.70
SET: 221368.95
SET: 221353.06
SET: 221331.91
SET: 221322.31
SET: 221304.94
SET: 221337.75
SET: 221347.81
SET: 221367.03
SET: 221359.92
SET: 221321.05
SET: 221284.16
SET: 221276.48
SET: 221257.16
SET: 221245.47
SET: 221236.53
SET: 221234.08
SET: 221235.27
SET: 221227.59
SET: 221226.52
SET: 221218.25
SET: 221288.66
SET: 221419.92
SET: 221558.77
SET: 221672.67
SET: 221739.72
SET: 221766.28
SET: 221772.48
SET: 221775.03
SET: 221765.67
SET: 221762.17
SET: 221771.06
SET: 221756.58
SET: 221740.91
SET: 221726.42
SET: 221726.78
SET: 221707.62
SET: 221661.53
SET: 221612.28
SET: 221561.69
SET: 221508.70
SET: 221452.45
SET: 221386.73
SET: 221341.14
====== SET ======
  20000048 requests completed in 90.36 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.00% <= 0.2 milliseconds
0.12% <= 0.3 milliseconds
1.16% <= 0.4 milliseconds
16.74% <= 0.5 milliseconds
63.79% <= 0.6 milliseconds
90.61% <= 0.7 milliseconds
94.96% <= 0.8 milliseconds
97.37% <= 0.9 milliseconds
98.36% <= 1.0 milliseconds
98.81% <= 1.1 milliseconds
99.20% <= 1.2 milliseconds
99.35% <= 1.3 milliseconds
99.44% <= 1.4 milliseconds
99.51% <= 1.5 milliseconds
99.57% <= 1.6 milliseconds
99.62% <= 1.7 milliseconds
99.65% <= 1.8 milliseconds
99.68% <= 1.9 milliseconds
99.70% <= 2 milliseconds
99.91% <= 3 milliseconds
99.96% <= 4 milliseconds
99.98% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 9 milliseconds
221325.17 requests per second


