2023-11-24 14:45:08
SET: -nan
SET: 289280.00
SET: 245248.00
SET: 230432.00
SET: 224888.00
SET: 214944.00
SET: 206672.00
SET: 202541.72
SET: 194800.00
SET: 187192.89
SET: 181123.20
SET: 177070.55
SET: 174312.00
SET: 172078.77
SET: 169878.86
SET: 167863.47
SET: 167384.00
SET: 167049.41
SET: 168334.22
SET: 169566.31
SET: 170408.00
SET: 170681.91
SET: 170888.73
SET: 170989.91
SET: 171024.00
SET: 169363.20
SET: 167700.97
SET: 165949.94
SET: 164505.64
SET: 163003.17
SET: 161755.50
SET: 160657.47
SET: 160207.97
SET: 159783.78
SET: 159471.11
SET: 159126.03
SET: 158423.28
SET: 158180.52
SET: 158018.73
SET: 157453.66
SET: 156739.05
SET: 156087.41
SET: 155469.06
SET: 155885.42
SET: 157069.62
SET: 158403.84
SET: 158726.48
SET: 158904.70
SET: 159186.14
SET: 159395.36
SET: 159613.50
SET: 160246.55
SET: 161162.91
SET: 162091.77
SET: 162991.56
SET: 163812.11
SET: 164576.48
SET: 165315.19
SET: 165947.88
SET: 166812.91
SET: 167704.05
SET: 168596.38
SET: 169463.03
SET: 170278.83
SET: 171156.59
SET: 172038.88
SET: 172915.77
SET: 173791.30
SET: 174670.73
SET: 175418.50
SET: 176175.06
SET: 176835.95
SET: 177307.84
SET: 177739.64
SET: 178176.62
SET: 179082.75
SET: 180209.23
SET: 181266.14
SET: 182298.42
SET: 183313.48
SET: 184310.77
SET: 185303.17
SET: 186149.25
SET: 186906.31
SET: 187604.61
SET: 188225.86
SET: 188843.83
SET: 189726.36
SET: 190547.39
SET: 191300.02
SET: 192027.38
SET: 192168.77
SET: 192341.19
SET: 192631.00
SET: 192920.42
SET: 193077.45
SET: 193173.23
SET: 193381.48
SET: 193523.78
SET: 193586.61
SET: 193651.70
SET: 193743.70
SET: 193862.12
SET: 194051.56
SET: 194264.44
SET: 194475.08
SET: 194673.00
SET: 194961.42
SET: 195288.05
SET: 195853.80
SET: 196342.08
SET: 197018.16
SET: 197541.31
SET: 198040.48
SET: 198519.95
SET: 198799.94
SET: 199028.75
SET: 199261.86
SET: 199502.67
SET: 199719.81
SET: 199944.27
SET: 200170.83
SET: 200365.08
SET: 200625.91
SET: 200898.27
SET: 201202.34
SET: 201346.45
SET: 201484.50
SET: 201614.91
SET: 201729.64
SET: 201934.17
SET: 202115.78
SET: 202257.81
SET: 202358.48
SET: 202482.00
SET: 202633.81
SET: 202791.61
SET: 202912.53
SET: 203021.97
SET: 203393.89
SET: 203829.95
SET: 204253.50
SET: 204476.59
SET: 204718.95
SET: 205052.61
SET: 205323.84
SET: 205643.09
SET: 205842.62
SET: 205996.00
SET: 206140.03
SET: 206288.73
SET: 206412.81
SET: 206527.88
SET: 206628.05
SET: 206757.27
SET: 206364.17
SET: 205877.03
SET: 205385.31
SET: 204850.39
SET: 204424.03
SET: 203956.20
SET: 203623.78
SET: 203329.03
SET: 203126.83
SET: 202933.72
SET: 202719.30
SET: 202682.86
SET: 202635.56
SET: 202612.08
SET: 202555.72
SET: 202629.34
SET: 202776.02
SET: 202975.86
SET: 203113.48
SET: 203282.25
SET: 203403.19
SET: 203462.75
SET: 203563.95
SET: 203673.02
SET: 203762.08
SET: 203861.52
SET: 204009.73
SET: 204126.94
SET: 204232.73
SET: 204346.59
SET: 204456.28
SET: 204522.66
SET: 204594.45
SET: 204696.14
SET: 204841.11
SET: 204968.55
SET: 205096.84
SET: 205188.95
SET: 205227.23
SET: 205260.48
SET: 205367.25
SET: 205470.97
SET: 205516.12
SET: 205561.64
SET: 205659.75
SET: 205725.70
SET: 205760.25
SET: 205795.11
SET: 205827.25
SET: 205884.48
SET: 205753.69
SET: 205661.77
SET: 205690.69
SET: 205741.47
SET: 205771.27
SET: 205815.41
SET: 205810.73
SET: 205719.03
SET: 205705.56
SET: 205736.16
SET: 205667.95
SET: 205700.98
SET: 205730.30
SET: 205751.42
SET: 205831.69
SET: 205649.55
SET: 205427.36
SET: 205382.30
SET: 205332.77
SET: 205345.39
SET: 205366.14
SET: 205230.83
SET: 205139.14
SET: 205155.33
SET: 205307.48
SET: 205168.11
SET: 205186.05
SET: 205201.20
SET: 205233.95
SET: 205149.50
SET: 205163.53
SET: 204928.52
SET: 204758.39
SET: 204519.11
SET: 204432.19
SET: 204424.92
SET: 204445.20
SET: 204460.02
SET: 204479.59
SET: 204486.16
SET: 204508.59
SET: 204556.08
SET: 204578.97
SET: 204571.47
SET: 204575.08
SET: 204592.38
SET: 204650.56
SET: 204698.39
SET: 204739.02
SET: 204767.47
SET: 204850.67
SET: 204936.97
SET: 204995.70
SET: 205083.38
SET: 205107.00
SET: 205126.38
SET: 205131.38
SET: 205133.28
SET: 205135.17
SET: 205185.30
SET: 205204.02
SET: 205194.55
SET: 205060.53
SET: 205072.20
SET: 205102.95
SET: 205131.94
SET: 205107.69
SET: 205120.09
SET: 205171.66
SET: 205190.86
SET: 205208.28
SET: 205218.28
SET: 205228.09
SET: 205257.64
SET: 205288.69
SET: 205343.17
SET: 205421.62
SET: 205506.23
SET: 205579.38
SET: 205615.62
SET: 205634.66
SET: 205703.91
SET: 205740.55
SET: 205747.52
SET: 205741.91
SET: 205746.72
SET: 205761.17
SET: 205779.02
SET: 205814.12
SET: 205867.81
SET: 205901.41
SET: 205925.47
SET: 205952.81
SET: 205963.55
SET: 206035.42
SET: 206129.44
SET: 206211.77
SET: 206296.73
SET: 206392.97
SET: 206481.73
SET: 206584.17
SET: 206691.91
SET: 206803.22
SET: 206911.61
SET: 207023.45
SET: 207098.77
SET: 207187.58
SET: 207242.17
SET: 207277.31
SET: 207298.27
SET: 207286.38
SET: 207285.80
SET: 207342.16
SET: 207388.91
SET: 207438.56
SET: 207488.02
SET: 207543.44
SET: 207580.44
SET: 207593.72
SET: 207622.92
SET: 207646.83
SET: 207667.25
SET: 207698.02
SET: 207729.47
SET: 207752.86
SET: 207765.05
SET: 207815.16
SET: 207824.30
SET: 207796.67
SET: 207765.19
SET: 207743.25
SET: 207713.25
SET: 207686.28
SET: 207669.59
SET: 207667.08
SET: 207680.58
SET: 207681.80
SET: 207692.08
SET: 207691.39
SET: 207670.89
SET: 207645.41
SET: 207612.22
SET: 207627.72
SET: 207675.50
SET: 207654.06
SET: 207664.19
SET: 207681.73
SET: 207649.02
SET: 207628.06
SET: 207598.39
SET: 207558.14
SET: 207515.52
SET: 207496.34
SET: 207486.50
SET: 207505.48
SET: 207508.72
SET: 207495.11
SET: 207482.97
SET: 207403.39
SET: 207377.33
SET: 207364.58
SET: 207448.58
SET: 207521.23
SET: 207582.88
SET: 207675.50
SET: 207767.53
SET: 207853.55
SET: 207967.31
SET: 208087.59
SET: 208201.16
SET: 208246.95
SET: 208316.17
SET: 208389.00
SET: 208467.05
SET: 208636.78
SET: 208805.80
SET: 208960.98
SET: 209187.58
====== SET ======
  20000032 requests completed in 95.58 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.07% <= 0.3 milliseconds
0.18% <= 0.4 milliseconds
7.64% <= 0.5 milliseconds
50.97% <= 0.6 milliseconds
84.77% <= 0.7 milliseconds
89.63% <= 0.8 milliseconds
92.69% <= 0.9 milliseconds
95.30% <= 1.0 milliseconds
97.21% <= 1.1 milliseconds
98.02% <= 1.2 milliseconds
98.44% <= 1.3 milliseconds
98.75% <= 1.4 milliseconds
99.00% <= 1.5 milliseconds
99.19% <= 1.6 milliseconds
99.32% <= 1.7 milliseconds
99.42% <= 1.8 milliseconds
99.49% <= 1.9 milliseconds
99.55% <= 2 milliseconds
99.89% <= 3 milliseconds
99.95% <= 4 milliseconds
99.96% <= 5 milliseconds
99.97% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
99.99% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 16 milliseconds
209249.12 requests per second


