2023-11-24 14:45:09
SET: -nan
SET: 278944.00
SET: 267744.00
SET: 243360.00
SET: 223976.00
SET: 209574.41
SET: 197440.00
SET: 186491.42
SET: 177668.00
SET: 170958.22
SET: 166211.20
SET: 164416.00
SET: 161250.67
SET: 161998.77
SET: 164861.72
SET: 167364.27
SET: 170094.00
SET: 172515.77
SET: 176001.78
SET: 178448.84
SET: 181630.41
SET: 183640.38
SET: 180744.73
SET: 181509.56
SET: 183554.67
SET: 185491.20
SET: 187239.39
SET: 188520.30
SET: 189704.00
SET: 190694.62
SET: 192734.94
SET: 194571.36
SET: 195422.00
SET: 195609.22
SET: 196114.83
SET: 196720.45
SET: 197144.89
SET: 197652.75
SET: 198143.16
SET: 198417.23
SET: 198550.41
SET: 198936.19
SET: 199442.28
SET: 200118.33
SET: 200754.91
SET: 201364.62
SET: 201572.88
SET: 201617.70
SET: 201649.33
SET: 201729.31
SET: 201721.59
SET: 201666.52
SET: 201531.08
SET: 201702.03
SET: 201923.56
SET: 202112.00
SET: 202221.14
SET: 202349.47
SET: 202400.00
SET: 202446.11
SET: 202365.33
SET: 202439.88
SET: 202635.88
SET: 202928.25
SET: 203138.00
SET: 203281.23
SET: 203356.61
SET: 203313.19
SET: 203229.64
SET: 203253.80
SET: 203321.14
SET: 203414.08
SET: 203475.56
SET: 203521.75
SET: 203608.22
SET: 203885.66
SET: 204121.27
SET: 204267.22
SET: 204423.80
SET: 204528.20
SET: 204631.59
SET: 204745.09
SET: 204773.47
SET: 204785.73
SET: 204959.23
SET: 204992.38
SET: 204993.11
SET: 204983.17
SET: 204985.45
SET: 205067.86
SET: 205167.64
SET: 205440.00
SET: 205696.00
SET: 205879.73
SET: 205842.05
SET: 205704.08
SET: 205465.67
SET: 205234.47
SET: 205020.73
SET: 204705.30
SET: 204495.69
SET: 204259.17
SET: 204072.47
SET: 203962.09
SET: 204084.31
SET: 204152.08
SET: 204068.83
SET: 204175.55
SET: 204164.73
SET: 203871.12
SET: 203400.73
SET: 202769.58
SET: 202155.14
SET: 201699.39
SET: 201297.41
SET: 200899.34
SET: 200600.83
SET: 200388.38
SET: 200174.11
SET: 200205.72
SET: 200264.53
SET: 200326.61
SET: 200397.38
SET: 199820.48
SET: 199950.45
SET: 200026.38
SET: 200203.42
SET: 200352.00
SET: 200498.00
SET: 200640.75
SET: 200722.70
SET: 200809.03
SET: 200908.84
SET: 201018.89
SET: 201187.05
SET: 201319.98
SET: 201472.62
SET: 201618.83
SET: 201737.19
SET: 201802.27
SET: 201889.95
SET: 201980.27
SET: 202086.66
SET: 202190.20
SET: 202306.55
SET: 202425.91
SET: 202549.12
SET: 202690.91
SET: 202792.72
SET: 202862.89
SET: 202967.95
SET: 203073.75
SET: 203164.27
SET: 203174.95
SET: 203071.44
SET: 202805.33
SET: 202834.33
SET: 202857.23
SET: 202856.77
SET: 202876.23
SET: 202869.47
SET: 203021.56
SET: 203161.53
SET: 203284.45
SET: 203328.03
SET: 203324.16
SET: 203351.94
SET: 203352.38
SET: 203349.56
SET: 203305.69
SET: 203396.92
SET: 203446.86
SET: 203508.31
SET: 203574.22
SET: 203685.53
SET: 204076.62
SET: 204417.27
SET: 204629.31
SET: 204567.34
SET: 204534.86
SET: 204577.58
SET: 204612.58
SET: 204701.86
SET: 204895.61
SET: 205005.70
SET: 205106.12
SET: 205157.45
SET: 204826.67
SET: 204872.48
SET: 204929.48
SET: 204609.16
SET: 204204.89
SET: 203983.50
SET: 204004.64
SET: 204092.38
SET: 204183.80
SET: 204274.44
SET: 204486.00
SET: 204687.81
SET: 204871.69
SET: 205038.84
SET: 205156.73
SET: 205236.55
SET: 205348.36
SET: 205529.36
SET: 205639.44
SET: 205681.34
SET: 205724.38
SET: 205777.02
SET: 205880.44
SET: 205975.09
SET: 205975.44
SET: 205934.12
SET: 205943.67
SET: 205932.34
SET: 205931.25
SET: 205924.97
SET: 205995.73
SET: 206161.25
SET: 206260.67
SET: 206253.89
SET: 206240.22
SET: 206220.61
SET: 206207.34
SET: 206207.20
SET: 206182.61
SET: 206228.31
SET: 206265.44
SET: 206290.45
SET: 206316.64
SET: 206335.36
SET: 206387.88
SET: 206432.33
SET: 206500.86
SET: 206541.86
SET: 206643.52
SET: 206727.50
SET: 206850.47
SET: 207007.09
SET: 207070.70
SET: 207211.36
SET: 207362.42
SET: 207402.86
SET: 207434.16
SET: 207518.84
SET: 207695.03
SET: 207868.23
SET: 208016.06
SET: 208142.70
SET: 208278.73
SET: 208352.12
SET: 208396.48
SET: 208439.23
SET: 208465.83
SET: 208497.38
SET: 208592.80
SET: 208731.61
SET: 208834.84
SET: 208809.03
SET: 208617.50
SET: 208378.08
SET: 208299.03
SET: 208269.55
SET: 208181.66
SET: 208072.48
SET: 208010.62
SET: 207977.27
SET: 207859.42
SET: 207589.39
SET: 207335.89
SET: 207103.22
SET: 206869.78
SET: 206696.30
SET: 206596.64
SET: 206450.41
SET: 206297.22
SET: 206244.48
SET: 206261.56
SET: 206287.39
SET: 206315.89
SET: 206359.39
SET: 206406.22
SET: 206439.00
SET: 206473.34
SET: 206479.39
SET: 206507.86
SET: 206556.03
SET: 206570.44
SET: 206561.17
SET: 206551.98
SET: 206552.89
SET: 206535.88
SET: 206571.91
SET: 206603.86
SET: 206633.53
SET: 206676.89
SET: 206693.25
SET: 206708.75
SET: 206720.92
SET: 206489.75
SET: 206328.17
SET: 206278.03
SET: 206226.30
SET: 206113.56
SET: 206085.55
SET: 206103.06
SET: 206146.59
SET: 206216.41
SET: 206363.39
SET: 206554.16
SET: 206601.56
SET: 206648.34
SET: 206694.31
SET: 206736.20
SET: 206779.88
SET: 206822.34
SET: 206882.17
SET: 206958.89
SET: 207048.50
SET: 207138.34
SET: 207181.83
SET: 207197.34
SET: 207230.55
SET: 207259.67
SET: 207290.59
SET: 207299.08
SET: 207290.23
SET: 207258.55
SET: 207231.16
SET: 207219.00
SET: 207231.25
SET: 207282.02
SET: 207355.30
SET: 207426.81
SET: 207498.56
SET: 207566.83
SET: 207638.39
SET: 207640.89
SET: 207578.16
SET: 207492.94
SET: 207409.16
SET: 207401.50
SET: 207390.44
SET: 207411.61
SET: 207450.06
SET: 207492.28
SET: 207534.27
SET: 207557.28
SET: 207588.80
SET: 207607.58
SET: 207624.42
SET: 207631.70
SET: 207653.38
SET: 207681.56
SET: 207724.58
SET: 207760.88
SET: 207797.50
SET: 207841.89
SET: 207869.86
SET: 207883.42
SET: 207903.83
SET: 207930.16
SET: 207984.72
SET: 208074.23
SET: 208162.55
SET: 208247.14
SET: 208327.52
SET: 208419.22
SET: 208521.98
SET: 208633.83
SET: 208746.02
SET: 208866.56
SET: 208969.77
SET: 209075.78
SET: 209210.73
SET: 209342.67
SET: 209488.45
SET: 209628.55
SET: 209792.61
SET: 209730.05
SET: 209695.17
SET: 209781.59
====== SET ======
  20000088 requests completed in 95.32 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
0.09% <= 0.4 milliseconds
4.68% <= 0.5 milliseconds
50.39% <= 0.6 milliseconds
87.55% <= 0.7 milliseconds
93.33% <= 0.8 milliseconds
95.71% <= 0.9 milliseconds
97.34% <= 1.0 milliseconds
98.52% <= 1.1 milliseconds
99.14% <= 1.2 milliseconds
99.30% <= 1.3 milliseconds
99.42% <= 1.4 milliseconds
99.50% <= 1.5 milliseconds
99.57% <= 1.6 milliseconds
99.62% <= 1.7 milliseconds
99.65% <= 1.8 milliseconds
99.68% <= 1.9 milliseconds
99.70% <= 2 milliseconds
99.91% <= 3 milliseconds
99.97% <= 4 milliseconds
99.98% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 8 milliseconds
209816.08 requests per second


