2023-11-24 14:45:09
SET: -nan
SET: 243744.00
SET: 220480.00
SET: 212021.33
SET: 208016.00
SET: 198419.20
SET: 192970.67
SET: 187808.00
SET: 181852.00
SET: 175694.22
SET: 170678.41
SET: 167057.45
SET: 164318.56
SET: 161919.41
SET: 159597.83
SET: 157609.17
SET: 155337.17
SET: 153347.45
SET: 152257.72
SET: 151129.45
SET: 150096.39
SET: 149239.39
SET: 148458.83
SET: 148651.72
SET: 148941.84
SET: 149149.89
SET: 149954.78
SET: 152510.73
SET: 154597.34
SET: 156273.06
SET: 158126.12
SET: 159937.05
SET: 161710.78
SET: 163151.12
SET: 164464.41
SET: 166023.53
SET: 167944.89
SET: 169782.28
SET: 171407.64
SET: 172642.80
SET: 173693.83
SET: 174162.91
SET: 174141.89
SET: 174902.42
SET: 175669.11
SET: 176432.31
SET: 176466.05
SET: 177089.27
SET: 178079.16
SET: 179054.11
SET: 179938.23
SET: 180592.58
SET: 180897.47
SET: 181597.16
SET: 182327.83
SET: 183125.00
SET: 183659.45
SET: 184142.58
SET: 184585.89
SET: 185072.73
SET: 185585.48
SET: 186190.55
SET: 186672.86
SET: 187358.27
SET: 187917.27
SET: 188217.84
SET: 188480.70
SET: 188786.83
SET: 189108.88
SET: 189369.67
SET: 189683.34
SET: 190049.47
SET: 190472.53
SET: 190901.11
SET: 191464.25
SET: 191822.52
SET: 192026.53
SET: 192221.08
SET: 192414.75
SET: 192616.08
SET: 192883.56
SET: 193055.56
SET: 193521.11
SET: 194145.06
SET: 194608.64
SET: 194855.41
SET: 195036.52
SET: 195244.73
SET: 195487.84
SET: 195813.95
SET: 196123.56
SET: 196354.28
SET: 196590.77
SET: 196806.67
SET: 196918.27
SET: 196926.11
SET: 197094.80
SET: 197313.77
SET: 197490.72
SET: 197538.05
SET: 197633.38
SET: 197744.56
SET: 197846.67
SET: 198025.41
SET: 198243.16
SET: 198411.95
SET: 198581.80
SET: 198508.62
SET: 198624.06
SET: 198821.62
SET: 198942.00
SET: 198988.72
SET: 199085.75
SET: 199162.38
SET: 199237.36
SET: 199366.70
SET: 199350.64
SET: 199272.78
SET: 199196.78
SET: 199101.08
SET: 199018.44
SET: 199058.28
SET: 199118.20
SET: 198498.66
SET: 198016.33
SET: 197751.89
SET: 197820.02
SET: 197900.67
SET: 198001.81
SET: 198080.31
SET: 198195.50
SET: 198406.41
SET: 198680.53
SET: 198901.20
SET: 199044.33
SET: 199325.89
SET: 199600.25
SET: 199857.06
SET: 200029.92
SET: 200175.19
SET: 200284.56
SET: 200426.44
SET: 200688.66
SET: 200810.95
SET: 200959.09
SET: 201291.66
SET: 201499.58
SET: 201737.97
SET: 201974.44
SET: 202262.70
SET: 202477.80
SET: 202641.52
SET: 202797.41
SET: 202961.50
SET: 203113.27
SET: 203268.67
SET: 203461.86
SET: 203635.48
SET: 203752.81
SET: 203874.72
SET: 204014.11
SET: 204180.56
SET: 204329.19
SET: 204444.36
SET: 204526.92
SET: 204616.42
SET: 204685.58
SET: 204774.02
SET: 204882.36
SET: 204985.25
SET: 205084.50
SET: 205195.30
SET: 205267.05
SET: 205317.80
SET: 205330.83
SET: 205315.36
SET: 205387.88
SET: 205454.89
SET: 205504.42
SET: 205517.64
SET: 205565.03
SET: 205589.09
SET: 205611.31
SET: 205598.48
SET: 205566.14
SET: 205539.86
SET: 205554.81
SET: 205676.38
SET: 205728.22
SET: 205775.28
SET: 205856.05
SET: 205923.91
SET: 205976.72
SET: 206032.95
SET: 206003.02
SET: 205926.11
SET: 205854.58
SET: 205791.08
SET: 205723.03
SET: 205656.17
SET: 205589.17
SET: 205514.08
SET: 205464.45
SET: 205488.77
SET: 205504.05
SET: 205308.78
SET: 205189.95
SET: 205160.88
SET: 205166.06
SET: 205169.66
SET: 205198.69
SET: 205211.50
SET: 205122.17
SET: 204990.70
SET: 204827.28
SET: 204839.20
SET: 204754.14
SET: 204780.89
SET: 204777.89
SET: 204739.12
SET: 204622.91
SET: 204527.70
SET: 204376.00
SET: 204202.41
SET: 203779.36
SET: 203699.28
SET: 203248.66
SET: 203062.22
SET: 203029.84
SET: 202961.56
SET: 203011.98
SET: 202831.47
SET: 202901.61
SET: 202999.70
SET: 203005.91
SET: 203173.39
SET: 203264.36
SET: 203315.66
SET: 203340.72
SET: 203359.67
SET: 203393.41
SET: 203412.80
SET: 203439.28
SET: 203492.16
SET: 203577.00
SET: 203616.47
SET: 203699.06
SET: 203755.98
SET: 203808.58
SET: 203864.75
SET: 203937.73
SET: 203984.64
SET: 204027.75
SET: 204088.09
SET: 204096.94
SET: 204117.89
SET: 204127.19
SET: 204130.42
SET: 204127.19
SET: 204132.88
SET: 204165.59
SET: 204172.56
SET: 204171.66
SET: 204174.53
SET: 204173.39
SET: 204154.27
SET: 204155.84
SET: 204238.44
SET: 204292.47
SET: 204296.62
SET: 204286.52
SET: 204264.91
SET: 204263.23
SET: 204205.53
SET: 204180.27
SET: 204185.78
SET: 204183.48
SET: 204189.28
SET: 204207.02
SET: 204245.62
SET: 204293.31
SET: 204336.00
SET: 204375.88
SET: 204511.14
SET: 204287.72
SET: 204051.14
SET: 203776.62
SET: 203564.66
SET: 203486.28
SET: 203470.91
SET: 203421.42
SET: 203440.89
SET: 203521.92
SET: 203594.98
SET: 203681.05
SET: 203755.88
SET: 203782.00
SET: 203809.14
SET: 203816.44
SET: 203618.31
SET: 203447.73
SET: 203383.34
SET: 203359.42
SET: 203389.73
SET: 203391.11
SET: 203379.78
SET: 203401.27
SET: 203486.70
SET: 203583.84
SET: 203705.42
SET: 203789.89
SET: 203836.25
SET: 203887.03
SET: 203930.94
SET: 203958.58
SET: 203957.28
SET: 203945.88
SET: 203946.34
SET: 203941.08
SET: 203938.36
SET: 203925.05
SET: 203933.77
SET: 203921.14
SET: 203911.98
SET: 203950.77
SET: 203983.41
SET: 203974.92
SET: 203948.67
SET: 203928.25
SET: 203907.27
SET: 203919.56
SET: 203976.66
SET: 204020.19
SET: 204056.27
SET: 204082.92
SET: 204095.38
SET: 204095.67
SET: 204105.83
SET: 204134.62
SET: 204148.02
SET: 204158.69
SET: 204169.00
SET: 204221.38
SET: 204263.09
SET: 204275.62
SET: 204281.50
SET: 204284.30
SET: 204255.17
SET: 204225.66
SET: 204188.70
SET: 204194.28
SET: 204202.03
SET: 204277.27
SET: 204373.20
SET: 204473.75
SET: 204574.36
SET: 204672.53
SET: 204764.58
SET: 204855.14
SET: 204947.50
SET: 205027.00
SET: 205120.78
SET: 205188.48
SET: 205158.77
SET: 205125.95
SET: 205088.16
SET: 205049.33
SET: 205013.95
SET: 204978.42
SET: 204959.81
SET: 204939.66
SET: 204975.42
SET: 205046.95
SET: 205131.73
SET: 205219.14
SET: 205339.28
SET: 205509.67
SET: 205590.30
SET: 205710.36
SET: 205740.20
SET: 205936.12
SET: 206131.86
SET: 206275.72
SET: 206540.91
SET: 206909.44
SET: 207383.70
====== SET ======
  20000032 requests completed in 96.35 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.00% <= 0.2 milliseconds
0.02% <= 0.3 milliseconds
1.12% <= 0.4 milliseconds
4.36% <= 0.5 milliseconds
45.75% <= 0.6 milliseconds
85.10% <= 0.7 milliseconds
90.42% <= 0.8 milliseconds
92.50% <= 0.9 milliseconds
95.03% <= 1.0 milliseconds
96.81% <= 1.1 milliseconds
97.59% <= 1.2 milliseconds
98.10% <= 1.3 milliseconds
98.50% <= 1.4 milliseconds
98.80% <= 1.5 milliseconds
99.04% <= 1.6 milliseconds
99.20% <= 1.7 milliseconds
99.32% <= 1.8 milliseconds
99.41% <= 1.9 milliseconds
99.48% <= 2 milliseconds
99.85% <= 3 milliseconds
99.95% <= 4 milliseconds
99.96% <= 5 milliseconds
99.97% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
99.99% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 12 milliseconds
207576.88 requests per second


