2023-11-24 14:45:09
SET: 0.00
SET: 196366.55
SET: 186762.48
SET: 182860.19
SET: 178501.48
SET: 172885.69
SET: 167568.28
SET: 161466.59
SET: 158184.91
SET: 155145.28
SET: 152668.53
SET: 153049.80
SET: 153532.83
SET: 153988.31
SET: 153711.52
SET: 151865.64
SET: 150700.33
SET: 149051.05
SET: 148255.06
SET: 148548.09
SET: 149039.00
SET: 149576.08
SET: 150065.81
SET: 150457.31
SET: 150918.84
SET: 151326.83
SET: 152729.73
SET: 155095.25
SET: 157029.00
SET: 159179.16
SET: 160741.23
SET: 162106.56
SET: 163577.55
SET: 164855.64
SET: 165981.41
SET: 167312.53
SET: 168530.59
SET: 169712.23
SET: 171039.67
SET: 172245.72
SET: 173391.45
SET: 174567.94
SET: 175686.12
SET: 176721.05
SET: 178147.44
SET: 179396.67
SET: 180734.89
SET: 181662.83
SET: 182180.14
SET: 182631.94
SET: 183048.39
SET: 183460.42
SET: 183694.78
SET: 184095.39
SET: 184621.58
SET: 185256.62
SET: 185932.42
SET: 186501.44
SET: 187059.64
SET: 187901.56
SET: 188710.61
SET: 189476.36
SET: 190208.62
SET: 190979.61
SET: 191703.03
SET: 192419.42
SET: 193016.67
SET: 193558.36
SET: 193992.83
SET: 194361.84
SET: 194707.05
SET: 194988.45
SET: 195250.48
SET: 195536.03
SET: 195867.47
SET: 196494.27
SET: 197028.38
SET: 197372.81
SET: 197668.64
SET: 197885.69
SET: 198067.30
SET: 198279.98
SET: 198491.78
SET: 198746.28
SET: 198950.53
SET: 199070.92
SET: 199266.67
SET: 199571.53
SET: 200166.52
SET: 200760.38
SET: 201341.03
SET: 201886.42
SET: 202430.05
SET: 202853.25
SET: 203299.45
SET: 204034.69
SET: 204495.62
SET: 204839.84
SET: 205183.89
SET: 205499.03
SET: 205827.05
SET: 206109.30
SET: 206140.38
SET: 206193.53
SET: 206216.75
SET: 206214.22
SET: 206178.55
SET: 206006.88
SET: 205946.22
SET: 206245.41
SET: 206659.30
SET: 207197.78
SET: 207548.33
SET: 207893.25
SET: 208227.06
SET: 208544.50
SET: 208905.28
SET: 209404.84
SET: 209922.25
SET: 210446.27
SET: 210979.17
SET: 210883.67
SET: 210937.16
SET: 211011.86
SET: 211043.31
SET: 211091.67
SET: 211103.45
SET: 211154.59
SET: 211137.72
SET: 211099.50
SET: 211055.23
SET: 211002.61
SET: 210957.56
SET: 210913.91
SET: 210913.66
SET: 210882.59
SET: 210883.52
SET: 210840.98
SET: 210681.05
SET: 210039.55
SET: 209462.52
SET: 208976.72
SET: 208583.62
SET: 208287.09
SET: 208042.67
SET: 208010.38
SET: 208200.33
SET: 208466.25
SET: 208754.11
SET: 208967.88
SET: 208972.94
SET: 209016.94
SET: 209057.19
SET: 208766.69
SET: 208579.50
SET: 208483.48
SET: 208496.17
SET: 208486.70
SET: 208372.64
SET: 208244.92
SET: 208288.39
SET: 208341.05
SET: 208414.00
SET: 208462.31
SET: 208548.66
SET: 208697.36
SET: 208762.75
SET: 208878.52
SET: 208976.52
SET: 209094.94
SET: 209166.80
SET: 209145.56
SET: 209131.47
SET: 209137.88
SET: 209129.67
SET: 209087.94
SET: 208971.58
SET: 208883.11
SET: 208875.81
SET: 208876.28
SET: 208825.91
SET: 208789.34
SET: 208741.94
SET: 208707.81
SET: 208681.88
SET: 208668.84
SET: 208666.62
SET: 208521.39
SET: 208250.89
SET: 207954.47
SET: 207697.38
SET: 207679.53
SET: 207734.19
SET: 207790.44
SET: 207835.23
SET: 207858.89
SET: 207910.88
SET: 207967.52
SET: 208047.84
SET: 208116.58
SET: 208150.72
SET: 208209.19
SET: 208256.78
SET: 208264.66
SET: 208248.62
SET: 208240.53
SET: 208224.77
SET: 208277.48
SET: 208400.91
SET: 208459.31
SET: 208542.45
SET: 208562.17
SET: 208538.69
SET: 208507.62
SET: 208401.92
SET: 208308.08
SET: 208223.11
SET: 208245.23
SET: 208218.42
SET: 207975.61
SET: 207775.88
SET: 207536.39
SET: 207282.64
SET: 207236.50
SET: 207238.19
SET: 207251.11
SET: 207234.73
SET: 207215.27
SET: 207199.91
SET: 207212.77
SET: 207206.03
SET: 207175.94
SET: 207094.12
SET: 207098.14
SET: 207125.11
SET: 207193.64
SET: 207237.47
SET: 207286.05
SET: 207303.97
SET: 207292.97
SET: 207295.64
SET: 207309.05
SET: 207334.12
SET: 207370.70
SET: 207426.66
SET: 207530.34
SET: 207707.73
SET: 207767.34
SET: 207806.20
SET: 207852.09
SET: 207870.09
SET: 207812.61
SET: 207759.64
SET: 207633.09
SET: 207529.86
SET: 207437.83
SET: 207360.28
SET: 207324.67
SET: 207323.33
SET: 207345.20
SET: 207349.94
SET: 207346.92
SET: 207317.05
SET: 207343.12
SET: 207365.12
SET: 207388.66
SET: 207316.25
SET: 207005.66
SET: 206817.97
SET: 206745.75
SET: 206825.78
SET: 206945.23
SET: 207065.22
SET: 207143.55
SET: 207193.73
SET: 207323.14
SET: 207471.56
SET: 207630.69
SET: 207761.97
SET: 207902.86
SET: 208039.20
SET: 208180.05
SET: 208163.62
SET: 207966.08
SET: 207681.38
SET: 207385.41
SET: 207060.41
SET: 206815.72
SET: 206674.95
SET: 206569.47
SET: 206422.58
SET: 206426.47
SET: 206473.72
SET: 206489.95
SET: 206520.77
SET: 206553.34
SET: 206574.77
SET: 206607.58
SET: 206632.33
SET: 206608.97
SET: 206513.23
SET: 206405.39
SET: 206300.47
SET: 206209.23
SET: 206124.39
SET: 206053.95
SET: 206047.45
SET: 206043.19
SET: 206047.56
SET: 206080.91
SET: 206102.27
SET: 206102.30
SET: 206133.31
SET: 206140.50
SET: 206183.20
SET: 206222.39
SET: 206277.44
SET: 206174.66
SET: 206066.89
SET: 205957.30
SET: 205903.39
SET: 205880.91
SET: 205893.84
SET: 205921.47
SET: 205963.64
SET: 205978.08
SET: 205949.53
SET: 205971.94
SET: 206004.38
SET: 206043.59
SET: 206093.94
SET: 206071.08
SET: 206099.64
SET: 206136.77
SET: 206165.62
SET: 206185.44
SET: 206218.06
SET: 206238.36
SET: 206198.12
SET: 206107.73
SET: 206002.52
SET: 205917.73
SET: 205839.05
SET: 205797.48
SET: 205787.80
SET: 205754.89
SET: 205758.78
SET: 205633.47
SET: 205406.44
SET: 205199.23
SET: 205066.53
SET: 205107.16
SET: 205144.28
SET: 205186.36
SET: 205225.69
SET: 205272.44
SET: 205262.92
SET: 205240.56
SET: 205212.61
SET: 205259.14
SET: 205304.27
SET: 205323.88
SET: 205274.91
SET: 205047.77
SET: 204930.42
SET: 204884.31
SET: 204864.23
SET: 204856.47
SET: 204778.23
SET: 204713.59
SET: 204655.11
SET: 204656.36
SET: 204721.44
SET: 204772.09
SET: 204834.53
SET: 204915.77
SET: 205001.23
SET: 205099.75
SET: 205178.80
SET: 205301.98
SET: 205402.89
SET: 205535.19
SET: 205697.19
SET: 205920.42
SET: 206155.58
SET: 206436.31
SET: 206771.62
====== SET ======
  20000000 requests completed in 96.64 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
0.07% <= 0.4 milliseconds
6.60% <= 0.5 milliseconds
46.97% <= 0.6 milliseconds
82.93% <= 0.7 milliseconds
91.05% <= 0.8 milliseconds
95.24% <= 0.9 milliseconds
96.98% <= 1.0 milliseconds
98.52% <= 1.1 milliseconds
99.09% <= 1.2 milliseconds
99.25% <= 1.3 milliseconds
99.37% <= 1.4 milliseconds
99.45% <= 1.5 milliseconds
99.52% <= 1.6 milliseconds
99.57% <= 1.7 milliseconds
99.60% <= 1.8 milliseconds
99.63% <= 1.9 milliseconds
99.65% <= 2 milliseconds
99.86% <= 3 milliseconds
99.92% <= 4 milliseconds
99.96% <= 5 milliseconds
99.99% <= 6 milliseconds
99.99% <= 7 milliseconds
99.99% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 16 milliseconds
206960.06 requests per second


