2023-11-24 14:45:09
SET: 0.00
SET: 313657.38
SET: 310371.25
SET: 306055.94
SET: 300811.19
SET: 294490.78
SET: 287728.19
SET: 279922.31
SET: 273135.44
SET: 269928.03
SET: 267272.31
SET: 265157.41
SET: 263346.91
SET: 261711.48
SET: 260979.16
SET: 259079.72
SET: 256617.84
SET: 254215.95
SET: 251942.23
SET: 249725.95
SET: 247760.05
SET: 244922.50
SET: 243480.09
SET: 242147.80
SET: 240910.52
SET: 239696.69
SET: 238743.58
SET: 237966.53
SET: 237619.77
SET: 236808.17
SET: 236080.53
SET: 235457.62
SET: 235127.59
SET: 235386.73
SET: 235682.38
SET: 236020.56
SET: 236021.77
SET: 235900.97
SET: 235282.17
SET: 234908.41
SET: 234443.75
SET: 233811.33
SET: 233119.12
SET: 232824.47
SET: 232169.44
SET: 231929.59
SET: 231952.69
SET: 231556.80
SET: 231001.41
SET: 230622.80
SET: 230425.72
SET: 230032.45
SET: 229955.23
SET: 230043.92
SET: 230243.09
SET: 230341.34
SET: 230472.11
SET: 230594.91
SET: 230541.89
SET: 230473.31
SET: 230218.78
SET: 229852.47
SET: 229447.39
SET: 229018.59
SET: 228548.72
SET: 228136.12
SET: 227764.62
SET: 227490.19
SET: 227165.94
SET: 226977.22
SET: 226876.64
SET: 226859.56
SET: 226776.30
SET: 226657.61
SET: 226791.64
SET: 227032.59
SET: 227157.73
SET: 227302.91
SET: 227432.03
SET: 227535.62
SET: 227520.62
SET: 227303.34
SET: 227117.52
SET: 226954.27
SET: 226749.20
SET: 226518.09
SET: 226319.89
SET: 226131.03
SET: 226024.28
SET: 225916.33
SET: 225768.11
SET: 225631.23
SET: 225649.67
SET: 225632.62
SET: 225590.06
SET: 225424.78
SET: 225187.62
SET: 225038.81
SET: 224895.31
SET: 224838.11
SET: 224806.05
SET: 224729.95
SET: 224666.02
SET: 224554.55
SET: 224274.14
SET: 224012.19
SET: 223798.66
SET: 223796.95
SET: 223769.20
SET: 223701.73
SET: 223641.91
SET: 223595.84
SET: 223504.88
SET: 223481.52
SET: 223469.78
SET: 223279.33
SET: 223132.45
SET: 222999.02
SET: 222894.95
SET: 222804.75
SET: 222722.98
SET: 222583.33
SET: 222545.36
SET: 222679.47
SET: 222733.47
SET: 222712.36
SET: 222625.83
SET: 222535.86
SET: 222435.80
SET: 222346.47
SET: 222172.38
SET: 221991.39
SET: 221972.67
SET: 221972.03
SET: 221928.91
SET: 221850.14
SET: 221800.53
SET: 221786.23
SET: 221584.53
SET: 220905.30
SET: 220313.81
SET: 219821.86
SET: 219427.64
SET: 219095.11
SET: 218788.52
SET: 218332.78
SET: 217812.73
SET: 217432.31
SET: 217102.22
SET: 216769.25
SET: 216631.02
SET: 216515.80
SET: 216419.56
SET: 216342.16
SET: 216155.64
SET: 215954.59
SET: 215936.83
SET: 215931.12
SET: 215909.69
SET: 215851.48
SET: 215802.42
SET: 215765.69
SET: 215717.16
SET: 215631.14
SET: 215611.34
SET: 215550.67
SET: 215496.89
SET: 215384.17
SET: 215260.61
SET: 215142.11
SET: 215156.56
SET: 215266.09
SET: 215374.92
SET: 215473.42
SET: 215432.67
SET: 215356.75
SET: 215293.12
SET: 215317.91
SET: 215326.59
SET: 215325.00
SET: 215324.12
SET: 215338.64
SET: 215337.00
SET: 215315.44
SET: 215320.73
SET: 215315.58
SET: 215408.56
SET: 215413.44
SET: 215350.86
SET: 215333.30
SET: 215280.22
SET: 215187.00
SET: 215100.73
SET: 215041.73
SET: 215023.08
SET: 215017.09
SET: 215004.64
SET: 214995.56
SET: 214987.39
SET: 214978.48
SET: 214961.20
SET: 214952.36
SET: 214946.77
SET: 215000.19
SET: 215045.56
SET: 215033.98
SET: 214985.86
SET: 214957.38
SET: 214939.00
SET: 214883.45
SET: 214877.03
SET: 214862.03
SET: 214874.50
SET: 214883.98
SET: 214898.48
SET: 214918.64
SET: 214942.91
SET: 214966.06
SET: 215011.47
SET: 215019.19
SET: 215007.94
SET: 214970.16
SET: 215031.00
SET: 215007.22
SET: 214989.94
SET: 214969.27
SET: 214937.02
SET: 214978.91
SET: 215066.89
SET: 215183.44
SET: 215324.58
SET: 215455.22
SET: 215581.55
SET: 215675.22
SET: 215694.92
SET: 215690.38
SET: 215675.14
SET: 215668.81
SET: 215629.61
SET: 215575.06
SET: 215523.38
SET: 215456.31
SET: 215385.03
SET: 215332.00
SET: 215311.66
SET: 215306.11
SET: 215292.41
SET: 215278.05
SET: 215273.22
SET: 215276.14
SET: 215301.30
SET: 215289.05
SET: 215270.41
SET: 215252.42
SET: 215236.72
SET: 215212.48
SET: 215207.95
SET: 215188.61
SET: 215176.39
SET: 215169.19
SET: 215161.42
SET: 215156.06
SET: 215165.88
SET: 215221.72
SET: 215278.12
SET: 215326.61
SET: 215375.58
SET: 215424.77
SET: 215454.61
SET: 215476.27
SET: 215501.08
SET: 215530.44
SET: 215569.69
SET: 215549.11
SET: 215535.34
SET: 215508.53
SET: 215538.48
SET: 215591.31
SET: 215656.09
SET: 215732.09
SET: 215805.39
SET: 215861.55
SET: 215918.55
SET: 215987.80
SET: 216055.55
SET: 216110.48
SET: 216159.77
SET: 216177.28
SET: 216169.66
SET: 216159.22
SET: 216151.94
SET: 216140.86
SET: 216114.08
SET: 216096.55
SET: 216083.16
SET: 216079.08
SET: 216071.03
SET: 216063.88
SET: 216022.86
SET: 215750.86
SET: 215673.83
SET: 215627.72
SET: 215575.23
SET: 215446.75
SET: 215409.31
SET: 215381.45
SET: 215422.38
SET: 215450.62
SET: 215487.72
SET: 215528.94
SET: 215568.23
SET: 215567.16
SET: 215567.00
SET: 215528.62
SET: 215473.06
SET: 215451.97
SET: 215427.98
SET: 215411.42
SET: 215396.27
SET: 215402.78
SET: 215373.84
SET: 215301.23
SET: 215255.31
SET: 215232.06
SET: 215195.42
SET: 215159.00
SET: 215114.17
SET: 215072.27
SET: 215027.88
SET: 215012.25
SET: 215000.61
SET: 215065.30
SET: 215079.00
SET: 215120.78
SET: 215160.78
SET: 215205.69
SET: 215255.48
SET: 215297.86
SET: 215348.31
SET: 215392.52
SET: 215437.78
SET: 215498.92
SET: 215572.70
SET: 215588.69
SET: 215639.64
SET: 215673.06
SET: 215711.28
SET: 215730.17
SET: 215737.67
SET: 215727.23
SET: 215678.38
SET: 215629.42
SET: 215589.02
SET: 215552.94
SET: 215513.97
SET: 215471.00
SET: 215431.59
SET: 215386.12
SET: 215343.14
SET: 215298.19
SET: 215252.14
SET: 215225.94
SET: 215225.86
SET: 215264.84
SET: 215297.09
SET: 215314.19
SET: 215338.62
SET: 215366.41
SET: 215395.52
SET: 215442.77
SET: 215471.77
SET: 215507.78
====== SET ======
  20000016 requests completed in 92.80 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
0.17% <= 0.4 milliseconds
4.56% <= 0.5 milliseconds
54.82% <= 0.6 milliseconds
92.71% <= 0.7 milliseconds
97.38% <= 0.8 milliseconds
98.24% <= 0.9 milliseconds
98.91% <= 1.0 milliseconds
99.16% <= 1.1 milliseconds
99.29% <= 1.2 milliseconds
99.39% <= 1.3 milliseconds
99.48% <= 1.4 milliseconds
99.55% <= 1.5 milliseconds
99.61% <= 1.6 milliseconds
99.66% <= 1.7 milliseconds
99.69% <= 1.8 milliseconds
99.71% <= 1.9 milliseconds
99.74% <= 2 milliseconds
99.93% <= 3 milliseconds
99.98% <= 4 milliseconds
99.99% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 8 milliseconds
215512.77 requests per second


