2023-11-24 14:50:06
SET: 0.00
SET: 601466.19
SET: 447744.53
SET: 357187.75
SET: 305822.16
SET: 274302.16
SET: 263589.59
SET: 258531.12
SET: 253309.36
SET: 249755.67
SET: 246400.64
SET: 243989.83
SET: 241290.25
SET: 238427.56
SET: 236725.52
SET: 236521.47
SET: 236518.88
SET: 237086.81
SET: 237838.70
SET: 236521.16
SET: 232124.78
SET: 227618.36
SET: 225090.72
SET: 223222.41
SET: 222574.91
SET: 222012.48
SET: 221444.09
SET: 221137.02
SET: 220934.16
SET: 220927.33
SET: 220867.62
SET: 220738.48
SET: 220531.42
SET: 220465.88
SET: 220814.48
SET: 220836.92
SET: 220736.36
SET: 221073.61
SET: 220603.30
SET: 219736.22
SET: 218810.91
SET: 218028.28
SET: 217508.42
SET: 218407.20
SET: 219486.95
SET: 219078.12
SET: 219312.41
SET: 219324.31
SET: 219002.41
SET: 218753.08
SET: 218514.98
SET: 218326.41
SET: 218257.67
SET: 218185.48
SET: 218220.28
SET: 218241.00
SET: 218213.55
SET: 218597.98
SET: 218640.92
SET: 218666.66
SET: 218683.55
SET: 218649.00
SET: 218626.41
SET: 218558.81
SET: 218472.36
SET: 218339.31
SET: 218166.17
SET: 217928.48
SET: 217741.08
SET: 217690.81
SET: 217886.98
SET: 218111.44
SET: 218430.09
SET: 218667.25
SET: 218900.61
SET: 219369.64
SET: 220082.73
SET: 220748.23
SET: 221200.97
SET: 221826.95
SET: 222388.09
SET: 222900.20
SET: 223376.03
SET: 223767.92
SET: 224200.77
SET: 224700.20
SET: 225310.83
SET: 226019.95
SET: 226597.34
SET: 226877.72
SET: 227205.91
SET: 227551.14
SET: 227848.19
SET: 228079.31
SET: 228730.36
SET: 229238.36
SET: 229845.09
SET: 230477.27
SET: 231039.06
SET: 231619.25
SET: 231801.61
SET: 232007.61
SET: 232365.17
SET: 232712.98
SET: 233064.58
SET: 233296.11
SET: 233381.69
SET: 233502.16
SET: 233632.53
SET: 233754.36
SET: 233848.95
SET: 234045.91
SET: 234152.22
SET: 234220.58
SET: 234291.48
SET: 234412.91
SET: 234466.03
SET: 234455.62
SET: 234517.52
SET: 234589.05
SET: 234679.47
SET: 234754.11
SET: 234984.89
SET: 235310.25
SET: 235633.97
SET: 235911.30
SET: 236138.53
SET: 236355.62
SET: 236604.83
SET: 236784.19
SET: 236887.94
SET: 237210.16
SET: 237495.27
SET: 237802.80
SET: 237977.98
SET: 238095.59
SET: 238198.28
SET: 238380.06
SET: 238599.55
SET: 238820.95
SET: 239032.09
SET: 239233.89
SET: 239423.39
SET: 239667.06
SET: 239759.59
SET: 239878.64
SET: 239945.22
SET: 240015.25
SET: 239929.97
SET: 239764.86
SET: 239190.05
SET: 238459.69
SET: 237760.81
SET: 237149.94
SET: 236889.81
SET: 236713.97
SET: 236502.84
SET: 236331.50
SET: 236175.48
SET: 236037.94
SET: 235929.72
SET: 235857.61
SET: 235764.86
SET: 235667.38
SET: 235618.67
SET: 235530.03
SET: 235465.39
SET: 235415.14
SET: 235407.39
SET: 235482.45
SET: 235482.88
SET: 235449.41
SET: 235624.50
SET: 235780.56
SET: 235954.67
SET: 236116.39
SET: 236287.17
SET: 236449.70
SET: 236594.22
SET: 236763.22
SET: 236908.00
SET: 237092.31
SET: 236486.11
SET: 235849.36
SET: 235210.61
SET: 234645.84
SET: 234118.83
SET: 233912.09
SET: 233731.05
SET: 233553.61
SET: 233469.14
SET: 233375.02
SET: 233282.86
SET: 233182.05
SET: 233077.66
SET: 232986.16
SET: 232913.20
SET: 232826.06
SET: 232697.45
SET: 232587.67
SET: 232437.72
SET: 232311.36
SET: 232231.27
SET: 232164.39
SET: 232082.03
SET: 232001.41
SET: 231897.95
SET: 231773.86
SET: 231648.03
SET: 231560.31
SET: 231529.64
SET: 231505.94
SET: 231499.67
SET: 231475.72
SET: 231381.89
SET: 231276.12
SET: 231214.44
SET: 231145.52
SET: 231150.75
SET: 231100.72
SET: 231022.78
SET: 231019.81
SET: 231053.62
SET: 231076.53
SET: 231023.08
SET: 230950.06
SET: 230879.95
SET: 230883.22
SET: 230954.36
SET: 231026.12
SET: 231029.67
SET: 230976.25
SET: 230884.80
SET: 230793.33
SET: 230717.39
SET: 230669.89
SET: 230672.14
SET: 230636.83
SET: 230214.09
SET: 229777.36
SET: 229653.17
SET: 229762.75
SET: 229912.41
SET: 230072.95
SET: 230230.73
SET: 230344.91
SET: 230284.00
SET: 230203.77
SET: 230131.53
SET: 230076.33
SET: 230044.86
SET: 229988.02
SET: 229926.67
SET: 229856.58
SET: 229753.03
SET: 229673.25
SET: 229585.73
SET: 229507.23
SET: 229426.98
SET: 229340.42
SET: 229275.22
SET: 229217.02
SET: 229153.27
SET: 229075.28
SET: 229018.48
SET: 228952.34
SET: 228896.08
SET: 228812.78
SET: 228738.83
SET: 228693.27
SET: 228682.05
SET: 228727.34
SET: 228775.27
SET: 228804.66
SET: 228782.69
SET: 228769.83
SET: 228751.73
SET: 228784.14
SET: 228892.05
SET: 228973.94
SET: 228962.23
SET: 228973.50
SET: 228951.78
SET: 228909.64
SET: 228904.30
SET: 228864.86
SET: 228825.92
SET: 228787.92
SET: 228758.19
SET: 228728.11
SET: 228700.33
SET: 228671.42
SET: 228631.00
SET: 228588.77
SET: 228211.28
SET: 227806.55
SET: 227404.38
SET: 227131.56
SET: 227150.05
SET: 227168.41
SET: 227167.02
SET: 227134.81
SET: 227096.56
SET: 227058.89
SET: 227083.03
SET: 227044.28
SET: 226995.09
SET: 226973.03
SET: 226950.61
SET: 226914.55
SET: 226678.19
SET: 226531.81
SET: 226448.53
SET: 226444.59
SET: 226747.91
SET: 227073.06
SET: 227380.47
SET: 227673.72
SET: 227978.81
SET: 228229.83
SET: 228416.50
SET: 228600.89
SET: 228799.75
SET: 228904.47
SET: 228997.56
SET: 229077.69
SET: 229240.64
SET: 229495.75
SET: 229756.34
SET: 229994.62
SET: 230208.97
SET: 230422.11
SET: 230641.69
SET: 230866.47
SET: 231088.00
SET: 231308.11
SET: 231491.58
SET: 231586.80
SET: 231664.88
SET: 231743.27
SET: 231820.91
SET: 231885.70
SET: 231992.05
SET: 232091.03
SET: 232156.53
====== SET ======
  20000080 requests completed in 86.13 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.03% <= 0.2 milliseconds
0.53% <= 0.3 milliseconds
3.08% <= 0.4 milliseconds
31.77% <= 0.5 milliseconds
73.36% <= 0.6 milliseconds
94.10% <= 0.7 milliseconds
95.83% <= 0.8 milliseconds
96.73% <= 0.9 milliseconds
97.69% <= 1.0 milliseconds
98.56% <= 1.1 milliseconds
99.05% <= 1.2 milliseconds
99.38% <= 1.3 milliseconds
99.48% <= 1.4 milliseconds
99.54% <= 1.5 milliseconds
99.61% <= 1.6 milliseconds
99.66% <= 1.7 milliseconds
99.69% <= 1.8 milliseconds
99.72% <= 1.9 milliseconds
99.74% <= 2 milliseconds
99.95% <= 3 milliseconds
99.99% <= 4 milliseconds
99.99% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 7 milliseconds
232202.66 requests per second


