2023-11-24 14:50:06
SET: -nan
SET: 604352.00
SET: 443744.00
SET: 362581.34
SET: 316216.00
SET: 291315.19
SET: 277626.66
SET: 268397.72
SET: 261572.00
SET: 254922.67
SET: 249811.20
SET: 246007.27
SET: 242056.00
SET: 238557.53
SET: 235840.00
SET: 234670.94
SET: 234800.00
SET: 231702.59
SET: 227536.00
SET: 226506.11
SET: 225200.00
SET: 224047.23
SET: 223940.36
SET: 223952.70
SET: 224689.33
SET: 225858.56
SET: 226988.31
SET: 228193.19
SET: 229101.72
SET: 230035.86
SET: 230838.41
SET: 231625.30
SET: 232300.00
SET: 232918.30
SET: 232987.30
SET: 233060.58
SET: 233138.67
SET: 233178.81
SET: 232797.47
SET: 232272.41
SET: 231758.41
SET: 231495.81
SET: 231353.91
SET: 231171.72
SET: 230704.73
SET: 230072.89
SET: 229923.48
SET: 229921.36
SET: 230058.67
SET: 230286.38
SET: 230538.23
SET: 230760.16
SET: 230995.08
SET: 231199.39
SET: 231260.44
SET: 231188.36
SET: 231074.28
SET: 230969.83
SET: 230860.14
SET: 230748.75
SET: 230725.33
SET: 230696.92
SET: 230357.67
SET: 230212.06
SET: 230168.00
SET: 230126.77
SET: 230069.33
SET: 230030.81
SET: 230016.00
SET: 230016.47
SET: 228973.25
SET: 227421.30
SET: 225952.89
SET: 224550.14
SET: 223252.75
SET: 222840.31
SET: 222394.11
SET: 222165.19
SET: 222274.05
SET: 222195.44
SET: 221939.20
SET: 221697.97
SET: 221487.22
SET: 221271.91
SET: 221096.77
SET: 220908.42
SET: 220076.66
SET: 219912.45
SET: 219730.19
SET: 219560.62
SET: 219530.67
SET: 219327.30
SET: 219294.61
SET: 219034.50
SET: 218716.59
SET: 218558.98
SET: 218474.00
SET: 218364.70
SET: 218295.52
SET: 218219.31
SET: 218061.44
SET: 218023.28
SET: 217988.08
SET: 217838.30
SET: 217680.31
SET: 217514.36
SET: 217367.55
SET: 217196.86
SET: 217045.62
SET: 216872.81
SET: 216721.75
SET: 216623.86
SET: 216564.58
SET: 216544.56
SET: 216474.39
SET: 216415.72
SET: 216311.17
SET: 216217.16
SET: 216094.11
SET: 215567.59
SET: 215028.27
SET: 214722.38
SET: 214573.11
SET: 214535.81
SET: 214566.70
SET: 214732.03
SET: 214779.69
SET: 214749.98
SET: 214825.75
SET: 214907.78
SET: 214853.42
SET: 214739.78
SET: 214734.30
SET: 214746.95
SET: 214312.12
SET: 213753.12
SET: 213209.17
SET: 212662.42
SET: 212131.25
SET: 211608.41
SET: 211394.28
SET: 211415.83
SET: 211484.39
SET: 211499.86
SET: 211452.44
SET: 211441.88
SET: 211418.30
SET: 211385.91
SET: 211369.73
SET: 211354.20
SET: 211353.81
SET: 211349.41
SET: 211346.73
SET: 211412.08
SET: 211405.72
SET: 211536.31
SET: 211659.28
SET: 211781.91
SET: 211920.61
SET: 211960.75
SET: 211995.59
SET: 211999.61
SET: 212031.80
SET: 212064.00
SET: 212098.92
SET: 212128.97
SET: 212210.12
SET: 212272.09
SET: 212295.62
SET: 212308.64
SET: 212330.17
SET: 212452.86
SET: 212525.77
SET: 212554.17
SET: 212567.91
SET: 212552.78
SET: 212544.00
SET: 212512.36
SET: 212469.22
SET: 212461.23
SET: 212456.17
SET: 212453.83
SET: 212355.88
SET: 212334.86
SET: 212403.12
SET: 212499.20
SET: 212637.25
SET: 212651.47
SET: 212693.61
SET: 212709.75
SET: 212775.58
SET: 212870.36
SET: 212927.33
SET: 212999.80
SET: 213080.75
SET: 213149.53
SET: 213139.75
SET: 213131.05
SET: 213190.62
SET: 213232.72
SET: 213257.92
SET: 213245.45
SET: 213253.86
SET: 213272.75
SET: 213251.45
SET: 213151.69
SET: 213088.62
SET: 213008.55
SET: 212930.77
SET: 212891.56
SET: 212848.61
SET: 212798.78
SET: 212770.11
SET: 212711.52
SET: 212673.20
SET: 212712.94
SET: 212702.52
SET: 212704.14
SET: 212690.50
SET: 212685.59
SET: 212672.00
SET: 212647.53
SET: 212652.83
SET: 212657.08
SET: 212655.14
SET: 212646.41
SET: 212622.16
SET: 212585.02
SET: 212607.30
SET: 212591.09
SET: 212551.66
SET: 212525.30
SET: 212508.83
SET: 212476.42
SET: 212463.17
SET: 212444.33
SET: 212401.36
SET: 212341.88
SET: 212335.47
SET: 212322.81
SET: 212298.41
SET: 212274.19
SET: 212251.38
SET: 212235.72
SET: 212246.03
SET: 212258.22
SET: 212284.48
SET: 212299.14
SET: 212323.88
SET: 212415.36
SET: 212479.23
SET: 212547.19
SET: 212610.03
SET: 212689.70
SET: 212761.33
SET: 212850.08
SET: 212944.38
SET: 213030.97
SET: 213122.48
SET: 213217.86
SET: 213303.39
SET: 213399.30
SET: 213375.52
SET: 213327.45
SET: 213272.61
SET: 213196.20
SET: 213132.27
SET: 213030.47
SET: 212906.39
SET: 212829.27
SET: 212759.47
SET: 212678.50
SET: 212586.70
SET: 212495.36
SET: 212423.59
SET: 212355.27
SET: 212302.72
SET: 212253.11
SET: 212280.98
SET: 212295.22
SET: 212283.31
SET: 212262.38
SET: 212252.14
SET: 212232.14
SET: 212173.08
SET: 212111.38
SET: 212063.55
SET: 212046.50
SET: 212022.56
SET: 212002.55
SET: 212013.36
SET: 211961.62
SET: 211911.89
SET: 211854.09
SET: 211901.94
SET: 211879.38
SET: 211873.19
SET: 211877.39
SET: 211823.78
SET: 211776.97
SET: 211726.41
SET: 211675.22
SET: 211621.30
SET: 211615.27
SET: 211579.47
SET: 211548.12
SET: 211519.48
SET: 211491.86
SET: 211468.78
SET: 211462.83
SET: 211473.75
SET: 211433.16
SET: 211422.67
SET: 211456.81
SET: 211517.77
SET: 211582.17
SET: 211627.14
SET: 211683.64
SET: 211739.47
SET: 211780.06
SET: 211798.75
SET: 211788.42
SET: 211779.83
SET: 211774.77
SET: 211788.59
SET: 211796.23
SET: 211634.52
SET: 211608.22
SET: 211576.06
SET: 211549.53
SET: 211517.62
SET: 211473.55
SET: 211422.61
SET: 211402.92
SET: 211383.14
SET: 211362.55
SET: 211352.25
SET: 211346.95
SET: 211366.11
SET: 211387.23
SET: 211386.31
SET: 211382.11
SET: 211414.23
SET: 211421.91
SET: 211405.08
SET: 211389.00
SET: 211382.06
SET: 211378.95
SET: 211399.69
SET: 211450.73
SET: 211501.67
SET: 211557.34
SET: 211609.88
SET: 211607.98
SET: 211600.78
SET: 211605.95
SET: 211612.00
SET: 211620.36
SET: 211695.78
SET: 211785.05
SET: 211874.27
SET: 211939.95
SET: 212013.56
SET: 212089.17
SET: 212165.67
SET: 212216.94
SET: 212220.62
SET: 212235.91
SET: 212249.44
SET: 212310.16
SET: 212389.92
SET: 212473.05
SET: 212572.00
SET: 212660.28
SET: 212734.84
SET: 212824.95
====== SET ======
  20000032 requests completed in 93.95 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.07% <= 0.2 milliseconds
0.51% <= 0.3 milliseconds
0.78% <= 0.4 milliseconds
4.10% <= 0.5 milliseconds
49.74% <= 0.6 milliseconds
91.27% <= 0.7 milliseconds
96.46% <= 0.8 milliseconds
97.53% <= 0.9 milliseconds
98.47% <= 1.0 milliseconds
99.04% <= 1.1 milliseconds
99.29% <= 1.2 milliseconds
99.38% <= 1.3 milliseconds
99.47% <= 1.4 milliseconds
99.54% <= 1.5 milliseconds
99.60% <= 1.6 milliseconds
99.66% <= 1.7 milliseconds
99.69% <= 1.8 milliseconds
99.72% <= 1.9 milliseconds
99.75% <= 2 milliseconds
99.94% <= 3 milliseconds
99.99% <= 4 milliseconds
99.99% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 8 milliseconds
212881.80 requests per second


