2023-11-24 14:50:06
SET: -nan
SET: 340448.00
SET: 260480.00
SET: 231562.67
SET: 214000.00
SET: 202323.20
SET: 194048.00
SET: 187899.42
SET: 182092.00
SET: 177788.44
SET: 176592.00
SET: 180407.27
SET: 184744.00
SET: 187822.77
SET: 189124.58
SET: 190306.14
SET: 191334.00
SET: 192832.00
SET: 194359.11
SET: 195809.69
SET: 197028.80
SET: 197734.09
SET: 197511.27
SET: 197728.00
SET: 197617.33
SET: 196732.16
SET: 195703.39
SET: 195800.89
SET: 196341.72
SET: 197938.77
SET: 199293.86
SET: 199205.16
SET: 198964.00
SET: 198678.30
SET: 198314.36
SET: 197962.97
SET: 197621.33
SET: 197548.36
SET: 198350.48
SET: 199227.97
SET: 198405.75
SET: 196449.12
SET: 194562.03
SET: 193087.14
SET: 191531.67
SET: 191938.12
SET: 192415.27
SET: 192565.73
SET: 193087.91
SET: 193821.23
SET: 194440.12
SET: 195165.86
SET: 195808.94
SET: 195854.19
SET: 194338.19
SET: 192984.36
SET: 191782.86
SET: 190526.97
SET: 190032.69
SET: 189866.98
SET: 189844.41
SET: 190119.47
SET: 190374.81
SET: 190345.25
SET: 190122.62
SET: 189890.59
SET: 190077.70
SET: 190389.59
SET: 190780.78
SET: 191385.55
SET: 191991.33
SET: 192563.81
SET: 193118.17
SET: 193637.17
SET: 193823.91
SET: 193517.58
SET: 193231.52
SET: 192948.73
SET: 192818.42
SET: 192942.55
SET: 193022.75
SET: 193137.73
SET: 193296.33
SET: 193341.62
SET: 193551.17
SET: 193546.84
SET: 192709.19
SET: 191903.28
SET: 191113.50
SET: 190356.58
SET: 189649.89
SET: 188936.23
SET: 188218.41
SET: 187514.39
SET: 186840.83
SET: 186203.00
SET: 185583.47
SET: 185077.64
SET: 184861.61
SET: 184694.86
SET: 184471.30
SET: 184287.33
SET: 184212.67
SET: 184038.20
SET: 183760.64
SET: 183634.33
SET: 183821.91
SET: 184115.12
SET: 184408.84
SET: 184685.14
SET: 184980.84
SET: 185263.72
SET: 185576.11
SET: 185946.12
SET: 186372.80
SET: 186778.70
SET: 187169.33
SET: 187404.50
SET: 187035.08
SET: 186698.48
SET: 186448.28
SET: 186310.91
SET: 186077.95
SET: 185858.42
SET: 185529.14
SET: 185126.30
SET: 184638.16
SET: 184149.41
SET: 183669.55
SET: 183212.23
SET: 182746.70
SET: 182361.56
SET: 181957.53
SET: 181567.27
SET: 181239.42
SET: 180916.91
SET: 180591.14
SET: 180268.25
SET: 179942.16
SET: 179674.62
SET: 179731.80
SET: 179792.48
SET: 179889.94
SET: 180130.80
SET: 180255.66
SET: 180345.91
SET: 180226.52
SET: 180106.34
SET: 180056.97
SET: 180177.92
SET: 180280.84
SET: 180344.88
SET: 180390.19
SET: 180459.78
SET: 180553.42
SET: 180820.48
SET: 181087.00
SET: 181340.34
SET: 181594.52
SET: 181836.25
SET: 182141.34
SET: 182489.95
SET: 182851.45
SET: 183208.70
SET: 183560.23
SET: 183898.00
SET: 184203.94
SET: 184499.52
SET: 184775.19
SET: 185049.31
SET: 185317.75
SET: 185641.44
SET: 185968.98
SET: 186304.41
SET: 186639.64
SET: 186971.78
SET: 187293.59
SET: 187628.59
SET: 187967.02
SET: 188278.06
SET: 188616.41
SET: 188843.53
SET: 188904.83
SET: 189044.31
SET: 189115.16
SET: 189189.89
SET: 189150.12
SET: 189135.08
SET: 189117.47
SET: 189011.67
SET: 188893.22
SET: 188781.00
SET: 188666.11
SET: 188557.70
SET: 188468.41
SET: 188371.81
SET: 188282.58
SET: 188192.95
SET: 188388.48
SET: 188602.95
SET: 188804.41
SET: 189013.89
SET: 189217.00
SET: 189431.69
SET: 189647.86
SET: 189867.72
SET: 190095.36
SET: 190325.77
SET: 190554.56
SET: 190785.62
SET: 191001.22
SET: 191219.92
SET: 191419.36
SET: 191603.55
SET: 191802.47
SET: 192017.56
SET: 192132.58
SET: 192244.92
SET: 192347.12
SET: 192465.06
SET: 192574.78
SET: 192805.16
SET: 193021.33
SET: 193249.05
SET: 193452.17
SET: 193619.08
SET: 193705.50
SET: 193779.19
SET: 193893.47
SET: 194088.52
SET: 194292.70
SET: 194475.73
SET: 194665.61
SET: 194757.03
SET: 194603.72
SET: 194819.08
SET: 195022.97
SET: 195204.64
SET: 195418.39
SET: 195646.67
SET: 195906.53
SET: 196144.72
SET: 196388.86
SET: 196622.83
SET: 196822.36
SET: 196939.81
SET: 196909.72
SET: 197050.48
SET: 197264.42
SET: 197487.58
SET: 197703.83
SET: 197916.56
SET: 198121.64
SET: 198312.06
SET: 198342.02
SET: 198375.12
SET: 198403.98
SET: 198441.06
SET: 198466.70
SET: 198482.14
SET: 198524.28
SET: 198416.41
SET: 198441.39
SET: 198483.81
SET: 198552.94
SET: 198609.00
SET: 198597.75
SET: 198556.14
SET: 198537.41
SET: 198569.38
SET: 198623.27
SET: 198700.25
SET: 198793.61
SET: 198892.38
SET: 199033.17
SET: 199178.53
SET: 199316.80
SET: 199421.38
SET: 199556.41
SET: 199676.92
SET: 199788.36
SET: 199881.34
SET: 199960.17
SET: 200069.44
SET: 200235.94
SET: 200433.83
SET: 200582.34
SET: 200585.78
SET: 200547.09
SET: 200505.11
SET: 200465.08
SET: 200508.34
SET: 200611.70
SET: 200720.78
SET: 200798.11
SET: 200874.05
SET: 200931.73
SET: 201034.30
SET: 201116.30
SET: 201166.61
SET: 201198.88
SET: 201292.27
SET: 201382.19
SET: 201440.25
SET: 201486.88
SET: 201527.33
SET: 201576.70
SET: 201670.69
SET: 201790.77
SET: 201879.83
SET: 201960.16
SET: 202001.70
SET: 202017.23
SET: 202026.12
SET: 202025.69
SET: 202013.67
SET: 201989.17
SET: 201967.34
SET: 202022.95
SET: 201987.22
SET: 202021.50
SET: 202118.28
SET: 202212.27
SET: 202281.20
SET: 202302.91
SET: 202270.31
SET: 201998.23
SET: 201762.95
SET: 201721.67
SET: 201792.50
SET: 201854.56
SET: 201909.19
SET: 201972.34
SET: 202037.53
SET: 202066.50
SET: 202059.28
SET: 202063.44
SET: 202086.75
SET: 202096.95
SET: 202104.45
SET: 202114.36
SET: 202122.05
SET: 202161.50
SET: 201987.27
SET: 201862.70
SET: 201743.50
SET: 201700.83
SET: 201611.00
SET: 201577.77
SET: 201537.22
SET: 201483.36
SET: 201444.77
SET: 201412.39
SET: 201382.56
SET: 201420.05
SET: 201541.25
SET: 201658.27
SET: 201749.44
SET: 201665.00
SET: 201535.22
SET: 201542.52
SET: 201566.34
SET: 201601.27
SET: 201629.38
SET: 201647.94
SET: 201664.72
SET: 201725.66
SET: 201838.75
SET: 201948.09
SET: 202037.52
SET: 202135.88
SET: 202251.72
SET: 202378.91
SET: 202427.78
SET: 202445.77
SET: 202509.81
SET: 202566.53
SET: 202652.41
SET: 202797.44
SET: 202949.38
SET: 203079.11
SET: 203219.02
SET: 203382.81
SET: 203559.88
SET: 203757.52
SET: 203976.73
SET: 204187.11
SET: 204412.69
SET: 204661.50
SET: 205003.81
====== SET ======
  20000000 requests completed in 97.42 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.00% <= 0.2 milliseconds
0.06% <= 0.3 milliseconds
0.89% <= 0.4 milliseconds
8.66% <= 0.5 milliseconds
54.76% <= 0.6 milliseconds
79.23% <= 0.7 milliseconds
88.87% <= 0.8 milliseconds
92.66% <= 0.9 milliseconds
95.36% <= 1.0 milliseconds
98.14% <= 1.1 milliseconds
99.17% <= 1.2 milliseconds
99.42% <= 1.3 milliseconds
99.53% <= 1.4 milliseconds
99.61% <= 1.5 milliseconds
99.66% <= 1.6 milliseconds
99.70% <= 1.7 milliseconds
99.73% <= 1.8 milliseconds
99.75% <= 1.9 milliseconds
99.77% <= 2 milliseconds
99.94% <= 3 milliseconds
99.98% <= 4 milliseconds
99.99% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 7 milliseconds
205288.22 requests per second


