2023-11-24 14:50:06
SET: -nan
SET: 425216.00
SET: 293568.00
SET: 243733.33
SET: 215032.00
SET: 204921.59
SET: 209226.67
SET: 212137.14
SET: 213900.00
SET: 213582.22
SET: 213340.80
SET: 212759.27
SET: 212274.67
SET: 211881.84
SET: 211531.42
SET: 211145.83
SET: 210943.27
SET: 212430.02
SET: 213719.62
SET: 214930.75
SET: 215814.44
SET: 214220.53
SET: 209522.64
SET: 205231.78
SET: 201391.77
SET: 196995.05
SET: 193683.44
SET: 190656.20
SET: 192134.84
SET: 194454.83
SET: 195394.75
SET: 196400.98
SET: 197086.36
SET: 197977.45
SET: 198351.25
SET: 199110.50
SET: 199840.02
SET: 200361.47
SET: 200744.33
SET: 201064.91
SET: 201355.86
SET: 201573.30
SET: 201797.92
SET: 202268.80
SET: 203240.42
SET: 204142.56
SET: 205011.73
SET: 205771.08
SET: 206975.41
SET: 208312.78
SET: 209555.06
SET: 210802.59
SET: 212005.84
SET: 212055.23
SET: 210780.83
SET: 209692.97
SET: 208517.67
SET: 207394.89
SET: 206273.34
SET: 205155.64
SET: 203850.69
SET: 202626.81
SET: 201538.91
SET: 200766.38
SET: 199703.53
SET: 198896.38
SET: 198167.00
SET: 197660.45
SET: 197458.17
SET: 197280.77
SET: 197520.73
SET: 197594.41
SET: 197651.36
SET: 197705.89
SET: 198065.94
SET: 198465.44
SET: 198775.28
SET: 198544.34
SET: 198309.91
SET: 198106.11
SET: 198345.75
SET: 198627.69
SET: 198862.94
SET: 199060.12
SET: 199276.62
SET: 199452.66
SET: 199692.30
SET: 199930.11
SET: 200154.16
SET: 200376.77
SET: 200598.34
SET: 200818.20
SET: 201040.59
SET: 201203.16
SET: 201314.94
SET: 201589.08
SET: 201888.17
SET: 202164.59
SET: 202345.59
SET: 202510.66
SET: 202794.33
SET: 203051.47
SET: 203179.36
SET: 203325.25
SET: 203381.89
SET: 203534.97
SET: 203827.94
SET: 204237.73
SET: 204751.05
SET: 205345.66
SET: 205927.12
SET: 206238.39
SET: 206574.38
SET: 206912.08
SET: 207154.02
SET: 207284.08
SET: 207329.42
SET: 207418.84
SET: 207776.83
SET: 208115.61
SET: 208392.50
SET: 208697.34
SET: 209014.75
SET: 209254.67
SET: 209525.83
SET: 209763.47
SET: 209917.08
SET: 209954.64
SET: 210007.38
SET: 210071.44
SET: 210275.81
SET: 210497.08
SET: 210728.33
SET: 210945.03
SET: 211105.73
SET: 211142.69
SET: 211173.94
SET: 211217.11
SET: 211256.17
SET: 211304.11
SET: 211261.77
SET: 211222.30
SET: 211206.14
SET: 211159.55
SET: 211121.39
SET: 211171.14
SET: 211154.25
SET: 211111.02
SET: 211061.89
SET: 211107.48
SET: 211032.59
SET: 211072.91
SET: 211149.53
SET: 211182.27
SET: 211201.92
SET: 211228.33
SET: 211254.41
SET: 211291.77
SET: 211339.38
SET: 211374.53
SET: 211409.03
SET: 211433.77
SET: 211475.19
SET: 211503.14
SET: 211550.08
SET: 211587.70
SET: 211835.00
SET: 211863.58
SET: 211853.16
SET: 211949.64
SET: 212115.77
SET: 212168.98
SET: 212229.39
SET: 212364.56
SET: 212503.34
SET: 212570.12
SET: 212637.80
SET: 212716.62
SET: 212827.30
SET: 212883.98
SET: 212941.47
SET: 212986.83
SET: 213130.50
SET: 213184.48
SET: 213215.44
SET: 213158.36
SET: 213108.61
SET: 213187.89
SET: 213262.94
SET: 213335.48
SET: 213394.98
SET: 213374.27
SET: 213345.78
SET: 213298.36
SET: 213293.64
SET: 213280.44
SET: 213245.50
SET: 213146.27
SET: 212773.80
SET: 212508.61
SET: 212418.88
SET: 212347.38
SET: 212337.09
SET: 212428.44
SET: 212511.98
SET: 212533.84
SET: 212422.83
SET: 212403.31
SET: 212363.06
SET: 212324.58
SET: 212292.56
SET: 212237.34
SET: 212209.66
SET: 212147.53
SET: 212149.38
SET: 212178.30
SET: 212200.59
SET: 212214.27
SET: 212200.80
SET: 212182.94
SET: 212299.78
SET: 212201.70
SET: 212056.36
SET: 211942.75
SET: 211799.88
SET: 211686.12
SET: 211668.12
SET: 211653.66
SET: 211617.70
SET: 211603.16
SET: 211599.73
SET: 211590.53
SET: 211575.61
SET: 211574.81
SET: 211587.30
SET: 211554.20
SET: 211548.22
SET: 211515.70
SET: 211524.05
SET: 211566.48
SET: 211544.95
SET: 211496.25
SET: 211457.73
SET: 211427.84
SET: 211399.77
SET: 211356.38
SET: 211421.69
SET: 211483.88
SET: 211555.50
SET: 211608.56
SET: 211634.45
SET: 211649.55
SET: 211694.61
SET: 211684.81
SET: 211693.88
SET: 211722.94
SET: 211765.27
SET: 211757.20
SET: 211764.97
SET: 211763.53
SET: 211770.11
SET: 211786.06
SET: 211852.34
SET: 211899.02
SET: 211952.00
SET: 212074.27
SET: 212166.86
SET: 212189.48
SET: 212223.77
SET: 212248.62
SET: 212262.88
SET: 212264.03
SET: 212299.53
SET: 212347.78
SET: 212397.55
SET: 212444.97
SET: 212453.78
SET: 212470.06
SET: 212538.34
SET: 212597.20
SET: 212627.98
SET: 212668.11
SET: 212696.72
SET: 212716.53
SET: 212711.31
SET: 212725.20
SET: 212751.77
SET: 212767.09
SET: 212799.42
SET: 212822.67
SET: 212833.42
SET: 212851.89
SET: 212869.34
SET: 212886.05
SET: 212923.73
SET: 212947.39
SET: 212984.95
SET: 213001.67
SET: 212994.77
SET: 213009.53
SET: 213016.94
SET: 213030.03
SET: 213039.55
SET: 213051.86
SET: 213061.23
SET: 213038.77
SET: 213025.66
SET: 213027.11
SET: 213010.58
SET: 213041.27
SET: 213103.36
SET: 213118.33
SET: 213096.80
SET: 213078.88
SET: 213052.11
SET: 213032.61
SET: 213015.88
SET: 213002.67
SET: 212987.34
SET: 212978.64
SET: 212952.17
SET: 212912.23
SET: 212890.42
SET: 212888.36
SET: 212859.44
SET: 212781.28
SET: 212488.53
SET: 212170.28
SET: 212191.41
SET: 212261.73
SET: 212329.69
SET: 212375.00
SET: 212398.73
SET: 212451.16
SET: 212469.83
SET: 212473.50
SET: 212459.23
SET: 212466.31
SET: 212464.28
SET: 212477.25
SET: 212500.52
SET: 212558.44
SET: 212629.61
SET: 212669.56
SET: 212662.03
SET: 212756.48
SET: 212843.55
SET: 212884.55
SET: 212950.69
SET: 212953.84
SET: 212965.28
SET: 213039.84
SET: 213085.34
SET: 213079.00
SET: 213093.48
SET: 213126.47
SET: 213187.66
SET: 213202.34
SET: 213299.38
SET: 213431.14
SET: 213524.06
SET: 213603.69
SET: 213673.28
SET: 213752.94
SET: 213833.56
SET: 213910.08
SET: 213957.75
SET: 214029.84
SET: 214123.80
SET: 214203.81
SET: 214271.80
SET: 214316.48
SET: 214350.94
SET: 214380.92
====== SET ======
  20000032 requests completed in 93.29 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.02% <= 0.2 milliseconds
0.24% <= 0.3 milliseconds
0.46% <= 0.4 milliseconds
5.74% <= 0.5 milliseconds
58.50% <= 0.6 milliseconds
91.58% <= 0.7 milliseconds
94.08% <= 0.8 milliseconds
95.58% <= 0.9 milliseconds
97.04% <= 1.0 milliseconds
97.96% <= 1.1 milliseconds
98.84% <= 1.2 milliseconds
99.18% <= 1.3 milliseconds
99.31% <= 1.4 milliseconds
99.41% <= 1.5 milliseconds
99.49% <= 1.6 milliseconds
99.55% <= 1.7 milliseconds
99.58% <= 1.8 milliseconds
99.61% <= 1.9 milliseconds
99.64% <= 2 milliseconds
99.84% <= 3 milliseconds
99.91% <= 4 milliseconds
99.96% <= 5 milliseconds
99.99% <= 6 milliseconds
99.99% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 15 milliseconds
214383.30 requests per second


