2023-11-24 14:50:06
SET: -nan
SET: 454656.00
SET: 335920.00
SET: 289312.00
SET: 256816.00
SET: 235456.00
SET: 223226.67
SET: 215762.28
SET: 213028.00
SET: 208906.67
SET: 205363.20
SET: 203313.45
SET: 200136.00
SET: 194828.31
SET: 190242.28
SET: 186229.33
SET: 183214.00
SET: 180944.94
SET: 178471.11
SET: 176020.20
SET: 173950.41
SET: 172748.19
SET: 171678.55
SET: 170290.09
SET: 168662.67
SET: 166869.77
SET: 165298.47
SET: 163502.22
SET: 161824.00
SET: 160513.11
SET: 159749.33
SET: 158919.22
SET: 157750.00
SET: 156626.42
SET: 155875.77
SET: 155093.94
SET: 154070.22
SET: 153259.25
SET: 152354.53
SET: 151918.77
SET: 151587.20
SET: 151294.44
SET: 151219.81
SET: 151281.86
SET: 151387.64
SET: 151890.48
SET: 152843.83
SET: 153960.17
SET: 155012.00
SET: 156031.34
SET: 155967.36
SET: 155714.52
SET: 155608.00
SET: 156174.48
SET: 156807.70
SET: 157722.19
SET: 158634.28
SET: 159415.02
SET: 160040.28
SET: 160472.41
SET: 160817.06
SET: 161140.45
SET: 161071.48
SET: 160914.80
SET: 160772.00
SET: 160881.23
SET: 161296.48
SET: 162160.72
SET: 163020.23
SET: 163372.98
SET: 162542.62
SET: 161845.64
SET: 161165.72
SET: 160647.86
SET: 160188.97
SET: 159745.72
SET: 159320.88
SET: 158907.48
SET: 158511.27
SET: 158123.84
SET: 158328.48
SET: 158580.22
SET: 158888.64
SET: 159449.09
SET: 160013.34
SET: 160306.06
SET: 160007.08
SET: 159784.11
SET: 159471.67
SET: 159133.17
SET: 158839.52
SET: 158512.25
SET: 158682.14
SET: 159267.12
SET: 159892.09
SET: 160472.91
SET: 160954.97
SET: 161439.94
SET: 161931.03
SET: 162545.67
SET: 163181.31
SET: 163762.23
SET: 164379.44
SET: 164903.58
SET: 165327.19
SET: 165731.44
SET: 166154.03
SET: 166554.08
SET: 167072.03
SET: 167553.78
SET: 168028.52
SET: 168401.00
SET: 168704.55
SET: 169186.80
SET: 169865.20
SET: 170352.61
SET: 170789.97
SET: 170937.89
SET: 170469.08
SET: 170044.44
SET: 170098.33
SET: 170452.28
SET: 171010.53
SET: 171469.16
SET: 171857.94
SET: 172285.56
SET: 172736.88
SET: 173009.48
SET: 173351.83
SET: 173697.56
SET: 173990.47
SET: 174211.48
SET: 174412.66
SET: 174672.64
SET: 175123.38
SET: 175583.78
SET: 175998.36
SET: 176376.75
SET: 176753.14
SET: 177096.03
SET: 177387.16
SET: 177569.31
SET: 177765.81
SET: 177948.14
SET: 178101.06
SET: 178293.34
SET: 178500.09
SET: 178678.14
SET: 178853.33
SET: 179093.83
SET: 179337.73
SET: 179541.31
SET: 179788.11
SET: 179981.91
SET: 180184.41
SET: 180366.55
SET: 180559.69
SET: 180785.20
SET: 180997.34
SET: 181239.22
SET: 181487.47
SET: 181729.45
SET: 181983.66
SET: 182244.95
SET: 182492.92
SET: 182727.59
SET: 182951.16
SET: 183133.72
SET: 183326.30
SET: 183582.12
SET: 183803.30
SET: 184051.47
SET: 184323.91
SET: 184513.28
SET: 184693.31
SET: 184859.23
SET: 185036.53
SET: 185188.31
SET: 185359.25
SET: 185568.14
SET: 185770.09
SET: 185980.59
SET: 186255.42
SET: 186524.97
SET: 186775.08
SET: 187042.19
SET: 187286.64
SET: 187528.48
SET: 187768.27
SET: 187973.67
SET: 188169.02
SET: 188405.36
SET: 188618.08
SET: 188822.45
SET: 189007.23
SET: 189154.19
SET: 189272.22
SET: 189322.94
SET: 189046.36
SET: 188791.06
SET: 188620.23
SET: 188449.67
SET: 188354.14
SET: 188348.61
SET: 188451.84
SET: 188575.28
SET: 188687.30
SET: 189003.97
SET: 189342.05
SET: 189705.53
SET: 189961.80
SET: 190212.28
SET: 190457.69
SET: 190647.47
SET: 190750.83
SET: 190846.23
SET: 190948.77
SET: 191058.02
SET: 191140.86
SET: 191240.78
SET: 191326.12
SET: 191430.39
SET: 191568.88
SET: 191705.84
SET: 191841.14
SET: 191978.09
SET: 192116.39
SET: 192155.48
SET: 192289.55
SET: 192268.30
SET: 192029.36
SET: 191747.47
SET: 191519.05
SET: 191670.25
SET: 191904.00
SET: 192082.66
SET: 192195.11
SET: 192321.61
SET: 192443.95
SET: 192611.73
SET: 192816.92
SET: 192965.44
SET: 193152.91
SET: 193320.55
SET: 193419.78
SET: 193526.31
SET: 193623.27
SET: 193738.73
SET: 193828.75
SET: 193882.06
SET: 194003.55
SET: 194145.88
SET: 194247.58
SET: 194322.05
SET: 194398.70
SET: 194470.33
SET: 194538.42
SET: 194603.75
SET: 194759.48
SET: 194910.44
SET: 195067.84
SET: 195096.06
SET: 194858.05
SET: 194597.64
SET: 194405.27
SET: 194219.77
SET: 194144.66
SET: 194252.64
SET: 194355.64
SET: 194457.39
SET: 194569.30
SET: 194708.94
SET: 194831.69
SET: 194900.08
SET: 194954.42
SET: 194991.16
SET: 195043.39
SET: 195096.17
SET: 195172.52
SET: 195243.84
SET: 195333.28
SET: 195408.42
SET: 195467.94
SET: 195533.58
SET: 195575.91
SET: 195631.52
SET: 195696.91
SET: 195843.23
SET: 195959.78
SET: 196035.22
SET: 196108.69
SET: 196180.56
SET: 196265.53
SET: 196344.45
SET: 196463.34
SET: 196556.47
SET: 196619.88
SET: 196640.53
SET: 196664.80
SET: 196721.42
SET: 196788.36
SET: 196842.72
SET: 196913.98
SET: 196986.48
SET: 197107.45
SET: 197211.45
SET: 197292.83
SET: 197412.86
SET: 197548.95
SET: 197646.14
SET: 197552.48
SET: 197502.31
SET: 197447.66
SET: 197469.41
SET: 197500.44
SET: 197546.97
SET: 197601.31
SET: 197645.31
SET: 197671.03
SET: 197715.95
SET: 197764.39
SET: 197832.27
SET: 197886.00
SET: 197954.06
SET: 198001.86
SET: 198063.92
SET: 198099.11
SET: 198150.14
SET: 198185.92
SET: 198206.61
SET: 198303.78
SET: 198405.09
SET: 198511.67
SET: 198614.83
SET: 198719.67
SET: 198772.20
SET: 198808.42
SET: 198849.84
SET: 198882.69
SET: 198978.50
SET: 199128.59
SET: 199280.64
SET: 199529.00
SET: 199748.48
SET: 199987.08
SET: 200206.28
SET: 200391.02
SET: 200571.83
SET: 200706.64
SET: 200844.62
SET: 200961.16
SET: 201093.44
SET: 201216.42
SET: 201325.28
SET: 201441.58
SET: 201563.53
SET: 201670.52
SET: 201816.69
SET: 202076.98
SET: 202316.67
SET: 202556.89
SET: 202772.48
SET: 202965.83
SET: 203111.39
SET: 203229.70
SET: 203390.75
SET: 203588.17
SET: 203718.16
SET: 203850.83
SET: 203985.31
SET: 204131.67
SET: 204299.08
SET: 204551.52
SET: 204671.17
SET: 204681.34
SET: 204696.59
SET: 204703.77
SET: 204735.17
SET: 204815.34
SET: 204913.75
SET: 205012.31
SET: 205124.88
SET: 205241.81
SET: 205392.30
SET: 205566.08
SET: 205793.16
SET: 206072.52
SET: 206370.20
====== SET ======
  20000048 requests completed in 96.85 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.00% <= 0.2 milliseconds
0.31% <= 0.3 milliseconds
0.93% <= 0.4 milliseconds
10.95% <= 0.5 milliseconds
55.90% <= 0.6 milliseconds
82.45% <= 0.7 milliseconds
86.82% <= 0.8 milliseconds
90.53% <= 0.9 milliseconds
94.52% <= 1.0 milliseconds
97.77% <= 1.1 milliseconds
98.92% <= 1.2 milliseconds
99.23% <= 1.3 milliseconds
99.38% <= 1.4 milliseconds
99.48% <= 1.5 milliseconds
99.57% <= 1.6 milliseconds
99.62% <= 1.7 milliseconds
99.66% <= 1.8 milliseconds
99.69% <= 1.9 milliseconds
99.71% <= 2 milliseconds
99.91% <= 3 milliseconds
99.97% <= 4 milliseconds
99.98% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 11 milliseconds
206503.27 requests per second


