2023-11-24 14:50:06
SET: 0.00
SET: 246948.22
SET: 201197.61
SET: 180814.92
SET: 167144.84
SET: 165691.44
SET: 165900.06
SET: 165852.66
SET: 165297.36
SET: 163991.12
SET: 161493.81
SET: 158266.81
SET: 155998.67
SET: 155765.00
SET: 155692.66
SET: 155427.36
SET: 155853.05
SET: 155869.20
SET: 154941.58
SET: 153852.25
SET: 153145.38
SET: 154100.94
SET: 157103.08
SET: 159792.73
SET: 162295.62
SET: 164605.98
SET: 166717.73
SET: 167540.22
SET: 166237.97
SET: 165021.11
SET: 163934.41
SET: 162951.88
SET: 163861.52
SET: 165389.89
SET: 166775.67
SET: 168154.48
SET: 169435.39
SET: 170661.77
SET: 171810.95
SET: 172755.20
SET: 173582.64
SET: 174347.08
SET: 175097.22
SET: 175689.70
SET: 176343.23
SET: 176960.62
SET: 177581.77
SET: 178292.22
SET: 179031.08
SET: 179720.83
SET: 180393.88
SET: 181091.36
SET: 181678.33
SET: 182382.00
SET: 183197.09
SET: 183976.72
SET: 184689.66
SET: 185406.77
SET: 186120.67
SET: 186827.19
SET: 187438.70
SET: 187952.00
SET: 188261.91
SET: 188669.16
SET: 189205.69
SET: 189715.84
SET: 190047.64
SET: 190373.83
SET: 190678.20
SET: 190189.66
SET: 189085.12
SET: 188026.58
SET: 187942.67
SET: 188073.62
SET: 188158.67
SET: 188249.56
SET: 188223.55
SET: 188244.75
SET: 188462.72
SET: 188750.50
SET: 188730.31
SET: 188458.22
SET: 188198.22
SET: 187822.66
SET: 187488.42
SET: 187667.59
SET: 188244.06
SET: 188810.22
SET: 189239.88
SET: 189669.23
SET: 190145.94
SET: 190502.45
SET: 190746.89
SET: 190984.34
SET: 191251.12
SET: 191645.33
SET: 192106.66
SET: 192566.70
SET: 192732.02
SET: 192633.80
SET: 192527.62
SET: 192415.02
SET: 192320.91
SET: 192344.52
SET: 192551.03
SET: 192763.36
SET: 193000.67
SET: 193204.23
SET: 193447.00
SET: 193606.05
SET: 193752.30
SET: 193914.67
SET: 194074.12
SET: 194226.81
SET: 194385.80
SET: 194600.16
SET: 194759.53
SET: 194946.53
SET: 195157.75
SET: 195379.67
SET: 195531.50
SET: 195684.52
SET: 195776.27
SET: 195878.50
SET: 196030.70
SET: 196226.55
SET: 196406.31
SET: 196599.14
SET: 196793.20
SET: 196987.73
SET: 197144.06
SET: 197283.11
SET: 197435.56
SET: 197670.41
SET: 197941.86
SET: 198215.70
SET: 198452.56
SET: 198674.77
SET: 198857.81
SET: 198984.12
SET: 199023.61
SET: 199121.53
SET: 199162.88
SET: 199170.06
SET: 199164.50
SET: 199241.53
SET: 199297.58
SET: 199313.45
SET: 199371.06
SET: 199483.95
SET: 199581.69
SET: 199690.41
SET: 199831.59
SET: 199977.20
SET: 200082.28
SET: 200172.39
SET: 200261.12
SET: 200355.45
SET: 200475.12
SET: 200587.66
SET: 200677.58
SET: 200766.17
SET: 200873.84
SET: 200956.03
SET: 201069.81
SET: 200905.86
SET: 200794.56
SET: 200977.97
SET: 201100.33
SET: 201105.19
SET: 201200.52
SET: 201300.72
SET: 201408.69
SET: 201484.14
SET: 201522.69
SET: 201592.25
SET: 201650.11
SET: 201712.20
SET: 201788.69
SET: 201894.53
SET: 201999.56
SET: 202132.42
SET: 202319.91
SET: 202486.62
SET: 202661.11
SET: 202832.31
SET: 202949.56
SET: 203043.30
SET: 203125.66
SET: 203240.67
SET: 203378.22
SET: 203526.22
SET: 203652.02
SET: 203796.73
SET: 203940.12
SET: 204067.45
SET: 204227.59
SET: 204399.09
SET: 204543.02
SET: 204801.09
SET: 205006.36
SET: 205214.84
SET: 205389.42
SET: 205550.12
SET: 205711.47
SET: 205862.33
SET: 206051.50
SET: 206259.23
SET: 206463.61
SET: 206685.45
SET: 206867.25
SET: 206987.56
SET: 207164.41
SET: 207338.09
SET: 207664.02
SET: 207989.89
SET: 208222.06
SET: 208546.34
SET: 208770.03
SET: 209123.77
SET: 209351.08
SET: 209406.36
SET: 209485.36
SET: 209530.92
SET: 209559.38
SET: 209640.62
SET: 209676.12
SET: 209799.69
SET: 209832.64
SET: 209730.17
SET: 209642.11
SET: 209624.88
SET: 209626.70
SET: 209668.20
SET: 209660.25
SET: 209635.62
SET: 209611.75
SET: 209563.50
SET: 209627.38
SET: 209655.11
SET: 209642.08
SET: 209550.16
SET: 209560.81
SET: 209578.88
SET: 209566.11
SET: 209409.00
SET: 209284.64
SET: 209040.94
SET: 208755.20
SET: 208528.05
SET: 208295.42
SET: 208036.97
SET: 207782.48
SET: 207511.67
SET: 207429.81
SET: 207456.14
SET: 207419.52
SET: 207443.94
SET: 207484.05
SET: 207496.55
SET: 207482.48
SET: 207509.36
SET: 207585.97
SET: 207656.17
SET: 207727.77
SET: 207790.50
SET: 207854.08
SET: 207935.77
SET: 207946.28
SET: 207984.06
SET: 208041.02
SET: 208089.86
SET: 208143.17
SET: 208197.16
SET: 208250.27
SET: 208281.25
SET: 208331.70
SET: 208388.84
SET: 208438.09
SET: 208463.47
SET: 208470.28
SET: 208471.22
SET: 208448.67
SET: 208419.61
SET: 208408.67
SET: 208401.39
SET: 208400.66
SET: 208385.11
SET: 208369.77
SET: 208409.80
SET: 208446.78
SET: 208459.09
SET: 208382.12
SET: 208176.70
SET: 207908.69
SET: 207729.27
SET: 207507.80
SET: 207446.22
SET: 207486.08
SET: 207532.22
SET: 207567.80
SET: 207594.75
SET: 207586.23
SET: 207569.55
SET: 207578.12
SET: 207613.81
SET: 207618.62
SET: 207543.16
SET: 207485.94
SET: 207310.72
SET: 207225.83
SET: 207210.94
SET: 207230.17
SET: 207235.50
SET: 207247.81
SET: 207256.91
SET: 207334.80
SET: 207450.56
SET: 207603.44
SET: 207692.66
SET: 207815.11
SET: 207910.89
SET: 208023.45
SET: 208125.03
SET: 208188.34
SET: 208329.94
SET: 208461.73
SET: 208576.97
SET: 208703.41
SET: 208807.08
SET: 208910.53
SET: 209074.16
SET: 209137.23
SET: 209198.20
SET: 209253.05
SET: 209328.69
SET: 209382.73
SET: 209444.53
SET: 209540.80
SET: 209635.92
SET: 209748.95
SET: 209647.36
SET: 209433.80
SET: 209288.83
SET: 209217.73
SET: 209137.59
SET: 209119.98
SET: 209147.64
SET: 209179.84
SET: 209195.25
SET: 209218.53
SET: 209251.44
SET: 209267.97
SET: 209296.75
SET: 209338.00
SET: 209378.95
SET: 209424.33
SET: 209424.38
SET: 209355.77
SET: 209298.16
SET: 209299.70
SET: 209299.12
SET: 209314.62
SET: 209338.77
SET: 209360.23
SET: 209374.48
SET: 209399.75
SET: 209414.16
SET: 209431.36
SET: 209459.14
SET: 209499.81
SET: 209533.81
SET: 209581.81
SET: 209564.88
SET: 209454.86
SET: 209456.70
SET: 209485.59
SET: 209537.58
SET: 209599.30
SET: 209645.22
SET: 209680.64
SET: 209746.28
====== SET ======
  20000000 requests completed in 95.34 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
0.06% <= 0.4 milliseconds
5.26% <= 0.5 milliseconds
54.14% <= 0.6 milliseconds
85.62% <= 0.7 milliseconds
91.29% <= 0.8 milliseconds
94.66% <= 0.9 milliseconds
97.24% <= 1.0 milliseconds
98.51% <= 1.1 milliseconds
99.04% <= 1.2 milliseconds
99.23% <= 1.3 milliseconds
99.36% <= 1.4 milliseconds
99.45% <= 1.5 milliseconds
99.53% <= 1.6 milliseconds
99.58% <= 1.7 milliseconds
99.62% <= 1.8 milliseconds
99.65% <= 1.9 milliseconds
99.67% <= 2 milliseconds
99.88% <= 3 milliseconds
99.94% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 10 milliseconds
209768.94 requests per second


