2023-11-24 14:50:06
SET: 0.00
SET: 221418.34
SET: 188534.94
SET: 172878.83
SET: 166289.70
SET: 171133.48
SET: 175467.02
SET: 177896.05
SET: 179710.16
SET: 181846.30
SET: 184047.98
SET: 185380.81
SET: 186142.56
SET: 187094.70
SET: 188153.05
SET: 189360.34
SET: 191462.28
SET: 193452.50
SET: 194709.91
SET: 195617.84
SET: 196745.31
SET: 198685.45
SET: 199860.42
SET: 200673.16
SET: 201344.89
SET: 201730.02
SET: 203468.47
SET: 204856.64
SET: 205735.52
SET: 206473.25
SET: 207159.69
SET: 207787.41
SET: 208357.92
SET: 208825.98
SET: 209303.22
SET: 209754.11
SET: 210095.53
SET: 210478.17
SET: 210878.56
SET: 211191.14
SET: 211459.31
SET: 211719.08
SET: 211365.45
SET: 211228.42
SET: 211141.25
SET: 211008.89
SET: 211277.34
SET: 211718.17
SET: 212217.30
SET: 212659.48
SET: 213179.33
SET: 213717.06
SET: 214079.69
SET: 213115.61
SET: 211874.98
SET: 210665.50
SET: 209391.80
SET: 207927.03
SET: 206691.50
SET: 205721.27
SET: 204911.34
SET: 204209.28
SET: 203878.73
SET: 203881.16
SET: 203955.50
SET: 203993.59
SET: 204249.17
SET: 204283.66
SET: 204374.06
SET: 204046.36
SET: 203458.80
SET: 203437.12
SET: 203889.34
SET: 204309.00
SET: 204636.47
SET: 205011.08
SET: 205276.06
SET: 205586.94
SET: 205891.48
SET: 206171.31
SET: 206423.34
SET: 206756.45
SET: 206999.50
SET: 207267.92
SET: 207508.23
SET: 207709.77
SET: 207782.70
SET: 207873.47
SET: 208084.72
SET: 208292.64
SET: 208493.81
SET: 208649.78
SET: 208801.31
SET: 208970.58
SET: 208955.48
SET: 208925.89
SET: 208846.92
SET: 208862.61
SET: 208849.89
SET: 208815.77
SET: 208772.41
SET: 208706.47
SET: 208881.50
SET: 209098.16
SET: 209317.12
SET: 209508.45
SET: 209716.39
SET: 209864.53
SET: 210032.44
SET: 210297.95
SET: 210575.22
SET: 210818.67
SET: 211063.78
SET: 211295.77
SET: 211516.94
SET: 211718.97
SET: 211860.69
SET: 212111.58
SET: 212455.56
SET: 212889.75
SET: 213289.52
SET: 213708.05
SET: 214129.17
SET: 214517.16
SET: 214875.42
SET: 215236.66
SET: 215588.08
SET: 215920.12
SET: 216044.50
SET: 216363.64
SET: 216471.86
SET: 216487.55
SET: 216478.28
SET: 216418.88
SET: 216333.59
SET: 216283.25
SET: 216311.75
SET: 216414.58
SET: 216541.42
SET: 216631.69
SET: 216719.28
SET: 216793.61
SET: 216911.28
SET: 216950.56
SET: 217003.06
SET: 217034.33
SET: 216993.27
SET: 216920.98
SET: 216901.36
SET: 216952.22
SET: 216991.31
SET: 217031.38
SET: 217046.91
SET: 216995.09
SET: 217021.67
SET: 217063.59
SET: 217015.75
SET: 216938.36
SET: 216880.56
SET: 216842.62
SET: 216921.36
SET: 216926.97
SET: 216901.30
SET: 216853.95
SET: 216804.84
SET: 216463.30
SET: 216159.03
SET: 216154.25
SET: 216054.86
SET: 215962.70
SET: 216026.73
SET: 216199.67
SET: 216368.36
SET: 216433.38
SET: 216403.48
SET: 216376.86
SET: 216344.53
SET: 216345.84
SET: 216279.55
SET: 216189.31
SET: 216240.34
SET: 216264.48
SET: 216311.03
SET: 216306.53
SET: 216235.47
SET: 216146.50
SET: 216152.08
SET: 216193.88
SET: 216233.36
SET: 216252.27
SET: 216273.52
SET: 216283.64
SET: 216294.66
SET: 216377.86
SET: 216480.48
SET: 216598.80
SET: 216699.08
SET: 216778.20
SET: 216849.91
SET: 216922.34
SET: 217002.84
SET: 216978.59
SET: 217050.11
SET: 217105.61
SET: 217158.08
SET: 217204.72
SET: 217168.11
SET: 217140.06
SET: 217113.97
SET: 217169.88
SET: 217224.48
SET: 217293.00
SET: 217340.78
SET: 217410.66
SET: 217446.83
SET: 217480.14
SET: 217514.02
SET: 217557.03
SET: 217588.80
SET: 217572.77
SET: 217561.98
SET: 217545.08
SET: 217536.09
SET: 217582.16
SET: 217672.23
SET: 217754.97
SET: 217834.14
SET: 217845.08
SET: 217908.98
SET: 217993.44
SET: 218082.16
SET: 218187.42
SET: 218288.34
SET: 218397.31
SET: 218465.56
SET: 218459.97
SET: 218446.97
SET: 218477.28
SET: 218542.58
SET: 218544.25
SET: 218533.39
SET: 218521.55
SET: 218504.78
SET: 218488.55
SET: 218481.23
SET: 218490.53
SET: 218488.59
SET: 218461.42
SET: 218418.73
SET: 218369.17
SET: 218311.19
SET: 218261.58
SET: 218182.25
SET: 218097.36
SET: 218034.42
SET: 217954.67
SET: 217868.30
SET: 217803.25
SET: 217734.88
SET: 217690.73
SET: 217642.52
SET: 217279.45
SET: 216896.09
SET: 216589.48
SET: 216505.08
SET: 216472.38
SET: 216460.14
SET: 216474.95
SET: 216502.19
SET: 216467.50
SET: 216425.34
SET: 216385.88
SET: 216343.41
SET: 216293.62
SET: 216268.61
SET: 216236.09
SET: 216198.38
SET: 215887.14
SET: 215515.66
SET: 215268.05
SET: 215255.58
SET: 215235.45
SET: 215236.47
SET: 215266.41
SET: 215311.70
SET: 215364.41
SET: 215444.06
SET: 215542.33
SET: 215643.47
SET: 215685.67
SET: 215721.50
SET: 215764.80
SET: 215785.00
SET: 215496.77
SET: 215197.09
SET: 214900.12
SET: 214699.84
SET: 214633.66
SET: 214541.27
SET: 214473.16
SET: 214434.41
SET: 214413.14
SET: 214378.88
SET: 214363.55
SET: 214357.67
SET: 214336.20
SET: 214308.38
SET: 214295.55
SET: 214274.48
SET: 214297.78
SET: 214284.38
SET: 214257.59
SET: 214224.81
SET: 214196.14
SET: 214162.55
SET: 214145.92
SET: 214123.23
SET: 214091.11
SET: 214062.19
SET: 214033.66
SET: 214030.50
SET: 214017.00
SET: 214001.50
SET: 213991.53
SET: 214006.62
SET: 214034.02
SET: 214017.97
SET: 213978.23
SET: 213941.17
SET: 213888.98
SET: 213805.88
SET: 213734.88
SET: 213693.12
SET: 213656.53
SET: 213617.75
SET: 213595.83
SET: 213588.59
SET: 213576.58
SET: 213569.25
SET: 213573.12
SET: 213578.47
SET: 213338.03
SET: 213116.95
SET: 213091.03
SET: 213077.62
SET: 213086.28
SET: 213105.34
SET: 213118.39
SET: 213126.30
SET: 213152.50
SET: 213220.89
SET: 213282.22
SET: 213301.31
SET: 213308.23
SET: 213319.17
SET: 213338.62
SET: 213349.16
SET: 213121.84
SET: 212863.97
SET: 212777.06
SET: 212782.64
SET: 212856.08
SET: 212937.25
SET: 212967.55
SET: 213040.66
SET: 213123.47
SET: 213266.05
SET: 213405.06
SET: 213542.20
SET: 213676.59
SET: 213832.41
SET: 214009.97
SET: 214175.83
SET: 214267.45
====== SET ======
  20000080 requests completed in 93.33 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
0.04% <= 0.4 milliseconds
6.81% <= 0.5 milliseconds
58.18% <= 0.6 milliseconds
90.54% <= 0.7 milliseconds
94.56% <= 0.8 milliseconds
96.17% <= 0.9 milliseconds
97.57% <= 1.0 milliseconds
98.69% <= 1.1 milliseconds
99.21% <= 1.2 milliseconds
99.40% <= 1.3 milliseconds
99.49% <= 1.4 milliseconds
99.57% <= 1.5 milliseconds
99.63% <= 1.6 milliseconds
99.67% <= 1.7 milliseconds
99.70% <= 1.8 milliseconds
99.73% <= 1.9 milliseconds
99.76% <= 2 milliseconds
99.95% <= 3 milliseconds
99.99% <= 4 milliseconds
99.99% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 11 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 14 milliseconds
214294.22 requests per second


