2023-11-24 14:50:06
SET: -nan
SET: 202912.00
SET: 187152.00
SET: 172192.00
SET: 171120.00
SET: 182726.41
SET: 190181.33
SET: 194925.72
SET: 203256.00
SET: 209009.78
SET: 214377.59
SET: 218472.73
SET: 221626.67
SET: 224647.39
SET: 227076.58
SET: 228471.47
SET: 229964.00
SET: 231488.00
SET: 231379.56
SET: 230762.11
SET: 230116.80
SET: 229147.42
SET: 228158.55
SET: 227731.48
SET: 228253.33
SET: 228773.12
SET: 229278.77
SET: 229742.22
SET: 230150.86
SET: 229889.11
SET: 229586.14
SET: 229273.81
SET: 229108.00
SET: 229370.19
SET: 229609.41
SET: 229812.11
SET: 229824.00
SET: 226666.38
SET: 223818.95
SET: 221042.88
SET: 218317.59
SET: 215725.27
SET: 214757.33
SET: 214784.75
SET: 216047.27
SET: 216442.31
SET: 217145.73
SET: 218024.84
SET: 218822.00
SET: 219570.94
SET: 220435.20
SET: 221382.91
SET: 222455.39
SET: 223489.20
SET: 224440.30
SET: 225271.86
SET: 226232.58
SET: 227104.00
SET: 227924.97
SET: 228279.86
SET: 228645.33
SET: 228965.25
SET: 229313.55
SET: 229747.30
SET: 230156.50
SET: 230803.20
SET: 231081.70
SET: 231336.12
SET: 231578.83
SET: 231984.23
SET: 232277.94
SET: 232390.77
SET: 232688.89
SET: 233047.23
SET: 232954.81
SET: 233054.30
SET: 233153.69
SET: 233252.98
SET: 232884.92
SET: 232766.38
SET: 232455.20
SET: 232263.11
SET: 231885.66
SET: 231552.00
SET: 231305.91
SET: 231312.94
SET: 231264.00
SET: 231200.73
SET: 230854.19
SET: 230489.89
SET: 230238.58
SET: 230077.53
SET: 229936.80
SET: 229602.52
SET: 229365.91
SET: 228714.25
SET: 228556.48
SET: 228349.52
SET: 228135.34
SET: 227944.89
SET: 227741.94
SET: 227618.72
SET: 227465.91
SET: 227386.59
SET: 227307.27
SET: 227192.88
SET: 227102.69
SET: 227017.47
SET: 226915.45
SET: 226987.05
SET: 227054.14
SET: 226993.77
SET: 226897.61
SET: 226850.17
SET: 226798.50
SET: 226746.91
SET: 226686.81
SET: 226614.89
SET: 226565.34
SET: 226475.75
SET: 226376.45
SET: 226302.08
SET: 226229.44
SET: 226182.95
SET: 226115.30
SET: 226088.89
SET: 226070.28
SET: 226040.12
SET: 226001.44
SET: 225963.36
SET: 225914.78
SET: 225866.94
SET: 225824.19
SET: 225854.75
SET: 225898.94
SET: 225948.39
SET: 225983.47
SET: 226015.02
SET: 225985.80
SET: 225917.19
SET: 225843.38
SET: 225674.17
SET: 225511.84
SET: 225345.98
SET: 225234.64
SET: 225147.11
SET: 224985.84
SET: 224842.22
SET: 224747.44
SET: 224596.61
SET: 224460.36
SET: 224314.70
SET: 224244.62
SET: 224188.44
SET: 224256.62
SET: 224323.92
SET: 224389.73
SET: 224474.69
SET: 224547.84
SET: 224631.33
SET: 224704.19
SET: 224775.14
SET: 224860.42
SET: 224889.89
SET: 224836.47
SET: 224734.44
SET: 224544.56
SET: 224502.61
SET: 224603.42
SET: 224775.75
SET: 224967.89
SET: 225170.69
SET: 225226.02
SET: 225270.36
SET: 225301.12
SET: 225415.11
SET: 225480.33
SET: 225536.69
SET: 225573.00
SET: 225643.59
SET: 225688.33
SET: 225735.03
SET: 225783.17
SET: 225812.95
SET: 225827.97
SET: 225854.92
SET: 226046.23
SET: 226413.12
SET: 226632.45
SET: 226835.41
SET: 227066.05
SET: 227278.52
SET: 227429.09
SET: 227728.67
SET: 228018.23
SET: 228170.58
SET: 228335.42
SET: 228519.88
SET: 228773.89
SET: 228914.56
SET: 229011.27
SET: 229059.88
SET: 229108.66
SET: 229187.69
SET: 229436.61
SET: 229631.58
SET: 229761.14
SET: 229887.42
SET: 230010.66
SET: 230133.33
SET: 230269.14
SET: 230382.75
SET: 230480.03
SET: 230553.72
SET: 230614.31
SET: 230703.06
SET: 230795.28
SET: 230856.28
SET: 230934.92
SET: 231032.12
SET: 231128.02
SET: 231284.72
SET: 231434.11
SET: 231530.77
SET: 231543.88
SET: 231544.61
SET: 231577.50
SET: 231541.86
SET: 231490.25
SET: 231367.70
SET: 231240.36
SET: 231114.41
SET: 231014.92
SET: 230917.23
SET: 230764.61
SET: 230629.75
SET: 230491.02
SET: 230364.92
SET: 230287.22
SET: 230228.92
SET: 230168.70
SET: 230105.39
SET: 230020.41
SET: 229947.95
SET: 229864.30
SET: 229514.62
SET: 229456.30
SET: 229398.45
SET: 229332.69
SET: 229282.11
SET: 229219.38
SET: 229154.09
SET: 229069.64
SET: 228996.22
SET: 228914.95
SET: 228831.30
SET: 228737.67
SET: 228682.14
SET: 228629.02
SET: 228521.33
SET: 228369.17
SET: 227968.80
SET: 227805.38
SET: 227769.62
SET: 227712.44
SET: 227663.64
SET: 227607.41
SET: 227555.55
SET: 227541.56
SET: 227498.19
SET: 227443.39
SET: 227413.44
SET: 227394.78
SET: 227350.34
SET: 227318.61
SET: 227259.30
SET: 227215.95
SET: 227194.88
SET: 227158.98
SET: 227128.84
SET: 227107.50
SET: 227067.97
SET: 227026.11
SET: 226969.52
SET: 226930.78
SET: 226891.53
SET: 226864.52
SET: 226832.02
SET: 226786.30
SET: 226801.67
SET: 226836.81
SET: 226790.23
SET: 226676.02
SET: 226496.73
SET: 226305.17
SET: 226093.31
SET: 225934.14
SET: 225802.42
SET: 225703.28
SET: 225609.61
SET: 225560.73
SET: 225523.97
SET: 225495.08
SET: 225447.06
SET: 225396.83
SET: 225358.67
SET: 225322.03
SET: 225288.64
SET: 225255.78
SET: 225198.06
SET: 225157.88
SET: 225119.89
SET: 225067.06
SET: 225008.75
SET: 224984.55
SET: 224974.83
SET: 224955.53
SET: 224911.33
SET: 224921.45
SET: 224923.47
SET: 224914.19
SET: 224912.53
SET: 224899.27
SET: 224865.48
SET: 224862.41
SET: 225014.53
SET: 225181.34
SET: 225338.22
SET: 225487.50
SET: 225566.62
SET: 225626.94
SET: 225685.34
SET: 225732.61
SET: 225778.72
SET: 225842.77
SET: 225939.94
SET: 226058.17
SET: 226133.53
SET: 226099.09
SET: 226082.34
SET: 226045.72
SET: 225931.89
SET: 225799.47
SET: 225676.86
SET: 225552.36
SET: 225407.42
SET: 225327.34
SET: 225271.41
SET: 225224.27
SET: 225134.02
SET: 225115.42
SET: 225081.97
SET: 225057.98
SET: 225052.19
SET: 225014.86
SET: 224993.34
====== SET ======
  20000016 requests completed in 88.90 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
0.12% <= 0.4 milliseconds
17.85% <= 0.5 milliseconds
67.62% <= 0.6 milliseconds
94.28% <= 0.7 milliseconds
96.74% <= 0.8 milliseconds
97.37% <= 0.9 milliseconds
97.85% <= 1.0 milliseconds
98.36% <= 1.1 milliseconds
99.03% <= 1.2 milliseconds
99.19% <= 1.3 milliseconds
99.30% <= 1.4 milliseconds
99.41% <= 1.5 milliseconds
99.50% <= 1.6 milliseconds
99.56% <= 1.7 milliseconds
99.60% <= 1.8 milliseconds
99.64% <= 1.9 milliseconds
99.67% <= 2 milliseconds
99.90% <= 3 milliseconds
99.95% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
99.99% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 10 milliseconds
224974.58 requests per second


