2023-11-24 14:50:06
SET: -nan
SET: 403008.00
SET: 403520.00
SET: 391861.34
SET: 381288.00
SET: 364588.81
SET: 351621.34
SET: 336630.84
SET: 331736.00
SET: 328053.34
SET: 325267.19
SET: 321873.47
SET: 319333.34
SET: 315561.84
SET: 310907.44
SET: 306890.66
SET: 304540.00
SET: 302019.75
SET: 298193.78
SET: 293660.62
SET: 290566.41
SET: 287667.81
SET: 284532.38
SET: 281736.34
SET: 279362.66
SET: 277918.72
SET: 276507.06
SET: 275658.66
SET: 274920.00
SET: 274138.47
SET: 273088.00
SET: 272020.66
SET: 271021.00
SET: 269442.91
SET: 267893.66
SET: 266330.50
SET: 264824.88
SET: 263432.66
SET: 261997.47
SET: 260638.36
SET: 259304.80
SET: 258031.61
SET: 256849.53
SET: 255747.72
SET: 254816.00
SET: 254258.48
SET: 253753.73
SET: 253231.66
SET: 252689.33
SET: 251920.98
SET: 251201.92
SET: 250492.86
SET: 249672.61
SET: 247628.67
SET: 245622.52
SET: 243680.00
SET: 241596.00
SET: 239616.56
SET: 239197.23
SET: 239002.03
SET: 238716.80
SET: 238271.47
SET: 237987.09
SET: 238044.95
SET: 238273.00
SET: 238307.45
SET: 238367.03
SET: 238468.78
SET: 238570.83
SET: 238749.69
SET: 238953.14
SET: 239259.94
SET: 239787.56
SET: 240190.69
SET: 240539.25
SET: 240886.19
SET: 241252.20
SET: 241592.94
SET: 241795.28
SET: 242096.61
SET: 242373.59
SET: 242558.81
SET: 242275.91
SET: 241905.73
SET: 241476.95
SET: 241048.09
SET: 240607.25
SET: 240168.09
SET: 239747.66
SET: 239440.94
SET: 239152.05
SET: 238868.09
SET: 238553.45
SET: 238260.72
SET: 238015.06
SET: 237783.34
SET: 237557.11
SET: 237328.28
SET: 237106.41
SET: 236892.25
SET: 236673.09
SET: 236522.59
SET: 236351.52
SET: 236200.23
SET: 236021.08
SET: 235991.31
SET: 235808.47
SET: 235638.59
SET: 235468.91
SET: 235289.42
SET: 235088.47
SET: 234896.62
SET: 234671.62
SET: 234512.06
SET: 234396.27
SET: 234290.84
SET: 234112.20
SET: 234060.23
SET: 234108.41
SET: 234193.14
SET: 234271.92
SET: 234397.28
SET: 234492.78
SET: 234534.17
SET: 234575.92
SET: 234604.72
SET: 234567.55
SET: 234528.17
SET: 234374.19
SET: 234159.56
SET: 233951.64
SET: 233770.64
SET: 233522.58
SET: 232856.73
SET: 232241.91
SET: 231637.12
SET: 231060.77
SET: 230521.09
SET: 230179.59
SET: 229993.33
SET: 229772.94
SET: 229675.27
SET: 229604.42
SET: 229554.27
SET: 229519.48
SET: 229472.66
SET: 229439.12
SET: 229402.34
SET: 229328.88
SET: 229268.62
SET: 229201.30
SET: 229086.77
SET: 229003.19
SET: 228917.38
SET: 228786.97
SET: 228654.52
SET: 228544.08
SET: 228543.05
SET: 228490.81
SET: 228463.77
SET: 228425.88
SET: 228349.89
SET: 228231.80
SET: 228119.27
SET: 228019.03
SET: 227918.84
SET: 227763.98
SET: 227618.23
SET: 227455.38
SET: 227372.83
SET: 227287.88
SET: 227236.08
SET: 227159.23
SET: 227099.91
SET: 227049.55
SET: 227003.78
SET: 227110.16
SET: 227305.73
SET: 227505.39
SET: 227779.69
SET: 228126.67
SET: 228600.81
SET: 229056.55
SET: 229478.47
SET: 229906.06
SET: 230092.77
SET: 230095.61
SET: 230201.28
SET: 230247.44
SET: 230215.23
SET: 230140.25
SET: 230108.11
SET: 230066.80
SET: 230037.02
SET: 230015.64
SET: 229990.86
SET: 229943.16
SET: 229959.11
SET: 229897.34
SET: 229788.12
SET: 229823.81
SET: 229840.38
SET: 229834.91
SET: 229845.28
SET: 229869.34
SET: 229892.38
SET: 229839.84
SET: 229789.84
SET: 229716.47
SET: 229655.14
SET: 229599.72
SET: 229527.23
SET: 229468.41
SET: 229412.09
SET: 229324.00
SET: 229245.81
SET: 229141.53
SET: 229067.86
SET: 229016.28
SET: 228950.86
SET: 228919.34
SET: 228847.56
SET: 228783.80
SET: 228703.80
SET: 228709.94
SET: 228794.25
SET: 228856.00
SET: 228900.44
SET: 228814.53
SET: 228356.58
SET: 227876.31
SET: 227421.81
SET: 227017.72
SET: 226629.44
SET: 226386.70
SET: 226126.56
SET: 225734.11
SET: 225313.12
SET: 224954.69
SET: 224805.83
SET: 224671.02
SET: 224633.31
SET: 224686.50
SET: 224782.83
SET: 224877.84
SET: 224961.89
SET: 225056.97
SET: 225198.81
SET: 225347.91
SET: 225498.11
SET: 225582.23
SET: 225614.30
SET: 225649.92
SET: 225651.50
SET: 225678.75
SET: 225682.20
SET: 225612.53
SET: 225526.45
SET: 225429.88
SET: 225335.16
SET: 225245.47
SET: 225187.38
SET: 225156.70
SET: 225143.42
SET: 225146.72
SET: 225109.44
SET: 225019.73
SET: 224905.06
SET: 224799.84
SET: 224692.55
SET: 224579.77
SET: 224449.64
SET: 224340.92
SET: 224242.98
SET: 224137.69
SET: 224036.42
SET: 223971.61
SET: 224074.62
SET: 224151.36
SET: 224207.59
SET: 224272.56
SET: 224331.14
SET: 224334.97
SET: 224298.17
SET: 224263.66
SET: 224006.62
SET: 223732.28
SET: 223447.00
SET: 223187.05
SET: 222997.88
SET: 222833.17
SET: 222692.59
SET: 222466.28
SET: 222053.91
SET: 221662.50
SET: 221264.80
SET: 221048.97
SET: 220942.97
SET: 220834.58
SET: 220705.19
SET: 220610.27
SET: 220588.98
SET: 220584.61
SET: 220573.28
SET: 220560.66
SET: 220531.22
SET: 220511.72
SET: 220501.92
SET: 220451.25
SET: 220252.62
SET: 220060.14
SET: 219859.52
SET: 219641.42
SET: 219436.77
SET: 219239.03
SET: 219045.00
SET: 218853.91
SET: 218735.38
SET: 218633.61
SET: 218529.25
SET: 218410.66
SET: 218288.41
SET: 218193.27
SET: 218138.03
SET: 218095.78
SET: 218023.66
SET: 217953.84
SET: 217710.88
SET: 217414.27
SET: 217128.02
SET: 216985.84
SET: 216882.52
SET: 216752.92
SET: 216604.70
SET: 216473.94
SET: 216381.31
SET: 216364.08
SET: 216363.77
SET: 216368.64
SET: 216361.61
SET: 216245.45
SET: 216234.97
SET: 216221.19
SET: 216206.55
SET: 216239.53
SET: 216214.16
SET: 216207.53
SET: 216206.28
SET: 216206.44
SET: 216196.03
SET: 216219.61
SET: 216228.09
SET: 216196.55
SET: 216189.45
SET: 216166.78
SET: 216148.45
SET: 216145.70
SET: 216119.31
SET: 216082.77
SET: 216061.06
SET: 216050.05
SET: 216007.28
SET: 215960.58
SET: 215912.20
SET: 215894.08
SET: 215889.28
SET: 215903.66
SET: 215915.88
SET: 215971.83
SET: 215976.16
SET: 215953.91
====== SET ======
  20000048 requests completed in 92.61 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.19% <= 0.3 milliseconds
2.38% <= 0.4 milliseconds
15.24% <= 0.5 milliseconds
58.23% <= 0.6 milliseconds
87.50% <= 0.7 milliseconds
92.35% <= 0.8 milliseconds
95.39% <= 0.9 milliseconds
97.03% <= 1.0 milliseconds
98.11% <= 1.1 milliseconds
98.77% <= 1.2 milliseconds
99.26% <= 1.3 milliseconds
99.42% <= 1.4 milliseconds
99.51% <= 1.5 milliseconds
99.58% <= 1.6 milliseconds
99.62% <= 1.7 milliseconds
99.65% <= 1.8 milliseconds
99.68% <= 1.9 milliseconds
99.71% <= 2 milliseconds
99.90% <= 3 milliseconds
99.95% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
99.99% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 12 milliseconds
215955.25 requests per second


