2023-11-24 14:50:06
SET: 0.00
SET: 209944.23
SET: 200495.02
SET: 187366.19
SET: 180395.59
SET: 177496.39
SET: 175562.95
SET: 176726.44
SET: 179430.30
SET: 179038.66
SET: 181773.70
SET: 182673.94
SET: 185799.41
SET: 188131.66
SET: 190014.28
SET: 191848.58
SET: 193903.53
SET: 195410.03
SET: 196443.45
SET: 197706.59
SET: 196762.91
SET: 192833.22
SET: 189195.20
SET: 185920.39
SET: 182983.19
SET: 180410.05
SET: 178039.69
SET: 180171.19
SET: 182807.38
SET: 185892.73
SET: 189963.48
SET: 193740.75
SET: 196783.20
SET: 199215.80
SET: 201420.67
SET: 203460.30
SET: 204024.44
SET: 203760.08
SET: 203602.22
SET: 203522.19
SET: 202648.80
SET: 201055.69
SET: 199795.09
SET: 198635.53
SET: 198067.44
SET: 198439.52
SET: 198806.56
SET: 199173.66
SET: 199689.41
SET: 200080.95
SET: 200463.25
SET: 200764.67
SET: 201066.22
SET: 201702.86
SET: 202025.62
SET: 202319.20
SET: 202808.53
SET: 203206.62
SET: 203418.88
SET: 203381.55
SET: 203533.69
SET: 203875.95
SET: 203942.45
SET: 203935.75
SET: 203913.77
SET: 203908.69
SET: 203872.03
SET: 203806.14
SET: 203943.55
SET: 204357.48
SET: 204727.16
SET: 204851.64
SET: 204830.05
SET: 204830.50
SET: 204843.92
SET: 204802.39
SET: 204752.27
SET: 204775.73
SET: 204824.45
SET: 204905.95
SET: 204965.02
SET: 204950.33
SET: 204888.42
SET: 204843.41
SET: 204882.88
SET: 205141.25
SET: 205489.22
SET: 205866.33
SET: 206261.41
SET: 206654.09
SET: 206969.08
SET: 207205.42
SET: 207383.42
SET: 207641.88
SET: 207842.75
SET: 208063.31
SET: 208244.62
SET: 208318.30
SET: 208510.94
SET: 208734.27
SET: 208883.06
SET: 208893.95
SET: 209169.39
SET: 209524.27
SET: 209520.08
SET: 209522.67
SET: 209583.77
SET: 209637.44
SET: 209696.05
SET: 209754.17
SET: 209819.08
SET: 209860.64
SET: 209913.44
SET: 209960.50
SET: 209974.47
SET: 210035.47
SET: 210115.02
SET: 210245.98
SET: 210408.36
SET: 210554.81
SET: 210738.84
SET: 211009.72
SET: 211256.23
SET: 211468.30
SET: 211802.86
SET: 212148.20
SET: 212543.67
SET: 212999.19
SET: 213435.06
SET: 213887.50
SET: 214329.06
SET: 214752.88
SET: 214814.19
SET: 214204.84
SET: 213469.19
SET: 212794.92
SET: 212727.91
SET: 212704.61
SET: 212759.55
SET: 212851.45
SET: 212888.58
SET: 212940.14
SET: 213043.25
SET: 213121.20
SET: 213180.75
SET: 213345.39
SET: 213517.86
SET: 213563.25
SET: 213652.56
SET: 213677.56
SET: 213706.91
SET: 213729.72
SET: 213752.23
SET: 213865.42
SET: 213922.28
SET: 213932.59
SET: 213946.25
SET: 213978.28
SET: 214077.95
SET: 214186.64
SET: 214252.97
SET: 214324.44
SET: 214379.81
SET: 214452.36
SET: 214557.98
SET: 214689.86
SET: 214752.89
SET: 214836.61
SET: 214849.05
SET: 214805.12
SET: 214810.83
SET: 214819.66
SET: 214834.89
SET: 214844.22
SET: 214851.05
SET: 214830.73
SET: 214850.64
SET: 214879.02
SET: 214905.27
SET: 214937.47
SET: 214646.52
SET: 214282.22
SET: 214024.08
SET: 214301.00
SET: 214566.55
SET: 214721.66
SET: 214922.92
SET: 215075.33
SET: 215146.11
SET: 215168.73
SET: 215253.28
SET: 215433.75
SET: 215592.19
SET: 215765.89
SET: 215924.95
SET: 216066.78
SET: 216163.73
SET: 216196.84
SET: 216233.03
SET: 216255.17
SET: 216279.66
SET: 216289.88
SET: 216198.31
SET: 216236.75
SET: 216226.17
SET: 216253.62
SET: 216316.23
SET: 216330.48
SET: 216324.73
SET: 216310.94
SET: 216292.55
SET: 216286.00
SET: 216267.14
SET: 216249.67
SET: 216310.55
SET: 216304.34
SET: 216308.12
SET: 216311.86
SET: 216335.83
SET: 216373.45
SET: 216384.41
SET: 216383.39
SET: 216421.58
SET: 216512.67
SET: 216464.53
SET: 216423.78
SET: 216393.88
SET: 216460.36
SET: 216456.52
SET: 216448.94
SET: 216426.27
SET: 216396.16
SET: 216376.80
SET: 216360.20
SET: 216340.48
SET: 216308.67
SET: 216321.88
SET: 216383.42
SET: 216425.11
SET: 216485.86
SET: 216533.69
SET: 216593.34
SET: 216661.64
SET: 216773.34
SET: 216844.53
SET: 216840.83
SET: 216812.30
SET: 216777.53
SET: 216708.98
SET: 216645.73
SET: 216567.77
SET: 216469.25
SET: 216398.83
SET: 216349.95
SET: 216288.73
SET: 216223.86
SET: 216171.75
SET: 216124.02
SET: 216112.00
SET: 216098.84
SET: 216087.52
SET: 216124.33
SET: 216149.73
SET: 216157.69
SET: 216174.66
SET: 216245.61
SET: 216321.31
SET: 216378.23
SET: 216453.70
SET: 216496.03
SET: 216483.77
SET: 216445.61
SET: 216411.62
SET: 216386.80
SET: 216369.39
SET: 216343.03
SET: 216355.47
SET: 216373.12
SET: 216419.09
SET: 216531.36
SET: 216617.33
SET: 216710.11
SET: 216804.94
SET: 216890.75
SET: 216961.06
SET: 216968.59
SET: 216982.20
SET: 216991.83
SET: 217005.05
SET: 217013.20
SET: 217035.75
SET: 217053.41
SET: 217022.73
SET: 216879.34
SET: 216719.42
SET: 216541.38
SET: 216439.33
SET: 216344.77
SET: 216270.17
SET: 216214.25
SET: 216197.64
SET: 216196.56
SET: 216186.06
SET: 216210.38
SET: 216213.16
SET: 216221.80
SET: 216240.09
SET: 216236.08
SET: 216293.50
SET: 216456.67
SET: 216557.39
SET: 216697.58
SET: 216870.52
SET: 217052.06
SET: 217175.98
SET: 217253.61
SET: 217316.78
SET: 217398.94
SET: 217481.08
SET: 217556.28
SET: 217626.50
SET: 217704.17
SET: 217783.05
SET: 217898.78
SET: 218008.58
SET: 218116.80
SET: 218275.30
SET: 218491.45
SET: 218697.20
SET: 218899.09
SET: 219089.86
SET: 219283.23
SET: 219464.95
SET: 219642.17
SET: 219817.31
SET: 219996.77
SET: 220182.66
SET: 220378.28
SET: 220501.47
SET: 220608.16
SET: 220710.92
SET: 220866.58
SET: 221005.22
SET: 220961.06
SET: 220747.12
SET: 220566.23
SET: 220424.67
SET: 220298.78
SET: 220163.22
SET: 220158.44
SET: 220150.31
SET: 220123.08
SET: 220090.36
SET: 220052.22
SET: 220025.41
SET: 219978.64
SET: 219990.66
SET: 220025.19
SET: 220060.34
SET: 220092.27
SET: 220113.33
SET: 220147.14
SET: 220179.17
SET: 220221.80
====== SET ======
  20000056 requests completed in 90.82 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
0.29% <= 0.4 milliseconds
14.45% <= 0.5 milliseconds
65.97% <= 0.6 milliseconds
91.33% <= 0.7 milliseconds
95.10% <= 0.8 milliseconds
96.70% <= 0.9 milliseconds
97.44% <= 1.0 milliseconds
98.21% <= 1.1 milliseconds
98.98% <= 1.2 milliseconds
99.24% <= 1.3 milliseconds
99.37% <= 1.4 milliseconds
99.48% <= 1.5 milliseconds
99.56% <= 1.6 milliseconds
99.62% <= 1.7 milliseconds
99.65% <= 1.8 milliseconds
99.68% <= 1.9 milliseconds
99.71% <= 2 milliseconds
99.92% <= 3 milliseconds
99.97% <= 4 milliseconds
99.98% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 9 milliseconds
220226.12 requests per second


