2023-11-24 14:54:02
SET: 0.00
SET: 570390.44
SET: 399505.00
SET: 338609.84
SET: 301122.88
SET: 276329.31
SET: 255621.58
SET: 240310.67
SET: 229553.23
SET: 221416.27
SET: 215126.75
SET: 209334.80
SET: 205171.61
SET: 200883.42
SET: 197136.83
SET: 193827.78
SET: 190862.28
SET: 188311.45
SET: 185926.69
SET: 183813.09
SET: 183123.38
SET: 183974.11
SET: 184682.06
SET: 185886.28
SET: 187227.47
SET: 188867.06
SET: 190082.77
SET: 191025.92
SET: 192238.83
SET: 193343.81
SET: 193946.41
SET: 194469.88
SET: 195015.61
SET: 195655.31
SET: 196360.89
SET: 196938.39
SET: 197656.25
SET: 198458.97
SET: 199343.22
SET: 199206.64
SET: 199068.89
SET: 199449.02
SET: 199917.72
SET: 200508.22
SET: 201162.06
SET: 201557.91
SET: 202011.64
SET: 201984.50
SET: 201834.50
SET: 201745.48
SET: 201644.66
SET: 201563.48
SET: 201628.17
SET: 201815.41
SET: 201950.08
SET: 202142.67
SET: 202527.81
SET: 202901.69
SET: 203342.66
SET: 203827.80
SET: 204270.11
SET: 204631.83
SET: 204816.72
SET: 204961.20
SET: 205145.19
SET: 205388.47
SET: 205737.84
SET: 206178.03
SET: 206531.39
SET: 206902.80
SET: 207105.42
SET: 207242.86
SET: 207348.48
SET: 207436.75
SET: 207517.44
SET: 207636.94
SET: 207720.86
SET: 207855.81
SET: 207991.80
SET: 208247.08
SET: 208504.78
SET: 208689.75
SET: 208745.33
SET: 208815.78
SET: 208880.72
SET: 208800.34
SET: 208858.02
SET: 208934.95
SET: 208869.06
SET: 208771.20
SET: 208843.34
SET: 208931.83
SET: 209004.14
SET: 209272.72
SET: 209449.81
SET: 209587.47
SET: 209728.94
SET: 209843.72
SET: 209944.42
SET: 209992.66
SET: 210051.12
SET: 210207.59
SET: 210420.61
SET: 210615.20
SET: 210798.67
SET: 211003.92
SET: 211186.30
SET: 211398.75
SET: 211569.95
SET: 211656.97
SET: 211872.73
SET: 212050.02
SET: 212239.28
SET: 212355.53
SET: 212527.28
SET: 212702.45
SET: 212868.53
SET: 212951.91
SET: 212993.19
SET: 213155.33
SET: 213230.50
SET: 213205.25
SET: 213257.28
SET: 213305.06
SET: 213370.67
SET: 213415.77
SET: 213463.95
SET: 213524.31
SET: 213480.92
SET: 213391.55
SET: 213311.69
SET: 213244.52
SET: 213178.61
SET: 213203.91
SET: 213243.16
SET: 213179.44
SET: 213120.17
SET: 213099.62
SET: 213171.19
SET: 213261.06
SET: 213353.30
SET: 213421.09
SET: 213487.47
SET: 213552.03
SET: 213601.92
SET: 213648.47
SET: 213682.98
SET: 213716.38
SET: 213782.19
SET: 213877.17
SET: 213986.45
SET: 214091.12
SET: 214186.42
SET: 214280.05
SET: 214369.95
SET: 214451.91
SET: 214504.91
SET: 214531.95
SET: 214540.84
SET: 214546.59
SET: 214589.08
SET: 214620.70
SET: 214578.25
SET: 214531.22
SET: 214510.52
SET: 214583.16
SET: 214656.08
SET: 214732.52
SET: 214813.97
SET: 214896.34
SET: 214984.53
SET: 215069.23
SET: 215142.38
SET: 215206.33
SET: 215281.33
SET: 215342.11
SET: 215402.94
SET: 215463.44
SET: 215527.58
SET: 215590.64
SET: 215634.69
SET: 215664.11
SET: 215688.28
SET: 215737.72
SET: 215737.06
SET: 215720.14
SET: 215734.20
SET: 215806.81
SET: 215876.27
SET: 215943.12
SET: 216008.42
SET: 216075.23
SET: 216129.33
SET: 216122.86
SET: 216116.78
SET: 216107.48
SET: 216094.69
SET: 216117.77
SET: 216130.42
SET: 216172.86
SET: 216182.88
SET: 216189.92
SET: 216100.28
SET: 216119.95
SET: 216123.77
SET: 216237.42
SET: 216347.64
SET: 216458.34
SET: 216619.22
SET: 216731.69
SET: 216820.39
SET: 216916.75
SET: 217020.05
SET: 217099.98
SET: 217223.44
SET: 217335.62
SET: 217358.33
SET: 217462.08
SET: 217567.66
SET: 217684.55
SET: 217820.30
SET: 217954.97
SET: 218068.97
SET: 218192.86
SET: 218253.64
SET: 218313.03
SET: 218404.73
SET: 218515.80
SET: 218612.83
SET: 218566.48
SET: 218590.39
SET: 218647.33
SET: 218715.77
SET: 218782.53
SET: 218842.44
SET: 218854.03
SET: 218886.42
SET: 218915.28
SET: 218929.92
SET: 218910.30
SET: 218868.84
SET: 218886.95
SET: 218945.62
SET: 218997.23
SET: 219050.00
SET: 219075.83
SET: 219090.89
SET: 219082.53
SET: 219089.70
SET: 219104.80
SET: 219127.58
SET: 219153.50
SET: 219177.05
SET: 219193.58
SET: 219216.66
SET: 219238.05
SET: 219256.41
SET: 219271.50
SET: 219288.45
SET: 219254.89
SET: 219275.84
SET: 219337.95
SET: 219397.16
SET: 219456.50
SET: 219520.50
SET: 219496.23
SET: 219462.88
SET: 219435.28
SET: 219416.02
SET: 219393.92
SET: 219402.81
SET: 219367.22
SET: 219332.14
SET: 219304.34
SET: 219351.38
SET: 219403.19
SET: 219459.73
SET: 219504.31
SET: 219494.58
SET: 219475.06
SET: 219493.95
SET: 219558.84
SET: 219625.09
SET: 219684.53
SET: 219731.17
SET: 219769.95
SET: 219801.52
SET: 219841.80
SET: 219875.56
SET: 219911.42
SET: 219937.98
SET: 219963.61
SET: 219989.27
SET: 220011.80
SET: 220043.75
SET: 220065.41
SET: 220052.66
SET: 220050.42
SET: 220012.45
SET: 219977.95
SET: 219934.72
SET: 219908.27
SET: 219868.94
SET: 219842.97
SET: 219816.84
SET: 219791.02
SET: 219749.86
SET: 219666.56
SET: 219602.81
SET: 219668.83
SET: 219703.66
SET: 219746.69
SET: 219784.31
SET: 219829.27
SET: 219885.77
SET: 219942.41
SET: 220000.81
SET: 220032.11
SET: 220030.50
SET: 220043.03
SET: 220048.20
SET: 220043.47
SET: 220063.20
SET: 220113.44
SET: 220161.38
SET: 220213.56
SET: 220250.89
SET: 220281.53
SET: 220311.02
SET: 220342.86
SET: 220372.16
SET: 220355.95
SET: 220386.11
SET: 220418.02
SET: 220451.62
SET: 220481.91
SET: 220517.61
SET: 220551.69
SET: 220581.86
SET: 220609.50
SET: 220629.83
SET: 220658.66
SET: 220707.36
SET: 220668.53
SET: 220602.78
SET: 220556.14
SET: 220533.91
SET: 220482.89
SET: 220440.86
SET: 220430.61
SET: 220442.73
SET: 220463.44
SET: 220502.22
SET: 220536.14
SET: 220580.28
SET: 220619.03
SET: 220657.73
SET: 220685.66
SET: 220730.39
SET: 220773.45
SET: 220809.09
SET: 220850.81
SET: 220934.91
====== SET ======
  20000016 requests completed in 90.52 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.06% <= 0.2 milliseconds
0.47% <= 0.3 milliseconds
0.62% <= 0.4 milliseconds
1.72% <= 0.5 milliseconds
64.07% <= 0.6 milliseconds
92.54% <= 0.7 milliseconds
94.53% <= 0.8 milliseconds
97.16% <= 0.9 milliseconds
98.29% <= 1.0 milliseconds
98.76% <= 1.1 milliseconds
99.14% <= 1.2 milliseconds
99.41% <= 1.3 milliseconds
99.53% <= 1.4 milliseconds
99.61% <= 1.5 milliseconds
99.67% <= 1.6 milliseconds
99.71% <= 1.7 milliseconds
99.74% <= 1.8 milliseconds
99.76% <= 1.9 milliseconds
99.77% <= 2 milliseconds
99.94% <= 3 milliseconds
99.99% <= 4 milliseconds
99.99% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 7 milliseconds
220943.38 requests per second


