2023-11-24 14:54:02
SET: -nan
SET: 437760.00
SET: 305856.00
SET: 261461.33
SET: 244128.00
SET: 238182.41
SET: 234693.33
SET: 231657.14
SET: 222360.00
SET: 212924.44
SET: 205872.00
SET: 200203.64
SET: 195965.33
SET: 192214.16
SET: 187577.14
SET: 183737.59
SET: 182756.00
SET: 184094.12
SET: 185576.89
SET: 186768.84
SET: 188662.41
SET: 191273.14
SET: 193540.36
SET: 195756.52
SET: 198062.67
SET: 200899.84
SET: 203540.92
SET: 206068.14
SET: 207874.28
SET: 209842.77
SET: 211548.80
SET: 212902.19
SET: 214473.00
SET: 216093.09
SET: 217568.94
SET: 218905.59
SET: 219764.44
SET: 220033.73
SET: 220090.11
SET: 220108.31
SET: 220001.59
SET: 220103.03
SET: 220432.00
SET: 220930.98
SET: 221157.81
SET: 221322.67
SET: 221848.34
SET: 222393.19
SET: 222882.67
SET: 223543.52
SET: 224193.28
SET: 224692.08
SET: 225085.53
SET: 225395.92
SET: 225468.44
SET: 225559.86
SET: 225793.72
SET: 225999.72
SET: 226326.06
SET: 226691.80
SET: 226921.06
SET: 226808.66
SET: 226648.27
SET: 226562.55
SET: 226595.50
SET: 226635.81
SET: 226803.39
SET: 226887.17
SET: 226705.41
SET: 226885.09
SET: 227094.41
SET: 227274.81
SET: 227436.89
SET: 227523.06
SET: 227635.89
SET: 227732.05
SET: 227935.16
SET: 227990.03
SET: 228192.83
SET: 228360.50
SET: 228378.00
SET: 228492.25
SET: 228623.22
SET: 228625.34
SET: 228713.14
SET: 228680.66
SET: 228614.33
SET: 228495.45
SET: 228396.36
SET: 228331.50
SET: 228351.28
SET: 228206.77
SET: 228060.52
SET: 227914.33
SET: 227832.17
SET: 227778.69
SET: 227825.33
SET: 227823.17
SET: 227787.42
SET: 227718.78
SET: 227748.48
SET: 227668.28
SET: 227680.00
SET: 227688.08
SET: 227552.00
SET: 227550.78
SET: 227604.53
SET: 227639.62
SET: 227674.97
SET: 227713.77
SET: 227776.58
SET: 227851.81
SET: 227963.42
SET: 228043.89
SET: 227984.00
SET: 227943.52
SET: 227980.41
SET: 228053.06
SET: 228110.64
SET: 228150.86
SET: 228186.94
SET: 228188.83
SET: 228230.81
SET: 228225.05
SET: 228219.88
SET: 228175.61
SET: 228169.39
SET: 228152.44
SET: 228123.50
SET: 228089.80
SET: 228057.84
SET: 228029.06
SET: 228051.39
SET: 228052.69
SET: 228053.50
SET: 228066.14
SET: 228055.06
SET: 228052.56
SET: 228060.30
SET: 228068.38
SET: 228071.55
SET: 228058.78
SET: 228059.94
SET: 228074.06
SET: 228072.22
SET: 228056.72
SET: 228058.95
SET: 228037.66
SET: 228039.78
SET: 228041.23
SET: 228046.94
SET: 228037.94
SET: 227968.00
SET: 227838.95
SET: 227720.31
SET: 227642.02
SET: 227566.97
SET: 227471.28
SET: 227435.95
SET: 227409.11
SET: 227393.41
SET: 227322.44
SET: 227312.00
SET: 227317.80
SET: 227322.34
SET: 227326.25
SET: 227312.00
SET: 227302.33
SET: 227286.86
SET: 227270.44
SET: 227279.06
SET: 227367.67
SET: 227434.61
SET: 227492.06
SET: 227568.92
SET: 227749.84
SET: 227926.00
SET: 228101.06
SET: 228171.33
SET: 228235.98
SET: 228315.56
SET: 228404.86
SET: 228456.44
SET: 228466.19
SET: 228517.91
SET: 228539.84
SET: 228679.05
SET: 228879.23
SET: 229061.61
SET: 229250.38
SET: 229365.72
SET: 229545.22
SET: 229710.67
SET: 229889.33
SET: 230006.92
SET: 230014.19
SET: 229947.27
SET: 229895.47
SET: 229841.78
SET: 229805.83
SET: 229818.88
SET: 229840.72
SET: 229867.09
SET: 229831.41
SET: 229757.33
SET: 229690.06
SET: 229650.02
SET: 229603.41
SET: 229630.77
SET: 229557.12
SET: 229509.94
SET: 229550.86
SET: 229586.11
SET: 229626.89
SET: 229613.91
SET: 229657.75
SET: 229663.86
SET: 229674.77
SET: 229723.75
SET: 229777.09
SET: 229822.84
SET: 229869.33
SET: 229918.56
SET: 229958.59
SET: 229998.14
SET: 230068.05
SET: 230152.78
SET: 230233.94
SET: 230211.23
SET: 230124.86
SET: 230025.88
SET: 229943.41
SET: 229876.41
SET: 229895.97
SET: 229927.39
SET: 229940.30
SET: 229956.47
SET: 229961.31
SET: 229964.09
SET: 229972.62
SET: 229991.06
SET: 230016.80
SET: 230025.12
SET: 230031.94
SET: 230056.53
SET: 230074.52
SET: 230075.06
SET: 230091.92
SET: 230050.45
SET: 229981.44
SET: 229947.02
SET: 229978.27
SET: 230009.66
SET: 229982.61
SET: 230007.19
SET: 230020.14
SET: 230035.88
SET: 230063.56
SET: 230099.97
SET: 230125.22
SET: 230143.50
SET: 230141.42
SET: 230145.59
SET: 230136.83
SET: 230116.00
SET: 230064.19
SET: 230029.95
SET: 230015.88
SET: 230022.45
SET: 230043.84
SET: 230056.17
SET: 230048.00
SET: 230048.83
SET: 230047.17
SET: 230060.38
SET: 230087.33
SET: 230030.27
SET: 229985.97
SET: 229943.36
SET: 229904.06
SET: 229839.31
SET: 229800.42
SET: 229766.58
SET: 229732.75
SET: 229695.78
SET: 229670.28
SET: 229658.73
SET: 229650.98
SET: 229628.70
SET: 229621.52
SET: 229612.83
SET: 229604.66
SET: 229589.41
SET: 229573.17
SET: 229507.41
SET: 229433.09
SET: 229363.28
SET: 229295.88
SET: 229291.75
SET: 229315.36
SET: 229338.59
SET: 229359.23
SET: 229386.00
SET: 229418.28
SET: 229457.52
SET: 229501.31
SET: 229546.28
SET: 229585.55
SET: 229603.77
SET: 229620.23
SET: 229652.47
SET: 229637.38
SET: 229600.03
SET: 229566.09
SET: 229539.70
SET: 229638.73
SET: 229785.34
SET: 229955.06
SET: 230109.20
SET: 230283.66
SET: 230452.22
SET: 230612.56
SET: 230755.50
SET: 230879.42
SET: 230860.56
SET: 230796.42
SET: 230733.08
SET: 230697.22
SET: 230648.70
SET: 230592.31
SET: 230558.08
SET: 230520.67
SET: 230528.11
SET: 230534.45
SET: 230512.78
SET: 230493.25
SET: 230502.20
SET: 230497.64
SET: 230482.39
SET: 230480.34
SET: 230486.80
SET: 230504.00
SET: 230523.91
SET: 230539.41
SET: 230561.14
SET: 230593.41
SET: 230630.86
====== SET ======
  20000104 requests completed in 86.71 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.08% <= 0.2 milliseconds
0.33% <= 0.3 milliseconds
0.42% <= 0.4 milliseconds
12.02% <= 0.5 milliseconds
80.73% <= 0.6 milliseconds
96.71% <= 0.7 milliseconds
97.53% <= 0.8 milliseconds
98.35% <= 0.9 milliseconds
98.99% <= 1.0 milliseconds
99.27% <= 1.1 milliseconds
99.42% <= 1.2 milliseconds
99.52% <= 1.3 milliseconds
99.59% <= 1.4 milliseconds
99.66% <= 1.5 milliseconds
99.70% <= 1.6 milliseconds
99.73% <= 1.7 milliseconds
99.75% <= 1.8 milliseconds
99.76% <= 1.9 milliseconds
99.78% <= 2 milliseconds
99.95% <= 3 milliseconds
99.99% <= 4 milliseconds
99.99% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 7 milliseconds
230641.81 requests per second


