2023-11-24 14:54:02
SET: 0.00
SET: 283314.75
SET: 207505.00
SET: 184074.58
SET: 187724.27
SET: 193438.84
SET: 195954.69
SET: 197062.25
SET: 200511.75
SET: 201723.69
SET: 204740.52
SET: 206490.73
SET: 207978.67
SET: 209700.41
SET: 210634.69
SET: 211054.12
SET: 208983.77
SET: 208333.11
SET: 207740.50
SET: 207368.56
SET: 208032.00
SET: 207849.17
SET: 207933.11
SET: 207909.58
SET: 206241.62
SET: 206675.42
SET: 207750.19
SET: 208428.97
SET: 208901.59
SET: 209749.83
SET: 210505.27
SET: 210939.50
SET: 211422.56
SET: 211357.64
SET: 212081.39
SET: 212646.77
SET: 212718.58
SET: 212713.86
SET: 212675.70
SET: 212564.86
SET: 212465.94
SET: 212383.92
SET: 212266.62
SET: 212574.41
SET: 212740.23
SET: 212791.33
SET: 212870.81
SET: 213029.95
SET: 213265.12
SET: 213275.88
SET: 213248.44
SET: 213310.55
SET: 213233.05
SET: 213156.05
SET: 213046.36
SET: 212969.75
SET: 212761.03
SET: 212554.03
SET: 212384.50
SET: 212379.61
SET: 212354.09
SET: 212341.47
SET: 212338.53
SET: 212362.11
SET: 212408.44
SET: 212411.02
SET: 212448.42
SET: 212595.98
SET: 212645.09
SET: 212664.03
SET: 212812.23
SET: 212880.11
SET: 212971.44
SET: 213153.17
SET: 213319.62
SET: 213344.70
SET: 213372.91
SET: 213420.31
SET: 213460.36
SET: 213333.73
SET: 213205.08
SET: 213098.94
SET: 213177.25
SET: 213273.31
SET: 213388.44
SET: 213523.05
SET: 213651.56
SET: 213748.42
SET: 213806.02
SET: 213638.67
SET: 213554.70
SET: 213504.56
SET: 213446.12
SET: 213316.36
SET: 213237.00
SET: 213138.77
SET: 213153.56
SET: 213181.59
SET: 213090.84
SET: 213018.73
SET: 212979.44
SET: 212852.84
SET: 212753.19
SET: 212664.80
SET: 212555.03
SET: 212564.98
SET: 212633.30
SET: 212741.92
SET: 212862.16
SET: 212974.89
SET: 213081.52
SET: 213153.06
SET: 213216.19
SET: 213274.23
SET: 213307.69
SET: 213375.34
SET: 213461.41
SET: 213578.00
SET: 213643.55
SET: 213731.11
SET: 213791.34
SET: 213815.94
SET: 213842.23
SET: 213878.25
SET: 213922.45
SET: 213933.19
SET: 213953.64
SET: 213990.17
SET: 214018.12
SET: 214042.42
SET: 214045.67
SET: 214039.58
SET: 214037.94
SET: 214080.12
SET: 214131.94
SET: 214178.95
SET: 214232.81
SET: 214288.92
SET: 214331.47
SET: 214388.12
SET: 214433.92
SET: 214485.42
SET: 214519.98
SET: 214555.61
SET: 214606.08
SET: 214629.38
SET: 214673.83
SET: 214705.48
SET: 214661.48
SET: 214589.30
SET: 214551.55
SET: 214566.86
SET: 214585.55
SET: 214603.80
SET: 214602.47
SET: 214552.44
SET: 214507.16
SET: 214464.28
SET: 214425.41
SET: 214419.61
SET: 214415.69
SET: 214356.56
SET: 214266.56
SET: 214150.19
SET: 214073.47
SET: 214021.34
SET: 213971.58
SET: 213919.14
SET: 213919.92
SET: 213905.33
SET: 213904.86
SET: 213904.20
SET: 213899.08
SET: 213900.50
SET: 213902.62
SET: 213878.78
SET: 213874.28
SET: 213853.03
SET: 213845.50
SET: 213828.39
SET: 213872.28
SET: 213917.27
SET: 213955.97
SET: 213997.91
SET: 214034.70
SET: 214078.70
SET: 214118.62
SET: 214156.58
SET: 214186.30
SET: 214180.14
SET: 214137.17
SET: 214073.89
SET: 214069.58
SET: 214051.73
SET: 213969.73
SET: 213968.98
SET: 213943.27
SET: 213897.03
SET: 213850.00
SET: 213848.25
SET: 213879.02
SET: 213932.08
SET: 213966.55
SET: 213957.80
SET: 213879.66
SET: 213890.62
SET: 213853.19
SET: 213832.94
SET: 213798.75
SET: 213747.28
SET: 213713.81
SET: 213699.62
SET: 213707.16
SET: 213783.56
SET: 213829.81
SET: 213926.81
SET: 213948.27
SET: 213897.56
SET: 213876.67
SET: 213843.41
SET: 213817.00
SET: 213779.09
SET: 213746.72
SET: 213693.27
SET: 213617.42
SET: 213539.98
SET: 213456.98
SET: 213398.98
SET: 213362.39
SET: 213326.95
SET: 213287.52
SET: 213222.39
SET: 213158.78
SET: 213079.23
SET: 213010.48
SET: 212963.97
SET: 212918.27
SET: 212903.05
SET: 212950.20
SET: 212994.83
SET: 213019.62
SET: 213060.14
SET: 213031.95
SET: 213011.38
SET: 213019.95
SET: 213058.62
SET: 213081.39
SET: 213087.89
SET: 213081.95
SET: 213079.28
SET: 213081.75
SET: 213076.16
SET: 213067.83
SET: 213063.98
SET: 213067.23
SET: 213071.08
SET: 213075.27
SET: 213112.30
SET: 213142.84
SET: 213175.11
SET: 213193.00
SET: 213201.80
SET: 213223.45
SET: 213257.25
SET: 213291.28
SET: 213283.27
SET: 213261.23
SET: 213268.98
SET: 213290.52
SET: 213313.08
SET: 213288.42
SET: 213251.55
SET: 213265.66
SET: 213285.05
SET: 213284.56
SET: 213290.25
SET: 213316.06
SET: 213339.27
SET: 213360.23
SET: 213386.56
SET: 213390.41
SET: 213386.25
SET: 213395.06
SET: 213364.36
SET: 213366.66
SET: 213369.05
SET: 213385.17
SET: 213403.66
SET: 213425.11
SET: 213421.17
SET: 213397.30
SET: 213365.34
SET: 213359.34
SET: 213339.97
SET: 213320.06
SET: 213297.80
SET: 213274.28
SET: 213262.34
SET: 213241.25
SET: 213222.11
SET: 213205.56
SET: 213189.97
SET: 213183.48
SET: 213175.25
SET: 213175.38
SET: 213165.33
SET: 213148.14
SET: 213139.72
SET: 213137.67
SET: 213159.16
SET: 213161.81
SET: 213173.83
SET: 213182.38
SET: 213157.12
SET: 213133.27
SET: 213091.47
SET: 213069.58
SET: 213054.09
SET: 213057.22
SET: 213059.12
SET: 213062.92
SET: 213052.42
SET: 213054.53
SET: 213042.05
SET: 213052.66
SET: 213058.28
SET: 213082.52
SET: 213108.95
SET: 213134.94
SET: 213152.02
SET: 213174.22
SET: 213185.66
SET: 213204.92
SET: 213239.84
SET: 213266.20
SET: 213293.47
SET: 213305.81
SET: 213318.56
SET: 213332.17
SET: 213371.09
SET: 213389.47
SET: 213375.72
SET: 213382.27
SET: 213400.91
SET: 213443.62
SET: 213481.45
SET: 213523.23
SET: 213566.61
SET: 213607.34
SET: 213656.20
SET: 213687.12
SET: 213727.08
SET: 213775.53
SET: 213812.02
SET: 213848.84
SET: 213886.09
SET: 213923.67
SET: 213967.77
SET: 214031.27
SET: 214109.48
SET: 214192.69
SET: 214261.34
SET: 214351.34
SET: 214431.61
SET: 214578.59
SET: 214738.55
SET: 214897.97
SET: 215047.19
SET: 215276.89
SET: 215484.72
SET: 215707.95
====== SET ======
  20000088 requests completed in 92.66 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.00% <= 0.2 milliseconds
0.10% <= 0.3 milliseconds
0.16% <= 0.4 milliseconds
2.86% <= 0.5 milliseconds
48.97% <= 0.6 milliseconds
96.19% <= 0.7 milliseconds
97.88% <= 0.8 milliseconds
98.30% <= 0.9 milliseconds
98.66% <= 1.0 milliseconds
98.96% <= 1.1 milliseconds
99.15% <= 1.2 milliseconds
99.30% <= 1.3 milliseconds
99.42% <= 1.4 milliseconds
99.52% <= 1.5 milliseconds
99.59% <= 1.6 milliseconds
99.63% <= 1.7 milliseconds
99.65% <= 1.8 milliseconds
99.67% <= 1.9 milliseconds
99.69% <= 2 milliseconds
99.88% <= 3 milliseconds
99.94% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 13 milliseconds
215853.14 requests per second


