2023-11-24 14:54:02
SET: -nan
SET: 208096.00
SET: 176944.00
SET: 167872.00
SET: 174824.00
SET: 180819.20
SET: 185237.33
SET: 188018.28
SET: 190572.00
SET: 192476.44
SET: 194457.59
SET: 196346.19
SET: 197608.00
SET: 198840.61
SET: 200249.14
SET: 201591.47
SET: 202032.00
SET: 202352.94
SET: 202638.22
SET: 202810.95
SET: 203955.20
SET: 205203.81
SET: 206011.64
SET: 205583.30
SET: 203312.00
SET: 200764.16
SET: 198340.92
SET: 196401.78
SET: 196629.72
SET: 197445.52
SET: 198069.33
SET: 198310.19
SET: 198244.00
SET: 198408.73
SET: 198834.83
SET: 199320.69
SET: 200009.78
SET: 200560.44
SET: 201344.84
SET: 202162.88
SET: 202908.00
SET: 203629.27
SET: 204301.72
SET: 204958.52
SET: 205315.64
SET: 205672.53
SET: 206024.34
SET: 206089.53
SET: 206280.67
SET: 206155.75
SET: 206126.08
SET: 206062.44
SET: 206022.77
SET: 205956.22
SET: 205892.73
SET: 205759.42
SET: 205752.00
SET: 206050.25
SET: 206381.80
SET: 206736.81
SET: 207061.86
SET: 207243.02
SET: 207449.30
SET: 207673.39
SET: 207882.00
SET: 207934.03
SET: 207908.84
SET: 207902.09
SET: 207937.88
SET: 208119.19
SET: 208334.62
SET: 208564.28
SET: 208726.22
SET: 208896.88
SET: 209122.59
SET: 209274.03
SET: 209276.20
SET: 209252.16
SET: 209231.59
SET: 209314.83
SET: 209409.20
SET: 209527.70
SET: 209641.75
SET: 209775.03
SET: 210107.81
SET: 210518.59
SET: 210928.75
SET: 211307.77
SET: 211618.91
SET: 211834.25
SET: 212039.47
SET: 212188.12
SET: 212383.30
SET: 212612.12
SET: 212849.02
SET: 213014.91
SET: 213119.33
SET: 213148.70
SET: 213210.45
SET: 213246.70
SET: 213383.05
SET: 213512.88
SET: 213642.36
SET: 213741.67
SET: 213898.77
SET: 214097.06
SET: 214356.83
SET: 214568.67
SET: 214686.52
SET: 214677.14
SET: 214637.09
SET: 214631.20
SET: 214633.72
SET: 214616.36
SET: 214613.61
SET: 214748.11
SET: 214885.80
SET: 215027.97
SET: 215163.94
SET: 215290.89
SET: 215366.41
SET: 215463.14
SET: 215554.62
SET: 215541.33
SET: 215512.27
SET: 215470.34
SET: 215449.39
SET: 215523.03
SET: 215613.75
SET: 215578.56
SET: 215565.06
SET: 215650.22
SET: 215707.41
SET: 215779.86
SET: 215877.98
SET: 215979.14
SET: 216045.89
SET: 216059.80
SET: 216157.45
SET: 216253.23
SET: 216363.19
SET: 216458.89
SET: 216560.66
SET: 216609.78
SET: 216689.31
SET: 216771.08
SET: 216872.09
SET: 216971.52
SET: 216970.36
SET: 216994.98
SET: 217022.70
SET: 217048.34
SET: 217059.14
SET: 217049.28
SET: 216947.72
SET: 216810.52
SET: 216695.58
SET: 216636.11
SET: 216634.31
SET: 216620.27
SET: 216618.59
SET: 216574.41
SET: 216582.70
SET: 216596.20
SET: 216532.48
SET: 216470.88
SET: 216432.77
SET: 216456.05
SET: 216468.56
SET: 216475.27
SET: 216429.92
SET: 216447.81
SET: 216462.12
SET: 216477.03
SET: 216475.03
SET: 216486.39
SET: 216495.27
SET: 216502.05
SET: 216505.70
SET: 216504.48
SET: 216491.38
SET: 216426.59
SET: 216347.78
SET: 216313.34
SET: 216319.64
SET: 216310.14
SET: 216305.89
SET: 216312.64
SET: 216317.11
SET: 216313.56
SET: 216307.20
SET: 216317.98
SET: 216311.66
SET: 216319.17
SET: 216277.11
SET: 216271.75
SET: 216279.83
SET: 216272.23
SET: 216298.50
SET: 216356.98
SET: 216398.55
SET: 216438.92
SET: 216371.16
SET: 216405.59
SET: 216455.05
SET: 216450.80
SET: 216478.12
SET: 216538.73
SET: 216604.77
SET: 216660.66
SET: 216691.34
SET: 216723.86
SET: 216749.58
SET: 216743.95
SET: 216761.70
SET: 216770.97
SET: 216718.80
SET: 216683.78
SET: 216639.55
SET: 216591.19
SET: 216545.59
SET: 216493.17
SET: 216437.19
SET: 216385.00
SET: 216327.14
SET: 216276.48
SET: 216217.77
SET: 216149.56
SET: 216179.23
SET: 216130.80
SET: 216087.23
SET: 216096.00
SET: 216097.94
SET: 216118.80
SET: 216141.41
SET: 216182.61
SET: 216231.59
SET: 216262.61
SET: 216300.50
SET: 216336.33
SET: 216380.53
SET: 216432.06
SET: 216475.23
SET: 216517.39
SET: 216485.50
SET: 216452.56
SET: 216408.70
SET: 216365.59
SET: 216390.06
SET: 216400.44
SET: 216458.88
SET: 216499.62
SET: 216524.19
SET: 216504.66
SET: 216471.94
SET: 216440.59
SET: 216406.00
SET: 216377.64
SET: 216396.28
SET: 216429.34
SET: 216495.62
SET: 216559.69
SET: 216606.53
SET: 216666.62
SET: 216693.56
SET: 216732.00
SET: 216755.11
SET: 216797.94
SET: 216765.00
SET: 216741.58
SET: 216689.28
SET: 216651.44
SET: 216613.52
SET: 216647.72
SET: 216670.70
SET: 216693.52
SET: 216712.33
SET: 216673.48
SET: 216650.45
SET: 216618.66
SET: 216582.61
SET: 216587.48
SET: 216582.45
SET: 216565.36
SET: 216532.38
SET: 216518.05
SET: 216561.11
SET: 216564.61
SET: 216572.33
SET: 216552.41
SET: 216539.36
SET: 216541.91
SET: 216526.56
SET: 216563.31
SET: 216575.22
SET: 216597.03
SET: 216598.80
SET: 216576.42
SET: 216623.12
SET: 216664.28
SET: 216717.31
SET: 216745.66
SET: 216751.88
SET: 216776.11
SET: 216798.61
SET: 216817.72
SET: 216858.23
SET: 216898.38
SET: 216885.28
SET: 216869.36
SET: 216831.78
SET: 216820.16
SET: 216833.83
SET: 216829.73
SET: 216834.73
SET: 216848.64
SET: 216853.75
SET: 216862.97
SET: 216847.38
SET: 216811.62
SET: 216776.39
SET: 216785.62
SET: 216765.89
SET: 216765.31
SET: 216795.34
SET: 216805.30
SET: 216812.55
SET: 216817.59
SET: 216825.06
SET: 216809.81
SET: 216830.14
SET: 216848.52
SET: 216863.41
SET: 216872.44
SET: 216881.61
SET: 216898.75
SET: 216902.27
SET: 216866.27
SET: 216873.55
SET: 216868.52
SET: 216904.55
SET: 216942.81
SET: 216984.22
SET: 217009.61
SET: 217034.22
SET: 217074.25
SET: 217109.72
SET: 217153.91
SET: 217203.28
SET: 217270.08
SET: 217321.84
SET: 217381.34
SET: 217406.97
SET: 217441.97
SET: 217473.78
SET: 217528.12
SET: 217548.28
SET: 217581.22
SET: 217634.62
SET: 217686.86
SET: 217740.75
SET: 217794.52
SET: 217854.61
SET: 217929.20
SET: 218005.12
SET: 218095.55
SET: 218182.14
====== SET ======
  20000032 requests completed in 91.64 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
0.03% <= 0.4 milliseconds
1.08% <= 0.5 milliseconds
59.88% <= 0.6 milliseconds
95.92% <= 0.7 milliseconds
97.35% <= 0.8 milliseconds
98.11% <= 0.9 milliseconds
98.74% <= 1.0 milliseconds
98.97% <= 1.1 milliseconds
99.14% <= 1.2 milliseconds
99.29% <= 1.3 milliseconds
99.41% <= 1.4 milliseconds
99.51% <= 1.5 milliseconds
99.59% <= 1.6 milliseconds
99.63% <= 1.7 milliseconds
99.66% <= 1.8 milliseconds
99.68% <= 1.9 milliseconds
99.70% <= 2 milliseconds
99.88% <= 3 milliseconds
99.94% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 11 milliseconds
218240.89 requests per second


