2023-11-24 14:54:02
SET: -nan
SET: 220736.00
SET: 219760.00
SET: 219061.33
SET: 216512.00
SET: 214233.59
SET: 212272.00
SET: 211049.14
SET: 210896.00
SET: 210104.89
SET: 209808.00
SET: 209178.19
SET: 208512.00
SET: 208960.00
SET: 209353.14
SET: 208558.94
SET: 207776.00
SET: 206499.77
SET: 205738.67
SET: 205594.95
SET: 204908.80
SET: 203885.72
SET: 202418.91
SET: 200620.52
SET: 199233.33
SET: 196249.59
SET: 193869.53
SET: 191557.92
SET: 189392.00
SET: 187342.34
SET: 185330.14
SET: 184026.84
SET: 182864.00
SET: 181683.39
SET: 180642.83
SET: 181676.80
SET: 182519.11
SET: 183426.59
SET: 184218.11
SET: 184995.28
SET: 186228.00
SET: 186723.91
SET: 187746.28
SET: 189082.05
SET: 190131.64
SET: 191185.78
SET: 192433.39
SET: 193470.64
SET: 194242.67
SET: 194999.52
SET: 194113.92
SET: 193041.56
SET: 191844.31
SET: 190688.61
SET: 189901.62
SET: 188753.45
SET: 187553.72
SET: 186321.41
SET: 186289.11
SET: 186972.75
SET: 187704.53
SET: 188347.28
SET: 189028.12
SET: 189708.70
SET: 190316.50
SET: 190937.59
SET: 191543.27
SET: 191935.05
SET: 192084.23
SET: 192430.84
SET: 192854.86
SET: 193133.08
SET: 193439.11
SET: 193729.31
SET: 193945.95
SET: 194203.73
SET: 194443.38
SET: 194687.58
SET: 194860.31
SET: 195079.70
SET: 195357.20
SET: 195735.70
SET: 196204.48
SET: 196513.55
SET: 196711.62
SET: 196517.27
SET: 196171.91
SET: 195825.28
SET: 195299.64
SET: 195080.62
SET: 195576.89
SET: 196210.98
SET: 196644.17
SET: 197057.38
SET: 197610.89
SET: 198091.20
SET: 198373.73
SET: 198630.33
SET: 198914.02
SET: 198993.50
SET: 199084.84
SET: 199220.00
SET: 199306.08
SET: 199434.59
SET: 199502.80
SET: 199621.50
SET: 199707.19
SET: 199894.73
SET: 199891.27
SET: 199643.61
SET: 199428.09
SET: 199275.56
SET: 199066.89
SET: 198858.81
SET: 198656.61
SET: 198340.23
SET: 197904.08
SET: 197472.36
SET: 197069.12
SET: 196831.30
SET: 196901.70
SET: 196999.25
SET: 197052.17
SET: 197037.38
SET: 197040.36
SET: 197059.94
SET: 197094.95
SET: 197085.08
SET: 196814.86
SET: 196559.73
SET: 196300.92
SET: 196333.31
SET: 196454.66
SET: 196582.12
SET: 196653.72
SET: 196631.56
SET: 196574.22
SET: 196560.45
SET: 196356.52
SET: 195965.59
SET: 195573.39
SET: 195196.28
SET: 194808.94
SET: 194438.64
SET: 194060.61
SET: 193674.98
SET: 193334.33
SET: 193028.77
SET: 192720.62
SET: 192340.61
SET: 192008.33
SET: 191834.50
SET: 191678.11
SET: 191509.97
SET: 191327.19
SET: 191012.36
SET: 190890.08
SET: 190878.00
SET: 190885.50
SET: 190913.64
SET: 190971.23
SET: 191018.95
SET: 191078.34
SET: 191185.30
SET: 191237.30
SET: 190817.19
SET: 190475.80
SET: 190126.23
SET: 189806.53
SET: 189465.06
SET: 189121.77
SET: 188806.62
SET: 188644.17
SET: 188494.88
SET: 188302.98
SET: 188096.09
SET: 187855.38
SET: 187570.00
SET: 187287.12
SET: 187168.64
SET: 187359.22
SET: 187479.27
SET: 187600.45
SET: 187715.06
SET: 187728.44
SET: 187745.12
SET: 187722.25
SET: 187667.44
SET: 187567.08
SET: 187513.50
SET: 187479.00
SET: 187441.52
SET: 187406.94
SET: 187354.95
SET: 187308.64
SET: 187339.09
SET: 187415.44
SET: 187451.22
SET: 187447.36
SET: 187455.61
SET: 187522.17
SET: 187695.38
SET: 187881.59
SET: 188065.50
SET: 188249.80
SET: 188417.48
SET: 188533.81
SET: 188682.27
SET: 188817.91
SET: 188951.19
SET: 189108.47
SET: 189276.56
SET: 189444.28
SET: 189654.73
SET: 189853.80
SET: 190044.61
SET: 190246.41
SET: 190448.41
SET: 190646.05
SET: 190838.53
SET: 190995.22
SET: 191138.62
SET: 191332.48
SET: 191482.70
SET: 191663.30
SET: 191843.14
SET: 192018.69
SET: 192122.08
SET: 192285.89
SET: 192415.72
SET: 192516.31
SET: 192621.84
SET: 192716.95
SET: 192800.53
SET: 192863.58
SET: 192918.31
SET: 193020.19
SET: 193133.48
SET: 193259.95
SET: 193378.66
SET: 193488.78
SET: 193612.33
SET: 193719.38
SET: 193768.00
SET: 193732.44
SET: 193727.84
SET: 193718.48
SET: 193722.80
SET: 193714.69
SET: 193728.23
SET: 193742.44
SET: 193772.47
SET: 193841.88
SET: 193900.75
SET: 193759.84
SET: 193557.69
SET: 193342.98
SET: 193163.81
SET: 193039.23
SET: 192811.84
SET: 192533.41
SET: 192259.67
SET: 191961.53
SET: 191693.14
SET: 191391.16
SET: 191103.05
SET: 190854.88
SET: 190622.94
SET: 190391.42
SET: 190186.14
SET: 189963.77
SET: 189729.09
SET: 189495.80
SET: 189266.56
SET: 189045.89
SET: 188878.47
SET: 188735.47
SET: 188538.50
SET: 188346.98
SET: 188149.50
SET: 187948.97
SET: 187746.56
SET: 187546.50
SET: 187343.22
SET: 187144.41
SET: 187005.59
SET: 186835.09
SET: 186664.89
SET: 186763.86
SET: 186889.70
SET: 187034.66
SET: 187147.50
SET: 187242.48
SET: 187369.56
SET: 187482.95
SET: 187603.91
SET: 187706.00
SET: 187772.08
SET: 187833.61
SET: 187893.25
SET: 187942.03
SET: 187975.39
SET: 187988.41
SET: 187995.72
SET: 188007.00
SET: 187989.03
SET: 187970.14
SET: 187999.11
SET: 188087.53
SET: 188155.19
SET: 188188.55
SET: 188157.69
SET: 188126.20
SET: 188113.53
SET: 188091.27
SET: 188065.27
SET: 188110.53
SET: 188146.02
SET: 188164.28
SET: 188185.03
SET: 188236.34
SET: 188290.14
SET: 188345.09
SET: 188321.83
SET: 188224.25
SET: 188130.91
SET: 188051.19
SET: 187973.23
SET: 188007.47
SET: 188050.14
SET: 188081.80
SET: 188126.80
SET: 188171.52
SET: 188226.73
SET: 188281.05
SET: 188336.86
SET: 188388.81
SET: 188533.88
SET: 188651.02
SET: 188781.92
SET: 188897.36
SET: 189004.33
SET: 189131.73
SET: 189275.56
SET: 189426.64
SET: 189570.62
SET: 189697.33
SET: 189814.72
SET: 189934.64
SET: 190085.70
SET: 190268.00
SET: 190374.12
SET: 190486.84
SET: 190620.30
SET: 190798.48
SET: 190915.98
SET: 191036.59
SET: 191166.22
SET: 191284.03
SET: 191353.67
SET: 191374.58
SET: 191287.06
SET: 191218.05
SET: 191151.17
SET: 191099.27
SET: 191049.39
SET: 191014.12
SET: 191018.30
SET: 191038.09
SET: 191085.28
SET: 191153.22
SET: 191345.52
SET: 191584.52
SET: 191856.98
SET: 192136.05
SET: 192396.03
SET: 192667.66
SET: 192968.22
SET: 193257.05
SET: 193523.75
SET: 193785.83
SET: 194084.94
SET: 194403.91
SET: 194772.28
SET: 195168.22
SET: 195524.03
SET: 196207.70
SET: 196658.81
SET: 196976.78
SET: 197262.27
SET: 197527.91
SET: 197813.80
SET: 198096.11
SET: 198374.28
SET: 198638.64
SET: 198863.00
SET: 199188.45
SET: 199540.08
SET: 199917.42
SET: 200251.03
====== SET ======
  20000072 requests completed in 99.83 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.00% <= 0.2 milliseconds
0.47% <= 0.3 milliseconds
3.35% <= 0.4 milliseconds
12.83% <= 0.5 milliseconds
45.68% <= 0.6 milliseconds
74.07% <= 0.7 milliseconds
83.58% <= 0.8 milliseconds
89.67% <= 0.9 milliseconds
95.50% <= 1.0 milliseconds
98.42% <= 1.1 milliseconds
99.17% <= 1.2 milliseconds
99.36% <= 1.3 milliseconds
99.47% <= 1.4 milliseconds
99.56% <= 1.5 milliseconds
99.62% <= 1.6 milliseconds
99.66% <= 1.7 milliseconds
99.69% <= 1.8 milliseconds
99.71% <= 1.9 milliseconds
99.73% <= 2 milliseconds
99.92% <= 3 milliseconds
99.97% <= 4 milliseconds
99.98% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 14 milliseconds
200349.33 requests per second


