2023-11-24 14:54:02
SET: 0.00
SET: 222023.92
SET: 219800.41
SET: 215392.81
SET: 213906.08
SET: 213269.38
SET: 212210.52
SET: 212893.20
SET: 214336.84
SET: 214983.56
SET: 215440.23
SET: 215505.64
SET: 215904.03
SET: 216425.72
SET: 217208.80
SET: 217960.02
SET: 218167.47
SET: 218544.34
SET: 218728.28
SET: 218466.86
SET: 217942.02
SET: 217320.89
SET: 217211.42
SET: 217126.77
SET: 216682.56
SET: 214081.59
SET: 210964.47
SET: 208387.50
SET: 205873.45
SET: 204924.02
SET: 205383.81
SET: 205650.89
SET: 205771.27
SET: 205957.09
SET: 206131.03
SET: 206205.45
SET: 206151.31
SET: 205947.89
SET: 205916.84
SET: 205739.70
SET: 205289.86
SET: 204261.81
SET: 202361.67
SET: 201338.66
SET: 201382.41
SET: 201204.52
SET: 200672.62
SET: 200558.25
SET: 200763.27
SET: 201311.23
SET: 201743.86
SET: 201578.53
SET: 200910.08
SET: 200359.22
SET: 199965.62
SET: 199620.09
SET: 199328.61
SET: 199047.92
SET: 198823.80
SET: 198165.27
SET: 197340.44
SET: 196512.22
SET: 196003.86
SET: 195605.09
SET: 195186.81
SET: 194856.69
SET: 194413.92
SET: 194266.14
SET: 194453.98
SET: 194650.28
SET: 194834.59
SET: 195047.05
SET: 195237.61
SET: 195338.78
SET: 195408.69
SET: 195453.69
SET: 195568.66
SET: 195781.62
SET: 195990.78
SET: 196191.80
SET: 196426.19
SET: 196644.12
SET: 196855.19
SET: 196941.64
SET: 196852.34
SET: 196690.98
SET: 196510.31
SET: 196308.03
SET: 196014.73
SET: 195701.77
SET: 195594.16
SET: 195492.08
SET: 195187.00
SET: 194790.08
SET: 194398.20
SET: 194008.17
SET: 193547.94
SET: 193049.69
SET: 192572.06
SET: 192486.77
SET: 192285.11
SET: 192056.72
SET: 191840.02
SET: 191585.58
SET: 191480.64
SET: 191359.11
SET: 191202.45
SET: 191332.52
SET: 191499.88
SET: 191784.81
SET: 191933.67
SET: 191992.80
SET: 192160.56
SET: 192408.06
SET: 192666.64
SET: 192844.78
SET: 193141.20
SET: 193421.62
SET: 193737.17
SET: 194048.20
SET: 194337.53
SET: 194600.64
SET: 194936.30
SET: 195217.33
SET: 195481.95
SET: 195713.94
SET: 196108.83
SET: 196427.70
SET: 196558.86
SET: 196671.86
SET: 196776.97
SET: 196689.20
SET: 196347.02
SET: 196017.69
SET: 195714.77
SET: 195398.78
SET: 195061.56
SET: 194766.17
SET: 194476.45
SET: 194152.23
SET: 193818.47
SET: 193530.28
SET: 193235.80
SET: 192944.31
SET: 192665.98
SET: 192367.00
SET: 192256.66
SET: 192233.58
SET: 192197.19
SET: 192175.03
SET: 192153.17
SET: 192133.72
SET: 192116.62
SET: 191928.47
SET: 191636.80
SET: 191381.28
SET: 191101.77
SET: 190820.72
SET: 190585.56
SET: 190356.97
SET: 190134.25
SET: 189831.02
SET: 189444.81
SET: 189507.59
SET: 189655.67
SET: 189769.56
SET: 189866.84
SET: 190003.41
SET: 190133.19
SET: 190343.81
SET: 190442.02
SET: 190298.05
SET: 190062.75
SET: 189819.98
SET: 189576.52
SET: 189326.52
SET: 189155.34
SET: 188938.38
SET: 188704.08
SET: 188459.88
SET: 188242.75
SET: 187978.88
SET: 187648.80
SET: 187417.45
SET: 187197.33
SET: 186987.88
SET: 186762.78
SET: 186552.94
SET: 186349.06
SET: 186133.97
SET: 185915.75
SET: 185621.41
SET: 185321.31
SET: 185007.73
SET: 184630.09
SET: 184397.28
SET: 184263.50
SET: 184092.59
SET: 183925.98
SET: 183759.28
SET: 183666.89
SET: 183536.56
SET: 183394.70
SET: 183241.00
SET: 183023.08
SET: 182773.88
SET: 182528.19
SET: 182283.94
SET: 182042.81
SET: 181794.03
SET: 181546.56
SET: 181296.89
SET: 181051.23
SET: 180811.33
SET: 180570.39
SET: 180334.36
SET: 180155.33
SET: 180011.88
SET: 179853.14
SET: 179680.81
SET: 179551.64
SET: 179431.91
SET: 179255.58
SET: 179150.58
SET: 179074.23
SET: 178981.22
SET: 178847.81
SET: 178833.86
SET: 178861.98
SET: 178944.52
SET: 179091.70
SET: 179202.86
SET: 179282.16
SET: 179365.30
SET: 179454.17
SET: 179551.53
SET: 179632.62
SET: 179651.98
SET: 179809.42
SET: 179967.67
SET: 180115.80
SET: 180280.09
SET: 180424.12
SET: 180554.33
SET: 180682.67
SET: 180798.36
SET: 180925.84
SET: 181063.56
SET: 181200.31
SET: 181349.31
SET: 181506.47
SET: 181664.80
SET: 181782.00
SET: 181864.12
SET: 181940.06
SET: 182026.20
SET: 182075.78
SET: 182092.86
SET: 182103.97
SET: 182177.89
SET: 182274.48
SET: 182374.03
SET: 182499.20
SET: 182639.84
SET: 182759.42
SET: 182873.86
SET: 182984.20
SET: 183092.52
SET: 183192.14
SET: 183292.69
SET: 183396.28
SET: 183492.50
SET: 183594.00
SET: 183686.80
SET: 183798.31
SET: 183922.16
SET: 184044.88
SET: 184186.22
SET: 184306.77
SET: 184293.84
SET: 184288.91
SET: 184213.06
SET: 184148.08
SET: 184137.95
SET: 184043.05
SET: 183887.05
SET: 183851.42
SET: 183859.97
SET: 184045.11
SET: 184243.27
SET: 184440.38
SET: 184600.30
SET: 184680.22
SET: 184754.89
SET: 184835.58
SET: 184944.27
SET: 185045.28
SET: 185145.84
SET: 185137.28
SET: 185147.59
SET: 185098.44
SET: 185080.44
SET: 185105.58
SET: 185149.66
SET: 185239.25
SET: 185281.77
SET: 185312.72
SET: 185342.84
SET: 185381.28
SET: 185406.02
SET: 185436.47
SET: 185459.12
SET: 185464.80
SET: 185471.88
SET: 185429.48
SET: 185333.83
SET: 185209.61
SET: 185094.14
SET: 184984.44
SET: 184867.20
SET: 184740.39
SET: 184632.02
SET: 184525.22
SET: 184424.12
SET: 184286.61
SET: 184125.44
SET: 183967.52
SET: 183804.48
SET: 183617.77
SET: 183456.89
SET: 183296.20
SET: 183140.45
SET: 182975.92
SET: 182813.23
SET: 182662.34
SET: 182510.25
SET: 182486.97
SET: 182405.72
SET: 182303.83
SET: 182136.66
SET: 181943.94
SET: 181736.97
SET: 181521.38
SET: 181323.30
SET: 181117.03
SET: 180991.45
SET: 181106.42
SET: 181250.22
SET: 181375.27
SET: 181483.00
SET: 181623.31
SET: 181754.70
SET: 181871.25
SET: 181748.39
SET: 181622.41
SET: 181633.89
SET: 181683.31
SET: 181775.05
SET: 181828.19
SET: 181871.05
SET: 181908.16
SET: 181913.69
SET: 181981.86
SET: 182058.91
SET: 182129.47
SET: 182228.14
SET: 182365.70
SET: 182526.05
SET: 182611.27
SET: 182642.86
SET: 182682.94
SET: 182921.78
SET: 183180.42
SET: 183474.89
SET: 183754.88
SET: 184022.44
SET: 184308.50
SET: 184624.88
SET: 184903.52
SET: 185183.38
SET: 185462.61
SET: 185763.39
SET: 186088.91
SET: 186445.72
SET: 186809.83
SET: 187176.12
SET: 187606.52
SET: 187955.31
SET: 188302.14
SET: 188646.28
SET: 188978.80
SET: 189329.77
SET: 189673.55
SET: 190013.95
SET: 190351.81
SET: 190691.61
SET: 191040.28
SET: 191424.42
SET: 191787.42
SET: 192129.84
SET: 192534.78
SET: 192985.98
SET: 193432.56
SET: 193841.09
SET: 194204.06
SET: 194595.95
SET: 195040.55
SET: 195513.30
SET: 195994.70
====== SET ======
  20000000 requests completed in 102.02 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.00% <= 0.2 milliseconds
0.01% <= 0.3 milliseconds
5.18% <= 0.4 milliseconds
14.44% <= 0.5 milliseconds
38.18% <= 0.6 milliseconds
66.00% <= 0.7 milliseconds
77.86% <= 0.8 milliseconds
88.93% <= 0.9 milliseconds
95.66% <= 1.0 milliseconds
98.29% <= 1.1 milliseconds
99.05% <= 1.2 milliseconds
99.35% <= 1.3 milliseconds
99.46% <= 1.4 milliseconds
99.55% <= 1.5 milliseconds
99.61% <= 1.6 milliseconds
99.65% <= 1.7 milliseconds
99.67% <= 1.8 milliseconds
99.69% <= 1.9 milliseconds
99.71% <= 2 milliseconds
99.90% <= 3 milliseconds
99.95% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 10 milliseconds
196034.22 requests per second


