2023-11-24 14:54:02
SET: -nan
SET: 218080.00
SET: 216928.00
SET: 215008.00
SET: 214752.00
SET: 214713.59
SET: 214645.33
SET: 215259.42
SET: 215604.00
SET: 215157.33
SET: 215446.41
SET: 215424.00
SET: 215688.00
SET: 216046.77
SET: 216416.00
SET: 216264.53
SET: 216236.00
SET: 217048.47
SET: 214944.00
SET: 214853.05
SET: 215315.20
SET: 215539.81
SET: 216186.19
SET: 213549.91
SET: 209721.33
SET: 206205.44
SET: 203118.77
SET: 202312.30
SET: 202325.72
SET: 201682.77
SET: 200904.53
SET: 199884.39
SET: 198786.00
SET: 198215.75
SET: 197606.59
SET: 196993.83
SET: 197670.22
SET: 198244.33
SET: 198767.16
SET: 199249.23
SET: 199738.41
SET: 200119.42
SET: 199619.05
SET: 199701.58
SET: 199459.64
SET: 199293.16
SET: 198745.73
SET: 197806.30
SET: 196818.00
SET: 195927.52
SET: 194643.20
SET: 193426.83
SET: 192065.84
SET: 190834.11
SET: 189721.48
SET: 188477.09
SET: 187100.58
SET: 185793.12
SET: 184758.62
SET: 184390.52
SET: 184404.27
SET: 184461.64
SET: 184048.00
SET: 183756.19
SET: 183634.50
SET: 183540.19
SET: 183504.97
SET: 183771.70
SET: 183982.59
SET: 184153.05
SET: 184313.14
SET: 184449.36
SET: 184571.11
SET: 184807.89
SET: 185020.55
SET: 185231.36
SET: 185421.47
SET: 185585.88
SET: 185757.53
SET: 185903.39
SET: 186113.20
SET: 186322.17
SET: 186551.42
SET: 186573.88
SET: 186445.72
SET: 186250.55
SET: 186066.61
SET: 185904.55
SET: 185785.81
SET: 185639.19
SET: 185533.52
SET: 185420.31
SET: 185047.66
SET: 184641.72
SET: 184262.12
SET: 183878.06
SET: 183434.67
SET: 182983.92
SET: 182516.89
SET: 182640.81
SET: 182725.44
SET: 182785.91
SET: 182769.88
SET: 182794.56
SET: 182811.08
SET: 182619.12
SET: 182392.75
SET: 182173.31
SET: 181956.14
SET: 181724.19
SET: 181481.89
SET: 181218.89
SET: 180930.58
SET: 180664.08
SET: 180407.58
SET: 180407.38
SET: 180354.48
SET: 180341.88
SET: 180313.77
SET: 180276.17
SET: 180166.94
SET: 179889.45
SET: 179601.05
SET: 179311.88
SET: 179041.30
SET: 178739.20
SET: 178484.58
SET: 178296.69
SET: 178076.75
SET: 177890.73
SET: 177701.17
SET: 177724.09
SET: 177917.81
SET: 178104.06
SET: 178295.64
SET: 178594.38
SET: 178872.94
SET: 179180.38
SET: 179469.69
SET: 179762.19
SET: 180029.72
SET: 180271.89
SET: 180546.92
SET: 180803.80
SET: 180884.67
SET: 180960.00
SET: 180995.06
SET: 181115.64
SET: 181257.08
SET: 181217.72
SET: 181222.61
SET: 181214.73
SET: 181158.53
SET: 181082.56
SET: 180945.88
SET: 180746.33
SET: 180511.80
SET: 180156.73
SET: 179884.97
SET: 179668.12
SET: 179393.59
SET: 179084.92
SET: 178778.08
SET: 178930.84
SET: 179244.09
SET: 179613.86
SET: 179957.78
SET: 180314.83
SET: 180668.38
SET: 181003.92
SET: 181354.36
SET: 181282.06
SET: 180960.38
SET: 180646.84
SET: 180350.16
SET: 180070.41
SET: 179895.81
SET: 179690.12
SET: 179676.58
SET: 179644.42
SET: 179511.83
SET: 179515.05
SET: 179503.64
SET: 179495.69
SET: 179493.39
SET: 179491.62
SET: 179493.67
SET: 179492.62
SET: 179488.34
SET: 179486.81
SET: 179502.31
SET: 179509.95
SET: 179462.33
SET: 179417.20
SET: 179390.52
SET: 179464.86
SET: 179467.59
SET: 179462.98
SET: 179489.61
SET: 179516.94
SET: 179537.77
SET: 179626.34
SET: 179717.86
SET: 179785.14
SET: 179853.80
SET: 179995.78
SET: 180141.05
SET: 180214.88
SET: 180275.84
SET: 180369.30
SET: 180490.52
SET: 180620.73
SET: 180682.42
SET: 180842.81
SET: 181008.45
SET: 181142.03
SET: 181303.11
SET: 181481.00
SET: 181655.92
SET: 181825.47
SET: 181989.23
SET: 182118.95
SET: 182266.23
SET: 182407.03
SET: 182539.72
SET: 182655.00
SET: 182789.52
SET: 182934.27
SET: 183136.00
SET: 183008.70
SET: 182816.70
SET: 182624.97
SET: 182382.20
SET: 182142.91
SET: 181910.56
SET: 181724.59
SET: 181535.19
SET: 181365.88
SET: 181116.77
SET: 180839.77
SET: 180570.53
SET: 180295.70
SET: 180069.16
SET: 180165.53
SET: 180292.06
SET: 180402.67
SET: 180523.45
SET: 180574.31
SET: 180681.55
SET: 180782.66
SET: 180881.16
SET: 180910.16
SET: 180899.56
SET: 180871.08
SET: 180851.28
SET: 180933.89
SET: 181054.88
SET: 181192.72
SET: 181314.86
SET: 181410.22
SET: 181494.03
SET: 181569.34
SET: 181665.34
SET: 181789.33
SET: 181880.97
SET: 181916.14
SET: 181975.81
SET: 182047.52
SET: 182124.53
SET: 182100.94
SET: 182078.11
SET: 182089.20
SET: 182092.83
SET: 182065.34
SET: 182030.83
SET: 181960.61
SET: 181834.44
SET: 181671.39
SET: 181494.33
SET: 181310.28
SET: 181127.42
SET: 180940.53
SET: 180754.50
SET: 180568.31
SET: 180388.06
SET: 180199.19
SET: 180016.45
SET: 179815.25
SET: 179611.11
SET: 179414.92
SET: 179216.88
SET: 179013.61
SET: 178786.73
SET: 178785.42
SET: 178736.11
SET: 178631.81
SET: 178565.73
SET: 178486.09
SET: 178451.66
SET: 178357.30
SET: 178257.59
SET: 178156.55
SET: 178024.16
SET: 177879.88
SET: 177749.27
SET: 177584.98
SET: 177381.31
SET: 177217.23
SET: 177064.72
SET: 176903.55
SET: 176766.86
SET: 176691.23
SET: 176610.45
SET: 176536.64
SET: 176461.55
SET: 176384.00
SET: 176313.81
SET: 176240.25
SET: 176170.36
SET: 176172.64
SET: 176192.91
SET: 176205.75
SET: 176221.72
SET: 176241.83
SET: 176256.39
SET: 176276.38
SET: 176339.83
SET: 176415.50
SET: 176475.41
SET: 176502.36
SET: 176506.56
SET: 176534.61
SET: 176551.03
SET: 176544.58
SET: 176548.20
SET: 176554.31
SET: 176596.00
SET: 176638.56
SET: 176692.73
SET: 176581.00
SET: 176395.48
SET: 176210.30
SET: 176024.05
SET: 175855.39
SET: 175669.78
SET: 175495.44
SET: 175326.08
SET: 175153.84
SET: 174985.80
SET: 174814.69
SET: 174647.11
SET: 174480.75
SET: 174317.81
SET: 174156.69
SET: 173995.03
SET: 173835.02
SET: 173935.28
SET: 174058.48
SET: 174177.06
SET: 174289.64
SET: 174409.59
SET: 174540.12
SET: 174665.61
SET: 174801.86
SET: 174953.81
SET: 175109.66
SET: 175283.62
SET: 175488.64
SET: 175716.36
SET: 175977.80
SET: 176251.33
SET: 176522.42
SET: 176764.78
SET: 177018.56
SET: 177292.88
SET: 177553.61
SET: 177826.22
SET: 178093.83
SET: 178363.25
SET: 178623.47
SET: 178869.95
SET: 179152.84
SET: 179446.64
SET: 179781.95
SET: 180122.42
SET: 180469.67
SET: 180867.95
SET: 181232.48
SET: 181478.95
SET: 181723.08
SET: 181973.67
SET: 182226.66
SET: 182486.67
SET: 182742.53
SET: 182988.72
SET: 183215.83
SET: 183466.05
SET: 183742.64
SET: 184032.00
SET: 184379.98
SET: 184734.22
SET: 185145.73
SET: 185551.62
SET: 186101.28
SET: 186646.47
SET: 187210.70
SET: 187750.80
SET: 188322.34
SET: 188907.97
SET: 189371.88
SET: 189896.36
SET: 190422.64
SET: 190851.00
SET: 191509.80
SET: 192358.33
====== SET ======
  20000024 requests completed in 103.67 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.00% <= 0.2 milliseconds
0.04% <= 0.3 milliseconds
2.55% <= 0.4 milliseconds
15.40% <= 0.5 milliseconds
33.89% <= 0.6 milliseconds
61.34% <= 0.7 milliseconds
77.17% <= 0.8 milliseconds
85.87% <= 0.9 milliseconds
91.88% <= 1.0 milliseconds
96.43% <= 1.1 milliseconds
98.94% <= 1.2 milliseconds
99.34% <= 1.3 milliseconds
99.44% <= 1.4 milliseconds
99.52% <= 1.5 milliseconds
99.58% <= 1.6 milliseconds
99.63% <= 1.7 milliseconds
99.67% <= 1.8 milliseconds
99.69% <= 1.9 milliseconds
99.71% <= 2 milliseconds
99.89% <= 3 milliseconds
99.96% <= 4 milliseconds
99.98% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 12 milliseconds
192912.62 requests per second


