2023-11-24 14:54:02
SET: 0.00
SET: 235760.97
SET: 233980.05
SET: 224596.55
SET: 218325.67
SET: 214247.80
SET: 211560.28
SET: 210412.33
SET: 209867.08
SET: 208970.23
SET: 208287.89
SET: 207662.67
SET: 207248.25
SET: 206700.72
SET: 206674.67
SET: 206920.83
SET: 206904.28
SET: 206611.16
SET: 206482.12
SET: 206620.92
SET: 206406.72
SET: 206400.31
SET: 207319.41
SET: 207457.48
SET: 207453.42
SET: 208458.17
SET: 209388.09
SET: 209995.56
SET: 210645.34
SET: 211421.33
SET: 212048.53
SET: 212698.23
SET: 213163.34
SET: 213433.52
SET: 213983.28
SET: 214322.47
SET: 214247.30
SET: 214382.00
SET: 214408.58
SET: 214172.89
SET: 213772.22
SET: 213803.91
SET: 213642.89
SET: 213505.72
SET: 213553.67
SET: 213813.52
SET: 213824.19
SET: 214039.31
SET: 214184.81
SET: 214474.56
SET: 214627.30
SET: 214180.53
SET: 213844.47
SET: 213233.72
SET: 212408.56
SET: 211472.03
SET: 211155.77
SET: 211048.20
SET: 210652.50
SET: 210015.31
SET: 209884.14
SET: 209747.81
SET: 209211.27
SET: 208826.36
SET: 208652.47
SET: 208638.00
SET: 208586.64
SET: 208578.84
SET: 208490.33
SET: 208393.72
SET: 208327.30
SET: 208176.67
SET: 208251.11
SET: 208546.17
SET: 208303.12
SET: 207557.58
SET: 206830.80
SET: 206117.50
SET: 205431.94
SET: 204742.25
SET: 204169.80
SET: 203596.86
SET: 203046.88
SET: 202515.55
SET: 201945.44
SET: 201356.73
SET: 201004.98
SET: 201005.20
SET: 201301.41
SET: 201344.30
SET: 201373.81
SET: 201255.33
SET: 200799.62
SET: 200381.92
SET: 200078.64
SET: 199981.14
SET: 199920.34
SET: 199906.64
SET: 199996.73
SET: 199838.72
SET: 199814.41
SET: 199737.05
SET: 199494.30
SET: 199493.31
SET: 199726.78
SET: 200013.72
SET: 200332.67
SET: 200650.75
SET: 200976.56
SET: 201195.11
SET: 201315.73
SET: 201493.86
SET: 201711.66
SET: 201884.83
SET: 202134.39
SET: 202219.89
SET: 202400.75
SET: 202620.08
SET: 202867.44
SET: 203114.12
SET: 203132.70
SET: 202826.22
SET: 202535.00
SET: 202235.52
SET: 201931.30
SET: 201624.27
SET: 201324.66
SET: 201029.02
SET: 200698.98
SET: 200323.72
SET: 200022.66
SET: 200097.95
SET: 200220.12
SET: 200333.70
SET: 200356.05
SET: 200278.75
SET: 200239.06
SET: 200210.92
SET: 199942.97
SET: 199527.16
SET: 199117.75
SET: 198706.20
SET: 198318.70
SET: 197920.28
SET: 197512.52
SET: 197104.41
SET: 196752.09
SET: 196373.66
SET: 196025.84
SET: 195667.88
SET: 195383.81
SET: 195178.52
SET: 194952.14
SET: 194748.38
SET: 194508.20
SET: 194165.00
SET: 194048.36
SET: 193997.81
SET: 193896.47
SET: 193686.70
SET: 193722.36
SET: 193834.09
SET: 193972.50
SET: 194016.73
SET: 194008.92
SET: 194009.17
SET: 194015.19
SET: 194011.73
SET: 193907.19
SET: 193767.91
SET: 193620.30
SET: 193472.53
SET: 193303.78
SET: 193169.73
SET: 193037.22
SET: 192904.94
SET: 192997.44
SET: 193146.38
SET: 193292.38
SET: 193412.97
SET: 193522.45
SET: 193619.06
SET: 193702.47
SET: 193788.98
SET: 193895.78
SET: 194005.41
SET: 194117.64
SET: 194218.73
SET: 194307.19
SET: 194401.81
SET: 194508.08
SET: 194685.59
SET: 194866.61
SET: 195005.45
SET: 195143.69
SET: 195303.48
SET: 195467.20
SET: 195643.22
SET: 195822.80
SET: 196011.66
SET: 196209.84
SET: 196410.50
SET: 196606.33
SET: 196797.06
SET: 196988.30
SET: 197162.36
SET: 197346.84
SET: 197536.52
SET: 197712.05
SET: 197887.44
SET: 198044.23
SET: 198186.20
SET: 198302.98
SET: 198405.14
SET: 198536.86
SET: 198670.77
SET: 198805.50
SET: 198888.88
SET: 198978.52
SET: 199076.41
SET: 199122.20
SET: 199204.22
SET: 199285.92
SET: 199281.09
SET: 199378.58
SET: 199511.19
SET: 199640.08
SET: 199721.17
SET: 199840.14
SET: 199961.72
SET: 200095.03
SET: 200211.25
SET: 200322.89
SET: 200428.08
SET: 200552.88
SET: 200668.72
SET: 200721.61
SET: 200753.55
SET: 200673.73
SET: 200506.50
SET: 200441.33
SET: 200420.38
SET: 200312.98
SET: 200308.28
SET: 200331.14
SET: 200358.66
SET: 200369.69
SET: 200367.16
SET: 200355.48
SET: 200295.70
SET: 200196.22
SET: 200166.12
SET: 200167.62
SET: 200156.58
SET: 200116.78
SET: 200067.27
SET: 199966.38
SET: 199797.42
SET: 199604.72
SET: 199558.31
SET: 199576.75
SET: 199610.48
SET: 199591.45
SET: 199575.25
SET: 199579.77
SET: 199567.95
SET: 199569.94
SET: 199576.34
SET: 199572.67
SET: 199555.70
SET: 199517.88
SET: 199512.69
SET: 199506.02
SET: 199458.83
SET: 199435.45
SET: 199489.98
SET: 199552.47
SET: 199646.97
SET: 199739.86
SET: 199803.88
SET: 199842.75
SET: 199813.02
SET: 199769.53
SET: 199752.27
SET: 199755.39
SET: 199723.58
SET: 199604.94
SET: 199434.94
SET: 199273.91
SET: 199109.88
SET: 199036.38
SET: 199063.11
SET: 199092.72
SET: 199131.31
SET: 199215.25
SET: 199332.03
SET: 199423.47
SET: 199481.44
SET: 199317.27
SET: 199129.70
SET: 198911.48
SET: 198691.64
SET: 198488.50
SET: 198268.97
SET: 198006.38
SET: 197816.30
SET: 197694.81
SET: 197540.23
SET: 197381.27
SET: 197206.14
SET: 197019.44
SET: 196893.52
SET: 196750.14
SET: 196613.30
SET: 196420.69
SET: 196210.08
SET: 195997.22
SET: 195762.73
SET: 195500.31
SET: 195552.53
SET: 195639.72
SET: 195706.44
SET: 195764.30
SET: 195847.25
SET: 195937.30
SET: 195994.09
SET: 196053.50
SET: 196115.28
SET: 196162.92
SET: 196244.52
SET: 196320.47
SET: 196411.25
SET: 196491.16
SET: 196587.80
SET: 196680.88
SET: 196768.34
SET: 196839.88
SET: 196912.39
SET: 197008.62
SET: 197072.75
SET: 197133.78
SET: 197176.72
SET: 197220.16
SET: 197274.06
SET: 197334.92
SET: 197333.56
SET: 197144.45
SET: 197002.94
SET: 196862.22
SET: 196724.78
SET: 196588.33
SET: 196452.81
SET: 196310.98
SET: 196184.30
SET: 196056.14
SET: 196174.69
SET: 196327.91
SET: 196484.47
SET: 196604.67
SET: 196754.33
SET: 196917.39
SET: 197066.33
SET: 197219.92
SET: 197265.41
SET: 197111.69
SET: 196962.23
SET: 196868.86
SET: 197024.31
SET: 197315.86
SET: 197603.31
SET: 197907.12
SET: 198232.41
SET: 198508.81
SET: 198534.17
SET: 198812.81
SET: 199067.45
SET: 199463.53
SET: 199890.09
SET: 200273.94
SET: 200654.33
SET: 201039.28
SET: 201454.97
SET: 201900.30
SET: 202408.66
SET: 202963.02
SET: 203540.02
SET: 204217.48
SET: 204541.45
SET: 204785.00
SET: 205016.59
====== SET ======
  20000088 requests completed in 97.45 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.00% <= 0.2 milliseconds
0.42% <= 0.3 milliseconds
5.30% <= 0.4 milliseconds
10.67% <= 0.5 milliseconds
48.67% <= 0.6 milliseconds
77.21% <= 0.7 milliseconds
86.29% <= 0.8 milliseconds
94.68% <= 0.9 milliseconds
98.05% <= 1.0 milliseconds
98.88% <= 1.1 milliseconds
99.17% <= 1.2 milliseconds
99.31% <= 1.3 milliseconds
99.41% <= 1.4 milliseconds
99.51% <= 1.5 milliseconds
99.58% <= 1.6 milliseconds
99.63% <= 1.7 milliseconds
99.66% <= 1.8 milliseconds
99.68% <= 1.9 milliseconds
99.70% <= 2 milliseconds
99.88% <= 3 milliseconds
99.93% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 8 milliseconds
205225.92 requests per second


