2023-11-21 22:55:41
GET: nan
GET: 327008.00
GET: 250059.89
GET: 222924.11
GET: 209413.17
GET: 205092.66
GET: 202482.03
GET: 200525.11
GET: 202428.36
GET: 202112.73
GET: 199964.91
GET: 198868.34
GET: 198020.62
GET: 196598.09
GET: 196925.02
GET: 196422.67
GET: 194499.62
GET: 193648.11
GET: 193311.16
GET: 192852.28
GET: 191900.98
GET: 191986.31
GET: 193771.66
GET: 193147.42
GET: 192006.64
GET: 191105.42
GET: 190677.92
GET: 190130.45
GET: 190158.31
GET: 190298.86
GET: 190161.62
GET: 190508.44
GET: 190063.67
GET: 189559.62
GET: 189078.61
GET: 189032.31
GET: 189485.75
GET: 189648.64
GET: 189256.23
GET: 189228.98
GET: 189101.88
GET: 189086.72
GET: 189077.62
GET: 189225.05
GET: 189603.34
GET: 189633.33
GET: 189491.53
GET: 188899.44
GET: 188571.91
GET: 188257.16
GET: 188719.00
GET: 188624.12
GET: 188295.17
GET: 188270.92
GET: 188299.05
GET: 188395.84
GET: 188561.66
GET: 188893.16
GET: 188807.28
GET: 188580.25
GET: 188686.72
GET: 188761.36
GET: 188609.48
GET: 188635.83
GET: 188639.38
GET: 188897.91
GET: 188851.89
GET: 188905.00
GET: 188509.75
GET: 188508.39
GET: 188502.97
GET: 188441.00
GET: 188246.28
GET: 188075.28
GET: 187978.84
GET: 187878.16
GET: 187947.45
GET: 188250.23
GET: 188234.33
GET: 188177.98
GET: 188167.77
GET: 187997.25
GET: 187942.73
GET: 187898.38
GET: 188158.23
GET: 188134.95
GET: 188044.20
GET: 187872.22
GET: 187727.73
GET: 187753.98
GET: 187583.52
GET: 187717.95
GET: 187527.28
GET: 187546.09
GET: 187581.83
GET: 187503.50
GET: 187460.42
GET: 187301.30
GET: 187373.94
GET: 187246.66
GET: 187228.94
GET: 187100.11
GET: 186909.09
GET: 186839.95
GET: 186743.88
GET: 186802.38
GET: 186783.22
GET: 186828.91
GET: 186787.67
GET: 186697.94
GET: 186630.17
GET: 186632.41
GET: 186624.92
GET: 186695.03
GET: 186699.19
GET: 186718.53
GET: 186743.89
GET: 186646.19
GET: 186549.05
GET: 186600.44
GET: 186671.19
GET: 186700.64
GET: 186741.06
GET: 186642.42
GET: 186429.92
GET: 186366.03
GET: 186348.03
GET: 186428.97
GET: 186379.06
GET: 186366.09
GET: 186335.38
GET: 186247.80
GET: 186194.00
GET: 186256.81
GET: 186212.09
GET: 186121.62
GET: 186235.06
GET: 186149.92
GET: 186104.20
GET: 186098.73
GET: 186150.88
GET: 186129.98
GET: 186105.77
GET: 186209.06
GET: 186081.00
GET: 185917.45
GET: 185992.56
GET: 186014.02
GET: 185975.59
GET: 186001.39
GET: 185971.23
GET: 185889.41
GET: 185757.56
GET: 185781.36
GET: 185788.48
GET: 185757.78
GET: 185718.62
GET: 185673.89
GET: 185598.80
GET: 185603.42
GET: 185508.72
GET: 185708.78
GET: 185666.09
GET: 185670.98
GET: 185557.12
GET: 185484.94
GET: 185411.12
GET: 185332.83
GET: 185450.09
GET: 185542.70
GET: 185547.23
GET: 185569.61
GET: 185523.33
GET: 185506.41
GET: 185440.27
GET: 185530.67
GET: 185603.16
GET: 185549.69
GET: 185493.94
GET: 185425.25
GET: 185316.67
GET: 185281.33
GET: 185348.58
GET: 185372.66
GET: 185343.14
GET: 185426.77
GET: 185408.28
GET: 185374.27
GET: 185423.41
GET: 185665.52
GET: 185607.30
GET: 185675.70
GET: 185644.78
GET: 185566.52
GET: 185688.94
GET: 185727.50
GET: 185803.00
GET: 185836.02
GET: 185894.39
GET: 185886.64
GET: 185880.58
GET: 185870.92
GET: 185949.80
GET: 186014.06
GET: 185957.50
GET: 185938.61
GET: 185953.84
GET: 185989.66
GET: 186012.22
GET: 186056.59
GET: 186035.20
GET: 186014.81
GET: 186035.48
GET: 185943.69
GET: 185932.67
GET: 185828.11
GET: 185862.22
GET: 185860.28
GET: 185902.50
GET: 185956.58
GET: 186000.27
GET: 185922.81
GET: 185939.78
GET: 185900.72
GET: 185930.19
GET: 185959.84
GET: 185933.81
GET: 185887.70
GET: 185875.80
GET: 185825.33
GET: 185860.75
GET: 185848.80
GET: 185849.25
GET: 185813.06
GET: 185691.38
GET: 185608.44
GET: 185616.12
GET: 185669.31
GET: 185572.61
GET: 185545.42
GET: 185519.28
GET: 185524.52
GET: 185539.22
GET: 185539.34
GET: 185566.97
GET: 185601.02
GET: 185611.53
GET: 185559.86
GET: 185556.28
GET: 185519.23
GET: 185564.56
GET: 185499.50
GET: 185468.95
GET: 185510.41
GET: 185410.09
GET: 185373.86
GET: 185396.48
GET: 185474.88
GET: 185491.70
GET: 185504.47
GET: 185504.47
GET: 185429.52
GET: 185352.58
GET: 185297.12
GET: 185299.33
GET: 185358.72
GET: 185451.19
GET: 185427.08
GET: 185369.27
GET: 185326.98
GET: 185304.33
GET: 185378.30
GET: 185372.89
GET: 185322.08
GET: 185301.97
GET: 185288.98
GET: 185258.72
GET: 185308.19
GET: 185306.48
GET: 185267.31
GET: 185235.17
GET: 185230.78
GET: 185226.53
GET: 185229.66
GET: 185247.95
GET: 185268.59
GET: 185314.23
GET: 185309.77
GET: 185246.19
GET: 185241.77
GET: 185222.83
GET: 185316.06
GET: 185304.78
GET: 185249.30
GET: 185216.64
GET: 185157.47
GET: 185103.03
GET: 185091.14
GET: 185131.56
GET: 185092.08
GET: 185054.67
GET: 185122.86
GET: 185093.62
GET: 185092.56
GET: 185082.66
GET: 185132.12
GET: 185146.09
GET: 185088.73
GET: 185082.30
GET: 185089.67
GET: 185025.22
GET: 185076.81
GET: 185082.58
GET: 185083.41
GET: 185140.83
GET: 185077.95
GET: 185085.97
GET: 185004.61
GET: 185030.09
GET: 185046.94
GET: 185066.83
GET: 185064.50
GET: 185022.30
GET: 184986.48
GET: 184972.69
GET: 185003.33
GET: 185064.08
GET: 185027.20
GET: 184981.20
GET: 184932.83
GET: 184898.34
GET: 184890.80
GET: 184907.36
GET: 184936.31
GET: 184886.39
GET: 184826.88
GET: 184823.38
GET: 184780.16
GET: 184779.27
GET: 184785.27
GET: 184798.66
GET: 184819.38
GET: 184815.02
GET: 184812.81
GET: 184788.88
GET: 184795.86
GET: 184844.19
GET: 184847.83
GET: 184817.48
GET: 184775.66
GET: 184815.36
GET: 184785.27
GET: 184757.89
GET: 184766.80
GET: 184792.80
GET: 184749.25
GET: 184773.45
GET: 184768.16
GET: 184744.48
GET: 184768.50
GET: 184802.23
GET: 184855.62
GET: 184869.78
GET: 184821.59
GET: 184792.91
GET: 184761.67
GET: 184747.27
GET: 184734.00
GET: 184728.70
GET: 184693.56
GET: 184695.48
GET: 184655.53
GET: 184621.45
GET: 184584.56
GET: 184576.00
GET: 184560.23
GET: 184526.27
GET: 184556.08
GET: 184526.19
GET: 184556.02
GET: 184589.70
GET: 184591.69
GET: 184572.39
GET: 184575.41
GET: 184546.45
GET: 184520.45
GET: 184543.28
GET: 184582.03
GET: 184583.56
GET: 184609.67
GET: 184586.64
GET: 184569.94
GET: 184546.14
GET: 184543.12
GET: 184556.84
GET: 184553.41
GET: 184579.77
GET: 184606.09
GET: 184573.17
GET: 184555.06
GET: 184569.58
GET: 184668.92
GET: 184708.77
GET: 184673.30
GET: 184710.23
GET: 184714.41
GET: 184726.03
GET: 184760.53
GET: 184838.66
GET: 184799.25
GET: 184807.58
GET: 184815.66
GET: 184805.38
GET: 184811.86
GET: 184852.75
GET: 184920.64
GET: 184934.25
GET: 184953.62
GET: 185019.80
GET: 185064.58
GET: 185067.91
GET: 185215.78
GET: 185282.52
GET: 185380.20
GET: 185465.08
GET: 185753.36
GET: 186235.52
GET: 186621.70
====== GET ======
  20000024 requests completed in 107.02 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.34% <= 0.2 milliseconds
2.35% <= 0.3 milliseconds
6.71% <= 0.4 milliseconds
11.30% <= 0.5 milliseconds
16.55% <= 0.6 milliseconds
23.40% <= 0.7 milliseconds
32.15% <= 0.8 milliseconds
41.70% <= 0.9 milliseconds
50.81% <= 1.0 milliseconds
58.72% <= 1.1 milliseconds
65.32% <= 1.2 milliseconds
70.70% <= 1.3 milliseconds
75.05% <= 1.4 milliseconds
78.59% <= 1.5 milliseconds
81.50% <= 1.6 milliseconds
83.89% <= 1.7 milliseconds
85.88% <= 1.8 milliseconds
87.53% <= 1.9 milliseconds
88.93% <= 2 milliseconds
95.98% <= 3 milliseconds
98.24% <= 4 milliseconds
99.16% <= 5 milliseconds
99.60% <= 6 milliseconds
99.78% <= 7 milliseconds
99.88% <= 8 milliseconds
99.94% <= 9 milliseconds
99.98% <= 10 milliseconds
99.99% <= 11 milliseconds
99.99% <= 12 milliseconds
99.99% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 15 milliseconds
186884.67 requests per second


