2023-11-21 22:55:41
GET: nan
GET: 299584.00
GET: 264144.00
GET: 236224.00
GET: 218376.00
GET: 209926.41
GET: 209925.33
GET: 205642.48
GET: 204497.77
GET: 203767.22
GET: 201876.14
GET: 202656.02
GET: 202405.59
GET: 203265.91
GET: 203459.89
GET: 202632.56
GET: 202711.98
GET: 201269.70
GET: 199969.81
GET: 198443.09
GET: 197094.55
GET: 196625.17
GET: 197028.53
GET: 195744.91
GET: 194547.20
GET: 193542.20
GET: 192533.66
GET: 191737.12
GET: 190617.58
GET: 190085.42
GET: 190180.08
GET: 190547.05
GET: 189513.80
GET: 188872.27
GET: 188269.36
GET: 187821.44
GET: 187552.00
GET: 187345.50
GET: 187844.78
GET: 188056.16
GET: 187926.88
GET: 187777.38
GET: 187646.41
GET: 187575.80
GET: 187586.89
GET: 187760.91
GET: 188147.00
GET: 188409.83
GET: 188238.12
GET: 188350.06
GET: 188330.28
GET: 187930.11
GET: 187856.44
GET: 187919.17
GET: 188629.95
GET: 188741.75
GET: 188743.94
GET: 188640.27
GET: 188553.17
GET: 188731.83
GET: 188815.03
GET: 189101.50
GET: 189379.23
GET: 189273.11
GET: 189152.98
GET: 188879.98
GET: 188667.56
GET: 188411.36
GET: 188308.41
GET: 188358.16
GET: 188443.06
GET: 188622.28
GET: 188791.20
GET: 188691.50
GET: 188656.69
GET: 188403.34
GET: 188684.84
GET: 188589.22
GET: 188539.88
GET: 188474.78
GET: 188331.02
GET: 188057.41
GET: 187838.81
GET: 187512.62
GET: 187327.02
GET: 187342.52
GET: 187399.27
GET: 187212.56
GET: 187325.00
GET: 187200.06
GET: 187127.97
GET: 187259.42
GET: 187160.11
GET: 187237.53
GET: 187350.36
GET: 187234.45
GET: 187250.41
GET: 187111.03
GET: 187034.31
GET: 186944.62
GET: 186950.69
GET: 186993.34
GET: 187182.45
GET: 187198.44
GET: 187272.83
GET: 187094.67
GET: 186983.48
GET: 186817.70
GET: 186831.67
GET: 186671.16
GET: 186587.64
GET: 186891.42
GET: 186753.50
GET: 186559.77
GET: 186507.25
GET: 186471.31
GET: 186320.81
GET: 186101.61
GET: 186042.52
GET: 186275.66
GET: 186359.44
GET: 186447.38
GET: 186479.92
GET: 186485.50
GET: 186453.89
GET: 186347.62
GET: 186188.62
GET: 186347.03
GET: 186347.12
GET: 186275.38
GET: 186169.66
GET: 185954.81
GET: 185878.48
GET: 185817.53
GET: 185760.53
GET: 185928.81
GET: 185829.59
GET: 185773.58
GET: 185750.73
GET: 185722.77
GET: 185810.67
GET: 185784.48
GET: 185764.28
GET: 185768.50
GET: 185829.91
GET: 185747.22
GET: 185706.33
GET: 185671.70
GET: 185572.75
GET: 185558.58
GET: 185513.05
GET: 185643.34
GET: 185844.06
GET: 185850.41
GET: 185860.77
GET: 185793.11
GET: 185803.91
GET: 185783.47
GET: 185738.42
GET: 185751.62
GET: 185795.77
GET: 185741.56
GET: 185693.73
GET: 185626.50
GET: 185609.58
GET: 185578.14
GET: 185661.45
GET: 185567.69
GET: 185612.36
GET: 185632.53
GET: 185588.72
GET: 185650.45
GET: 185616.34
GET: 185609.42
GET: 185693.86
GET: 185736.42
GET: 185750.91
GET: 185802.19
GET: 185808.95
GET: 185807.61
GET: 185878.16
GET: 185880.69
GET: 185965.89
GET: 186045.62
GET: 186056.89
GET: 186041.98
GET: 185979.81
GET: 185930.95
GET: 185968.81
GET: 186081.34
GET: 186123.56
GET: 186213.69
GET: 186254.45
GET: 186202.53
GET: 186236.73
GET: 186161.27
GET: 186148.95
GET: 186232.80
GET: 186325.17
GET: 186396.59
GET: 186496.64
GET: 186463.09
GET: 186466.89
GET: 186526.34
GET: 186532.31
GET: 186498.86
GET: 186573.94
GET: 186586.06
GET: 186648.02
GET: 186696.98
GET: 186631.36
GET: 186597.84
GET: 186576.41
GET: 186518.11
GET: 186483.20
GET: 186491.30
GET: 186533.19
GET: 186464.53
GET: 186545.91
GET: 186513.28
GET: 186529.47
GET: 186557.81
GET: 186568.77
GET: 186526.88
GET: 186500.05
GET: 186449.45
GET: 186445.84
GET: 186379.33
GET: 186317.27
GET: 186315.27
GET: 186285.19
GET: 186337.03
GET: 186415.14
GET: 186415.62
GET: 186375.94
GET: 186351.75
GET: 186334.08
GET: 186275.97
GET: 186228.00
GET: 186235.94
GET: 186310.55
GET: 186302.03
GET: 186251.05
GET: 186214.73
GET: 186204.48
GET: 186240.25
GET: 186209.45
GET: 186212.03
GET: 186125.92
GET: 186138.83
GET: 186108.30
GET: 186112.52
GET: 186094.20
GET: 186068.25
GET: 186038.91
GET: 186058.75
GET: 186096.30
GET: 186076.59
GET: 186050.95
GET: 186068.84
GET: 186078.59
GET: 186069.27
GET: 185990.30
GET: 186063.06
GET: 186108.89
GET: 186009.28
GET: 185998.48
GET: 185965.16
GET: 185940.06
GET: 185895.42
GET: 185850.75
GET: 185907.73
GET: 185970.17
GET: 186008.62
GET: 186018.58
GET: 186004.38
GET: 186046.00
GET: 185993.05
GET: 185974.16
GET: 185967.55
GET: 186022.28
GET: 186099.95
GET: 186136.83
GET: 186190.84
GET: 186188.31
GET: 186181.09
GET: 186181.05
GET: 186274.81
GET: 186309.09
GET: 186317.59
GET: 186359.22
GET: 186348.92
GET: 186359.48
GET: 186300.83
GET: 186284.86
GET: 186269.64
GET: 186302.16
GET: 186288.92
GET: 186265.80
GET: 186303.14
GET: 186239.00
GET: 186244.09
GET: 186255.52
GET: 186272.12
GET: 186351.42
GET: 186327.05
GET: 186341.59
GET: 186351.69
GET: 186279.59
GET: 186276.47
GET: 186235.83
GET: 186239.64
GET: 186308.30
GET: 186359.95
GET: 186398.27
GET: 186373.92
GET: 186323.92
GET: 186337.97
GET: 186340.58
GET: 186400.50
GET: 186449.14
GET: 186486.73
GET: 186492.72
GET: 186525.98
GET: 186522.73
GET: 186556.89
GET: 186611.03
GET: 186641.38
GET: 186706.53
GET: 186728.53
GET: 186734.89
GET: 186721.62
GET: 186704.86
GET: 186672.45
GET: 186696.72
GET: 186714.53
GET: 186718.45
GET: 186754.80
GET: 186771.05
GET: 186773.92
GET: 186794.36
GET: 186777.36
GET: 186722.00
GET: 186758.72
GET: 186779.33
GET: 186855.42
GET: 186878.41
GET: 186934.89
GET: 186943.45
GET: 186889.69
GET: 186870.75
GET: 186903.69
GET: 186873.11
GET: 186906.81
GET: 186904.20
GET: 186911.25
GET: 186904.88
GET: 186847.47
GET: 186823.53
GET: 186795.20
GET: 186819.86
GET: 186868.64
GET: 186900.38
GET: 186899.44
GET: 186866.36
GET: 186839.59
GET: 186832.64
GET: 186846.00
GET: 186830.45
GET: 186828.52
GET: 186794.27
GET: 186818.11
GET: 186838.30
GET: 186818.95
GET: 186809.55
GET: 186845.02
GET: 186874.19
GET: 186901.97
GET: 186913.84
GET: 186897.73
GET: 186897.17
GET: 186868.69
GET: 186854.16
GET: 186809.89
GET: 186784.75
GET: 186763.23
GET: 186802.47
GET: 186808.36
GET: 186801.70
GET: 186828.05
GET: 186843.17
GET: 186871.41
GET: 186873.77
GET: 186925.02
GET: 186928.48
GET: 186932.33
GET: 186927.80
GET: 186880.73
GET: 186834.14
GET: 186843.92
GET: 186838.73
GET: 186900.70
GET: 186940.23
GET: 186966.42
GET: 186921.58
GET: 186949.42
GET: 186984.53
GET: 187003.75
GET: 187070.25
GET: 187104.42
GET: 187101.77
GET: 187126.66
GET: 187109.08
GET: 187155.58
GET: 187127.42
GET: 187164.27
GET: 187192.48
GET: 187259.20
GET: 187347.09
GET: 187413.58
GET: 187466.52
GET: 187569.16
GET: 187622.11
GET: 187812.30
GET: 188047.55
====== GET ======
  20000040 requests completed in 106.26 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.23% <= 0.2 milliseconds
2.25% <= 0.3 milliseconds
7.36% <= 0.4 milliseconds
12.49% <= 0.5 milliseconds
18.09% <= 0.6 milliseconds
25.03% <= 0.7 milliseconds
33.70% <= 0.8 milliseconds
43.08% <= 0.9 milliseconds
52.06% <= 1.0 milliseconds
59.93% <= 1.1 milliseconds
66.45% <= 1.2 milliseconds
71.63% <= 1.3 milliseconds
75.83% <= 1.4 milliseconds
79.27% <= 1.5 milliseconds
82.08% <= 1.6 milliseconds
84.40% <= 1.7 milliseconds
86.33% <= 1.8 milliseconds
87.93% <= 1.9 milliseconds
89.30% <= 2 milliseconds
96.07% <= 3 milliseconds
98.24% <= 4 milliseconds
99.18% <= 5 milliseconds
99.59% <= 6 milliseconds
99.78% <= 7 milliseconds
99.87% <= 8 milliseconds
99.92% <= 9 milliseconds
99.96% <= 10 milliseconds
99.98% <= 11 milliseconds
99.98% <= 12 milliseconds
99.99% <= 13 milliseconds
99.99% <= 14 milliseconds
100.00% <= 16 milliseconds
100.00% <= 21 milliseconds
100.00% <= 22 milliseconds
100.00% <= 23 milliseconds
100.00% <= 23 milliseconds
188209.09 requests per second


