2023-11-21 22:55:41
GET: nan
GET: 302560.00
GET: 273243.03
GET: 247914.91
GET: 237900.20
GET: 226815.64
GET: 220391.22
GET: 218007.98
GET: 217917.12
GET: 216685.31
GET: 216652.02
GET: 217653.47
GET: 215062.27
GET: 213592.38
GET: 213101.91
GET: 211295.50
GET: 209826.64
GET: 207913.48
GET: 206219.86
GET: 206189.31
GET: 203440.44
GET: 202958.50
GET: 202405.52
GET: 201672.56
GET: 200353.09
GET: 200372.23
GET: 199303.81
GET: 198765.77
GET: 198097.31
GET: 197229.38
GET: 196320.64
GET: 195677.31
GET: 195124.09
GET: 194326.39
GET: 193501.28
GET: 192849.31
GET: 192281.45
GET: 191476.45
GET: 191048.58
GET: 191013.94
GET: 190637.36
GET: 190144.25
GET: 189941.00
GET: 189427.50
GET: 189195.53
GET: 188939.53
GET: 189008.08
GET: 188835.64
GET: 188627.09
GET: 188211.73
GET: 187874.36
GET: 187656.14
GET: 187570.52
GET: 187401.86
GET: 187563.92
GET: 187304.42
GET: 186856.05
GET: 186440.22
GET: 186364.56
GET: 186516.19
GET: 186583.00
GET: 186365.09
GET: 186055.19
GET: 186026.14
GET: 186014.36
GET: 185927.20
GET: 185864.59
GET: 186060.12
GET: 186064.66
GET: 186046.34
GET: 185901.11
GET: 185632.06
GET: 185564.56
GET: 185501.02
GET: 185631.98
GET: 185378.31
GET: 185097.59
GET: 185016.08
GET: 184654.64
GET: 184861.27
GET: 185020.38
GET: 184800.55
GET: 184526.41
GET: 184486.17
GET: 184314.42
GET: 184096.30
GET: 184063.95
GET: 184123.48
GET: 184115.91
GET: 184062.52
GET: 183775.12
GET: 183748.44
GET: 183611.45
GET: 183599.47
GET: 183676.86
GET: 183499.19
GET: 183341.19
GET: 183338.09
GET: 183323.95
GET: 183232.92
GET: 183144.66
GET: 183005.19
GET: 182932.81
GET: 182938.55
GET: 182946.30
GET: 182865.72
GET: 182797.09
GET: 182759.92
GET: 182882.34
GET: 182921.91
GET: 182944.47
GET: 182861.59
GET: 182762.17
GET: 182801.95
GET: 182854.22
GET: 182683.53
GET: 182744.73
GET: 182818.83
GET: 182772.75
GET: 182773.92
GET: 182790.25
GET: 182972.73
GET: 182977.05
GET: 182797.28
GET: 182788.41
GET: 182743.64
GET: 182662.56
GET: 182583.77
GET: 182640.98
GET: 182654.23
GET: 182633.84
GET: 182642.55
GET: 182578.75
GET: 182528.62
GET: 182540.08
GET: 182634.44
GET: 182667.95
GET: 182655.50
GET: 182498.64
GET: 182502.53
GET: 182470.08
GET: 182527.59
GET: 182617.84
GET: 182551.52
GET: 182519.88
GET: 182589.58
GET: 182623.30
GET: 182432.44
GET: 182439.12
GET: 182598.00
GET: 182556.64
GET: 182553.62
GET: 182521.30
GET: 182542.44
GET: 182544.62
GET: 182427.45
GET: 182510.48
GET: 182544.19
GET: 182556.22
GET: 182575.53
GET: 182559.06
GET: 182499.72
GET: 182553.94
GET: 182655.17
GET: 182724.34
GET: 182785.17
GET: 182718.95
GET: 182721.83
GET: 182664.38
GET: 182624.44
GET: 182654.50
GET: 182589.86
GET: 182620.34
GET: 182594.75
GET: 182604.84
GET: 182500.14
GET: 182503.02
GET: 182698.69
GET: 182745.66
GET: 182776.75
GET: 182853.48
GET: 182872.88
GET: 182789.88
GET: 182687.86
GET: 182680.91
GET: 182697.70
GET: 182676.52
GET: 182603.27
GET: 182585.02
GET: 182589.28
GET: 182669.53
GET: 182676.34
GET: 182709.06
GET: 182697.86
GET: 182652.67
GET: 182651.20
GET: 182598.73
GET: 182634.92
GET: 182698.45
GET: 182705.20
GET: 182729.89
GET: 182697.08
GET: 182718.23
GET: 182726.91
GET: 182688.95
GET: 182770.83
GET: 182873.73
GET: 182866.52
GET: 182835.23
GET: 182782.39
GET: 182732.36
GET: 182751.23
GET: 182774.59
GET: 182771.19
GET: 182720.78
GET: 182753.92
GET: 182834.84
GET: 182829.61
GET: 182795.72
GET: 182809.67
GET: 182845.73
GET: 182864.69
GET: 182830.06
GET: 182867.27
GET: 182836.78
GET: 182870.64
GET: 182907.73
GET: 182898.45
GET: 182861.80
GET: 182907.80
GET: 182936.58
GET: 182950.58
GET: 182957.19
GET: 183041.25
GET: 183032.78
GET: 183006.42
GET: 183018.08
GET: 182974.34
GET: 182901.97
GET: 182959.53
GET: 182983.84
GET: 182906.36
GET: 182925.27
GET: 182972.30
GET: 182968.42
GET: 182945.36
GET: 182958.61
GET: 182950.14
GET: 182951.53
GET: 182939.44
GET: 182908.39
GET: 182918.08
GET: 182858.59
GET: 182913.50
GET: 182925.06
GET: 182877.02
GET: 182831.34
GET: 182801.69
GET: 182821.08
GET: 182796.98
GET: 182826.44
GET: 182814.03
GET: 182805.27
GET: 182777.47
GET: 182746.88
GET: 182750.02
GET: 182740.08
GET: 182782.61
GET: 182788.84
GET: 182727.05
GET: 182685.11
GET: 182694.56
GET: 182639.55
GET: 182629.80
GET: 182613.09
GET: 182669.84
GET: 182613.41
GET: 182565.58
GET: 182557.16
GET: 182494.05
GET: 182457.88
GET: 182476.33
GET: 182461.44
GET: 182517.58
GET: 182457.98
GET: 182387.58
GET: 182315.20
GET: 182304.59
GET: 182338.44
GET: 182307.12
GET: 182313.84
GET: 182293.70
GET: 182314.75
GET: 182308.16
GET: 182328.69
GET: 182349.09
GET: 182343.33
GET: 182368.27
GET: 182389.61
GET: 182395.84
GET: 182364.33
GET: 182422.53
GET: 182496.64
GET: 182515.83
GET: 182517.14
GET: 182512.06
GET: 182486.58
GET: 182425.50
GET: 182472.95
GET: 182410.23
GET: 182435.36
GET: 182459.61
GET: 182425.09
GET: 182441.97
GET: 182448.75
GET: 182464.02
GET: 182427.41
GET: 182401.72
GET: 182417.39
GET: 182393.39
GET: 182346.56
GET: 182336.38
GET: 182368.44
GET: 182350.42
GET: 182369.61
GET: 182375.33
GET: 182338.64
GET: 182332.08
GET: 182286.30
GET: 182297.16
GET: 182284.00
GET: 182302.89
GET: 182267.95
GET: 182277.17
GET: 182274.00
GET: 182269.33
GET: 182266.00
GET: 182255.11
GET: 182256.11
GET: 182267.56
GET: 182272.84
GET: 182268.72
GET: 182233.48
GET: 182249.72
GET: 182218.56
GET: 182197.41
GET: 182234.67
GET: 182226.53
GET: 182193.23
GET: 182169.28
GET: 182214.41
GET: 182222.59
GET: 182252.61
GET: 182270.05
GET: 182299.48
GET: 182276.56
GET: 182305.38
GET: 182347.80
GET: 182357.14
GET: 182347.91
GET: 182341.05
GET: 182343.50
GET: 182317.34
GET: 182296.97
GET: 182328.69
GET: 182366.02
GET: 182375.19
GET: 182412.98
GET: 182401.41
GET: 182378.27
GET: 182342.31
GET: 182366.84
GET: 182374.41
GET: 182355.53
GET: 182320.88
GET: 182298.75
GET: 182282.27
GET: 182287.44
GET: 182351.59
GET: 182331.66
GET: 182332.33
GET: 182313.31
GET: 182302.52
GET: 182249.36
GET: 182307.86
GET: 182332.33
GET: 182328.70
GET: 182305.67
GET: 182307.73
GET: 182280.86
GET: 182251.58
GET: 182255.14
GET: 182283.39
GET: 182267.42
GET: 182267.38
GET: 182243.59
GET: 182257.55
GET: 182215.88
GET: 182225.09
GET: 182272.72
GET: 182297.89
GET: 182244.11
GET: 182239.25
GET: 182218.00
GET: 182209.59
GET: 182215.83
GET: 182228.88
GET: 182222.98
GET: 182232.66
GET: 182190.64
GET: 182164.95
GET: 182183.95
GET: 182211.06
GET: 182196.58
GET: 182208.81
GET: 182242.39
GET: 182256.30
GET: 182249.66
GET: 182319.69
GET: 182419.97
GET: 182501.88
GET: 182601.86
GET: 182658.27
GET: 182800.55
GET: 182987.78
GET: 183223.16
GET: 183409.19
GET: 183605.20
GET: 183821.81
GET: 184093.06
GET: 184414.14
GET: 184703.31
====== GET ======
  20000000 requests completed in 108.11 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.18% <= 0.2 milliseconds
1.77% <= 0.3 milliseconds
6.23% <= 0.4 milliseconds
10.59% <= 0.5 milliseconds
15.42% <= 0.6 milliseconds
22.15% <= 0.7 milliseconds
30.66% <= 0.8 milliseconds
40.27% <= 0.9 milliseconds
49.85% <= 1.0 milliseconds
58.37% <= 1.1 milliseconds
65.37% <= 1.2 milliseconds
70.85% <= 1.3 milliseconds
75.20% <= 1.4 milliseconds
78.73% <= 1.5 milliseconds
81.64% <= 1.6 milliseconds
84.05% <= 1.7 milliseconds
86.04% <= 1.8 milliseconds
87.69% <= 1.9 milliseconds
89.07% <= 2 milliseconds
95.91% <= 3 milliseconds
98.14% <= 4 milliseconds
99.14% <= 5 milliseconds
99.59% <= 6 milliseconds
99.78% <= 7 milliseconds
99.88% <= 8 milliseconds
99.94% <= 9 milliseconds
99.97% <= 10 milliseconds
99.98% <= 11 milliseconds
99.98% <= 12 milliseconds
99.99% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
100.00% <= 22 milliseconds
100.00% <= 23 milliseconds
100.00% <= 24 milliseconds
100.00% <= 25 milliseconds
100.00% <= 26 milliseconds
100.00% <= 26 milliseconds
185005.31 requests per second


