2023-11-21 22:55:41
GET: nan
GET: 271104.00
GET: 238640.00
GET: 220288.00
GET: 216976.00
GET: 214080.00
GET: 211133.91
GET: 207876.64
GET: 206860.58
GET: 206038.22
GET: 205588.17
GET: 205458.39
GET: 205299.58
GET: 204746.86
GET: 204234.22
GET: 202932.56
GET: 202503.38
GET: 201666.59
GET: 200731.47
GET: 200396.97
GET: 199175.39
GET: 197875.19
GET: 196428.62
GET: 195777.62
GET: 195497.83
GET: 195388.75
GET: 194633.88
GET: 194350.16
GET: 193900.95
GET: 193404.44
GET: 193035.83
GET: 193219.03
GET: 193392.78
GET: 192853.58
GET: 192255.80
GET: 191479.28
GET: 190864.00
GET: 190418.50
GET: 190193.33
GET: 189663.22
GET: 188808.64
GET: 188391.14
GET: 188306.47
GET: 188616.91
GET: 188534.56
GET: 188860.27
GET: 189415.14
GET: 189067.95
GET: 188925.80
GET: 188632.78
GET: 188639.97
GET: 188515.17
GET: 188350.89
GET: 188098.06
GET: 187604.06
GET: 187232.69
GET: 186919.11
GET: 187101.36
GET: 187265.19
GET: 187294.20
GET: 187168.97
GET: 187113.19
GET: 187095.50
GET: 186724.55
GET: 186423.62
GET: 186350.94
GET: 186487.84
GET: 186521.39
GET: 186316.88
GET: 186188.77
GET: 186104.97
GET: 186211.83
GET: 186209.55
GET: 186142.06
GET: 185984.66
GET: 185752.23
GET: 185754.86
GET: 185720.45
GET: 185688.56
GET: 185886.23
GET: 185966.52
GET: 185899.61
GET: 185855.31
GET: 185690.78
GET: 185717.89
GET: 185732.67
GET: 185836.38
GET: 185928.78
GET: 185892.70
GET: 185916.28
GET: 185933.38
GET: 185616.94
GET: 185558.36
GET: 185670.91
GET: 185740.23
GET: 185891.59
GET: 185923.88
GET: 185885.92
GET: 185843.84
GET: 185873.05
GET: 185838.33
GET: 185805.89
GET: 185801.05
GET: 185743.52
GET: 185534.25
GET: 185555.28
GET: 185607.61
GET: 185582.12
GET: 185619.31
GET: 185563.67
GET: 185572.73
GET: 185582.42
GET: 185509.20
GET: 185418.23
GET: 185687.47
GET: 185668.30
GET: 185653.38
GET: 185538.39
GET: 185544.88
GET: 185531.05
GET: 185457.81
GET: 185437.58
GET: 185457.78
GET: 185459.20
GET: 185631.25
GET: 185632.53
GET: 185614.52
GET: 185585.95
GET: 185659.52
GET: 185668.22
GET: 185609.09
GET: 185620.73
GET: 185463.61
GET: 185371.11
GET: 185436.30
GET: 185590.05
GET: 185714.27
GET: 185746.34
GET: 185812.25
GET: 185804.23
GET: 185752.06
GET: 185713.11
GET: 185772.44
GET: 185668.38
GET: 185610.12
GET: 185659.67
GET: 185784.98
GET: 185785.67
GET: 185810.36
GET: 185911.22
GET: 185857.98
GET: 185918.80
GET: 185901.97
GET: 185855.28
GET: 185828.70
GET: 185800.42
GET: 185763.06
GET: 185776.31
GET: 185744.23
GET: 185773.89
GET: 185760.98
GET: 185726.62
GET: 185726.62
GET: 185781.95
GET: 185747.08
GET: 185776.80
GET: 185814.44
GET: 185813.73
GET: 185762.03
GET: 185770.53
GET: 185806.77
GET: 185787.42
GET: 185825.38
GET: 185796.53
GET: 185718.05
GET: 185557.88
GET: 185573.38
GET: 185523.31
GET: 185569.72
GET: 185610.80
GET: 185723.48
GET: 185713.61
GET: 185727.92
GET: 185797.69
GET: 185651.36
GET: 185634.33
GET: 185681.41
GET: 185670.72
GET: 185641.42
GET: 185593.33
GET: 185744.31
GET: 185658.33
GET: 185672.67
GET: 185649.11
GET: 185592.16
GET: 185625.81
GET: 185634.00
GET: 185752.14
GET: 185779.31
GET: 185714.14
GET: 185744.91
GET: 185706.48
GET: 185535.48
GET: 185438.62
GET: 185558.53
GET: 185568.25
GET: 185579.58
GET: 185549.25
GET: 185555.33
GET: 185587.06
GET: 185635.08
GET: 185745.84
GET: 185753.14
GET: 185774.64
GET: 185744.94
GET: 185754.22
GET: 185752.03
GET: 185683.41
GET: 185687.42
GET: 185722.80
GET: 185657.41
GET: 185653.69
GET: 185647.53
GET: 185531.75
GET: 185486.95
GET: 185601.19
GET: 185628.92
GET: 185594.14
GET: 185551.81
GET: 185500.36
GET: 185453.11
GET: 185476.73
GET: 185526.58
GET: 185512.06
GET: 185438.39
GET: 185471.59
GET: 185460.62
GET: 185476.86
GET: 185449.03
GET: 185533.00
GET: 185532.22
GET: 185527.44
GET: 185501.05
GET: 185567.64
GET: 185582.28
GET: 185631.03
GET: 185684.20
GET: 185701.98
GET: 185737.33
GET: 185692.47
GET: 185702.33
GET: 185725.62
GET: 185732.30
GET: 185704.45
GET: 185690.55
GET: 185622.59
GET: 185625.38
GET: 185623.30
GET: 185644.00
GET: 185664.94
GET: 185712.77
GET: 185722.75
GET: 185759.86
GET: 185767.38
GET: 185758.75
GET: 185730.25
GET: 185683.73
GET: 185751.44
GET: 185700.30
GET: 185741.39
GET: 185801.97
GET: 185789.42
GET: 185809.89
GET: 185814.27
GET: 185766.34
GET: 185781.80
GET: 185819.67
GET: 185740.17
GET: 185671.94
GET: 185665.61
GET: 185679.64
GET: 185769.47
GET: 185754.25
GET: 185780.47
GET: 185714.66
GET: 185707.75
GET: 185660.09
GET: 185723.05
GET: 185718.28
GET: 185752.61
GET: 185690.12
GET: 185664.77
GET: 185625.97
GET: 185659.48
GET: 185670.80
GET: 185766.25
GET: 185714.98
GET: 185750.33
GET: 185818.59
GET: 185843.95
GET: 185855.92
GET: 185861.77
GET: 185937.97
GET: 185975.89
GET: 185981.81
GET: 185948.48
GET: 185909.84
GET: 185896.14
GET: 185940.02
GET: 185976.58
GET: 185978.97
GET: 185896.55
GET: 185916.30
GET: 185871.88
GET: 185874.78
GET: 185889.23
GET: 185874.05
GET: 185809.61
GET: 185730.14
GET: 185745.56
GET: 185714.73
GET: 185648.45
GET: 185647.11
GET: 185679.31
GET: 185799.64
GET: 185789.09
GET: 185768.41
GET: 185748.55
GET: 185745.45
GET: 185815.56
GET: 185837.88
GET: 185836.58
GET: 185846.16
GET: 185781.48
GET: 185763.23
GET: 185776.11
GET: 185808.41
GET: 185838.25
GET: 185865.06
GET: 185854.77
GET: 185833.14
GET: 185808.17
GET: 185790.55
GET: 185835.58
GET: 185891.20
GET: 185908.16
GET: 185932.12
GET: 185931.08
GET: 185930.95
GET: 185948.78
GET: 186018.22
GET: 186069.67
GET: 186026.28
GET: 186005.06
GET: 185989.14
GET: 185954.19
GET: 185982.83
GET: 186031.91
GET: 186070.27
GET: 186080.00
GET: 186037.88
GET: 185984.06
GET: 185972.94
GET: 185984.59
GET: 186004.61
GET: 186018.05
GET: 185988.00
GET: 186003.31
GET: 186042.53
GET: 185982.06
GET: 185974.12
GET: 185993.80
GET: 186040.27
GET: 186086.48
GET: 186029.28
GET: 185977.67
GET: 185983.97
GET: 185937.75
GET: 185961.88
GET: 185987.75
GET: 185946.02
GET: 185948.30
GET: 185928.64
GET: 185935.12
GET: 185997.11
GET: 186046.73
GET: 186032.25
GET: 185996.92
GET: 185957.42
GET: 185940.38
GET: 185949.55
GET: 186035.16
GET: 186035.44
GET: 186048.56
GET: 186039.47
GET: 185979.50
GET: 185964.97
GET: 185960.27
GET: 186001.28
GET: 186009.02
GET: 185972.58
GET: 185956.17
GET: 185937.95
GET: 185902.28
GET: 185903.91
GET: 185891.72
GET: 185896.20
GET: 185877.25
GET: 185927.97
GET: 185914.16
GET: 185897.17
GET: 185907.58
GET: 185909.00
GET: 185925.52
GET: 185967.44
GET: 186023.33
GET: 186031.69
GET: 186061.55
GET: 186152.61
GET: 186180.81
GET: 186262.48
GET: 186320.44
GET: 186340.86
GET: 186496.77
GET: 186686.84
GET: 186890.33
GET: 187085.44
====== GET ======
  20000008 requests completed in 106.82 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.27% <= 0.2 milliseconds
2.23% <= 0.3 milliseconds
6.80% <= 0.4 milliseconds
11.41% <= 0.5 milliseconds
16.58% <= 0.6 milliseconds
23.38% <= 0.7 milliseconds
32.34% <= 0.8 milliseconds
42.12% <= 0.9 milliseconds
51.44% <= 1.0 milliseconds
59.51% <= 1.1 milliseconds
66.10% <= 1.2 milliseconds
71.35% <= 1.3 milliseconds
75.59% <= 1.4 milliseconds
79.03% <= 1.5 milliseconds
81.87% <= 1.6 milliseconds
84.21% <= 1.7 milliseconds
86.15% <= 1.8 milliseconds
87.78% <= 1.9 milliseconds
89.16% <= 2 milliseconds
96.06% <= 3 milliseconds
98.32% <= 4 milliseconds
99.22% <= 5 milliseconds
99.59% <= 6 milliseconds
99.77% <= 7 milliseconds
99.87% <= 8 milliseconds
99.93% <= 9 milliseconds
99.96% <= 10 milliseconds
99.98% <= 11 milliseconds
99.99% <= 12 milliseconds
99.99% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 20 milliseconds
100.00% <= 21 milliseconds
100.00% <= 21 milliseconds
187234.44 requests per second


