2023-11-21 22:55:41
GET: 0.00
GET: 211333.33
GET: 205641.44
GET: 213457.45
GET: 215816.38
GET: 210421.73
GET: 215403.47
GET: 214095.89
GET: 215460.53
GET: 217555.94
GET: 216898.47
GET: 217026.16
GET: 216426.38
GET: 215596.55
GET: 215077.09
GET: 213946.69
GET: 213277.38
GET: 212217.27
GET: 210810.58
GET: 209767.31
GET: 209851.70
GET: 210148.88
GET: 210413.23
GET: 210263.88
GET: 209598.92
GET: 208651.09
GET: 207640.89
GET: 206580.02
GET: 205727.33
GET: 205215.70
GET: 204499.39
GET: 204006.70
GET: 203515.80
GET: 202922.83
GET: 202345.91
GET: 201728.45
GET: 201498.06
GET: 201073.12
GET: 200246.50
GET: 199544.45
GET: 198609.14
GET: 198611.84
GET: 198577.89
GET: 198892.61
GET: 198725.27
GET: 199289.06
GET: 199012.69
GET: 199333.56
GET: 199376.73
GET: 199292.89
GET: 199556.98
GET: 199588.84
GET: 199864.14
GET: 199899.88
GET: 199994.67
GET: 200069.17
GET: 200502.31
GET: 200594.45
GET: 200623.81
GET: 200790.95
GET: 201043.08
GET: 201098.31
GET: 200632.08
GET: 200513.98
GET: 200256.22
GET: 199767.88
GET: 199299.19
GET: 198928.92
GET: 198751.91
GET: 198593.94
GET: 198508.05
GET: 198457.00
GET: 197985.12
GET: 197591.86
GET: 197298.20
GET: 196928.98
GET: 196564.70
GET: 196378.44
GET: 196018.66
GET: 195744.05
GET: 195458.33
GET: 195135.05
GET: 194941.28
GET: 195050.33
GET: 195258.78
GET: 195046.55
GET: 194905.58
GET: 194996.78
GET: 194851.95
GET: 194722.22
GET: 194533.22
GET: 194538.08
GET: 194775.33
GET: 194925.31
GET: 194704.53
GET: 194501.66
GET: 194245.52
GET: 194179.78
GET: 194211.95
GET: 193887.39
GET: 193758.25
GET: 193738.00
GET: 193464.61
GET: 193505.03
GET: 193381.75
GET: 193323.55
GET: 193418.44
GET: 193225.23
GET: 193230.17
GET: 193056.72
GET: 193092.75
GET: 193049.78
GET: 192934.23
GET: 192871.38
GET: 192660.14
GET: 192571.28
GET: 192587.58
GET: 192346.75
GET: 192191.55
GET: 192145.08
GET: 191990.14
GET: 191907.00
GET: 191815.78
GET: 191803.75
GET: 191804.58
GET: 191732.22
GET: 191802.34
GET: 191773.19
GET: 191656.31
GET: 191509.78
GET: 191473.22
GET: 191469.67
GET: 191304.12
GET: 191327.62
GET: 191330.02
GET: 191457.19
GET: 191442.36
GET: 191422.88
GET: 191350.83
GET: 191342.84
GET: 191230.61
GET: 191255.56
GET: 191268.00
GET: 191263.50
GET: 191121.84
GET: 190933.86
GET: 191023.94
GET: 191076.67
GET: 191102.14
GET: 191148.30
GET: 191094.30
GET: 190991.25
GET: 190803.52
GET: 190839.33
GET: 190814.47
GET: 190746.62
GET: 190743.38
GET: 190636.77
GET: 190469.33
GET: 190458.23
GET: 190592.56
GET: 190641.61
GET: 190662.22
GET: 190610.98
GET: 190646.19
GET: 190736.39
GET: 190717.81
GET: 190792.48
GET: 190749.80
GET: 190648.98
GET: 190608.03
GET: 190514.08
GET: 190445.02
GET: 190508.88
GET: 190546.33
GET: 190492.88
GET: 190548.84
GET: 190501.98
GET: 190472.31
GET: 190421.19
GET: 190408.50
GET: 190404.92
GET: 190381.39
GET: 190312.31
GET: 190259.97
GET: 190255.89
GET: 190191.34
GET: 190197.08
GET: 190256.31
GET: 190279.06
GET: 190307.47
GET: 190253.05
GET: 190295.62
GET: 190286.72
GET: 190325.22
GET: 190393.47
GET: 190411.44
GET: 190438.66
GET: 190373.06
GET: 190296.56
GET: 190216.08
GET: 190241.64
GET: 190252.72
GET: 190189.97
GET: 190222.97
GET: 190203.72
GET: 190096.64
GET: 190062.28
GET: 190009.27
GET: 190012.89
GET: 190073.80
GET: 190018.22
GET: 189998.61
GET: 189945.41
GET: 189912.58
GET: 189860.12
GET: 189863.80
GET: 189835.33
GET: 189755.94
GET: 189762.23
GET: 189677.66
GET: 189657.05
GET: 189661.30
GET: 189755.22
GET: 189754.38
GET: 189738.06
GET: 189722.59
GET: 189675.72
GET: 189657.30
GET: 189586.69
GET: 189630.53
GET: 189671.09
GET: 189621.31
GET: 189587.73
GET: 189496.05
GET: 189409.56
GET: 189357.94
GET: 189350.33
GET: 189384.95
GET: 189263.06
GET: 189188.44
GET: 189240.69
GET: 189167.80
GET: 189090.64
GET: 189088.39
GET: 189165.39
GET: 189132.06
GET: 189090.98
GET: 189012.45
GET: 188916.77
GET: 188933.44
GET: 188927.69
GET: 188891.14
GET: 188857.47
GET: 188801.48
GET: 188801.23
GET: 188763.14
GET: 188689.50
GET: 188760.69
GET: 188785.70
GET: 188714.56
GET: 188677.91
GET: 188594.05
GET: 188591.84
GET: 188584.52
GET: 188579.30
GET: 188582.41
GET: 188534.61
GET: 188516.03
GET: 188483.33
GET: 188484.67
GET: 188423.36
GET: 188509.73
GET: 188462.19
GET: 188409.05
GET: 188411.28
GET: 188380.48
GET: 188351.17
GET: 188316.69
GET: 188304.20
GET: 188233.80
GET: 188250.27
GET: 188156.19
GET: 188170.09
GET: 188133.02
GET: 188070.52
GET: 188051.27
GET: 188151.91
GET: 188154.16
GET: 188115.34
GET: 188077.91
GET: 188037.03
GET: 187973.52
GET: 187996.62
GET: 188039.27
GET: 188074.25
GET: 188027.45
GET: 188062.92
GET: 187990.17
GET: 188019.50
GET: 188086.38
GET: 188108.50
GET: 188127.20
GET: 188114.75
GET: 188038.33
GET: 187956.95
GET: 187953.86
GET: 187948.08
GET: 187999.94
GET: 187977.80
GET: 187921.55
GET: 187871.22
GET: 187807.48
GET: 187802.17
GET: 187810.23
GET: 187848.75
GET: 187814.12
GET: 187790.80
GET: 187742.28
GET: 187710.42
GET: 187683.14
GET: 187664.70
GET: 187726.12
GET: 187735.19
GET: 187705.70
GET: 187710.34
GET: 187701.03
GET: 187668.61
GET: 187641.05
GET: 187652.94
GET: 187667.94
GET: 187621.70
GET: 187589.33
GET: 187571.64
GET: 187562.77
GET: 187554.62
GET: 187550.14
GET: 187551.39
GET: 187569.92
GET: 187593.52
GET: 187533.41
GET: 187542.23
GET: 187562.36
GET: 187599.98
GET: 187578.38
GET: 187604.53
GET: 187634.23
GET: 187627.91
GET: 187643.27
GET: 187629.08
GET: 187680.94
GET: 187719.97
GET: 187754.11
GET: 187754.34
GET: 187735.44
GET: 187758.97
GET: 187817.50
GET: 187862.17
GET: 187868.58
GET: 187862.89
GET: 187847.81
GET: 187886.33
GET: 187894.06
GET: 187924.03
GET: 187991.53
GET: 187987.52
GET: 187984.58
GET: 187990.91
GET: 187997.00
GET: 188024.83
GET: 188038.84
GET: 188063.56
GET: 188112.73
GET: 188181.53
GET: 188185.83
GET: 188168.02
GET: 188148.36
GET: 188196.81
GET: 188193.67
GET: 188215.44
GET: 188202.00
GET: 188184.52
GET: 188157.75
GET: 188197.83
GET: 188244.44
GET: 188246.30
GET: 188234.56
GET: 188238.17
GET: 188241.34
GET: 188194.12
GET: 188178.91
GET: 188198.41
GET: 188178.97
GET: 188174.94
GET: 188143.89
GET: 188131.95
GET: 188138.16
GET: 188081.59
GET: 188095.77
GET: 188088.08
GET: 188067.64
GET: 188053.75
GET: 188047.50
GET: 188044.84
GET: 188027.62
GET: 188059.78
GET: 188055.14
GET: 188019.89
GET: 188041.78
GET: 188057.55
GET: 188042.75
GET: 188040.47
GET: 188098.27
GET: 188119.16
GET: 188105.92
GET: 188119.45
GET: 188139.47
GET: 188212.05
GET: 188334.16
GET: 188448.89
GET: 188519.39
GET: 188576.56
GET: 188751.89
GET: 188904.47
====== GET ======
  20000040 requests completed in 105.86 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.30% <= 0.2 milliseconds
2.52% <= 0.3 milliseconds
7.71% <= 0.4 milliseconds
12.81% <= 0.5 milliseconds
18.48% <= 0.6 milliseconds
25.63% <= 0.7 milliseconds
34.48% <= 0.8 milliseconds
43.90% <= 0.9 milliseconds
52.83% <= 1.0 milliseconds
60.51% <= 1.1 milliseconds
66.82% <= 1.2 milliseconds
71.89% <= 1.3 milliseconds
76.00% <= 1.4 milliseconds
79.35% <= 1.5 milliseconds
82.12% <= 1.6 milliseconds
84.39% <= 1.7 milliseconds
86.29% <= 1.8 milliseconds
87.91% <= 1.9 milliseconds
89.26% <= 2 milliseconds
95.97% <= 3 milliseconds
98.23% <= 4 milliseconds
99.16% <= 5 milliseconds
99.59% <= 6 milliseconds
99.76% <= 7 milliseconds
99.87% <= 8 milliseconds
99.92% <= 9 milliseconds
99.95% <= 10 milliseconds
99.97% <= 11 milliseconds
99.98% <= 12 milliseconds
99.99% <= 13 milliseconds
99.99% <= 15 milliseconds
99.99% <= 16 milliseconds
99.99% <= 19 milliseconds
100.00% <= 20 milliseconds
100.00% <= 22 milliseconds
100.00% <= 23 milliseconds
100.00% <= 27 milliseconds
100.00% <= 27 milliseconds
188930.94 requests per second


