2023-11-21 22:55:42
GET: nan
GET: 190304.00
GET: 199568.00
GET: 198944.00
GET: 196680.00
GET: 196736.00
GET: 196581.33
GET: 196504.84
GET: 199352.33
GET: 201549.55
GET: 201797.69
GET: 201159.88
GET: 200927.38
GET: 199790.89
GET: 199065.67
GET: 198865.67
GET: 197393.97
GET: 197233.02
GET: 196347.33
GET: 196372.83
GET: 194952.83
GET: 193859.14
GET: 193491.27
GET: 194027.11
GET: 193900.06
GET: 193465.70
GET: 192836.28
GET: 191746.56
GET: 191504.34
GET: 191217.09
GET: 191765.48
GET: 192025.78
GET: 191258.45
GET: 190780.86
GET: 190788.47
GET: 190202.62
GET: 189832.56
GET: 189624.03
GET: 189891.23
GET: 189831.30
GET: 189793.55
GET: 189742.81
GET: 189695.25
GET: 190150.42
GET: 190339.23
GET: 190402.55
GET: 190357.31
GET: 190245.95
GET: 190002.00
GET: 189561.75
GET: 189182.59
GET: 189101.11
GET: 189250.92
GET: 189018.55
GET: 188690.55
GET: 188693.70
GET: 188573.95
GET: 188894.38
GET: 189306.31
GET: 189354.11
GET: 189405.64
GET: 189257.83
GET: 189202.98
GET: 188953.92
GET: 188633.69
GET: 188450.25
GET: 188388.88
GET: 188382.59
GET: 188352.98
GET: 188114.02
GET: 187984.47
GET: 187800.91
GET: 187884.50
GET: 187731.00
GET: 187719.94
GET: 187579.53
GET: 187279.11
GET: 187295.95
GET: 187414.86
GET: 187656.27
GET: 187661.77
GET: 187438.11
GET: 187284.88
GET: 187231.45
GET: 187186.53
GET: 187321.39
GET: 187430.44
GET: 187470.44
GET: 187591.66
GET: 187406.50
GET: 187317.84
GET: 187248.02
GET: 187098.69
GET: 187312.33
GET: 187416.61
GET: 187392.78
GET: 187388.11
GET: 187201.19
GET: 187241.33
GET: 187328.47
GET: 187208.19
GET: 187460.52
GET: 187621.97
GET: 187622.08
GET: 187541.14
GET: 187433.72
GET: 187323.53
GET: 187616.38
GET: 187520.42
GET: 187529.80
GET: 187466.05
GET: 187544.33
GET: 187532.39
GET: 187541.06
GET: 187679.47
GET: 187751.50
GET: 187740.14
GET: 187710.64
GET: 187672.72
GET: 187754.22
GET: 187739.73
GET: 187760.12
GET: 187981.78
GET: 188153.55
GET: 188159.78
GET: 188139.83
GET: 188109.78
GET: 188195.80
GET: 188190.78
GET: 188277.08
GET: 188335.72
GET: 188331.69
GET: 188326.03
GET: 188218.00
GET: 188323.06
GET: 188557.83
GET: 188585.25
GET: 188671.80
GET: 188684.77
GET: 188645.33
GET: 188721.45
GET: 188743.11
GET: 188733.59
GET: 188763.80
GET: 188852.45
GET: 188796.95
GET: 188737.16
GET: 188847.69
GET: 188883.67
GET: 188840.83
GET: 188890.88
GET: 188943.39
GET: 189014.62
GET: 188985.20
GET: 188952.64
GET: 188867.27
GET: 188920.14
GET: 189163.02
GET: 189118.62
GET: 189235.09
GET: 189241.38
GET: 189190.36
GET: 189185.66
GET: 189103.05
GET: 189161.45
GET: 189009.42
GET: 188979.45
GET: 188950.61
GET: 189010.83
GET: 188917.67
GET: 188879.73
GET: 188946.61
GET: 188880.11
GET: 188845.45
GET: 188801.98
GET: 188838.34
GET: 188761.80
GET: 188743.22
GET: 188763.31
GET: 188706.88
GET: 188723.56
GET: 188751.38
GET: 188785.73
GET: 188765.19
GET: 188746.42
GET: 188831.61
GET: 188855.00
GET: 188914.39
GET: 188877.72
GET: 188881.20
GET: 188872.69
GET: 188789.75
GET: 188825.95
GET: 188819.53
GET: 188747.05
GET: 188764.44
GET: 188679.94
GET: 188641.41
GET: 188557.08
GET: 188625.33
GET: 188542.56
GET: 188537.95
GET: 188583.73
GET: 188586.06
GET: 188593.14
GET: 188650.94
GET: 188748.61
GET: 188749.31
GET: 188759.70
GET: 188706.48
GET: 188685.31
GET: 188656.44
GET: 188667.98
GET: 188658.39
GET: 188709.12
GET: 188762.20
GET: 188724.92
GET: 188692.75
GET: 188675.64
GET: 188830.64
GET: 188936.19
GET: 188892.59
GET: 188863.80
GET: 188908.97
GET: 188877.80
GET: 188916.67
GET: 189028.95
GET: 189120.38
GET: 189048.28
GET: 189022.61
GET: 188994.25
GET: 188926.17
GET: 188900.12
GET: 188970.39
GET: 188912.25
GET: 188996.16
GET: 188935.69
GET: 188914.61
GET: 188914.53
GET: 188925.56
GET: 188926.38
GET: 188936.86
GET: 188897.05
GET: 188813.50
GET: 188831.14
GET: 188873.84
GET: 188866.00
GET: 188997.22
GET: 188896.11
GET: 188933.22
GET: 188941.89
GET: 188960.44
GET: 188846.36
GET: 188896.48
GET: 188948.34
GET: 188987.64
GET: 188947.83
GET: 188905.31
GET: 188903.05
GET: 188882.78
GET: 188883.08
GET: 188993.88
GET: 188966.53
GET: 188980.00
GET: 188982.47
GET: 188951.86
GET: 188920.39
GET: 188942.45
GET: 188943.95
GET: 188970.58
GET: 189028.75
GET: 189019.73
GET: 188987.31
GET: 188999.75
GET: 188980.81
GET: 189066.89
GET: 189102.94
GET: 189092.48
GET: 189121.69
GET: 189085.92
GET: 189125.11
GET: 189127.70
GET: 189203.53
GET: 189226.62
GET: 189328.16
GET: 189296.78
GET: 189279.28
GET: 189255.67
GET: 189275.89
GET: 189267.72
GET: 189217.45
GET: 189216.25
GET: 189179.34
GET: 189187.88
GET: 189125.20
GET: 189208.98
GET: 189305.03
GET: 189357.92
GET: 189365.06
GET: 189330.59
GET: 189315.00
GET: 189263.05
GET: 189320.92
GET: 189324.27
GET: 189262.38
GET: 189212.75
GET: 189217.25
GET: 189168.19
GET: 189160.77
GET: 189194.27
GET: 189214.23
GET: 189212.39
GET: 189281.89
GET: 189248.69
GET: 189274.95
GET: 189318.62
GET: 189358.67
GET: 189361.86
GET: 189319.16
GET: 189297.19
GET: 189211.30
GET: 189167.08
GET: 189218.28
GET: 189237.38
GET: 189165.41
GET: 189168.52
GET: 189150.16
GET: 189113.09
GET: 189118.58
GET: 189205.17
GET: 189235.34
GET: 189178.78
GET: 189193.72
GET: 189131.38
GET: 189090.84
GET: 189050.38
GET: 189063.81
GET: 189119.48
GET: 189146.73
GET: 189150.33
GET: 189140.75
GET: 189166.56
GET: 189150.16
GET: 189098.70
GET: 189118.52
GET: 189104.98
GET: 189099.30
GET: 189134.19
GET: 189062.20
GET: 189044.86
GET: 189061.89
GET: 189097.95
GET: 189114.00
GET: 189063.92
GET: 189056.80
GET: 188997.08
GET: 188969.44
GET: 189005.94
GET: 189009.50
GET: 189018.72
GET: 189043.78
GET: 189039.56
GET: 189013.72
GET: 188977.02
GET: 188974.52
GET: 188999.44
GET: 188980.81
GET: 188979.66
GET: 188992.98
GET: 188936.39
GET: 188946.39
GET: 188909.28
GET: 188926.02
GET: 188935.52
GET: 188885.66
GET: 188892.92
GET: 188868.02
GET: 188841.62
GET: 188856.50
GET: 188814.92
GET: 188834.44
GET: 188817.39
GET: 188837.02
GET: 188827.48
GET: 188859.64
GET: 188886.14
GET: 188897.77
GET: 188932.55
GET: 188934.52
GET: 188958.42
GET: 188933.50
GET: 188903.72
GET: 188908.05
GET: 188912.23
GET: 188906.84
GET: 188912.91
GET: 188904.27
GET: 188927.44
GET: 188916.86
GET: 188919.28
GET: 188926.89
GET: 188922.50
GET: 188944.78
GET: 188962.36
GET: 189005.48
GET: 188970.16
GET: 188927.12
GET: 188988.06
GET: 189016.12
GET: 189023.73
GET: 189040.11
GET: 189051.42
GET: 189089.61
GET: 189127.55
GET: 189231.47
GET: 189267.67
GET: 189254.97
GET: 189291.52
GET: 189338.84
GET: 189469.17
GET: 189609.86
GET: 189699.22
====== GET ======
  20000000 requests completed in 105.40 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.53% <= 0.2 milliseconds
3.00% <= 0.3 milliseconds
7.53% <= 0.4 milliseconds
12.19% <= 0.5 milliseconds
17.82% <= 0.6 milliseconds
25.51% <= 0.7 milliseconds
35.02% <= 0.8 milliseconds
44.69% <= 0.9 milliseconds
53.29% <= 1.0 milliseconds
60.50% <= 1.1 milliseconds
66.49% <= 1.2 milliseconds
71.43% <= 1.3 milliseconds
75.52% <= 1.4 milliseconds
78.90% <= 1.5 milliseconds
81.73% <= 1.6 milliseconds
84.09% <= 1.7 milliseconds
86.08% <= 1.8 milliseconds
87.74% <= 1.9 milliseconds
89.14% <= 2 milliseconds
96.13% <= 3 milliseconds
98.24% <= 4 milliseconds
99.17% <= 5 milliseconds
99.59% <= 6 milliseconds
99.77% <= 7 milliseconds
99.88% <= 8 milliseconds
99.94% <= 9 milliseconds
99.96% <= 10 milliseconds
99.98% <= 11 milliseconds
99.99% <= 12 milliseconds
99.99% <= 13 milliseconds
99.99% <= 14 milliseconds
100.00% <= 16 milliseconds
100.00% <= 18 milliseconds
100.00% <= 20 milliseconds
100.00% <= 21 milliseconds
100.00% <= 22 milliseconds
100.00% <= 23 milliseconds
100.00% <= 24 milliseconds
100.00% <= 25 milliseconds
100.00% <= 26 milliseconds
100.00% <= 26 milliseconds
189746.12 requests per second


