2023-11-24 03:14:25
GET: nan
GET: 343424.00
GET: 322368.00
GET: 283050.66
GET: 263232.00
GET: 256684.80
GET: 251861.33
GET: 248667.42
GET: 244081.97
GET: 242757.89
GET: 234568.58
GET: 233337.70
GET: 230883.05
GET: 229903.42
GET: 230133.11
GET: 229270.06
GET: 227765.06
GET: 227415.67
GET: 227090.88
GET: 227398.03
GET: 227009.00
GET: 226500.09
GET: 225956.02
GET: 225603.89
GET: 225942.34
GET: 226589.03
GET: 226365.17
GET: 226484.97
GET: 226042.00
GET: 226060.95
GET: 225826.95
GET: 225504.84
GET: 225573.61
GET: 225531.56
GET: 225348.22
GET: 224937.73
GET: 223898.69
GET: 224056.19
GET: 224170.89
GET: 224798.92
GET: 224814.95
GET: 224920.62
GET: 223509.56
GET: 223637.75
GET: 223589.28
GET: 223584.89
GET: 223616.17
GET: 223526.33
GET: 223196.33
GET: 223062.67
GET: 223220.22
GET: 223037.95
GET: 223172.70
GET: 223217.27
GET: 223015.56
GET: 222872.94
GET: 222770.25
GET: 222973.08
GET: 223214.12
GET: 223048.53
GET: 223034.05
GET: 222857.44
GET: 222525.56
GET: 222629.19
GET: 222593.61
GET: 222806.17
GET: 222985.64
GET: 222772.58
GET: 222620.33
GET: 222779.86
GET: 222694.47
GET: 222660.58
GET: 222697.84
GET: 222760.36
GET: 222353.48
GET: 221983.91
GET: 222222.55
GET: 222184.56
GET: 222203.31
GET: 222198.11
GET: 222127.06
GET: 221910.06
GET: 221823.58
GET: 221743.03
GET: 221920.31
GET: 221899.98
GET: 221902.45
GET: 221543.16
GET: 221518.00
GET: 221443.44
GET: 221401.47
GET: 221434.23
GET: 221595.28
GET: 221621.12
GET: 221530.72
GET: 221659.73
GET: 221710.44
GET: 221843.52
GET: 221820.47
GET: 221993.06
GET: 222136.28
GET: 222247.84
GET: 222255.61
GET: 222383.42
GET: 222658.88
GET: 222725.58
GET: 222797.05
GET: 222939.27
GET: 222873.27
GET: 223017.72
GET: 222973.72
GET: 223174.03
GET: 223262.52
GET: 222891.11
GET: 222848.08
GET: 222792.72
GET: 222790.98
GET: 222778.36
GET: 222833.98
GET: 222558.28
GET: 222386.88
GET: 222388.84
GET: 222469.42
GET: 222640.52
GET: 222605.05
GET: 222566.30
GET: 222013.52
GET: 221921.84
GET: 221993.08
GET: 222024.50
GET: 222066.52
GET: 222128.25
GET: 221931.11
GET: 221967.09
GET: 221934.05
GET: 221931.33
GET: 221973.34
GET: 221991.41
GET: 222035.62
GET: 222043.83
GET: 221993.36
GET: 222106.28
GET: 222079.97
GET: 222162.95
GET: 222252.80
GET: 222362.58
GET: 222415.20
GET: 222332.41
GET: 222358.58
GET: 222367.45
GET: 222467.89
GET: 222491.81
GET: 222276.75
GET: 222280.69
GET: 222303.28
GET: 222405.23
GET: 222371.16
GET: 222437.77
GET: 222324.55
GET: 222305.11
GET: 222292.50
GET: 222218.86
GET: 222284.16
GET: 222309.00
GET: 222261.19
GET: 222067.56
GET: 222016.19
GET: 222101.05
GET: 222115.39
GET: 222109.69
GET: 222187.98
GET: 222056.41
GET: 222036.27
GET: 222075.91
GET: 221998.16
GET: 222007.22
GET: 222014.91
GET: 222005.88
GET: 222007.19
GET: 222009.30
GET: 222045.41
GET: 222129.73
GET: 222166.19
GET: 222162.05
GET: 222151.34
GET: 222273.39
GET: 222281.12
GET: 222322.47
GET: 222359.64
GET: 222385.75
GET: 222276.38
GET: 222221.75
GET: 222228.52
GET: 222267.03
GET: 222337.64
GET: 222392.42
GET: 222327.83
GET: 222162.06
GET: 222131.48
GET: 222145.84
GET: 222128.08
GET: 222071.34
GET: 222080.73
GET: 221920.78
GET: 221803.00
GET: 221737.88
GET: 221721.36
GET: 221764.20
GET: 221796.17
GET: 221837.64
GET: 221654.09
GET: 221660.06
GET: 221597.00
GET: 221603.47
GET: 221605.86
GET: 221650.31
GET: 221666.38
GET: 221669.16
GET: 221703.47
GET: 221649.28
GET: 221684.83
GET: 221691.14
GET: 221700.53
GET: 221761.47
GET: 221794.17
GET: 221861.41
GET: 221897.98
GET: 221898.36
GET: 221955.28
GET: 221769.48
GET: 221780.02
GET: 221811.91
GET: 221806.45
GET: 221810.09
GET: 221819.17
GET: 221823.69
GET: 221674.59
GET: 221611.92
GET: 221605.28
GET: 221577.95
GET: 221606.97
GET: 221673.97
GET: 221585.23
GET: 221542.12
GET: 221511.28
GET: 221502.11
GET: 221549.72
GET: 221597.45
GET: 221554.12
GET: 221479.92
GET: 221466.83
GET: 221509.94
GET: 221478.05
GET: 221452.98
GET: 221476.23
GET: 221446.36
GET: 221465.44
GET: 221490.23
GET: 221563.20
GET: 221595.58
GET: 221631.89
GET: 221650.77
GET: 221663.03
GET: 221692.83
GET: 221709.44
GET: 221714.95
GET: 221714.16
GET: 221775.06
GET: 221652.19
GET: 221661.62
GET: 221632.97
GET: 221631.66
GET: 221605.55
GET: 221513.78
GET: 221556.12
GET: 221446.81
GET: 221471.14
GET: 221469.75
GET: 221543.75
GET: 221565.73
GET: 221583.23
GET: 221423.11
GET: 221403.77
GET: 221376.20
GET: 221397.16
GET: 221427.50
GET: 221449.39
GET: 221374.67
GET: 221338.03
GET: 221356.75
GET: 221394.00
GET: 221457.14
GET: 221435.39
GET: 221455.17
GET: 221465.45
GET: 221467.75
GET: 221523.64
GET: 221533.81
GET: 221558.55
GET: 221560.08
GET: 221588.36
GET: 221640.91
GET: 221637.91
GET: 221667.48
GET: 221691.67
GET: 221777.17
GET: 221739.06
GET: 221619.39
GET: 221587.66
GET: 221609.33
GET: 221554.61
GET: 221619.86
GET: 221642.56
GET: 221544.52
GET: 221482.55
GET: 221510.44
GET: 221494.83
GET: 221498.09
GET: 221521.64
GET: 221495.62
GET: 221343.30
GET: 221339.81
GET: 221361.11
GET: 221363.23
GET: 221383.36
GET: 221350.27
GET: 221327.61
GET: 221304.47
GET: 221301.67
GET: 221300.73
GET: 221303.19
GET: 221284.75
GET: 221253.81
GET: 221225.16
GET: 221265.55
GET: 221309.72
GET: 221321.23
GET: 221360.80
GET: 221372.48
GET: 221413.55
GET: 221431.91
GET: 221468.05
GET: 221474.14
GET: 221491.48
GET: 221495.89
GET: 221472.36
GET: 221333.67
GET: 221374.91
GET: 221396.80
GET: 221355.86
GET: 221362.31
GET: 221365.53
GET: 221279.20
GET: 221262.44
GET: 221269.98
GET: 221257.31
GET: 221243.45
GET: 221226.89
GET: 221275.91
GET: 221181.38
GET: 221213.47
GET: 221167.61
====== GET ======
  20000032 requests completed in 90.42 seconds
  16 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.60% <= 0.1 milliseconds
17.48% <= 0.2 milliseconds
38.47% <= 0.3 milliseconds
56.47% <= 0.4 milliseconds
68.55% <= 0.5 milliseconds
75.92% <= 0.6 milliseconds
81.44% <= 0.7 milliseconds
85.53% <= 0.8 milliseconds
88.55% <= 0.9 milliseconds
90.83% <= 1.0 milliseconds
92.60% <= 1.1 milliseconds
93.93% <= 1.2 milliseconds
94.97% <= 1.3 milliseconds
95.79% <= 1.4 milliseconds
96.44% <= 1.5 milliseconds
96.96% <= 1.6 milliseconds
97.39% <= 1.7 milliseconds
97.76% <= 1.8 milliseconds
98.07% <= 1.9 milliseconds
98.36% <= 2 milliseconds
99.65% <= 3 milliseconds
99.91% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 16 milliseconds
100.00% <= 16 milliseconds
221200.14 requests per second


