2023-11-24 03:14:25
GET: nan
GET: 284544.00
GET: 298016.00
GET: 275669.34
GET: 263808.00
GET: 256396.80
GET: 250202.67
GET: 242144.00
GET: 240500.00
GET: 237688.89
GET: 234572.80
GET: 234318.55
GET: 232546.67
GET: 230803.69
GET: 229984.00
GET: 228858.44
GET: 228934.77
GET: 229075.52
GET: 228191.08
GET: 227616.92
GET: 227469.70
GET: 227801.19
GET: 227650.25
GET: 227935.31
GET: 227666.06
GET: 227051.03
GET: 225433.41
GET: 224431.28
GET: 224565.56
GET: 225147.28
GET: 224926.69
GET: 224996.91
GET: 225117.72
GET: 222865.73
GET: 222750.42
GET: 223119.75
GET: 222992.23
GET: 222831.08
GET: 223026.83
GET: 222654.77
GET: 222766.77
GET: 223034.03
GET: 222856.70
GET: 223010.50
GET: 222989.36
GET: 222762.28
GET: 222280.80
GET: 222639.33
GET: 222345.08
GET: 222057.61
GET: 221861.62
GET: 221609.97
GET: 221654.69
GET: 221854.67
GET: 222015.25
GET: 221769.20
GET: 221818.17
GET: 221868.23
GET: 221981.66
GET: 221869.19
GET: 221654.11
GET: 221640.11
GET: 221832.95
GET: 222062.83
GET: 222108.11
GET: 221865.03
GET: 221503.80
GET: 221733.94
GET: 221858.05
GET: 222065.73
GET: 222078.28
GET: 222073.80
GET: 221746.86
GET: 221660.70
GET: 221659.45
GET: 221635.20
GET: 221481.52
GET: 221386.66
GET: 221308.59
GET: 221040.56
GET: 221027.95
GET: 221031.45
GET: 220946.31
GET: 221065.20
GET: 220911.59
GET: 220711.70
GET: 220538.27
GET: 220610.77
GET: 220574.02
GET: 220571.53
GET: 220469.20
GET: 220410.27
GET: 220478.48
GET: 220395.25
GET: 220523.78
GET: 220608.52
GET: 220690.48
GET: 220832.45
GET: 220733.53
GET: 220632.73
GET: 220662.88
GET: 220776.05
GET: 220892.97
GET: 220873.42
GET: 221007.14
GET: 220750.75
GET: 220575.27
GET: 220556.27
GET: 220651.83
GET: 220677.25
GET: 220728.98
GET: 220739.70
GET: 220378.62
GET: 220576.56
GET: 220493.78
GET: 220572.94
GET: 220564.14
GET: 220579.55
GET: 220304.33
GET: 220220.31
GET: 220298.47
GET: 220387.48
GET: 220384.31
GET: 220456.09
GET: 220603.09
GET: 220375.34
GET: 220464.03
GET: 220494.62
GET: 220693.47
GET: 220790.78
GET: 220978.38
GET: 220984.09
GET: 221028.03
GET: 220949.09
GET: 221093.39
GET: 221110.41
GET: 221148.36
GET: 221322.36
GET: 221301.88
GET: 221381.12
GET: 221414.45
GET: 221470.69
GET: 221515.75
GET: 221454.16
GET: 221306.53
GET: 221265.30
GET: 221229.03
GET: 221210.44
GET: 221296.94
GET: 221298.33
GET: 221275.61
GET: 221030.27
GET: 220996.12
GET: 220997.44
GET: 220944.64
GET: 220874.36
GET: 220839.02
GET: 220702.03
GET: 220433.12
GET: 220419.34
GET: 220437.31
GET: 220478.31
GET: 220514.27
GET: 220475.39
GET: 220390.95
GET: 220410.50
GET: 220548.91
GET: 220575.89
GET: 220616.84
GET: 220584.22
GET: 220664.72
GET: 220586.38
GET: 220577.02
GET: 220645.62
GET: 220623.52
GET: 220643.72
GET: 220570.27
GET: 220527.28
GET: 220574.83
GET: 220636.67
GET: 220643.70
GET: 220682.03
GET: 220695.69
GET: 220711.12
GET: 220512.34
GET: 220393.53
GET: 220464.94
GET: 220466.45
GET: 220680.16
GET: 220731.58
GET: 220658.02
GET: 220543.19
GET: 220522.20
GET: 220582.31
GET: 220565.30
GET: 220519.09
GET: 220516.28
GET: 220381.62
GET: 220348.67
GET: 220324.58
GET: 220334.16
GET: 220363.38
GET: 220362.52
GET: 220398.80
GET: 220276.94
GET: 220329.59
GET: 220366.19
GET: 220370.77
GET: 220394.36
GET: 220468.08
GET: 220503.03
GET: 220510.20
GET: 220557.28
GET: 220625.56
GET: 220724.59
GET: 220688.19
GET: 220671.45
GET: 220728.06
GET: 220813.36
GET: 220780.11
GET: 220801.44
GET: 220761.05
GET: 220703.44
GET: 220586.38
GET: 220518.34
GET: 220500.55
GET: 220453.30
GET: 220426.22
GET: 220532.38
GET: 220532.70
GET: 220461.97
GET: 220471.73
GET: 220479.91
GET: 220505.17
GET: 220552.36
GET: 220681.11
GET: 220639.31
GET: 220611.92
GET: 220597.39
GET: 220586.98
GET: 220634.66
GET: 220573.81
GET: 220533.52
GET: 220441.00
GET: 220421.77
GET: 220435.84
GET: 220484.00
GET: 220546.16
GET: 220503.70
GET: 220490.64
GET: 220560.20
GET: 220524.58
GET: 220546.48
GET: 220560.77
GET: 220607.30
GET: 220622.98
GET: 220660.19
GET: 220650.27
GET: 220643.53
GET: 220691.56
GET: 220767.28
GET: 220823.94
GET: 220810.17
GET: 220683.42
GET: 220711.00
GET: 220735.12
GET: 220751.00
GET: 220772.27
GET: 220749.81
GET: 220652.12
GET: 220586.09
GET: 220587.47
GET: 220637.53
GET: 220692.38
GET: 220698.95
GET: 220623.48
GET: 220590.28
GET: 220540.34
GET: 220532.30
GET: 220561.47
GET: 220545.64
GET: 220604.38
GET: 220524.98
GET: 220516.45
GET: 220478.58
GET: 220490.94
GET: 220443.03
GET: 220466.89
GET: 220535.14
GET: 220571.92
GET: 220542.92
GET: 220516.55
GET: 220495.83
GET: 220493.69
GET: 220489.41
GET: 220509.11
GET: 220534.73
GET: 220557.16
GET: 220649.97
GET: 220701.08
GET: 220711.86
GET: 220739.41
GET: 220706.55
GET: 220675.83
GET: 220652.66
GET: 220677.06
GET: 220714.16
GET: 220723.70
GET: 220653.22
GET: 220661.16
GET: 220648.39
GET: 220703.03
GET: 220707.64
GET: 220678.30
GET: 220587.00
GET: 220504.30
GET: 220522.14
GET: 220541.59
GET: 220504.48
GET: 220574.80
GET: 220599.39
GET: 220548.39
GET: 220525.58
GET: 220471.56
GET: 220460.33
GET: 220453.11
GET: 220416.00
GET: 220435.08
GET: 220410.16
GET: 220432.53
GET: 220417.06
GET: 220438.33
GET: 220446.94
GET: 220496.41
GET: 220517.91
GET: 220539.66
GET: 220531.48
GET: 220550.98
GET: 220522.19
GET: 220532.64
GET: 220575.09
GET: 220504.00
GET: 220562.02
GET: 220558.97
GET: 220551.67
GET: 220617.56
GET: 220648.14
GET: 220593.83
GET: 220535.48
GET: 220526.08
GET: 220535.72
GET: 220561.81
GET: 220557.58
GET: 220541.33
GET: 220385.27
GET: 220381.22
GET: 220346.27
GET: 220358.38
GET: 220355.86
GET: 220364.05
GET: 220323.05
GET: 220282.91
GET: 220300.94
GET: 220271.47
====== GET ======
  20000008 requests completed in 90.80 seconds
  16 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.84% <= 0.1 milliseconds
17.66% <= 0.2 milliseconds
38.64% <= 0.3 milliseconds
56.49% <= 0.4 milliseconds
68.31% <= 0.5 milliseconds
75.68% <= 0.6 milliseconds
81.18% <= 0.7 milliseconds
85.26% <= 0.8 milliseconds
88.28% <= 0.9 milliseconds
90.59% <= 1.0 milliseconds
92.35% <= 1.1 milliseconds
93.73% <= 1.2 milliseconds
94.82% <= 1.3 milliseconds
95.66% <= 1.4 milliseconds
96.33% <= 1.5 milliseconds
96.87% <= 1.6 milliseconds
97.31% <= 1.7 milliseconds
97.69% <= 1.8 milliseconds
98.02% <= 1.9 milliseconds
98.31% <= 2 milliseconds
99.59% <= 3 milliseconds
99.90% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
99.99% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 24 milliseconds
100.00% <= 25 milliseconds
100.00% <= 25 milliseconds
220269.27 requests per second


