2023-11-24 03:14:25
GET: nan
GET: 424256.00
GET: 337872.00
GET: 289834.66
GET: 274120.00
GET: 263788.81
GET: 258682.67
GET: 254464.00
GET: 250320.00
GET: 243057.78
GET: 239868.80
GET: 238868.36
GET: 236618.67
GET: 235143.39
GET: 233839.48
GET: 231223.67
GET: 230418.41
GET: 230123.73
GET: 228375.92
GET: 227955.38
GET: 227831.23
GET: 228454.78
GET: 227709.88
GET: 227910.28
GET: 227843.36
GET: 227777.36
GET: 227462.33
GET: 227367.30
GET: 227159.11
GET: 227329.30
GET: 227539.33
GET: 227444.80
GET: 227640.09
GET: 227570.53
GET: 227178.55
GET: 225466.19
GET: 225036.22
GET: 224987.47
GET: 225023.78
GET: 225146.03
GET: 225202.83
GET: 224546.17
GET: 224155.38
GET: 224264.11
GET: 224443.52
GET: 224196.92
GET: 224209.33
GET: 224006.12
GET: 223161.62
GET: 222796.81
GET: 222417.80
GET: 222446.92
GET: 222168.09
GET: 222385.52
GET: 222449.75
GET: 221994.03
GET: 221914.45
GET: 221848.33
GET: 221840.19
GET: 221822.56
GET: 221951.61
GET: 221796.92
GET: 221842.77
GET: 221823.17
GET: 221833.19
GET: 222074.70
GET: 222041.33
GET: 221991.78
GET: 222112.56
GET: 222204.83
GET: 222500.09
GET: 222484.72
GET: 222816.78
GET: 223031.95
GET: 222777.42
GET: 222886.28
GET: 222863.89
GET: 222946.36
GET: 222956.58
GET: 223231.80
GET: 222989.06
GET: 222708.47
GET: 222709.78
GET: 222590.81
GET: 222646.42
GET: 222610.78
GET: 222499.33
GET: 222188.56
GET: 222086.27
GET: 222061.39
GET: 222144.06
GET: 222016.44
GET: 221887.84
GET: 221834.53
GET: 221652.67
GET: 221593.19
GET: 221676.25
GET: 221721.62
GET: 221673.70
GET: 221673.28
GET: 221564.09
GET: 221721.56
GET: 221887.95
GET: 221963.11
GET: 222002.69
GET: 222022.92
GET: 222200.92
GET: 222160.03
GET: 222191.88
GET: 222231.94
GET: 222273.02
GET: 222326.33
GET: 222215.02
GET: 221993.84
GET: 221828.19
GET: 221838.16
GET: 221864.23
GET: 222081.83
GET: 222082.36
GET: 222100.34
GET: 221761.59
GET: 221771.36
GET: 221614.97
GET: 221670.52
GET: 221710.19
GET: 221804.27
GET: 221703.38
GET: 221504.30
GET: 221432.31
GET: 221381.86
GET: 221460.81
GET: 221555.00
GET: 221695.91
GET: 221447.67
GET: 221426.12
GET: 221484.06
GET: 221498.31
GET: 221488.31
GET: 221517.41
GET: 221510.41
GET: 221435.64
GET: 221503.73
GET: 221529.64
GET: 221539.31
GET: 221587.94
GET: 221592.88
GET: 221658.02
GET: 221661.75
GET: 221714.94
GET: 221738.22
GET: 221785.92
GET: 221851.02
GET: 221790.00
GET: 221730.28
GET: 221814.39
GET: 221859.05
GET: 221956.84
GET: 222087.02
GET: 222116.73
GET: 221859.56
GET: 221869.14
GET: 221916.95
GET: 221941.27
GET: 221988.23
GET: 221953.28
GET: 221980.62
GET: 221836.67
GET: 221845.98
GET: 221879.38
GET: 221897.22
GET: 221961.91
GET: 221971.20
GET: 221855.20
GET: 221881.84
GET: 221882.06
GET: 221923.95
GET: 221942.11
GET: 222026.58
GET: 222002.97
GET: 221996.25
GET: 221925.27
GET: 221905.47
GET: 221999.06
GET: 222027.83
GET: 222156.95
GET: 222112.27
GET: 222122.08
GET: 222074.62
GET: 222165.53
GET: 222265.62
GET: 222277.61
GET: 222213.44
GET: 222154.25
GET: 222186.36
GET: 222266.48
GET: 222238.98
GET: 222257.61
GET: 222313.86
GET: 222131.72
GET: 222129.69
GET: 222229.58
GET: 222203.69
GET: 222203.39
GET: 222116.42
GET: 222032.81
GET: 221870.28
GET: 221917.27
GET: 221965.66
GET: 222040.95
GET: 222008.38
GET: 222053.59
GET: 221929.69
GET: 221900.67
GET: 221924.94
GET: 221969.31
GET: 221966.11
GET: 221930.95
GET: 221937.67
GET: 221916.31
GET: 221889.31
GET: 221914.17
GET: 221952.12
GET: 222013.66
GET: 222053.69
GET: 222116.94
GET: 222148.34
GET: 222134.59
GET: 222086.70
GET: 222177.89
GET: 222197.44
GET: 222198.03
GET: 222034.39
GET: 222008.38
GET: 222045.34
GET: 222107.30
GET: 222132.50
GET: 222081.17
GET: 221951.58
GET: 221871.73
GET: 221936.45
GET: 221985.70
GET: 222044.11
GET: 222063.30
GET: 222060.98
GET: 221956.83
GET: 221938.80
GET: 221988.00
GET: 222054.17
GET: 222099.05
GET: 222122.48
GET: 222054.61
GET: 222096.78
GET: 222075.52
GET: 222089.69
GET: 222126.69
GET: 222204.03
GET: 222220.17
GET: 222240.53
GET: 222262.52
GET: 222272.19
GET: 222279.20
GET: 222335.31
GET: 222292.70
GET: 222273.28
GET: 222326.72
GET: 222342.80
GET: 222362.86
GET: 222452.88
GET: 222482.03
GET: 222433.09
GET: 222358.67
GET: 222346.91
GET: 222368.09
GET: 222330.94
GET: 222315.42
GET: 222369.12
GET: 222271.64
GET: 222211.50
GET: 222197.45
GET: 222206.66
GET: 222156.28
GET: 222172.06
GET: 222207.81
GET: 222065.27
GET: 222067.48
GET: 222126.12
GET: 222106.28
GET: 222105.73
GET: 222133.20
GET: 222019.88
GET: 221957.31
GET: 221971.38
GET: 222000.89
GET: 222054.88
GET: 222049.73
GET: 222036.83
GET: 222012.00
GET: 222006.95
GET: 221981.55
GET: 221961.22
GET: 221955.44
GET: 221958.41
GET: 221980.41
GET: 221933.33
GET: 221961.17
GET: 221992.72
GET: 221975.86
GET: 222004.97
GET: 222031.08
GET: 221992.09
GET: 221937.48
GET: 221942.67
GET: 221920.34
GET: 221953.66
GET: 221941.84
GET: 221912.22
GET: 221785.59
GET: 221853.23
GET: 221918.92
GET: 221962.77
GET: 222010.02
GET: 222019.89
GET: 221947.86
GET: 221927.17
GET: 221946.11
GET: 221986.58
GET: 222013.36
GET: 222001.62
GET: 222014.55
GET: 221962.05
GET: 221963.27
GET: 221915.30
GET: 221938.05
GET: 221982.58
GET: 221985.94
GET: 221972.66
GET: 221994.78
GET: 221980.80
GET: 222019.23
GET: 221976.09
GET: 221996.81
GET: 221985.33
GET: 221952.88
GET: 221937.75
GET: 221947.38
GET: 221963.98
GET: 221995.02
GET: 222025.38
GET: 221977.72
GET: 221971.69
GET: 221961.48
GET: 221977.73
GET: 222030.38
GET: 222052.91
GET: 222068.97
GET: 221943.92
GET: 221929.30
GET: 221964.58
GET: 221962.05
GET: 221939.83
GET: 221961.19
====== GET ======
  20000016 requests completed in 90.10 seconds
  16 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.82% <= 0.1 milliseconds
17.88% <= 0.2 milliseconds
39.18% <= 0.3 milliseconds
56.82% <= 0.4 milliseconds
68.47% <= 0.5 milliseconds
75.84% <= 0.6 milliseconds
81.39% <= 0.7 milliseconds
85.50% <= 0.8 milliseconds
88.49% <= 0.9 milliseconds
90.80% <= 1.0 milliseconds
92.54% <= 1.1 milliseconds
93.88% <= 1.2 milliseconds
94.92% <= 1.3 milliseconds
95.74% <= 1.4 milliseconds
96.41% <= 1.5 milliseconds
96.96% <= 1.6 milliseconds
97.40% <= 1.7 milliseconds
97.77% <= 1.8 milliseconds
98.09% <= 1.9 milliseconds
98.37% <= 2 milliseconds
99.66% <= 3 milliseconds
99.92% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
99.99% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 23 milliseconds
100.00% <= 23 milliseconds
221983.16 requests per second


