2023-11-24 03:14:25
GET: 16000.00
GET: 404462.19
GET: 335282.88
GET: 299925.53
GET: 282770.47
GET: 271533.56
GET: 257890.81
GET: 252739.73
GET: 250401.59
GET: 246760.20
GET: 245902.47
GET: 243407.41
GET: 240300.94
GET: 238945.30
GET: 237837.91
GET: 237257.33
GET: 236625.36
GET: 236216.25
GET: 234811.72
GET: 234615.05
GET: 233597.11
GET: 232880.08
GET: 232555.22
GET: 232116.77
GET: 231205.98
GET: 229618.55
GET: 228112.53
GET: 228089.41
GET: 228169.59
GET: 228065.61
GET: 227693.53
GET: 227356.80
GET: 225653.97
GET: 225109.62
GET: 224976.36
GET: 224535.47
GET: 224320.70
GET: 224854.89
GET: 223786.22
GET: 223387.39
GET: 223324.33
GET: 223504.62
GET: 223468.44
GET: 223444.34
GET: 223384.28
GET: 222918.17
GET: 222691.34
GET: 222714.42
GET: 222623.23
GET: 222839.33
GET: 222719.23
GET: 222665.31
GET: 222673.12
GET: 222643.83
GET: 222860.95
GET: 222733.94
GET: 222746.27
GET: 222572.95
GET: 222643.88
GET: 222693.97
GET: 222765.83
GET: 222655.48
GET: 222587.91
GET: 222501.66
GET: 221851.30
GET: 221461.61
GET: 221581.00
GET: 221665.31
GET: 221698.22
GET: 221675.00
GET: 221890.09
GET: 221417.88
GET: 221419.08
GET: 221464.94
GET: 221428.72
GET: 221306.88
GET: 221208.03
GET: 220732.03
GET: 220492.56
GET: 220383.47
GET: 220421.47
GET: 220471.16
GET: 220413.92
GET: 220455.58
GET: 220084.16
GET: 220137.38
GET: 220122.38
GET: 220083.83
GET: 220065.44
GET: 220348.31
GET: 220375.72
GET: 220377.92
GET: 220379.38
GET: 220509.45
GET: 220578.58
GET: 220738.50
GET: 220951.09
GET: 221122.03
GET: 221051.98
GET: 221288.84
GET: 221082.12
GET: 221096.75
GET: 221073.77
GET: 220822.98
GET: 220822.77
GET: 220800.61
GET: 220815.22
GET: 220794.73
GET: 220929.97
GET: 220915.56
GET: 220724.05
GET: 220718.69
GET: 220895.34
GET: 220902.98
GET: 221023.58
GET: 221119.27
GET: 220783.69
GET: 220816.91
GET: 220933.86
GET: 221045.09
GET: 221238.70
GET: 221290.61
GET: 221121.92
GET: 221296.41
GET: 221376.25
GET: 221418.47
GET: 221455.95
GET: 221509.23
GET: 221578.16
GET: 221655.69
GET: 221717.52
GET: 221708.56
GET: 221765.41
GET: 221889.48
GET: 221869.17
GET: 221967.89
GET: 221991.12
GET: 222009.05
GET: 221960.42
GET: 221956.73
GET: 221924.94
GET: 221774.50
GET: 221557.25
GET: 221598.48
GET: 221584.94
GET: 221622.77
GET: 221673.66
GET: 221669.23
GET: 221398.17
GET: 221402.31
GET: 221442.88
GET: 221597.50
GET: 221700.84
GET: 221715.45
GET: 221569.50
GET: 221537.52
GET: 221485.20
GET: 221416.27
GET: 221314.78
GET: 221360.42
GET: 221342.20
GET: 221145.52
GET: 221112.19
GET: 221100.27
GET: 221111.77
GET: 221148.84
GET: 221182.97
GET: 221172.44
GET: 221268.67
GET: 221322.86
GET: 221284.05
GET: 221238.19
GET: 221213.69
GET: 221231.45
GET: 221259.69
GET: 221254.31
GET: 221231.19
GET: 221309.19
GET: 221314.95
GET: 221367.66
GET: 221286.66
GET: 221162.03
GET: 221055.28
GET: 221107.38
GET: 221127.61
GET: 221174.44
GET: 221159.69
GET: 220973.88
GET: 220952.36
GET: 220936.83
GET: 221049.42
GET: 221146.94
GET: 221127.80
GET: 221000.12
GET: 220943.36
GET: 220960.58
GET: 220964.00
GET: 220949.05
GET: 220890.12
GET: 220890.69
GET: 220778.11
GET: 220793.98
GET: 220796.86
GET: 220835.64
GET: 220851.14
GET: 220876.48
GET: 220922.86
GET: 220989.17
GET: 221034.25
GET: 221003.80
GET: 220998.78
GET: 221019.36
GET: 221087.44
GET: 221058.00
GET: 221054.31
GET: 221024.86
GET: 221070.62
GET: 221136.44
GET: 221238.45
GET: 221055.05
GET: 221067.61
GET: 221055.69
GET: 221103.39
GET: 221108.05
GET: 221166.66
GET: 221108.16
GET: 221019.19
GET: 221009.48
GET: 220986.95
GET: 220999.41
GET: 221053.20
GET: 221094.75
GET: 220939.34
GET: 220952.89
GET: 221000.84
GET: 220959.58
GET: 221038.72
GET: 221015.45
GET: 220936.73
GET: 220931.73
GET: 220979.31
GET: 221018.64
GET: 221084.62
GET: 221063.44
GET: 221113.75
GET: 221120.83
GET: 221122.00
GET: 221143.09
GET: 221196.53
GET: 221152.42
GET: 221177.23
GET: 221165.41
GET: 221117.00
GET: 221146.59
GET: 221185.78
GET: 221218.27
GET: 221225.50
GET: 221285.20
GET: 221126.86
GET: 221137.58
GET: 221134.69
GET: 221192.34
GET: 221310.14
GET: 221340.55
GET: 221192.62
GET: 221190.05
GET: 221187.42
GET: 221219.33
GET: 221230.17
GET: 221262.58
GET: 221153.53
GET: 221077.05
GET: 221132.59
GET: 221164.19
GET: 221211.06
GET: 221184.33
GET: 221164.62
GET: 221074.62
GET: 221097.80
GET: 221125.05
GET: 221187.30
GET: 221180.69
GET: 221234.12
GET: 221192.91
GET: 221185.88
GET: 221149.05
GET: 221182.05
GET: 221241.91
GET: 221314.34
GET: 221374.66
GET: 221429.81
GET: 221416.22
GET: 221409.83
GET: 221405.36
GET: 221372.61
GET: 221399.30
GET: 221306.06
GET: 221237.92
GET: 221235.16
GET: 221265.58
GET: 221253.80
GET: 221287.14
GET: 221284.05
GET: 221152.92
GET: 221132.92
GET: 221177.67
GET: 221188.25
GET: 221193.64
GET: 221160.91
GET: 221032.81
GET: 221023.92
GET: 221023.30
GET: 221060.52
GET: 221105.58
GET: 221141.98
GET: 221128.41
GET: 221067.66
GET: 221080.62
GET: 221112.84
GET: 221147.16
GET: 221197.36
GET: 221245.75
GET: 221258.47
GET: 221239.81
GET: 221282.19
GET: 221303.25
GET: 221318.88
GET: 221336.77
GET: 221281.58
GET: 221270.78
GET: 221311.72
GET: 221346.52
GET: 221335.72
GET: 221310.19
GET: 221313.16
GET: 221229.98
GET: 221245.75
GET: 221278.41
GET: 221277.19
GET: 221293.80
GET: 221330.92
GET: 221263.52
GET: 221227.92
GET: 221192.64
GET: 221216.23
GET: 221209.38
GET: 221213.08
GET: 221272.38
GET: 221158.41
GET: 221153.34
GET: 221146.67
GET: 221106.59
GET: 221082.55
GET: 221114.64
GET: 221061.80
GET: 221033.12
GET: 221036.23
GET: 221088.80
GET: 221112.75
GET: 221152.09
GET: 221168.89
GET: 221172.48
====== GET ======
  20000064 requests completed in 90.42 seconds
  16 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.60% <= 0.1 milliseconds
17.47% <= 0.2 milliseconds
38.47% <= 0.3 milliseconds
56.32% <= 0.4 milliseconds
68.33% <= 0.5 milliseconds
75.74% <= 0.6 milliseconds
81.37% <= 0.7 milliseconds
85.52% <= 0.8 milliseconds
88.55% <= 0.9 milliseconds
90.85% <= 1.0 milliseconds
92.61% <= 1.1 milliseconds
93.95% <= 1.2 milliseconds
95.01% <= 1.3 milliseconds
95.85% <= 1.4 milliseconds
96.52% <= 1.5 milliseconds
97.05% <= 1.6 milliseconds
97.48% <= 1.7 milliseconds
97.85% <= 1.8 milliseconds
98.16% <= 1.9 milliseconds
98.42% <= 2 milliseconds
99.65% <= 3 milliseconds
99.91% <= 4 milliseconds
99.98% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 22 milliseconds
100.00% <= 22 milliseconds
221183.38 requests per second


