2023-11-21 22:40:53
GET: nan
GET: 360704.00
GET: 309860.28
GET: 287328.91
GET: 268691.28
GET: 252866.50
GET: 253191.20
GET: 250490.00
GET: 250310.86
GET: 247232.34
GET: 245828.08
GET: 243187.22
GET: 242625.80
GET: 241835.17
GET: 240127.92
GET: 240910.44
GET: 240557.73
GET: 239142.06
GET: 238199.92
GET: 238626.27
GET: 237984.81
GET: 238555.98
GET: 238675.39
GET: 237848.41
GET: 235852.06
GET: 235991.05
GET: 235810.53
GET: 236263.03
GET: 236130.25
GET: 234709.33
GET: 233463.08
GET: 233407.64
GET: 233738.56
GET: 233353.38
GET: 233054.81
GET: 232536.56
GET: 232407.03
GET: 231552.97
GET: 231672.50
GET: 231490.56
GET: 231084.19
GET: 231633.25
GET: 231894.88
GET: 230918.16
GET: 230843.12
GET: 231102.03
GET: 231215.44
GET: 231265.48
GET: 231154.81
GET: 230955.92
GET: 230786.75
GET: 231232.80
GET: 231371.89
GET: 231243.88
GET: 230980.67
GET: 230785.20
GET: 230485.33
GET: 230176.45
GET: 230149.42
GET: 230299.19
GET: 230343.50
GET: 230412.05
GET: 230201.94
GET: 230795.94
GET: 230893.69
GET: 231023.86
GET: 230906.36
GET: 230963.72
GET: 230699.58
GET: 231017.84
GET: 230903.03
GET: 231048.64
GET: 231087.17
GET: 231203.94
GET: 230900.92
GET: 230695.59
GET: 230734.70
GET: 230883.20
GET: 230699.06
GET: 230488.83
GET: 230326.61
GET: 230201.17
GET: 229961.39
GET: 230034.88
GET: 230210.17
GET: 229974.61
GET: 230169.97
GET: 229967.11
GET: 230063.33
GET: 230030.45
GET: 230158.92
GET: 230240.66
GET: 230189.55
GET: 230053.05
GET: 229916.91
GET: 229983.27
GET: 229995.33
GET: 229938.50
GET: 230019.89
GET: 230113.22
GET: 229815.89
GET: 230021.45
GET: 230018.27
GET: 230178.14
GET: 230180.27
GET: 230398.59
GET: 230044.20
GET: 230153.92
GET: 230121.25
GET: 230131.73
GET: 230311.22
GET: 230465.34
GET: 230294.36
GET: 230442.44
GET: 230577.56
GET: 230305.73
GET: 230422.33
GET: 230368.30
GET: 230221.14
GET: 229917.62
GET: 229995.73
GET: 230014.41
GET: 229980.08
GET: 230133.77
GET: 230222.05
GET: 229944.09
GET: 229904.12
GET: 229909.16
GET: 230015.19
GET: 230216.97
GET: 230179.27
GET: 229952.22
GET: 229830.61
GET: 229900.53
GET: 229845.78
GET: 229858.17
GET: 229827.36
GET: 229796.98
GET: 229687.58
GET: 229761.09
GET: 229803.34
GET: 229876.30
GET: 229946.86
GET: 229856.78
GET: 229722.42
GET: 229733.48
GET: 229667.84
GET: 229880.14
GET: 229990.81
GET: 230089.70
GET: 229782.22
GET: 229771.48
GET: 229707.03
GET: 229716.38
GET: 229665.16
GET: 229738.19
GET: 229659.81
GET: 229654.14
GET: 229613.11
GET: 229586.88
GET: 229628.14
GET: 229767.45
GET: 229792.88
GET: 229702.03
GET: 229721.89
GET: 229792.28
GET: 229829.27
GET: 229893.95
GET: 229969.50
GET: 229694.81
GET: 229701.66
GET: 229726.50
GET: 229817.42
GET: 229867.19
GET: 229883.34
GET: 229676.88
GET: 229638.11
GET: 229700.22
GET: 229698.45
GET: 229709.34
GET: 229826.70
GET: 229691.17
GET: 229615.11
GET: 229661.17
GET: 229600.19
GET: 229651.00
GET: 229589.34
GET: 229569.39
GET: 229439.59
GET: 229377.00
GET: 229469.22
GET: 229560.48
GET: 229609.89
GET: 229649.77
GET: 229563.62
GET: 229530.52
GET: 229468.06
GET: 229520.22
GET: 229564.23
GET: 229553.33
GET: 229468.50
GET: 229349.50
GET: 229475.81
GET: 229525.27
GET: 229440.03
GET: 229459.33
GET: 229394.59
GET: 229422.06
GET: 229451.67
GET: 229535.77
GET: 229749.86
GET: 229744.61
GET: 229774.39
GET: 229787.28
GET: 229794.02
GET: 229834.77
GET: 229869.20
GET: 229836.28
GET: 229884.78
GET: 229860.70
GET: 229685.09
GET: 229619.89
GET: 229609.00
GET: 229655.42
GET: 229720.70
GET: 229845.23
GET: 229732.36
GET: 229655.98
GET: 229729.66
GET: 229733.88
GET: 229745.52
GET: 229781.03
GET: 229701.67
GET: 229689.72
GET: 229681.41
GET: 229661.73
GET: 229636.67
GET: 229601.30
GET: 229592.70
GET: 229501.88
GET: 229459.25
GET: 229497.52
GET: 229572.03
GET: 229667.16
GET: 229750.27
GET: 229649.33
GET: 229666.94
GET: 229691.52
GET: 229717.97
GET: 229764.62
GET: 229734.81
GET: 229600.88
GET: 229593.27
GET: 229643.34
GET: 229694.67
GET: 229827.86
GET: 229828.84
GET: 229716.95
GET: 229699.39
GET: 229713.95
GET: 229699.00
GET: 229690.81
GET: 229685.72
GET: 229698.39
GET: 229641.33
GET: 229633.81
GET: 229628.41
GET: 229593.56
GET: 229631.17
GET: 229622.14
GET: 229570.22
GET: 229572.58
GET: 229562.91
GET: 229540.67
GET: 229604.84
GET: 229629.38
GET: 229612.58
GET: 229585.44
GET: 229643.36
GET: 229692.48
GET: 229627.97
GET: 229679.19
GET: 229687.08
GET: 229644.77
GET: 229601.70
GET: 229527.66
GET: 229561.00
GET: 229549.70
GET: 229521.45
GET: 229499.16
GET: 229475.28
GET: 229530.09
GET: 229473.94
GET: 229516.72
GET: 229536.36
GET: 229550.66
GET: 229446.25
GET: 229558.64
GET: 229664.47
GET: 229679.02
GET: 229716.05
GET: 229769.00
GET: 229661.81
GET: 229628.89
GET: 229595.25
GET: 229638.56
GET: 229595.28
GET: 229655.08
GET: 229583.27
GET: 229625.55
GET: 229596.27
GET: 229682.86
GET: 229665.47
GET: 229652.80
GET: 229632.16
GET: 229606.38
GET: 229592.39
GET: 229603.41
GET: 229572.56
GET: 229655.14
GET: 229631.09
GET: 229535.06
GET: 229551.34
GET: 229499.62
GET: 229521.64
GET: 229528.12
GET: 229541.58
GET: 229487.48
GET: 229455.17
GET: 229451.56
GET: 229543.67
GET: 229533.92
GET: 229539.81
GET: 229562.56
GET: 229548.41
GET: 229549.80
GET: 229574.41
GET: 229594.03
GET: 229618.73
GET: 229635.22
GET: 229651.48
GET: 229648.23
GET: 229694.19
GET: 229677.33
GET: 229769.97
GET: 229787.08
GET: 229717.81
GET: 229690.00
GET: 229675.23
====== GET ======
  20000136 requests completed in 87.08 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
1.15% <= 0.2 milliseconds
6.62% <= 0.3 milliseconds
15.75% <= 0.4 milliseconds
24.87% <= 0.5 milliseconds
35.28% <= 0.6 milliseconds
45.45% <= 0.7 milliseconds
54.46% <= 0.8 milliseconds
61.95% <= 0.9 milliseconds
68.16% <= 1.0 milliseconds
73.26% <= 1.1 milliseconds
77.42% <= 1.2 milliseconds
80.81% <= 1.3 milliseconds
83.63% <= 1.4 milliseconds
85.96% <= 1.5 milliseconds
87.88% <= 1.6 milliseconds
89.47% <= 1.7 milliseconds
90.80% <= 1.8 milliseconds
91.89% <= 1.9 milliseconds
92.82% <= 2 milliseconds
97.55% <= 3 milliseconds
99.04% <= 4 milliseconds
99.61% <= 5 milliseconds
99.82% <= 6 milliseconds
99.92% <= 7 milliseconds
99.96% <= 8 milliseconds
99.99% <= 9 milliseconds
99.99% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 15 milliseconds
229675.42 requests per second


