2023-11-21 22:40:53
GET: nan
GET: 422816.00
GET: 340032.00
GET: 310848.00
GET: 285656.00
GET: 267200.00
GET: 260170.67
GET: 257152.00
GET: 252744.00
GET: 249692.44
GET: 247542.41
GET: 244398.55
GET: 243274.67
GET: 242665.03
GET: 242435.88
GET: 241881.11
GET: 240543.88
GET: 237745.47
GET: 237415.69
GET: 238203.33
GET: 237941.22
GET: 237493.81
GET: 236467.55
GET: 235053.39
GET: 233866.36
GET: 233622.78
GET: 233415.17
GET: 233094.95
GET: 232700.47
GET: 231840.03
GET: 231257.70
GET: 231110.31
GET: 231566.05
GET: 231437.62
GET: 231313.02
GET: 231447.83
GET: 231310.28
GET: 231737.09
GET: 231839.19
GET: 232086.95
GET: 232178.38
GET: 232373.00
GET: 231645.78
GET: 231407.00
GET: 231011.91
GET: 231548.56
GET: 231304.53
GET: 231330.89
GET: 230571.69
GET: 230682.44
GET: 230780.45
GET: 231065.31
GET: 231352.20
GET: 231499.03
GET: 230909.36
GET: 230965.25
GET: 231064.84
GET: 231092.47
GET: 231178.72
GET: 231443.17
GET: 231395.41
GET: 231296.75
GET: 231219.34
GET: 231076.86
GET: 231306.73
GET: 231342.00
GET: 231596.73
GET: 230921.89
GET: 230749.61
GET: 230921.72
GET: 230788.59
GET: 230754.42
GET: 230716.62
GET: 230534.41
GET: 230398.95
GET: 230431.98
GET: 230383.17
GET: 230093.12
GET: 230314.33
GET: 229974.20
GET: 229749.30
GET: 229682.72
GET: 229733.56
GET: 229529.31
GET: 229566.70
GET: 229540.00
GET: 229055.45
GET: 228944.09
GET: 229157.58
GET: 229192.73
GET: 229201.98
GET: 229310.14
GET: 228995.27
GET: 228775.66
GET: 228812.45
GET: 228520.86
GET: 228633.34
GET: 228629.78
GET: 228579.97
GET: 228157.47
GET: 228274.20
GET: 228275.28
GET: 228290.45
GET: 228339.00
GET: 228214.30
GET: 227900.72
GET: 227857.02
GET: 227837.72
GET: 227879.50
GET: 227784.38
GET: 227867.14
GET: 227694.34
GET: 227659.25
GET: 227700.75
GET: 227545.73
GET: 227556.36
GET: 227562.39
GET: 227535.78
GET: 227265.91
GET: 227589.70
GET: 227736.47
GET: 227699.83
GET: 227673.47
GET: 227695.61
GET: 227542.06
GET: 227478.72
GET: 227550.86
GET: 227686.81
GET: 227701.48
GET: 227657.94
GET: 227351.89
GET: 227225.77
GET: 227322.47
GET: 227363.62
GET: 227384.25
GET: 227412.02
GET: 227452.78
GET: 227448.84
GET: 227461.41
GET: 227483.91
GET: 227474.34
GET: 227480.11
GET: 227529.16
GET: 227265.25
GET: 227266.12
GET: 227412.45
GET: 227456.77
GET: 227562.47
GET: 227668.70
GET: 227527.14
GET: 227621.31
GET: 227682.69
GET: 227666.27
GET: 227715.47
GET: 227815.52
GET: 227617.02
GET: 227656.98
GET: 227867.72
GET: 228023.38
GET: 228214.89
GET: 228263.20
GET: 228186.30
GET: 228186.94
GET: 228128.70
GET: 228199.47
GET: 228233.92
GET: 228287.98
GET: 228230.17
GET: 228103.55
GET: 228296.50
GET: 228305.67
GET: 228332.03
GET: 228391.33
GET: 228414.39
GET: 228282.27
GET: 228323.78
GET: 228331.56
GET: 228190.05
GET: 228206.22
GET: 228206.33
GET: 228044.41
GET: 228019.61
GET: 228029.69
GET: 228019.22
GET: 228028.50
GET: 228042.17
GET: 227966.47
GET: 227928.17
GET: 227971.42
GET: 228019.62
GET: 228054.36
GET: 228150.67
GET: 228246.50
GET: 228184.08
GET: 228214.86
GET: 228242.78
GET: 228348.58
GET: 228439.33
GET: 228355.23
GET: 228140.69
GET: 228037.66
GET: 228049.56
GET: 228027.62
GET: 228145.00
GET: 228124.94
GET: 228055.06
GET: 228051.08
GET: 228135.80
GET: 228098.09
GET: 228068.23
GET: 228157.45
GET: 228104.34
GET: 228059.81
GET: 228037.16
GET: 227975.66
GET: 227980.53
GET: 228049.45
GET: 228076.34
GET: 227924.17
GET: 227922.62
GET: 228000.72
GET: 227918.39
GET: 227930.14
GET: 227958.12
GET: 227844.83
GET: 227884.17
GET: 227897.70
GET: 227882.52
GET: 227954.83
GET: 228081.12
GET: 227983.88
GET: 227888.16
GET: 227969.27
GET: 227953.20
GET: 228009.16
GET: 228018.77
GET: 228029.12
GET: 228063.41
GET: 228046.61
GET: 228081.61
GET: 228067.94
GET: 228078.47
GET: 228105.38
GET: 228012.03
GET: 227929.69
GET: 227955.69
GET: 228000.97
GET: 227960.97
GET: 228006.38
GET: 227897.20
GET: 227794.14
GET: 227840.31
GET: 227897.78
GET: 227944.58
GET: 227905.89
GET: 227891.47
GET: 227889.39
GET: 227904.50
GET: 227859.88
GET: 227881.03
GET: 227871.28
GET: 227897.62
GET: 227851.89
GET: 227880.41
GET: 227902.19
GET: 227947.27
GET: 227955.27
GET: 227936.28
GET: 227833.67
GET: 227801.66
GET: 227781.86
GET: 227764.50
GET: 227837.19
GET: 227802.30
GET: 227749.56
GET: 227606.19
GET: 227601.47
GET: 227690.98
GET: 227742.58
GET: 227758.52
GET: 227748.31
GET: 227665.91
GET: 227698.33
GET: 227720.98
GET: 227676.47
GET: 227684.11
GET: 227677.80
GET: 227605.61
GET: 227628.84
GET: 227677.70
GET: 227698.66
GET: 227694.20
GET: 227773.22
GET: 227693.12
GET: 227705.16
GET: 227703.22
GET: 227724.09
GET: 227708.34
GET: 227692.22
GET: 227689.70
GET: 227623.38
GET: 227654.75
GET: 227630.38
GET: 227600.89
GET: 227566.86
GET: 227623.11
GET: 227470.17
GET: 227456.47
GET: 227472.47
GET: 227478.00
GET: 227544.97
GET: 227490.88
GET: 227437.36
GET: 227429.05
GET: 227515.59
GET: 227528.19
GET: 227513.80
GET: 227513.00
GET: 227469.89
GET: 227412.02
GET: 227454.02
GET: 227448.64
GET: 227509.55
GET: 227488.73
GET: 227511.05
GET: 227416.42
GET: 227393.78
GET: 227408.84
GET: 227443.45
GET: 227464.09
GET: 227435.30
GET: 227318.59
GET: 227364.67
GET: 227407.38
GET: 227465.92
GET: 227486.03
GET: 227475.19
GET: 227464.61
GET: 227474.75
GET: 227491.39
GET: 227485.56
GET: 227450.12
GET: 227486.69
GET: 227489.31
GET: 227412.61
GET: 227428.19
GET: 227432.94
GET: 227402.78
GET: 227456.19
GET: 227481.56
GET: 227402.92
GET: 227587.73
====== GET ======
  20000024 requests completed in 87.85 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
1.07% <= 0.2 milliseconds
6.27% <= 0.3 milliseconds
15.14% <= 0.4 milliseconds
23.99% <= 0.5 milliseconds
34.19% <= 0.6 milliseconds
44.40% <= 0.7 milliseconds
53.48% <= 0.8 milliseconds
61.08% <= 0.9 milliseconds
67.47% <= 1.0 milliseconds
72.69% <= 1.1 milliseconds
76.91% <= 1.2 milliseconds
80.34% <= 1.3 milliseconds
83.18% <= 1.4 milliseconds
85.53% <= 1.5 milliseconds
87.46% <= 1.6 milliseconds
89.09% <= 1.7 milliseconds
90.45% <= 1.8 milliseconds
91.59% <= 1.9 milliseconds
92.55% <= 2 milliseconds
97.57% <= 3 milliseconds
99.13% <= 4 milliseconds
99.67% <= 5 milliseconds
99.86% <= 6 milliseconds
99.94% <= 7 milliseconds
99.97% <= 8 milliseconds
99.98% <= 9 milliseconds
99.99% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 18 milliseconds
227668.83 requests per second


