2023-11-21 22:40:53
GET: 0.00
GET: 220430.30
GET: 230978.05
GET: 234077.23
GET: 234133.86
GET: 238350.11
GET: 236663.55
GET: 236812.78
GET: 237234.75
GET: 236763.75
GET: 237231.00
GET: 236075.58
GET: 235347.09
GET: 234557.64
GET: 234980.30
GET: 235883.83
GET: 236826.39
GET: 236954.62
GET: 236318.91
GET: 234980.86
GET: 236138.33
GET: 235498.20
GET: 234961.30
GET: 235191.39
GET: 235367.66
GET: 233975.38
GET: 234310.33
GET: 234011.56
GET: 233885.77
GET: 234142.81
GET: 233875.27
GET: 232983.23
GET: 232254.88
GET: 231742.19
GET: 231654.77
GET: 232002.75
GET: 231918.27
GET: 231708.67
GET: 231040.41
GET: 231052.70
GET: 230953.22
GET: 231105.14
GET: 231070.84
GET: 230504.00
GET: 229885.14
GET: 229465.08
GET: 229353.28
GET: 229575.64
GET: 229316.91
GET: 229107.89
GET: 228680.11
GET: 228784.70
GET: 228809.48
GET: 229383.42
GET: 229727.41
GET: 229584.36
GET: 229237.38
GET: 228673.64
GET: 228427.66
GET: 228153.14
GET: 228253.48
GET: 228456.97
GET: 228868.00
GET: 228275.94
GET: 228664.45
GET: 228656.70
GET: 228283.02
GET: 228427.20
GET: 228571.89
GET: 228048.67
GET: 227903.59
GET: 228104.05
GET: 227935.59
GET: 228202.84
GET: 228398.48
GET: 228078.89
GET: 227840.08
GET: 227820.14
GET: 227809.33
GET: 227639.27
GET: 227962.42
GET: 227953.02
GET: 227530.77
GET: 227520.23
GET: 227576.20
GET: 227730.58
GET: 227776.47
GET: 227877.20
GET: 227414.45
GET: 227637.38
GET: 227758.33
GET: 227620.39
GET: 227388.30
GET: 227377.67
GET: 227026.20
GET: 227233.75
GET: 227306.36
GET: 227431.88
GET: 227414.50
GET: 227588.09
GET: 227099.27
GET: 227068.28
GET: 227155.80
GET: 227180.81
GET: 227127.19
GET: 227122.70
GET: 227108.95
GET: 226788.81
GET: 226797.34
GET: 227068.03
GET: 227134.06
GET: 227142.44
GET: 227091.55
GET: 226706.47
GET: 226694.25
GET: 226738.41
GET: 226578.55
GET: 226379.39
GET: 226506.95
GET: 226377.05
GET: 226196.80
GET: 226383.98
GET: 226326.20
GET: 226437.31
GET: 226698.98
GET: 226501.17
GET: 226599.34
GET: 226680.09
GET: 226581.22
GET: 226589.98
GET: 226518.38
GET: 226398.61
GET: 226305.80
GET: 226282.22
GET: 226401.67
GET: 226532.80
GET: 226628.67
GET: 226607.17
GET: 226433.77
GET: 226547.16
GET: 226660.52
GET: 226658.44
GET: 226615.64
GET: 226648.12
GET: 226519.62
GET: 226622.12
GET: 226716.08
GET: 226814.62
GET: 226975.36
GET: 227077.72
GET: 226920.59
GET: 226939.31
GET: 226978.05
GET: 227145.83
GET: 227086.80
GET: 227249.67
GET: 227117.77
GET: 227240.08
GET: 227224.84
GET: 227220.59
GET: 227232.66
GET: 227287.09
GET: 227076.38
GET: 227064.39
GET: 227146.62
GET: 227240.27
GET: 227226.94
GET: 227300.19
GET: 227299.97
GET: 227271.95
GET: 227228.47
GET: 227231.66
GET: 227194.12
GET: 227346.98
GET: 227316.02
GET: 227146.36
GET: 227221.86
GET: 227313.50
GET: 227393.44
GET: 227450.05
GET: 227427.88
GET: 227216.25
GET: 227140.20
GET: 227047.06
GET: 227048.06
GET: 227103.16
GET: 227150.77
GET: 227199.59
GET: 227020.69
GET: 227068.66
GET: 227085.67
GET: 227086.61
GET: 227135.81
GET: 227214.34
GET: 227127.58
GET: 227190.75
GET: 227192.75
GET: 227243.69
GET: 227393.16
GET: 227445.86
GET: 227304.11
GET: 227270.28
GET: 227242.55
GET: 227299.36
GET: 227325.52
GET: 227348.77
GET: 227264.23
GET: 227269.33
GET: 227308.81
GET: 227416.30
GET: 227481.80
GET: 227468.44
GET: 227355.36
GET: 227327.67
GET: 227357.50
GET: 227397.06
GET: 227373.20
GET: 227428.09
GET: 227491.88
GET: 227395.66
GET: 227392.00
GET: 227469.69
GET: 227546.81
GET: 227592.86
GET: 227478.20
GET: 227389.58
GET: 227490.03
GET: 227562.42
GET: 227610.19
GET: 227533.02
GET: 227588.97
GET: 227397.81
GET: 227340.25
GET: 227432.41
GET: 227390.02
GET: 227438.33
GET: 227505.73
GET: 227441.03
GET: 227374.88
GET: 227376.95
GET: 227301.22
GET: 227290.58
GET: 227315.70
GET: 227214.84
GET: 227142.44
GET: 227171.66
GET: 227256.25
GET: 227310.64
GET: 227317.03
GET: 227379.22
GET: 227316.73
GET: 227316.02
GET: 227370.44
GET: 227333.00
GET: 227377.03
GET: 227391.52
GET: 227249.50
GET: 227231.39
GET: 227255.06
GET: 227248.31
GET: 227326.47
GET: 227334.06
GET: 227232.39
GET: 227285.14
GET: 227284.05
GET: 227291.70
GET: 227282.45
GET: 227262.27
GET: 227205.20
GET: 227144.56
GET: 227115.08
GET: 227130.38
GET: 227202.80
GET: 227265.33
GET: 227290.19
GET: 227155.33
GET: 227106.03
GET: 227119.64
GET: 227194.58
GET: 227177.64
GET: 227225.22
GET: 227168.23
GET: 227201.34
GET: 227260.66
GET: 227318.64
GET: 227336.73
GET: 227354.83
GET: 227253.34
GET: 227251.72
GET: 227325.33
GET: 227309.69
GET: 227347.11
GET: 227380.22
GET: 227371.86
GET: 227312.11
GET: 227354.44
GET: 227362.98
GET: 227381.39
GET: 227424.81
GET: 227436.25
GET: 227271.55
GET: 227272.91
GET: 227204.83
GET: 227260.00
GET: 227247.59
GET: 227279.83
GET: 227204.66
GET: 227246.52
GET: 227269.47
GET: 227276.38
GET: 227317.55
GET: 227384.20
GET: 227245.34
GET: 227196.88
GET: 227171.23
GET: 227183.67
GET: 227179.17
GET: 227202.83
GET: 227228.86
GET: 227119.73
GET: 227145.45
GET: 227145.62
GET: 227207.95
GET: 227226.64
GET: 227232.33
GET: 227102.39
GET: 227087.98
GET: 227093.95
GET: 227068.55
GET: 227151.06
GET: 227157.70
GET: 227074.28
GET: 227060.17
GET: 227131.36
GET: 227144.28
GET: 227168.78
GET: 227229.39
GET: 227156.45
GET: 227144.28
GET: 227143.22
GET: 227190.59
GET: 227166.81
GET: 227209.50
GET: 227211.14
GET: 227145.31
GET: 227158.36
GET: 227132.52
GET: 227159.62
GET: 227233.88
GET: 227332.34
GET: 227440.30
GET: 227673.06
====== GET ======
  20000016 requests completed in 87.84 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.77% <= 0.2 milliseconds
6.02% <= 0.3 milliseconds
15.09% <= 0.4 milliseconds
23.75% <= 0.5 milliseconds
33.56% <= 0.6 milliseconds
43.96% <= 0.7 milliseconds
53.44% <= 0.8 milliseconds
61.36% <= 0.9 milliseconds
67.81% <= 1.0 milliseconds
73.05% <= 1.1 milliseconds
77.27% <= 1.2 milliseconds
80.66% <= 1.3 milliseconds
83.48% <= 1.4 milliseconds
85.82% <= 1.5 milliseconds
87.75% <= 1.6 milliseconds
89.33% <= 1.7 milliseconds
90.65% <= 1.8 milliseconds
91.76% <= 1.9 milliseconds
92.72% <= 2 milliseconds
97.63% <= 3 milliseconds
99.10% <= 4 milliseconds
99.62% <= 5 milliseconds
99.84% <= 6 milliseconds
99.93% <= 7 milliseconds
99.96% <= 8 milliseconds
99.98% <= 9 milliseconds
99.99% <= 10 milliseconds
99.99% <= 11 milliseconds
99.99% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 27 milliseconds
100.00% <= 28 milliseconds
100.00% <= 28 milliseconds
227681.69 requests per second


