2023-11-24 03:14:26
GET: nan
GET: 236192.00
GET: 229792.00
GET: 228341.33
GET: 225464.00
GET: 222585.59
GET: 226042.67
GET: 216228.58
GET: 216192.00
GET: 218019.56
GET: 218761.59
GET: 218528.00
GET: 218213.33
GET: 215618.47
GET: 216228.58
GET: 216891.73
GET: 217652.00
GET: 218415.06
GET: 218890.67
GET: 218799.16
GET: 217678.06
GET: 217962.30
GET: 218366.12
GET: 218555.39
GET: 219367.44
GET: 219317.23
GET: 218386.59
GET: 218571.91
GET: 219006.72
GET: 219398.33
GET: 219775.56
GET: 220239.91
GET: 220585.27
GET: 220284.50
GET: 220103.02
GET: 220047.98
GET: 220093.73
GET: 220678.27
GET: 220916.34
GET: 220922.38
GET: 220716.98
GET: 221184.03
GET: 221224.41
GET: 221471.95
GET: 221694.44
GET: 221667.47
GET: 221064.41
GET: 221218.06
GET: 221095.39
GET: 221326.36
GET: 221603.12
GET: 221446.88
GET: 220753.97
GET: 220874.36
GET: 220603.67
GET: 220882.95
GET: 220974.02
GET: 220981.06
GET: 220723.67
GET: 220244.55
GET: 220478.28
GET: 220655.05
GET: 220604.75
GET: 220810.47
GET: 220945.77
GET: 220640.83
GET: 220727.09
GET: 220685.22
GET: 220776.77
GET: 220651.45
GET: 220579.53
GET: 220635.80
GET: 220951.80
GET: 221017.64
GET: 221228.70
GET: 221408.12
GET: 221225.02
GET: 221114.78
GET: 221029.53
GET: 221165.14
GET: 221359.73
GET: 221412.06
GET: 221452.59
GET: 221644.80
GET: 221235.58
GET: 221145.02
GET: 221147.70
GET: 221297.42
GET: 221240.50
GET: 221270.06
GET: 221334.64
GET: 220834.81
GET: 220731.50
GET: 220723.98
GET: 220760.53
GET: 220685.17
GET: 220878.98
GET: 220596.30
GET: 220250.06
GET: 220124.09
GET: 219977.28
GET: 220072.53
GET: 220152.11
GET: 220231.09
GET: 220023.69
GET: 220213.58
GET: 220116.80
GET: 220235.91
GET: 220278.89
GET: 220326.81
GET: 220201.11
GET: 220061.25
GET: 220165.53
GET: 220176.81
GET: 220246.25
GET: 220191.27
GET: 220276.48
GET: 220394.98
GET: 220455.62
GET: 220559.88
GET: 220620.78
GET: 220622.27
GET: 220788.14
GET: 220765.88
GET: 220576.77
GET: 220611.58
GET: 220614.09
GET: 220636.20
GET: 220725.72
GET: 220797.97
GET: 220583.88
GET: 220608.09
GET: 220689.53
GET: 220637.55
GET: 220715.64
GET: 220679.53
GET: 220468.70
GET: 220268.67
GET: 220313.08
GET: 220344.44
GET: 220396.59
GET: 220378.34
GET: 220471.22
GET: 220291.62
GET: 220305.38
GET: 220330.84
GET: 220409.22
GET: 220335.92
GET: 220416.45
GET: 220506.84
GET: 220446.52
GET: 220373.00
GET: 220466.95
GET: 220468.92
GET: 220530.48
GET: 220566.06
GET: 220564.48
GET: 220567.22
GET: 220637.94
GET: 220648.61
GET: 220595.77
GET: 220616.31
GET: 220566.11
GET: 220327.69
GET: 220315.34
GET: 220314.02
GET: 220298.83
GET: 220296.08
GET: 220324.80
GET: 220189.78
GET: 220087.05
GET: 220095.33
GET: 220114.50
GET: 220141.75
GET: 220170.00
GET: 220270.86
GET: 220027.00
GET: 220066.97
GET: 220024.19
GET: 220187.95
GET: 220264.22
GET: 220338.41
GET: 220215.78
GET: 220200.88
GET: 220271.08
GET: 220258.20
GET: 220282.78
GET: 220328.33
GET: 220433.45
GET: 220374.28
GET: 220380.05
GET: 220408.55
GET: 220440.39
GET: 220507.72
GET: 220631.27
GET: 220618.84
GET: 220641.47
GET: 220721.69
GET: 220772.33
GET: 220801.09
GET: 220909.53
GET: 220907.62
GET: 220770.25
GET: 220795.69
GET: 220791.31
GET: 220779.03
GET: 220788.59
GET: 220740.59
GET: 220551.08
GET: 220524.11
GET: 220471.95
GET: 220457.12
GET: 220464.48
GET: 220404.39
GET: 220395.92
GET: 220208.69
GET: 220198.25
GET: 220255.70
GET: 220318.67
GET: 220339.56
GET: 220412.19
GET: 220409.16
GET: 220416.25
GET: 220401.47
GET: 220443.95
GET: 220480.38
GET: 220506.70
GET: 220509.27
GET: 220493.14
GET: 220582.91
GET: 220558.95
GET: 220537.00
GET: 220538.69
GET: 220601.33
GET: 220577.02
GET: 220615.27
GET: 220563.59
GET: 220563.64
GET: 220552.41
GET: 220578.33
GET: 220613.78
GET: 220412.91
GET: 220437.64
GET: 220428.61
GET: 220476.94
GET: 220436.92
GET: 220485.08
GET: 220459.94
GET: 220306.64
GET: 220277.66
GET: 220276.41
GET: 220292.64
GET: 220314.84
GET: 220402.88
GET: 220290.95
GET: 220292.20
GET: 220306.36
GET: 220310.64
GET: 220367.47
GET: 220420.53
GET: 220396.39
GET: 220350.02
GET: 220383.23
GET: 220385.05
GET: 220421.77
GET: 220394.47
GET: 220407.17
GET: 220355.20
GET: 220405.20
GET: 220443.55
GET: 220458.48
GET: 220500.00
GET: 220506.05
GET: 220503.61
GET: 220496.52
GET: 220515.42
GET: 220494.66
GET: 220467.47
GET: 220481.55
GET: 220475.58
GET: 220411.72
GET: 220394.89
GET: 220380.39
GET: 220379.72
GET: 220387.73
GET: 220417.47
GET: 220406.16
GET: 220277.12
GET: 220260.86
GET: 220269.36
GET: 220295.47
GET: 220328.42
GET: 220319.84
GET: 220242.11
GET: 220233.23
GET: 220289.59
GET: 220320.59
GET: 220355.28
GET: 220403.58
GET: 220339.42
GET: 220287.97
GET: 220330.69
GET: 220309.58
GET: 220266.53
GET: 220272.81
GET: 220317.80
GET: 220323.88
GET: 220350.12
GET: 220415.36
GET: 220399.31
GET: 220420.81
GET: 220423.17
GET: 220450.73
GET: 220488.84
GET: 220513.27
GET: 220535.70
GET: 220566.61
GET: 220537.27
GET: 220599.06
GET: 220537.91
GET: 220518.23
GET: 220492.11
GET: 220509.27
GET: 220526.11
GET: 220497.03
GET: 220505.44
GET: 220429.22
GET: 220416.36
GET: 220440.45
GET: 220404.78
GET: 220453.48
GET: 220469.42
GET: 220385.23
GET: 220317.50
GET: 220315.11
GET: 220286.77
GET: 220324.86
GET: 220311.27
GET: 220270.03
GET: 220215.91
GET: 220211.42
GET: 220170.22
GET: 220213.59
GET: 220238.06
GET: 220285.73
GET: 220255.50
GET: 220246.81
GET: 220247.48
GET: 220253.95
GET: 220251.66
GET: 220219.69
GET: 220250.14
GET: 220277.23
GET: 220225.34
GET: 220272.50
GET: 220276.25
GET: 220239.44
GET: 220240.64
GET: 220240.78
GET: 220159.91
GET: 220168.88
GET: 220194.11
GET: 220290.78
====== GET ======
  20000000 requests completed in 90.73 seconds
  16 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.81% <= 0.1 milliseconds
17.59% <= 0.2 milliseconds
38.49% <= 0.3 milliseconds
56.13% <= 0.4 milliseconds
67.94% <= 0.5 milliseconds
75.46% <= 0.6 milliseconds
81.12% <= 0.7 milliseconds
85.34% <= 0.8 milliseconds
88.42% <= 0.9 milliseconds
90.74% <= 1.0 milliseconds
92.53% <= 1.1 milliseconds
93.89% <= 1.2 milliseconds
94.96% <= 1.3 milliseconds
95.79% <= 1.4 milliseconds
96.45% <= 1.5 milliseconds
96.96% <= 1.6 milliseconds
97.41% <= 1.7 milliseconds
97.80% <= 1.8 milliseconds
98.13% <= 1.9 milliseconds
98.40% <= 2 milliseconds
99.65% <= 3 milliseconds
99.92% <= 4 milliseconds
99.98% <= 5 milliseconds
99.99% <= 6 milliseconds
99.99% <= 7 milliseconds
100.00% <= 13 milliseconds
100.00% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 23 milliseconds
100.00% <= 24 milliseconds
100.00% <= 24 milliseconds
220431.81 requests per second


