2023-11-21 22:40:53
GET: nan
GET: 208000.00
GET: 213408.00
GET: 221301.33
GET: 226000.00
GET: 227116.80
GET: 227194.67
GET: 226791.55
GET: 223184.81
GET: 225122.06
GET: 226520.77
GET: 226103.12
GET: 227720.38
GET: 228292.56
GET: 224694.06
GET: 225278.64
GET: 226175.81
GET: 226202.16
GET: 226852.56
GET: 227237.69
GET: 225590.72
GET: 225764.75
GET: 226584.30
GET: 226180.05
GET: 226285.14
GET: 226588.64
GET: 226786.78
GET: 227168.02
GET: 227291.36
GET: 227342.25
GET: 227645.56
GET: 227426.95
GET: 228041.47
GET: 227276.56
GET: 227318.52
GET: 227699.83
GET: 228390.45
GET: 228840.62
GET: 229218.30
GET: 228407.17
GET: 228047.58
GET: 227614.67
GET: 227548.45
GET: 227889.94
GET: 227974.56
GET: 227541.59
GET: 226878.50
GET: 226693.20
GET: 226908.97
GET: 227467.08
GET: 227542.97
GET: 227406.44
GET: 226981.17
GET: 226880.30
GET: 226884.20
GET: 226831.56
GET: 227186.41
GET: 227048.09
GET: 226824.14
GET: 227001.22
GET: 227250.73
GET: 227570.17
GET: 227426.50
GET: 227483.31
GET: 227011.75
GET: 226750.47
GET: 226447.52
GET: 226545.12
GET: 226589.55
GET: 226457.97
GET: 226342.94
GET: 225902.38
GET: 226035.86
GET: 226381.64
GET: 226346.45
GET: 226326.70
GET: 226205.22
GET: 226155.84
GET: 226252.44
GET: 226382.00
GET: 226328.27
GET: 226760.62
GET: 226605.70
GET: 226510.00
GET: 226255.16
GET: 226376.88
GET: 226313.92
GET: 226446.88
GET: 226702.53
GET: 226790.39
GET: 226510.69
GET: 226515.80
GET: 226703.64
GET: 226891.91
GET: 226986.02
GET: 227071.41
GET: 226604.25
GET: 226335.77
GET: 226565.17
GET: 226762.39
GET: 226913.11
GET: 226897.16
GET: 226846.52
GET: 227233.97
GET: 227374.47
GET: 227357.88
GET: 227501.80
GET: 227668.73
GET: 227467.95
GET: 227413.73
GET: 227514.12
GET: 227507.55
GET: 227601.58
GET: 227716.31
GET: 227621.47
GET: 227594.17
GET: 227714.28
GET: 227668.89
GET: 227845.67
GET: 227867.00
GET: 227623.22
GET: 227561.84
GET: 227589.55
GET: 227591.06
GET: 227632.53
GET: 227769.52
GET: 227881.98
GET: 227803.61
GET: 227804.64
GET: 227811.11
GET: 227715.28
GET: 227772.38
GET: 227830.55
GET: 227719.55
GET: 227844.06
GET: 227973.36
GET: 228165.42
GET: 228169.59
GET: 228170.91
GET: 227836.78
GET: 227730.81
GET: 227819.81
GET: 227901.70
GET: 228041.05
GET: 228099.39
GET: 227988.42
GET: 227838.47
GET: 227984.67
GET: 228119.17
GET: 228168.81
GET: 228255.11
GET: 228352.11
GET: 228197.36
GET: 228179.56
GET: 228325.20
GET: 228399.52
GET: 228430.05
GET: 228366.42
GET: 228186.41
GET: 228255.42
GET: 228318.38
GET: 228371.42
GET: 228416.11
GET: 228403.94
GET: 228242.17
GET: 228312.61
GET: 228317.67
GET: 228280.14
GET: 228215.86
GET: 228414.02
GET: 228369.45
GET: 228332.69
GET: 228486.75
GET: 228515.73
GET: 228439.62
GET: 228557.91
GET: 228604.53
GET: 228560.64
GET: 228537.19
GET: 228580.47
GET: 228569.42
GET: 228607.62
GET: 228526.17
GET: 228262.75
GET: 228201.53
GET: 228288.25
GET: 228259.38
GET: 228255.94
GET: 228291.22
GET: 228243.33
GET: 228052.69
GET: 227949.78
GET: 227942.20
GET: 228006.80
GET: 228051.44
GET: 228116.28
GET: 227890.03
GET: 228007.47
GET: 228028.27
GET: 228017.36
GET: 228113.30
GET: 228181.22
GET: 228067.91
GET: 227964.70
GET: 228011.75
GET: 228026.67
GET: 228058.36
GET: 228102.11
GET: 227934.95
GET: 227854.62
GET: 227945.47
GET: 227949.97
GET: 227907.22
GET: 227818.62
GET: 227843.83
GET: 227720.34
GET: 227778.80
GET: 227693.00
GET: 227693.39
GET: 227705.00
GET: 227702.56
GET: 227527.50
GET: 227564.92
GET: 227633.56
GET: 227630.78
GET: 227788.77
GET: 227803.58
GET: 227739.56
GET: 227695.97
GET: 227697.78
GET: 227679.22
GET: 227712.31
GET: 227780.61
GET: 227715.81
GET: 227689.28
GET: 227706.94
GET: 227750.86
GET: 227715.61
GET: 227713.45
GET: 227772.72
GET: 227649.20
GET: 227604.08
GET: 227630.56
GET: 227570.36
GET: 227626.64
GET: 227620.72
GET: 227525.80
GET: 227484.59
GET: 227483.20
GET: 227462.53
GET: 227477.98
GET: 227480.95
GET: 227515.00
GET: 227535.75
GET: 227531.66
GET: 227600.80
GET: 227723.84
GET: 227759.50
GET: 227701.06
GET: 227671.22
GET: 227626.36
GET: 227665.28
GET: 227759.45
GET: 227818.50
GET: 227874.67
GET: 227783.91
GET: 227726.03
GET: 227758.81
GET: 227786.20
GET: 227817.19
GET: 227820.91
GET: 227744.88
GET: 227695.59
GET: 227723.19
GET: 227729.09
GET: 227803.00
GET: 227875.78
GET: 227712.17
GET: 227665.81
GET: 227736.12
GET: 227768.44
GET: 227831.62
GET: 227835.17
GET: 227877.67
GET: 227774.95
GET: 227746.34
GET: 227832.33
GET: 227878.83
GET: 227850.81
GET: 227895.05
GET: 227808.39
GET: 227781.47
GET: 227843.77
GET: 227856.09
GET: 227855.16
GET: 227846.33
GET: 227754.25
GET: 227785.55
GET: 227805.70
GET: 227826.67
GET: 227861.16
GET: 227915.27
GET: 227935.34
GET: 227900.78
GET: 227917.11
GET: 227880.05
GET: 227879.61
GET: 227879.17
GET: 227861.19
GET: 227734.12
GET: 227791.36
GET: 227815.67
GET: 227810.00
GET: 227829.61
GET: 227885.47
GET: 227856.28
GET: 227801.69
GET: 227809.67
GET: 227785.53
GET: 227776.08
GET: 227883.41
GET: 227791.72
GET: 227733.47
GET: 227768.36
GET: 227769.56
GET: 227769.67
GET: 227809.92
GET: 227801.89
GET: 227761.31
GET: 227774.62
GET: 227806.61
GET: 227809.80
GET: 227811.62
GET: 227891.42
GET: 227789.30
GET: 227750.69
GET: 227767.00
GET: 227753.17
GET: 227804.52
GET: 227837.36
GET: 227739.17
GET: 227756.81
GET: 227741.81
GET: 227776.03
GET: 227831.62
GET: 227799.95
GET: 227741.75
GET: 227692.17
GET: 227749.75
GET: 227929.44
GET: 228415.20
====== GET ======
  20000040 requests completed in 87.56 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.93% <= 0.2 milliseconds
6.26% <= 0.3 milliseconds
15.55% <= 0.4 milliseconds
24.67% <= 0.5 milliseconds
34.83% <= 0.6 milliseconds
44.91% <= 0.7 milliseconds
53.96% <= 0.8 milliseconds
61.53% <= 0.9 milliseconds
67.83% <= 1.0 milliseconds
73.05% <= 1.1 milliseconds
77.30% <= 1.2 milliseconds
80.75% <= 1.3 milliseconds
83.60% <= 1.4 milliseconds
85.93% <= 1.5 milliseconds
87.85% <= 1.6 milliseconds
89.44% <= 1.7 milliseconds
90.75% <= 1.8 milliseconds
91.83% <= 1.9 milliseconds
92.74% <= 2 milliseconds
97.55% <= 3 milliseconds
99.08% <= 4 milliseconds
99.62% <= 5 milliseconds
99.82% <= 6 milliseconds
99.91% <= 7 milliseconds
99.96% <= 8 milliseconds
99.97% <= 9 milliseconds
99.98% <= 10 milliseconds
99.98% <= 11 milliseconds
99.99% <= 12 milliseconds
99.99% <= 13 milliseconds
99.99% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 22 milliseconds
100.00% <= 23 milliseconds
100.00% <= 23 milliseconds
228425.69 requests per second


