2023-11-21 23:03:03
GET: nan
GET: 224544.00
GET: 196272.00
GET: 188559.25
GET: 189176.47
GET: 183815.00
GET: 182909.58
GET: 183644.25
GET: 184427.16
GET: 184766.64
GET: 186121.41
GET: 185641.25
GET: 185307.59
GET: 186898.59
GET: 186915.53
GET: 185150.78
GET: 183730.27
GET: 182977.20
GET: 183399.77
GET: 183890.64
GET: 183616.38
GET: 182591.81
GET: 181921.89
GET: 181108.59
GET: 180072.61
GET: 179824.14
GET: 179375.86
GET: 179280.53
GET: 179796.14
GET: 179195.59
GET: 178235.31
GET: 177799.09
GET: 177091.31
GET: 176886.73
GET: 176386.50
GET: 176444.91
GET: 176452.09
GET: 176173.70
GET: 175910.80
GET: 175679.41
GET: 175326.08
GET: 175067.17
GET: 175613.20
GET: 175492.80
GET: 175305.89
GET: 175078.97
GET: 174724.36
GET: 174584.78
GET: 174609.05
GET: 174672.66
GET: 174995.28
GET: 174921.55
GET: 174925.05
GET: 174968.86
GET: 174772.38
GET: 174603.39
GET: 174429.81
GET: 174305.31
GET: 174704.44
GET: 174879.22
GET: 174777.44
GET: 174780.69
GET: 174413.52
GET: 174262.05
GET: 174352.25
GET: 174634.88
GET: 174601.77
GET: 174985.28
GET: 174793.97
GET: 174741.47
GET: 174545.75
GET: 174509.94
GET: 174452.12
GET: 174454.03
GET: 174417.45
GET: 174381.84
GET: 174246.67
GET: 174012.05
GET: 173898.17
GET: 174032.78
GET: 174100.89
GET: 174456.66
GET: 174464.94
GET: 174551.58
GET: 174487.83
GET: 174260.03
GET: 174091.44
GET: 174057.12
GET: 174248.45
GET: 174491.52
GET: 174584.33
GET: 174440.75
GET: 174283.61
GET: 174086.53
GET: 174075.58
GET: 174084.38
GET: 174423.64
GET: 174439.22
GET: 174353.75
GET: 174210.53
GET: 174262.19
GET: 174040.27
GET: 173976.73
GET: 174146.84
GET: 174398.22
GET: 174628.36
GET: 174581.89
GET: 174517.16
GET: 174414.27
GET: 174314.72
GET: 174260.58
GET: 174150.67
GET: 174218.95
GET: 174316.72
GET: 174312.12
GET: 174187.81
GET: 174120.34
GET: 174101.97
GET: 174192.52
GET: 174349.03
GET: 174358.23
GET: 174516.81
GET: 174516.38
GET: 174436.95
GET: 174401.34
GET: 174276.81
GET: 174238.72
GET: 174299.62
GET: 174384.33
GET: 174551.95
GET: 174535.09
GET: 174447.03
GET: 174298.78
GET: 174184.06
GET: 174177.33
GET: 174201.23
GET: 174126.78
GET: 174185.98
GET: 174200.97
GET: 174143.08
GET: 174149.12
GET: 174083.81
GET: 174047.55
GET: 174284.23
GET: 174259.97
GET: 174421.39
GET: 174472.69
GET: 174530.03
GET: 174575.58
GET: 174508.77
GET: 174479.27
GET: 174540.34
GET: 174634.05
GET: 174653.47
GET: 174809.55
GET: 174748.36
GET: 174706.20
GET: 174688.42
GET: 174717.75
GET: 174795.14
GET: 174829.83
GET: 174848.41
GET: 174924.36
GET: 174933.50
GET: 175017.77
GET: 174998.33
GET: 175061.19
GET: 175111.62
GET: 175346.72
GET: 175381.97
GET: 175443.52
GET: 175498.34
GET: 175601.98
GET: 175650.64
GET: 175737.89
GET: 175879.09
GET: 176013.08
GET: 176020.05
GET: 176008.45
GET: 176051.97
GET: 175966.98
GET: 176033.56
GET: 176059.72
GET: 176238.59
GET: 176322.77
GET: 176423.14
GET: 176467.42
GET: 176438.09
GET: 176469.42
GET: 176515.31
GET: 176625.66
GET: 176745.89
GET: 176830.58
GET: 176801.44
GET: 176794.17
GET: 176777.98
GET: 176752.45
GET: 176697.70
GET: 176791.53
GET: 176937.73
GET: 176961.19
GET: 177003.31
GET: 177036.17
GET: 176962.58
GET: 176948.78
GET: 177041.92
GET: 177110.42
GET: 177187.06
GET: 177274.66
GET: 177246.84
GET: 177190.98
GET: 177166.86
GET: 177194.69
GET: 177369.92
GET: 177474.97
GET: 177468.56
GET: 177500.64
GET: 177453.67
GET: 177456.83
GET: 177470.33
GET: 177532.95
GET: 177623.09
GET: 177722.48
GET: 177771.39
GET: 177812.16
GET: 177845.17
GET: 177721.59
GET: 177757.11
GET: 177760.45
GET: 177886.94
GET: 177988.95
GET: 178003.19
GET: 177986.98
GET: 178006.17
GET: 178017.28
GET: 178073.59
GET: 178131.47
GET: 178238.75
GET: 178232.19
GET: 178242.61
GET: 178279.36
GET: 178301.89
GET: 178280.81
GET: 178272.09
GET: 178344.02
GET: 178374.12
GET: 178464.55
GET: 178453.67
GET: 178474.20
GET: 178487.27
GET: 178474.22
GET: 178494.30
GET: 178582.34
GET: 178663.22
GET: 178666.20
GET: 178670.64
GET: 178654.72
GET: 178659.94
GET: 178687.81
GET: 178821.23
GET: 178980.20
GET: 179055.88
GET: 179160.88
GET: 179416.05
GET: 179661.17
GET: 180349.23
====== GET ======
  12000032 requests completed in 66.42 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.25% <= 0.2 milliseconds
2.06% <= 0.3 milliseconds
6.61% <= 0.4 milliseconds
11.50% <= 0.5 milliseconds
17.08% <= 0.6 milliseconds
24.11% <= 0.7 milliseconds
32.76% <= 0.8 milliseconds
41.77% <= 0.9 milliseconds
50.34% <= 1.0 milliseconds
57.87% <= 1.1 milliseconds
64.22% <= 1.2 milliseconds
69.41% <= 1.3 milliseconds
73.65% <= 1.4 milliseconds
77.14% <= 1.5 milliseconds
80.04% <= 1.6 milliseconds
82.44% <= 1.7 milliseconds
84.45% <= 1.8 milliseconds
86.17% <= 1.9 milliseconds
87.63% <= 2 milliseconds
95.10% <= 3 milliseconds
97.61% <= 4 milliseconds
98.80% <= 5 milliseconds
99.36% <= 6 milliseconds
99.63% <= 7 milliseconds
99.80% <= 8 milliseconds
99.87% <= 9 milliseconds
99.93% <= 10 milliseconds
99.97% <= 11 milliseconds
99.98% <= 12 milliseconds
99.99% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 17 milliseconds
180658.06 requests per second


