2023-11-21 23:03:03
GET: nan
GET: 318208.00
GET: 264016.00
GET: 235637.33
GET: 220488.00
GET: 210630.41
GET: 205274.67
GET: 199104.00
GET: 198720.64
GET: 198002.67
GET: 196990.02
GET: 195629.23
GET: 196315.91
GET: 195142.42
GET: 193672.67
GET: 194073.05
GET: 194089.48
GET: 194073.88
GET: 193844.92
GET: 192912.66
GET: 192219.12
GET: 190406.70
GET: 189651.77
GET: 190144.66
GET: 190844.77
GET: 190205.88
GET: 190166.61
GET: 189486.08
GET: 188042.25
GET: 187192.94
GET: 186495.80
GET: 186360.70
GET: 186595.73
GET: 185586.81
GET: 184773.86
GET: 184483.16
GET: 184226.41
GET: 184015.56
GET: 183495.33
GET: 183186.97
GET: 182958.75
GET: 182887.44
GET: 182792.89
GET: 182817.22
GET: 182500.41
GET: 182080.45
GET: 181459.12
GET: 181319.50
GET: 181326.91
GET: 181581.67
GET: 181103.41
GET: 181132.56
GET: 180777.62
GET: 180918.80
GET: 180832.55
GET: 180937.16
GET: 181209.27
GET: 181383.23
GET: 181475.16
GET: 181121.30
GET: 180967.30
GET: 180650.11
GET: 180403.72
GET: 180480.53
GET: 180609.38
GET: 180729.36
GET: 180475.17
GET: 180470.47
GET: 180322.05
GET: 180353.98
GET: 180156.66
GET: 180525.48
GET: 180911.62
GET: 181048.06
GET: 181168.28
GET: 181095.17
GET: 180969.19
GET: 180953.45
GET: 180807.55
GET: 180938.30
GET: 181079.75
GET: 181180.88
GET: 181371.92
GET: 181481.72
GET: 181353.25
GET: 181325.69
GET: 181424.77
GET: 181696.81
GET: 182027.33
GET: 181893.70
GET: 182269.73
GET: 182273.98
GET: 182330.59
GET: 182324.39
GET: 182461.94
GET: 182505.36
GET: 182576.50
GET: 182678.14
GET: 182385.72
GET: 182297.41
GET: 182266.47
GET: 182232.66
GET: 182243.08
GET: 182404.41
GET: 182493.48
GET: 182510.25
GET: 182579.78
GET: 182334.64
GET: 182294.70
GET: 182288.03
GET: 182358.22
GET: 182219.22
GET: 182156.89
GET: 182144.41
GET: 182277.31
GET: 182111.59
GET: 181999.45
GET: 181952.06
GET: 181907.91
GET: 182049.30
GET: 182095.38
GET: 182167.36
GET: 182199.78
GET: 182084.72
GET: 181993.42
GET: 181902.31
GET: 181946.84
GET: 181958.09
GET: 182000.25
GET: 181954.42
GET: 182020.30
GET: 181915.09
GET: 181818.03
GET: 181726.52
GET: 181860.62
GET: 182075.17
GET: 182170.14
GET: 182170.89
GET: 182121.59
GET: 182146.12
GET: 182159.58
GET: 182100.08
GET: 182230.72
GET: 182392.39
GET: 182455.27
GET: 182444.53
GET: 182460.42
GET: 182454.36
GET: 182399.53
GET: 182368.22
GET: 182371.84
GET: 182455.84
GET: 182526.97
GET: 182481.06
GET: 182484.28
GET: 182499.61
GET: 182622.94
GET: 182602.98
GET: 182681.41
GET: 182698.34
GET: 182704.67
GET: 182647.39
GET: 182655.53
GET: 182651.02
GET: 182769.95
GET: 182753.00
GET: 182712.55
GET: 182807.34
GET: 183019.73
GET: 183026.31
GET: 182979.39
GET: 182938.80
GET: 182853.92
GET: 182881.61
GET: 182881.05
GET: 182948.81
GET: 182949.69
GET: 182981.11
GET: 182994.91
GET: 182965.69
GET: 182952.78
GET: 182987.88
GET: 183181.02
GET: 183270.55
GET: 183311.00
GET: 183327.16
GET: 183227.83
GET: 183306.50
GET: 183220.92
GET: 183292.34
GET: 183380.36
GET: 183524.19
GET: 183569.12
GET: 183494.66
GET: 183396.25
GET: 183373.45
GET: 183375.98
GET: 183380.95
GET: 183464.16
GET: 183620.73
GET: 183623.27
GET: 183634.69
GET: 183706.61
GET: 183723.48
GET: 183663.88
GET: 183630.89
GET: 183758.38
GET: 183848.97
GET: 183852.30
GET: 183830.83
GET: 183820.22
GET: 183839.55
GET: 183779.09
GET: 183861.02
GET: 183909.33
GET: 183933.39
GET: 183975.58
GET: 183936.50
GET: 183938.27
GET: 183885.56
GET: 183832.02
GET: 183885.88
GET: 183938.52
GET: 183933.48
GET: 183955.75
GET: 183897.70
GET: 183850.77
GET: 183785.94
GET: 183793.05
GET: 183833.17
GET: 183874.20
GET: 183879.47
GET: 183850.36
GET: 183895.73
GET: 183889.48
GET: 183874.44
GET: 183851.67
GET: 183894.11
GET: 183941.30
GET: 183977.66
GET: 183897.70
GET: 183906.88
GET: 183849.27
GET: 183787.27
GET: 183698.25
GET: 183708.22
GET: 183690.95
GET: 183783.84
GET: 183794.25
GET: 183767.22
GET: 183770.97
GET: 183764.88
GET: 183782.67
GET: 183807.30
GET: 183835.73
GET: 183844.53
GET: 183839.64
GET: 183798.84
GET: 183721.80
GET: 183770.66
GET: 183865.48
====== GET ======
  12000000 requests completed in 65.24 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.28% <= 0.2 milliseconds
2.44% <= 0.3 milliseconds
7.61% <= 0.4 milliseconds
13.18% <= 0.5 milliseconds
19.62% <= 0.6 milliseconds
27.45% <= 0.7 milliseconds
36.39% <= 0.8 milliseconds
45.42% <= 0.9 milliseconds
53.60% <= 1.0 milliseconds
60.39% <= 1.1 milliseconds
66.03% <= 1.2 milliseconds
70.74% <= 1.3 milliseconds
74.71% <= 1.4 milliseconds
78.00% <= 1.5 milliseconds
80.79% <= 1.6 milliseconds
83.08% <= 1.7 milliseconds
85.00% <= 1.8 milliseconds
86.62% <= 1.9 milliseconds
87.97% <= 2 milliseconds
94.96% <= 3 milliseconds
97.42% <= 4 milliseconds
98.64% <= 5 milliseconds
99.26% <= 6 milliseconds
99.57% <= 7 milliseconds
99.75% <= 8 milliseconds
99.86% <= 9 milliseconds
99.91% <= 10 milliseconds
99.94% <= 11 milliseconds
99.96% <= 12 milliseconds
99.98% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
99.99% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 17 milliseconds
183924.95 requests per second


