2023-11-21 23:03:03
GET: 0.00
GET: 263426.31
GET: 218459.09
GET: 201952.25
GET: 192222.89
GET: 188863.75
GET: 188714.95
GET: 186917.38
GET: 186014.95
GET: 186583.97
GET: 188263.27
GET: 189205.66
GET: 190579.31
GET: 189583.34
GET: 189564.03
GET: 188949.84
GET: 188914.66
GET: 188540.64
GET: 188216.86
GET: 187896.83
GET: 188587.36
GET: 188102.48
GET: 187476.81
GET: 186283.14
GET: 185144.00
GET: 184745.02
GET: 184986.20
GET: 185347.91
GET: 185604.11
GET: 185814.08
GET: 184669.95
GET: 183495.81
GET: 182595.39
GET: 182959.77
GET: 183317.78
GET: 183453.00
GET: 182891.09
GET: 182615.64
GET: 181602.11
GET: 181372.08
GET: 180918.23
GET: 180456.62
GET: 180614.39
GET: 180009.64
GET: 180055.09
GET: 179636.30
GET: 179375.75
GET: 178848.61
GET: 178835.30
GET: 178978.17
GET: 179222.59
GET: 179417.48
GET: 179360.53
GET: 179058.03
GET: 178480.31
GET: 178276.94
GET: 178561.81
GET: 178721.16
GET: 179013.62
GET: 178817.20
GET: 178744.31
GET: 178624.12
GET: 178579.33
GET: 178797.38
GET: 178685.45
GET: 178803.34
GET: 178800.62
GET: 178725.58
GET: 178814.22
GET: 178703.22
GET: 178555.23
GET: 178607.02
GET: 179076.47
GET: 178944.58
GET: 179051.66
GET: 179034.05
GET: 178875.81
GET: 178625.08
GET: 178778.53
GET: 178934.95
GET: 179203.83
GET: 179196.69
GET: 179335.16
GET: 179410.83
GET: 179238.08
GET: 179334.52
GET: 179624.72
GET: 179772.50
GET: 180033.38
GET: 180254.69
GET: 180181.62
GET: 180087.02
GET: 179992.02
GET: 179872.28
GET: 180030.56
GET: 180239.64
GET: 180305.00
GET: 180326.23
GET: 180430.77
GET: 180498.67
GET: 180484.75
GET: 180489.45
GET: 180566.06
GET: 180699.48
GET: 180670.97
GET: 180826.09
GET: 180854.30
GET: 180828.12
GET: 180726.38
GET: 180827.83
GET: 181022.20
GET: 181214.52
GET: 181410.98
GET: 181310.06
GET: 181382.08
GET: 181256.78
GET: 181305.16
GET: 181271.64
GET: 181322.33
GET: 181257.83
GET: 181470.41
GET: 181562.62
GET: 181598.53
GET: 181630.73
GET: 181659.86
GET: 181656.56
GET: 181807.39
GET: 182011.69
GET: 182085.56
GET: 182206.81
GET: 182141.73
GET: 182115.91
GET: 182190.64
GET: 182326.19
GET: 182447.80
GET: 182575.67
GET: 182585.64
GET: 182599.22
GET: 182518.62
GET: 182588.31
GET: 182766.28
GET: 182969.36
GET: 183026.98
GET: 183031.09
GET: 182972.38
GET: 182852.58
GET: 182828.27
GET: 182814.27
GET: 182894.14
GET: 182918.52
GET: 182897.39
GET: 182989.92
GET: 182998.03
GET: 183034.22
GET: 182902.95
GET: 182970.41
GET: 183092.70
GET: 183040.55
GET: 183022.34
GET: 182920.41
GET: 182860.45
GET: 182789.55
GET: 182774.02
GET: 182770.16
GET: 182814.45
GET: 182898.30
GET: 182847.00
GET: 182704.89
GET: 182716.00
GET: 182625.30
GET: 182567.42
GET: 182554.52
GET: 182660.05
GET: 182687.94
GET: 182667.92
GET: 182618.78
GET: 182578.89
GET: 182577.88
GET: 182506.17
GET: 182430.81
GET: 182519.72
GET: 182579.45
GET: 182565.53
GET: 182471.42
GET: 182299.16
GET: 182211.47
GET: 182240.14
GET: 182374.06
GET: 182426.70
GET: 182381.61
GET: 182294.44
GET: 182287.12
GET: 182205.52
GET: 182234.17
GET: 182135.23
GET: 182128.39
GET: 182165.31
GET: 182273.53
GET: 182198.66
GET: 182137.22
GET: 182128.47
GET: 182117.73
GET: 182057.64
GET: 182095.84
GET: 182147.92
GET: 182157.88
GET: 182112.98
GET: 182062.73
GET: 181998.77
GET: 181937.86
GET: 181944.02
GET: 181972.06
GET: 182011.00
GET: 182026.47
GET: 182005.67
GET: 181965.75
GET: 181955.62
GET: 181895.53
GET: 181863.27
GET: 181854.03
GET: 181873.66
GET: 181870.53
GET: 181912.92
GET: 181852.92
GET: 181827.12
GET: 181770.31
GET: 181769.70
GET: 181841.16
GET: 181864.53
GET: 181899.38
GET: 181841.25
GET: 181789.86
GET: 181741.39
GET: 181756.97
GET: 181840.45
GET: 181814.00
GET: 181792.02
GET: 181782.98
GET: 181766.42
GET: 181767.97
GET: 181745.97
GET: 181807.84
GET: 181810.67
GET: 181864.11
GET: 181813.94
GET: 181718.64
GET: 181707.25
GET: 181675.12
GET: 181631.58
GET: 181644.92
GET: 181740.47
GET: 181738.00
GET: 181684.58
GET: 181653.31
GET: 181600.14
GET: 181605.78
GET: 181607.25
GET: 181664.91
GET: 181749.73
GET: 181736.09
GET: 181751.70
GET: 181771.97
GET: 181832.66
GET: 182148.38
====== GET ======
  12000008 requests completed in 65.86 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.35% <= 0.2 milliseconds
2.28% <= 0.3 milliseconds
6.60% <= 0.4 milliseconds
11.06% <= 0.5 milliseconds
16.44% <= 0.6 milliseconds
23.59% <= 0.7 milliseconds
32.52% <= 0.8 milliseconds
41.98% <= 0.9 milliseconds
50.82% <= 1.0 milliseconds
58.48% <= 1.1 milliseconds
64.80% <= 1.2 milliseconds
69.96% <= 1.3 milliseconds
74.18% <= 1.4 milliseconds
77.67% <= 1.5 milliseconds
80.52% <= 1.6 milliseconds
82.87% <= 1.7 milliseconds
84.86% <= 1.8 milliseconds
86.52% <= 1.9 milliseconds
87.95% <= 2 milliseconds
95.11% <= 3 milliseconds
97.66% <= 4 milliseconds
98.88% <= 5 milliseconds
99.38% <= 6 milliseconds
99.67% <= 7 milliseconds
99.80% <= 8 milliseconds
99.89% <= 9 milliseconds
99.93% <= 10 milliseconds
99.97% <= 11 milliseconds
99.98% <= 12 milliseconds
99.99% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
99.99% <= 16 milliseconds
100.00% <= 21 milliseconds
100.00% <= 22 milliseconds
100.00% <= 28 milliseconds
100.00% <= 29 milliseconds
100.00% <= 29 milliseconds
182196.50 requests per second


